Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003384, train_ic -0.009571, train_icir -0.135601, train_ric 0.010633, train_ricir 0.150599, train_mae 0.065878, train_rmse 0.074218, train_mape 1041.557739, train_acc 0.806661, valid_loss 0.0087694079, valid_ic 0.006465, valid_icir 0.100308, valid_ric 0.021041, valid_ricir 0.238267, valid_mae 0.106469, valid_rmse 0.113120, valid_mape 728.941223, valid_acc 0.123510, test_loss 0.008698, ic 0.001379, icir 0.025013, ric 0.023056, ricir 0.321053, prec@10 0.468724, prec@30 0.468999, test_mae 0.081172, test_rmse 0.095196, test_mape 21860.986328, test_acc 0.465017
Epoch 13, train_loss 0.003096, train_ic 0.002586, train_icir 0.034721, train_ric 0.006923, train_ricir 0.092324, train_mae 0.092546, train_rmse 0.100978, train_mape 1197.303101, train_acc 0.505009, valid_loss 0.0125930360, valid_ic 0.008493, valid_icir 0.112179, valid_ric 0.015542, valid_ricir 0.170125, valid_mae 0.125877, valid_rmse 0.132393, valid_mape 869.571655, valid_acc 0.123901, test_loss 0.012080, ic 0.001411, icir 0.018655, ric 0.019318, ricir 0.203290, prec@10 0.475309, prec@30 0.472565, test_mae 0.097582, test_rmse 0.110302, test_mape 28033.490234, test_acc 0.465597
Epoch 14, train_loss 0.002837, train_ic 0.006025, train_icir 0.070759, train_ric 0.009790, train_ricir 0.123301, train_mae 0.081398, train_rmse 0.088303, train_mape 1414.758057, train_acc 0.782928, valid_loss 0.0117165260, valid_ic 0.011311, valid_icir 0.126077, valid_ric 0.017903, valid_ricir 0.188663, valid_mae 0.109909, valid_rmse 0.121262, valid_mape 762.123230, valid_acc 0.195818, test_loss 0.011276, ic 0.003138, icir 0.032369, ric 0.017251, ricir 0.159580, prec@10 0.482305, prec@30 0.475720, test_mae 0.087451, test_rmse 0.105910, test_mape 26104.537109, test_acc 0.494202
Epoch 15, train_loss 0.002828, train_ic 0.008520, train_icir 0.110916, train_ric 0.003428, train_ricir 0.046763, train_mae 0.072485, train_rmse 0.079009, train_mape 851.162231, train_acc 0.774724, valid_loss 0.0096138050, valid_ic 0.009449, valid_icir 0.115556, valid_ric 0.008315, valid_ricir 0.091264, valid_mae 0.108591, valid_rmse 0.115981, valid_mape 735.736023, valid_acc 0.129764, test_loss 0.009159, ic 0.002113, icir 0.025034, ric 0.013162, ricir 0.140971, prec@10 0.514815, prec@30 0.476680, test_mae 0.081639, test_rmse 0.096417, test_mape 24247.462891, test_acc 0.471782
Epoch 16, train_loss 0.003517, train_ic -0.002213, train_icir -0.024980, train_ric 0.011795, train_ricir 0.141761, train_mae 0.087541, train_rmse 0.100593, train_mape 69621.156250, train_acc 0.451399, valid_loss 0.0110130925, valid_ic 0.011448, valid_icir 0.119339, valid_ric 0.022629, valid_ricir 0.213110, valid_mae 0.112050, valid_rmse 0.121108, valid_mape 766.398743, valid_acc 0.167090, test_loss 0.010491, ic 0.001999, icir 0.020409, ric 0.021949, ricir 0.197763, prec@10 0.472840, prec@30 0.499177, test_mae 0.086658, test_rmse 0.102689, test_mape 25670.986328, test_acc 0.484731
Epoch 17, train_loss 0.003688, train_ic -0.000485, train_icir -0.007140, train_ric -0.002460, train_ricir -0.032825, train_mae 0.067708, train_rmse 0.073094, train_mape 1158.941284, train_acc 0.769640, valid_loss 0.0090986835, valid_ic 0.004728, valid_icir 0.066497, valid_ric 0.000625, valid_ricir 0.006925, valid_mae 0.099808, valid_rmse 0.108957, valid_mape 680.931824, valid_acc 0.166699, test_loss 0.008526, ic 0.004722, icir 0.075620, ric 0.010987, ricir 0.165903, prec@10 0.456379, prec@30 0.462277, test_mae 0.075659, test_rmse 0.090718, test_mape 22116.980469, test_acc 0.477580
Epoch 18, train_loss 0.002718, train_ic -0.008357, train_icir -0.107385, train_ric 0.007103, train_ricir 0.092520, train_mae 0.117938, train_rmse 0.122297, train_mape 2449.107666, train_acc 0.377987, valid_loss 0.0155140273, valid_ic 0.006315, valid_icir 0.076155, valid_ric 0.013003, valid_ricir 0.132292, valid_mae 0.140059, valid_rmse 0.145954, valid_mape 984.569763, valid_acc 0.128200, test_loss 0.014933, ic 0.000513, icir 0.006390, ric 0.021545, ricir 0.256637, prec@10 0.492181, prec@30 0.503155, test_mae 0.112262, test_rmse 0.122505, test_mape 31075.212891, test_acc 0.468496
Epoch 19, train_loss 0.002487, train_ic -0.000983, train_icir -0.014281, train_ric -0.000238, train_ricir -0.003325, train_mae 0.117506, train_rmse 0.128780, train_mape 1975.634766, train_acc 0.441401, valid_loss 0.0167984299, valid_ic 0.006304, valid_icir 0.091591, valid_ric 0.006703, valid_ricir 0.081990, valid_mae 0.141874, valid_rmse 0.148979, valid_mape 1006.244568, valid_acc 0.133868, test_loss 0.016285, ic 0.004264, icir 0.062420, ric 0.013803, ricir 0.189376, prec@10 0.458025, prec@30 0.452126, test_mae 0.114916, test_rmse 0.125541, test_mape 32075.847656, test_acc 0.472942
Epoch 20, train_loss 0.002457, train_ic 0.008069, train_icir 0.122816, train_ric -0.002831, train_ricir -0.036527, train_mae 0.098621, train_rmse 0.110430, train_mape 2087.664062, train_acc 0.600574, valid_loss 0.0141458363, valid_ic 0.004898, valid_icir 0.074042, valid_ric -0.003205, valid_ricir -0.034245, valid_mae 0.132779, valid_rmse 0.139238, valid_mape 936.818726, valid_acc 0.126441, test_loss 0.013867, ic 0.004473, icir 0.074290, ric 0.009163, ricir 0.143521, prec@10 0.516461, prec@30 0.481344, test_mae 0.106844, test_rmse 0.116843, test_mape 28133.386719, test_acc 0.467917
Epoch 21, train_loss 0.002319, train_ic 0.002069, train_icir 0.031751, train_ric -0.000984, train_ricir -0.013119, train_mae 0.112518, train_rmse 0.115998, train_mape 1752.358032, train_acc 0.292945, valid_loss 0.0138895524, valid_ic 0.005218, valid_icir 0.078505, valid_ric 0.002002, valid_ricir 0.022284, valid_mae 0.129909, valid_rmse 0.136766, valid_mape 910.622498, valid_acc 0.127223, test_loss 0.013421, ic 0.004439, icir 0.072308, ric 0.012911, ricir 0.192772, prec@10 0.412346, prec@30 0.450480, test_mae 0.103912, test_rmse 0.114320, test_mape 27569.375000, test_acc 0.468110
Epoch 22, train_loss 0.002480, train_ic 0.004857, train_icir 0.065900, train_ric 0.004688, train_ricir 0.064142, train_mae 0.114182, train_rmse 0.118121, train_mape 2795.184814, train_acc 0.338348, valid_loss 0.0146155747, valid_ic 0.009342, valid_icir 0.128163, valid_ric 0.012199, valid_ricir 0.142338, valid_mae 0.132166, valid_rmse 0.139355, valid_mape 922.586060, valid_acc 0.137776, test_loss 0.013790, ic 0.004161, icir 0.052507, ric 0.015145, ricir 0.162201, prec@10 0.462551, prec@30 0.465981, test_mae 0.104105, test_rmse 0.115401, test_mape 29491.375000, test_acc 0.476227
Epoch 23, train_loss 0.002112, train_ic 0.004348, train_icir 0.065593, train_ric -0.002350, train_ricir -0.029907, train_mae 0.117638, train_rmse 0.129683, train_mape 51527.824219, train_acc 0.619696, valid_loss 0.0198643004, valid_ic 0.003977, valid_icir 0.057478, valid_ric -0.001177, valid_ricir -0.012607, valid_mae 0.155350, valid_rmse 0.161707, valid_mape 1114.976685, valid_acc 0.120774, test_loss 0.019531, ic 0.005430, icir 0.100903, ric 0.011130, ricir 0.178897, prec@10 0.478189, prec@30 0.473800, test_mae 0.129295, test_rmse 0.137685, test_mape 34086.781250, test_acc 0.463664
Early stopping -----
Epoch 24, train_loss 0.002080, train_ic 0.004653, train_icir 0.068072, train_ric 0.002365, train_ricir 0.033145, train_mae 0.104703, train_rmse 0.108930, train_mape 1872.420654, train_acc 0.305468, valid_loss 0.0120909987, valid_ic 0.006763, valid_icir 0.097634, valid_ric 0.006707, valid_ricir 0.079185, valid_mae 0.121248, valid_rmse 0.128157, valid_mape 849.006836, valid_acc 0.143053, test_loss 0.011623, ic 0.004568, icir 0.064723, ric 0.014207, ricir 0.185749, prec@10 0.508230, prec@30 0.530178, test_mae 0.096126, test_rmse 0.106531, test_mape 26520.902344, test_acc 0.476807
Epoch 25, train_loss 0.002116, train_ic 0.004741, train_icir 0.069571, train_ric -0.000318, train_ricir -0.004074, train_mae 0.126745, train_rmse 0.135959, train_mape 1964.876709, train_acc 0.239721, valid_loss 0.0179178106, valid_ic 0.005545, valid_icir 0.079137, valid_ric 0.000675, valid_ricir 0.007214, valid_mae 0.146660, valid_rmse 0.154033, valid_mape 1044.168335, valid_acc 0.135431, test_loss 0.017414, ic 0.005104, icir 0.075704, ric 0.013153, ricir 0.198922, prec@10 0.468313, prec@30 0.477503, test_mae 0.120114, test_rmse 0.130074, test_mape 32720.318359, test_acc 0.473521
Epoch 26, train_loss 0.002036, train_ic 0.005734, train_icir 0.067995, train_ric 0.011995, train_ricir 0.142847, train_mae 0.106988, train_rmse 0.117543, train_mape 920.507629, train_acc 0.219423, valid_loss 0.0112802249, valid_ic 0.011484, valid_icir 0.132763, valid_ric 0.020528, valid_ricir 0.200646, valid_mae 0.113737, valid_rmse 0.121634, valid_mape 784.882629, valid_acc 0.162986, test_loss 0.010560, ic 0.003721, icir 0.039471, ric 0.018828, ricir 0.167898, prec@10 0.479012, prec@30 0.505487, test_mae 0.088725, test_rmse 0.101494, test_mape 25375.324219, test_acc 0.481252
Epoch 27, train_loss 0.002040, train_ic 0.005696, train_icir 0.089216, train_ric 0.003810, train_ricir 0.054112, train_mae 0.109288, train_rmse 0.116185, train_mape 1981.102905, train_acc 0.651587, valid_loss 0.0167376976, valid_ic 0.006661, valid_icir 0.107198, valid_ric 0.009067, valid_ricir 0.110341, valid_mae 0.143782, valid_rmse 0.149247, valid_mape 1017.261719, valid_acc 0.118038, test_loss 0.016090, ic 0.004788, icir 0.080606, ric 0.014886, ricir 0.184178, prec@10 0.451440, prec@30 0.490672, test_mae 0.116596, test_rmse 0.124729, test_mape 31192.892578, test_acc 0.463085
Epoch 28, train_loss 0.002081, train_ic 0.006006, train_icir 0.086246, train_ric 0.005498, train_ricir 0.076227, train_mae 0.109975, train_rmse 0.113478, train_mape 718.566223, train_acc 0.887978, valid_loss 0.0194090898, valid_ic 0.008666, valid_icir 0.127629, valid_ric 0.011327, valid_ricir 0.132269, valid_mae 0.152241, valid_rmse 0.158589, valid_mape 1077.937500, valid_acc 0.129373, test_loss 0.018441, ic 0.005225, icir 0.072216, ric 0.016168, ricir 0.184860, prec@10 0.493004, prec@30 0.488889, test_mae 0.123551, test_rmse 0.132880, test_mape 33851.421875, test_acc 0.472555
