Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.071845, train_ic -0.001348, train_icir -0.015354, train_ric 0.012523, train_ricir 0.130530, train_mae 0.033884, train_rmse 0.076851, train_mape 540.095398, train_acc 0.572350, valid_loss 0.0199338798, valid_ic 0.006998, valid_icir 0.067849, valid_ric 0.018029, valid_ricir 0.127241, valid_mae 0.070683, valid_rmse 0.146762, valid_mape 584.171570, valid_acc 0.459042, test_loss 0.030175, ic 0.001137, icir 0.011785, ric 0.020650, ricir 0.192764, prec@10 0.490123, prec@30 0.502195, test_mae 0.092655, test_rmse 0.198167, test_mape 5986.847168, test_acc 0.498936
Epoch 2, train_loss 0.015468, train_ic -0.002058, train_icir -0.022210, train_ric 0.016445, train_ricir 0.169317, train_mae 0.066138, train_rmse 0.125751, train_mape 816.910095, train_acc 0.457479, valid_loss 0.0129836334, valid_ic 0.007422, valid_icir 0.067204, valid_ric 0.022595, valid_ricir 0.156521, valid_mae 0.068784, valid_rmse 0.115687, valid_mape 556.717651, valid_acc 0.425220, test_loss 0.017846, ic 0.000839, icir 0.008859, ric 0.019544, ricir 0.172278, prec@10 0.481481, prec@30 0.479561, test_mae 0.077699, test_rmse 0.150100, test_mape 7626.908691, test_acc 0.483653
Epoch 3, train_loss 0.010791, train_ic 0.003126, train_icir 0.038514, train_ric 0.024538, train_ricir 0.229386, train_mae 0.032285, train_rmse 0.050812, train_mape 616.084839, train_acc 0.323496, valid_loss 0.0085167948, valid_ic 0.006848, valid_icir 0.075944, valid_ric 0.028213, valid_ricir 0.185877, valid_mae 0.056424, valid_rmse 0.095383, valid_mape 404.506012, valid_acc 0.343109, test_loss 0.011209, ic 0.002800, icir 0.033846, ric 0.026871, ricir 0.204667, prec@10 0.487243, prec@30 0.512071, test_mae 0.054100, test_rmse 0.119050, test_mape 7151.781250, test_acc 0.497582
Epoch 4, train_loss 0.008319, train_ic 0.003014, train_icir 0.039658, train_ric 0.016034, train_ricir 0.186306, train_mae 0.054842, train_rmse 0.120023, train_mape 1129.111816, train_acc 0.510372, valid_loss 0.0070139387, valid_ic 0.006277, valid_icir 0.075601, valid_ric 0.020339, valid_ricir 0.175196, valid_mae 0.058438, valid_rmse 0.089950, valid_mape 403.635498, valid_acc 0.348387, test_loss 0.008885, ic 0.002890, icir 0.037701, ric 0.023444, ricir 0.218212, prec@10 0.500412, prec@30 0.515638, test_mae 0.049734, test_rmse 0.105165, test_mape 10387.538086, test_acc 0.496034
Epoch 5, train_loss 0.006846, train_ic -0.005572, train_icir -0.053233, train_ric 0.023159, train_ricir 0.184535, train_mae 0.049011, train_rmse 0.065184, train_mape 656.011414, train_acc 0.348180, valid_loss 0.0064231053, valid_ic 0.006580, valid_icir 0.053329, valid_ric 0.028519, valid_ricir 0.158853, valid_mae 0.054599, valid_rmse 0.082882, valid_mape 413.117981, valid_acc 0.420528, test_loss 0.008167, ic -0.004410, icir -0.045179, ric 0.020240, ricir 0.143404, prec@10 0.532922, prec@30 0.565981, test_mae 0.055311, test_rmse 0.102192, test_mape 7340.427246, test_acc 0.478816
Epoch 6, train_loss 0.006475, train_ic 0.001167, train_icir 0.014718, train_ric 0.013784, train_ricir 0.164448, train_mae 0.097491, train_rmse 0.110182, train_mape 985.294250, train_acc 0.856278, valid_loss 0.0167491957, valid_ic 0.005639, valid_icir 0.065005, valid_ric 0.016369, valid_ricir 0.142288, valid_mae 0.139664, valid_rmse 0.150656, valid_mape 980.705750, valid_acc 0.138416, test_loss 0.016987, ic 0.001158, icir 0.014090, ric 0.025301, ricir 0.266719, prec@10 0.509465, prec@30 0.518930, test_mae 0.112781, test_rmse 0.134521, test_mape 31651.330078, test_acc 0.473012
Epoch 7, train_loss 0.004721, train_ic 0.004445, train_icir 0.045521, train_ric 0.026128, train_ricir 0.239105, train_mae 0.056079, train_rmse 0.064687, train_mape 945.341858, train_acc 0.525328, valid_loss 0.0079751714, valid_ic 0.011448, valid_icir 0.105379, valid_ric 0.032413, valid_ricir 0.207966, valid_mae 0.088532, valid_rmse 0.104074, valid_mape 594.922302, valid_acc 0.227957, test_loss 0.008288, ic 0.001063, icir 0.010799, ric 0.028760, ricir 0.206968, prec@10 0.510700, prec@30 0.525926, test_mae 0.066395, test_rmse 0.096480, test_mape 19677.875000, test_acc 0.492745
Epoch 8, train_loss 0.004381, train_ic 0.003962, train_icir 0.042094, train_ric 0.018828, train_ricir 0.188292, train_mae 0.057566, train_rmse 0.064391, train_mape 1107.164185, train_acc 0.697821, valid_loss 0.0074238829, valid_ic 0.010544, valid_icir 0.100145, valid_ric 0.025187, valid_ricir 0.177937, valid_mae 0.087047, valid_rmse 0.100688, valid_mape 576.149414, valid_acc 0.217986, test_loss 0.007479, ic 0.000090, icir 0.000934, ric 0.022931, ricir 0.171476, prec@10 0.511111, prec@30 0.534979, test_mae 0.063939, test_rmse 0.091262, test_mape 20425.949219, test_acc 0.496034
Epoch 9, train_loss 0.005244, train_ic -0.001199, train_icir -0.016185, train_ric 0.016117, train_ricir 0.198762, train_mae 0.112294, train_rmse 0.123797, train_mape 1027.937134, train_acc 0.195038, valid_loss 0.0113575217, valid_ic 0.006622, valid_icir 0.103833, valid_ric 0.022966, valid_ricir 0.246825, valid_mae 0.119444, valid_rmse 0.127692, valid_mape 826.372437, valid_acc 0.127468, test_loss 0.011514, ic 0.001313, icir 0.019736, ric 0.028845, ricir 0.368204, prec@10 0.504938, prec@30 0.507956, test_mae 0.092116, test_rmse 0.109237, test_mape 26286.869141, test_acc 0.472238
Epoch 10, train_loss 0.004160, train_ic 0.004329, train_icir 0.056775, train_ric 0.012982, train_ricir 0.164097, train_mae 0.050587, train_rmse 0.060259, train_mape 1027.289795, train_acc 0.594602, valid_loss 0.0077458430, valid_ic 0.008198, valid_icir 0.105514, valid_ric 0.018418, valid_ricir 0.181878, valid_mae 0.085038, valid_rmse 0.098566, valid_mape 558.254883, valid_acc 0.211926, test_loss 0.007504, ic 0.004535, icir 0.058739, ric 0.025655, ricir 0.287952, prec@10 0.516461, prec@30 0.540878, test_mae 0.063035, test_rmse 0.087808, test_mape 20706.128906, test_acc 0.491584
Epoch 11, train_loss 0.003524, train_ic -0.001086, train_icir -0.012048, train_ric 0.015971, train_ricir 0.177740, train_mae 0.114907, train_rmse 0.125969, train_mape 760.819458, train_acc 0.132947, valid_loss 0.0113854193, valid_ic 0.009804, valid_icir 0.095143, valid_ric 0.026008, valid_ricir 0.205424, valid_mae 0.116675, valid_rmse 0.125440, valid_mape 782.601868, valid_acc 0.129228, test_loss 0.010720, ic -0.000189, icir -0.002072, ric 0.025948, ricir 0.223981, prec@10 0.516872, prec@30 0.529355, test_mae 0.087169, test_rmse 0.104912, test_mape 26951.693359, test_acc 0.466628
