Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.004485, train_ic 0.001711, train_icir 0.025142, train_ric 0.017201, train_ricir 0.177769, train_mae 0.049954, train_rmse 0.053798, train_mape 1084.526489, train_acc 0.661239, valid_loss 0.0053459203, valid_ic -0.010251, valid_icir -0.209257, valid_ric 0.010140, valid_ricir 0.160445, valid_mae 0.054767, valid_rmse 0.074662, valid_mape 1185.608887, valid_acc 0.574422, test_loss 0.009273, ic -0.012648, icir -0.175445, ric 0.004164, ricir 0.046654, prec@10 0.462140, prec@30 0.487380, test_mae 0.056169, test_rmse 0.105293, test_mape 824.699280, test_acc 0.680648
Epoch 13, train_loss 0.005505, train_ic 0.001343, train_icir 0.014452, train_ric 0.026066, train_ricir 0.244598, train_mae 0.066961, train_rmse 0.078749, train_mape 1038.590088, train_acc 0.338793, valid_loss 0.0085632144, valid_ic -0.000179, valid_icir -0.003424, valid_ric 0.022086, valid_ricir 0.325616, valid_mae 0.068755, valid_rmse 0.092006, valid_mape 1443.930664, valid_acc 0.552660, test_loss 0.013046, ic -0.004822, icir -0.066823, ric 0.008728, ricir 0.100459, prec@10 0.454321, prec@30 0.486694, test_mae 0.081359, test_rmse 0.122399, test_mape 1149.763062, test_acc 0.622026
Epoch 14, train_loss 0.006013, train_ic -0.006541, train_icir -0.083895, train_ric 0.006872, train_ricir 0.065393, train_mae 0.074332, train_rmse 0.084004, train_mape 1010.578613, train_acc 0.814673, valid_loss 0.0124361836, valid_ic 0.001536, valid_icir 0.031736, valid_ric 0.014361, valid_ricir 0.181931, valid_mae 0.093014, valid_rmse 0.107856, valid_mape 2089.263916, valid_acc 0.572542, test_loss 0.016948, ic -0.000307, icir -0.006024, ric 0.007702, ricir 0.074007, prec@10 0.526749, prec@30 0.517421, test_mae 0.103210, test_rmse 0.134437, test_mape 1583.739746, test_acc 0.723571
Epoch 15, train_loss 0.004368, train_ic 0.001118, train_icir 0.013347, train_ric 0.013298, train_ricir 0.141840, train_mae 0.097602, train_rmse 0.106482, train_mape 2376.514893, train_acc 0.529551, valid_loss 0.0178162544, valid_ic -0.002757, valid_icir -0.052090, valid_ric 0.007166, valid_ricir 0.118250, valid_mae 0.109400, valid_rmse 0.133932, valid_mape 2350.748535, valid_acc 0.542988, test_loss 0.025600, ic -0.006393, icir -0.083204, ric 0.001606, ricir 0.022350, prec@10 0.463786, prec@30 0.467078, test_mae 0.127280, test_rmse 0.169197, test_mape 1877.186523, test_acc 0.650478
Epoch 16, train_loss 0.004629, train_ic -0.002630, train_icir -0.031330, train_ric 0.014847, train_ricir 0.138049, train_mae 0.066616, train_rmse 0.089756, train_mape 1338.983398, train_acc 0.472558, valid_loss 0.0113492243, valid_ic 0.005766, valid_icir 0.109836, valid_ric 0.017262, valid_ricir 0.266876, valid_mae 0.070068, valid_rmse 0.108439, valid_mape 1382.095703, valid_acc 0.542988, test_loss 0.017529, ic 0.007359, icir 0.125351, ric 0.010467, ricir 0.129106, prec@10 0.486831, prec@30 0.501097, test_mae 0.083158, test_rmse 0.135370, test_mape 1162.260498, test_acc 0.682610
Epoch 17, train_loss 0.004320, train_ic -0.002218, train_icir -0.027360, train_ric 0.020367, train_ricir 0.193356, train_mae 0.053128, train_rmse 0.067094, train_mape 746.980835, train_acc 0.714234, valid_loss 0.0073112297, valid_ic 0.001174, valid_icir 0.025925, valid_ric 0.019343, valid_ricir 0.304102, valid_mae 0.062328, valid_rmse 0.083539, valid_mape 1350.843750, valid_acc 0.559377, test_loss 0.011462, ic 0.001356, icir 0.024747, ric 0.011178, ricir 0.138068, prec@10 0.500823, prec@30 0.503018, test_mae 0.070419, test_rmse 0.110160, test_mape 1033.507690, test_acc 0.703949
Epoch 18, train_loss 0.003693, train_ic -0.001904, train_icir -0.023441, train_ric 0.036125, train_ricir 0.300887, train_mae 0.115517, train_rmse 0.120299, train_mape 2629.833984, train_acc 0.460090, valid_loss 0.0154552830, valid_ic -0.000884, valid_icir -0.021257, valid_ric 0.039127, valid_ricir 0.530418, valid_mae 0.109162, valid_rmse 0.118893, valid_mape 2427.724854, valid_acc 0.593767, test_loss 0.018145, ic -0.006654, icir -0.118651, ric 0.023248, ricir 0.280790, prec@10 0.521399, prec@30 0.522771, test_mae 0.114318, test_rmse 0.137211, test_mape 1803.091797, test_acc 0.737797
Epoch 19, train_loss 0.003822, train_ic -0.001039, train_icir -0.011188, train_ric 0.027170, train_ricir 0.245238, train_mae 0.065858, train_rmse 0.071231, train_mape 1233.881470, train_acc 0.275109, valid_loss 0.0066439003, valid_ic -0.005110, valid_icir -0.099015, valid_ric 0.017709, valid_ricir 0.251104, valid_mae 0.058871, valid_rmse 0.077615, valid_mape 1252.135132, valid_acc 0.574960, test_loss 0.009949, ic -0.009111, icir -0.135163, ric 0.004948, ricir 0.057371, prec@10 0.439918, prec@30 0.459259, test_mae 0.068554, test_rmse 0.106121, test_mape 1001.542969, test_acc 0.702477
Epoch 20, train_loss 0.003554, train_ic 0.002556, train_icir 0.029894, train_ric 0.017392, train_ricir 0.187591, train_mae 0.043606, train_rmse 0.054785, train_mape 770.009766, train_acc 0.430739, valid_loss 0.0042008522, valid_ic -0.002637, valid_icir -0.050101, valid_ric 0.009791, valid_ricir 0.172750, valid_mae 0.044500, valid_rmse 0.067550, valid_mape 919.204163, valid_acc 0.541913, test_loss 0.007873, ic -0.005617, icir -0.075978, ric 0.003136, ricir 0.039038, prec@10 0.471605, prec@30 0.497394, test_mae 0.055224, test_rmse 0.101253, test_mape 762.396301, test_acc 0.584253
Epoch 21, train_loss 0.003136, train_ic 0.003382, train_icir 0.037794, train_ric 0.020737, train_ricir 0.214332, train_mae 0.063194, train_rmse 0.076271, train_mape 1339.023438, train_acc 0.491089, valid_loss 0.0074346777, valid_ic 0.001135, valid_icir 0.021559, valid_ric 0.012106, valid_ricir 0.208418, valid_mae 0.063271, valid_rmse 0.088547, valid_mape 1312.765991, valid_acc 0.538689, test_loss 0.012156, ic -0.001738, icir -0.024031, ric 0.004954, ricir 0.064488, prec@10 0.475720, prec@30 0.504801, test_mae 0.076558, test_rmse 0.119118, test_mape 1092.156738, test_acc 0.589895
Epoch 22, train_loss 0.004020, train_ic 0.002500, train_icir 0.031502, train_ric 0.021341, train_ricir 0.217469, train_mae 0.070397, train_rmse 0.077321, train_mape 1505.299194, train_acc 0.370782, valid_loss 0.0062967064, valid_ic -0.001958, valid_icir -0.042250, valid_ric 0.010657, valid_ricir 0.174105, valid_mae 0.058896, valid_rmse 0.077499, valid_mape 1213.149414, valid_acc 0.559645, test_loss 0.009445, ic -0.001656, icir -0.028696, ric 0.005694, ricir 0.075477, prec@10 0.492181, prec@30 0.508916, test_mae 0.062749, test_rmse 0.101005, test_mape 890.127075, test_acc 0.652686
Epoch 23, train_loss 0.003192, train_ic 0.000577, train_icir 0.007768, train_ric 0.015567, train_ricir 0.166959, train_mae 0.062013, train_rmse 0.073946, train_mape 1128.008911, train_acc 0.373766, valid_loss 0.0065539634, valid_ic 0.004053, valid_icir 0.087431, valid_ric 0.014643, valid_ricir 0.252142, valid_mae 0.057968, valid_rmse 0.080843, valid_mape 1194.242676, valid_acc 0.542988, test_loss 0.010001, ic 0.003078, icir 0.054367, ric 0.007698, ricir 0.111069, prec@10 0.502058, prec@30 0.510425, test_mae 0.066319, test_rmse 0.104553, test_mape 942.173767, test_acc 0.659554
Epoch 24, train_loss 0.003275, train_ic 0.004985, train_icir 0.058899, train_ric 0.020231, train_ricir 0.205795, train_mae 0.035160, train_rmse 0.045646, train_mape 68.232254, train_acc 0.843278, valid_loss 0.0065432705, valid_ic -0.004399, valid_icir -0.086374, valid_ric 0.006774, valid_ricir 0.109733, valid_mae 0.063300, valid_rmse 0.077616, valid_mape 1363.343384, valid_acc 0.591080, test_loss 0.008586, ic -0.007145, icir -0.106455, ric 0.001135, ricir 0.013651, prec@10 0.480247, prec@30 0.502881, test_mae 0.062713, test_rmse 0.096213, test_mape 948.993896, test_acc 0.736326
Epoch 25, train_loss 0.003679, train_ic 0.001862, train_icir 0.023406, train_ric 0.016902, train_ricir 0.195357, train_mae 0.045439, train_rmse 0.055926, train_mape 386.115997, train_acc 0.323144, valid_loss 0.0043246222, valid_ic 0.002974, valid_icir 0.066634, valid_ric 0.009749, valid_ricir 0.190722, valid_mae 0.038636, valid_rmse 0.070264, valid_mape 716.341492, valid_acc 0.515583, test_loss 0.008269, ic 0.001674, icir 0.029511, ric 0.004838, ricir 0.074189, prec@10 0.495473, prec@30 0.511523, test_mae 0.050612, test_rmse 0.098085, test_mape 656.585327, test_acc 0.550895
Epoch 26, train_loss 0.003579, train_ic -0.002358, train_icir -0.030374, train_ric 0.017534, train_ricir 0.193894, train_mae 0.046697, train_rmse 0.054249, train_mape 935.205811, train_acc 0.393016, valid_loss 0.0044680448, valid_ic -0.002992, valid_icir -0.068530, valid_ric 0.008366, valid_ricir 0.145229, valid_mae 0.047551, valid_rmse 0.065658, valid_mape 996.052002, valid_acc 0.574691, test_loss 0.007234, ic -0.003616, icir -0.066748, ric 0.002372, ricir 0.032930, prec@10 0.476955, prec@30 0.489986, test_mae 0.049194, test_rmse 0.087719, test_mape 717.795044, test_acc 0.697081
Epoch 27, train_loss 0.002921, train_ic 0.002025, train_icir 0.025957, train_ric 0.017065, train_ricir 0.190003, train_mae 0.041845, train_rmse 0.049684, train_mape 421.974030, train_acc 0.298830, valid_loss 0.0033594832, valid_ic 0.001537, valid_icir 0.037863, valid_ric 0.008779, valid_ricir 0.173746, valid_mae 0.032489, valid_rmse 0.058979, valid_mape 627.155273, valid_acc 0.539764, test_loss 0.006269, ic 0.000103, icir 0.001924, ric 0.004920, ricir 0.071187, prec@10 0.516049, prec@30 0.520850, test_mae 0.039836, test_rmse 0.085004, test_mape 510.264648, test_acc 0.598725
Epoch 28, train_loss 0.002756, train_ic 0.006820, train_icir 0.065699, train_ric 0.017544, train_ricir 0.149668, train_mae 0.051997, train_rmse 0.057078, train_mape 955.283630, train_acc 0.486806, valid_loss 0.0039487898, valid_ic -0.011083, valid_icir -0.157618, valid_ric -0.000726, valid_ricir -0.008489, valid_mae 0.046737, valid_rmse 0.062563, valid_mape 963.368347, valid_acc 0.565019, test_loss 0.006225, ic -0.016165, icir -0.195327, ric -0.004632, ricir -0.037657, prec@10 0.567490, prec@30 0.543759, test_mae 0.048513, test_rmse 0.083647, test_mape 694.414429, test_acc 0.596272
Epoch 29, train_loss 0.002666, train_ic 0.005269, train_icir 0.062212, train_ric 0.016163, train_ricir 0.159765, train_mae 0.080247, train_rmse 0.091117, train_mape 473.135315, train_acc 0.204529, valid_loss 0.0060528963, valid_ic -0.008379, valid_icir -0.155418, valid_ric 0.003320, valid_ricir 0.049522, valid_mae 0.060895, valid_rmse 0.074893, valid_mape 1285.184937, valid_acc 0.583289, test_loss 0.008003, ic -0.010714, icir -0.177305, ric 0.000485, ricir 0.005595, prec@10 0.516461, prec@30 0.511111, test_mae 0.059329, test_rmse 0.090264, test_mape 904.909729, test_acc 0.690704
Epoch 30, train_loss 0.002749, train_ic 0.001185, train_icir 0.015203, train_ric 0.018536, train_ricir 0.206508, train_mae 0.060604, train_rmse 0.068358, train_mape 1514.110962, train_acc 0.439466, valid_loss 0.0061618964, valid_ic 0.000853, valid_icir 0.020517, valid_ric 0.013364, valid_ricir 0.262494, valid_mae 0.060222, valid_rmse 0.074504, valid_mape 1288.874756, valid_acc 0.574422, test_loss 0.008014, ic -0.001329, icir -0.025735, ric 0.007072, ricir 0.111108, prec@10 0.495885, prec@30 0.515089, test_mae 0.060826, test_rmse 0.092720, test_mape 920.216492, test_acc 0.724062
