Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003577, train_ic -0.005041, train_icir -0.048798, train_ric 0.015471, train_ricir 0.135987, train_mae 0.066495, train_rmse 0.074404, train_mape 597.002197, train_acc 0.823881, valid_loss 0.0110771381, valid_ic 0.014406, valid_icir 0.122890, valid_ric 0.035175, valid_ricir 0.226963, valid_mae 0.077332, valid_rmse 0.093937, valid_mape 1551.088501, valid_acc 0.667553, test_loss 0.009317, ic 0.017666, icir 0.204419, ric 0.037994, ricir 0.301490, prec@10 0.486777, prec@30 0.509366, test_mae 0.070111, test_rmse 0.084038, test_mape 1350.607910, test_acc 0.743958
Epoch 13, train_loss 0.003567, train_ic -0.001242, train_icir -0.013883, train_ric 0.007638, train_ricir 0.092036, train_mae 0.103619, train_rmse 0.111246, train_mape 1683.885986, train_acc 0.401074, valid_loss 0.0136758969, valid_ic 0.014410, valid_icir 0.141980, valid_ric 0.024267, valid_ricir 0.219103, valid_mae 0.090381, valid_rmse 0.105941, valid_mape 1818.404053, valid_acc 0.660601, test_loss 0.011958, ic 0.020237, icir 0.273812, ric 0.034777, ricir 0.404684, prec@10 0.426860, prec@30 0.453168, test_mae 0.082042, test_rmse 0.096214, test_mape 1506.983032, test_acc 0.785813
Epoch 14, train_loss 0.003000, train_ic -0.002121, train_icir -0.019397, train_ric 0.021368, train_ricir 0.175653, train_mae 0.111253, train_rmse 0.120422, train_mape 2179.472656, train_acc 0.285813, valid_loss 0.0168964285, valid_ic 0.016075, valid_icir 0.128332, valid_ric 0.039593, valid_ricir 0.241313, valid_mae 0.106742, valid_rmse 0.120425, valid_mape 2088.530273, valid_acc 0.669802, test_loss 0.015034, ic 0.018516, icir 0.199427, ric 0.040819, ricir 0.305091, prec@10 0.485537, prec@30 0.507438, test_mae 0.095213, test_rmse 0.108247, test_mape 1715.140869, test_acc 0.754372
Epoch 15, train_loss 0.003201, train_ic 0.000073, train_icir 0.000874, train_ric 0.009414, train_ricir 0.117102, train_mae 0.051983, train_rmse 0.064295, train_mape 127.864220, train_acc 0.780453, valid_loss 0.0128831688, valid_ic 0.014617, valid_icir 0.152103, valid_ric 0.024587, valid_ricir 0.243969, valid_mae 0.086861, valid_rmse 0.102536, valid_mape 1764.567749, valid_acc 0.661623, test_loss 0.011344, ic 0.021653, icir 0.324603, ric 0.035928, ricir 0.465384, prec@10 0.501653, prec@30 0.500689, test_mae 0.076651, test_rmse 0.092154, test_mape 1429.853760, test_acc 0.788760
Epoch 16, train_loss 0.003338, train_ic 0.003618, train_icir 0.045009, train_ric 0.005314, train_ricir 0.073554, train_mae 0.073451, train_rmse 0.078709, train_mape 1317.372803, train_acc 0.831363, valid_loss 0.0103991251, valid_ic 0.013263, valid_icir 0.143850, valid_ric 0.016834, valid_ricir 0.194406, valid_mae 0.076280, valid_rmse 0.090891, valid_mape 1566.796021, valid_acc 0.664895, test_loss 0.009033, ic 0.021343, icir 0.327533, ric 0.030851, ricir 0.460866, prec@10 0.479752, prec@30 0.489532, test_mae 0.069321, test_rmse 0.081542, test_mape 1290.341431, test_acc 0.760660
Epoch 17, train_loss 0.002855, train_ic 0.001713, train_icir 0.018482, train_ric 0.017613, train_ricir 0.203935, train_mae 0.118880, train_rmse 0.128504, train_mape 477.870178, train_acc 0.150557, valid_loss 0.0102400867, valid_ic 0.014378, valid_icir 0.133027, valid_ric 0.030355, valid_ricir 0.274043, valid_mae 0.077616, valid_rmse 0.090520, valid_mape 1577.186157, valid_acc 0.668370, test_loss 0.008825, ic 0.019795, icir 0.252382, ric 0.039347, ricir 0.451879, prec@10 0.507851, prec@30 0.511983, test_mae 0.069525, test_rmse 0.080105, test_mape 1301.738403, test_acc 0.755748
Epoch 18, train_loss 0.002862, train_ic 0.000867, train_icir 0.012747, train_ric 0.004502, train_ricir 0.071277, train_mae 0.098712, train_rmse 0.107863, train_mape 25467.908203, train_acc 0.334283, valid_loss 0.0124676182, valid_ic 0.008356, valid_icir 0.111340, valid_ric 0.010634, valid_ricir 0.148169, valid_mae 0.091839, valid_rmse 0.101275, valid_mape 1902.239380, valid_acc 0.661828, test_loss 0.011249, ic 0.015443, icir 0.294356, ric 0.023385, ricir 0.402533, prec@10 0.484711, prec@30 0.481129, test_mae 0.083543, test_rmse 0.090764, test_mape 1520.070312, test_acc 0.801926
Epoch 19, train_loss 0.002588, train_ic -0.010760, train_icir -0.130868, train_ric 0.007621, train_ricir 0.097160, train_mae 0.111790, train_rmse 0.116533, train_mape 1935.953003, train_acc 0.594602, valid_loss 0.0176379278, valid_ic 0.010867, valid_icir 0.120569, valid_ric 0.022450, valid_ricir 0.245841, valid_mae 0.114927, valid_rmse 0.123500, valid_mape 2367.082520, valid_acc 0.663464, test_loss 0.016256, ic 0.017536, icir 0.276836, ric 0.035436, ricir 0.502042, prec@10 0.488430, prec@30 0.490358, test_mae 0.104624, test_rmse 0.111779, test_mape 1892.710083, test_acc 0.798585
Epoch 20, train_loss 0.002564, train_ic -0.004105, train_icir -0.055836, train_ric 0.002938, train_ricir 0.038877, train_mae 0.112139, train_rmse 0.118904, train_mape 503.865723, train_acc 0.135509, valid_loss 0.0088820251, valid_ic 0.010306, valid_icir 0.132048, valid_ric 0.010038, valid_ricir 0.128304, valid_mae 0.071406, valid_rmse 0.083262, valid_mape 1492.801880, valid_acc 0.659579, test_loss 0.007695, ic 0.019373, icir 0.352301, ric 0.025164, ricir 0.384505, prec@10 0.508264, prec@30 0.499862, test_mae 0.063811, test_rmse 0.073084, test_mape 1212.187500, test_acc 0.793280
Epoch 21, train_loss 0.002593, train_ic -0.005306, train_icir -0.071858, train_ric 0.003200, train_ricir 0.044275, train_mae 0.106868, train_rmse 0.111001, train_mape 2437.973877, train_acc 0.577213, valid_loss 0.0142441986, valid_ic 0.010036, valid_icir 0.125956, valid_ric 0.012223, valid_ricir 0.166663, valid_mae 0.100120, valid_rmse 0.109341, valid_mape 2069.791748, valid_acc 0.665099, test_loss 0.013127, ic 0.018721, icir 0.333725, ric 0.027979, ricir 0.454102, prec@10 0.489256, prec@30 0.489807, test_mae 0.092850, test_rmse 0.100138, test_mape 1664.959717, test_acc 0.800747
