Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 16, train_loss 0.002944, train_ic -0.008763, train_icir -0.110154, train_ric -0.004421, train_ricir -0.039901, valid_loss 0.0027306637 , valid_ic -0.000962, valid_icir -0.022253, valid_ric 0.004916, valid_ricir 0.060554, test_loss 0.005700, ic -0.004441, icir -0.087277, ric 0.000451, ricir 0.004608, prec@10 0.468724, prec@30 0.489986 
Epoch 17, train_loss 0.002707, train_ic -0.006484, train_icir -0.091841, train_ric -0.009073, train_ricir -0.103199, valid_loss 0.0035369438 , valid_ic -0.000012, valid_icir -0.000278, valid_ric -0.001764, valid_ricir -0.027787, test_loss 0.007068, ic -0.003385, icir -0.055030, ric -0.004318, ricir -0.062553, prec@10 0.502058, prec@30 0.500549 
Epoch 18, train_loss 0.002771, train_ic -0.002699, train_icir -0.039607, train_ric 0.002536, train_ricir 0.045994, valid_loss 0.0081672385 , valid_ic -0.013793, valid_icir -0.249703, valid_ric 0.003445, valid_ricir 0.079738, test_loss 0.013969, ic -0.022051, icir -0.290309, ric -0.005963, ricir -0.079106, prec@10 0.645679, prec@30 0.596845 
Epoch 19, train_loss 0.002760, train_ic -0.002452, train_icir -0.031356, train_ric 0.002305, train_ricir 0.028467, valid_loss 0.0031259643 , valid_ic -0.004780, valid_icir -0.095356, valid_ric 0.001837, valid_ricir 0.035620, test_loss 0.006245, ic -0.009959, icir -0.134360, ric -0.001671, ricir -0.025485, prec@10 0.473251, prec@30 0.487929 
Epoch 20, train_loss 0.002581, train_ic -0.006198, train_icir -0.088991, train_ric 0.007722, train_ricir 0.075721, valid_loss 0.0038835257 , valid_ic 0.001262, valid_icir 0.033938, valid_ric 0.016479, valid_ricir 0.235850, test_loss 0.006688, ic -0.003443, icir -0.064473, ric 0.004264, ricir 0.049979, prec@10 0.504527, prec@30 0.513717 
Epoch 21, train_loss 0.002413, train_ic -0.003442, train_icir -0.050434, train_ric -0.003004, train_ricir -0.036511, valid_loss 0.0065869269 , valid_ic 0.006768, valid_icir 0.135493, valid_ric 0.000909, valid_ricir 0.015425, test_loss 0.011925, ic 0.006832, icir 0.125242, ric -0.000886, ricir -0.013223, prec@10 0.486420, prec@30 0.498354 
Epoch 22, train_loss 0.002549, train_ic 0.001133, train_icir 0.013583, train_ric 0.014852, train_ricir 0.128113, valid_loss 0.0025721679 , valid_ic -0.004347, valid_icir -0.075364, valid_ric 0.007351, valid_ricir 0.084355, test_loss 0.005837, ic -0.009985, icir -0.123546, ric -0.001611, ricir -0.013272, prec@10 0.503292, prec@30 0.524554 
Epoch 23, train_loss 0.002943, train_ic -0.010188, train_icir -0.129039, train_ric -0.010780, train_ricir -0.094172, valid_loss 0.0043581631 , valid_ic 0.002451, valid_icir 0.045941, valid_ric 0.004601, valid_ricir 0.051813, test_loss 0.008880, ic 0.001290, icir 0.026031, ric 0.002780, ricir 0.025148, prec@10 0.519342, prec@30 0.519753 
Epoch 24, train_loss 0.002726, train_ic 0.000236, train_icir 0.003123, train_ric 0.001999, train_ricir 0.026196, valid_loss 0.0037667081 , valid_ic -0.002168, valid_icir -0.040442, valid_ric 0.003815, valid_ricir 0.072820, test_loss 0.008298, ic -0.008481, icir -0.104061, ric 0.000050, ricir 0.000790, prec@10 0.493827, prec@30 0.507682 
Epoch 25, train_loss 0.002383, train_ic -0.003560, train_icir -0.054098, train_ric -0.001262, train_ricir -0.016275, valid_loss 0.0038679859 , valid_ic 0.003175, valid_icir 0.074279, valid_ric -0.000412, valid_ricir -0.007811, test_loss 0.006332, ic 0.000910, icir 0.017770, ric -0.001020, ricir -0.016451, prec@10 0.489300, prec@30 0.502881 
Epoch 26, train_loss 0.002247, train_ic -0.003998, train_icir -0.055505, train_ric -0.003839, train_ricir -0.038629, valid_loss 0.0022130693 , valid_ic 0.001324, valid_icir 0.030567, valid_ric 0.000766, valid_ricir 0.010514, test_loss 0.004646, ic -0.002001, icir -0.039204, ric -0.000839, ricir -0.009676, prec@10 0.497942, prec@30 0.505075 
Epoch 27, train_loss 0.002368, train_ic 0.000218, train_icir 0.002943, train_ric 0.013895, train_ricir 0.164763, valid_loss 0.0026777533 , valid_ic 0.001464, valid_icir 0.030895, valid_ric 0.011580, valid_ricir 0.199015, test_loss 0.005381, ic -0.003677, icir -0.056477, ric 0.004069, ricir 0.055297, prec@10 0.505350, prec@30 0.506996 
Epoch 28, train_loss 0.002210, train_ic -0.001579, train_icir -0.022422, train_ric 0.001985, train_ricir 0.025422, valid_loss 0.0028267953 , valid_ic 0.004899, valid_icir 0.107492, valid_ric 0.002284, valid_ricir 0.044278, test_loss 0.005797, ic 0.002905, icir 0.053986, ric 0.000359, ricir 0.005839, prec@10 0.472016, prec@30 0.494239 
Epoch 29, train_loss 0.002173, train_ic -0.003493, train_icir -0.048880, train_ric -0.002211, train_ricir -0.020052, valid_loss 0.0033923849 , valid_ic 0.006392, valid_icir 0.151749, valid_ric 0.008595, valid_ricir 0.103155, test_loss 0.006057, ic 0.004761, icir 0.104854, ric 0.004071, ricir 0.038934, prec@10 0.534979, prec@30 0.520027 
Epoch 30, train_loss 0.002394, train_ic 0.003834, train_icir 0.038480, train_ric 0.017613, train_ricir 0.153492, valid_loss 0.0030216779 , valid_ic -0.007440, valid_icir -0.107231, valid_ric 0.007196, valid_ricir 0.079477, test_loss 0.005424, ic -0.015573, icir -0.172409, ric -0.001718, ricir -0.012753, prec@10 0.521399, prec@30 0.527160 
Epoch 31, train_loss 0.002028, train_ic -0.000841, train_icir -0.012202, train_ric -0.001080, train_ricir -0.011859, valid_loss 0.0031721383 , valid_ic 0.002536, valid_icir 0.058082, valid_ric 0.001365, valid_ricir 0.020885, test_loss 0.005549, ic -0.000557, icir -0.009914, ric 0.000116, ricir 0.001492, prec@10 0.500823, prec@30 0.493141 
Epoch 32, train_loss 0.002228, train_ic 0.002908, train_icir 0.032676, train_ric 0.011132, train_ricir 0.100882, valid_loss 0.0025112947 , valid_ic -0.008986, valid_icir -0.136296, valid_ric -0.000564, valid_ricir -0.006151, test_loss 0.005237, ic -0.016740, icir -0.191229, ric -0.007482, ricir -0.054004, prec@10 0.641564, prec@30 0.589575 
Epoch 33, train_loss 0.001999, train_ic 0.004151, train_icir 0.049001, train_ric 0.013200, train_ricir 0.143469, valid_loss 0.0020352011 , valid_ic -0.000668, valid_icir -0.011929, valid_ric 0.004468, valid_ricir 0.062397, test_loss 0.004810, ic -0.006622, icir -0.086601, ric 0.000226, ricir 0.002175, prec@10 0.481070, prec@30 0.494513 
Epoch 34, train_loss 0.002174, train_ic -0.000734, train_icir -0.012035, train_ric -0.001303, train_ricir -0.015054, valid_loss 0.0020804782 , valid_ic 0.000327, valid_icir 0.008802, valid_ric 0.002973, valid_ricir 0.046554, test_loss 0.004269, ic -0.003315, icir -0.061852, ric 0.001317, ricir 0.018197, prec@10 0.479012, prec@30 0.483539 
