Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 71, train_loss 0.001406, train_ic 0.002181, train_icir 0.033184, train_ric -0.015340, train_ricir -0.170238, valid_loss 0.0014060866 , valid_ic 0.002007, valid_icir 0.050498, valid_ric -0.015008, valid_ricir -0.226277, test_loss 0.003137, ic -0.000447, icir -0.008585, ric -0.009098, ricir -0.123232, prec@10 0.513580, prec@30 0.498491 
Early stopping -----
Epoch 72, train_loss 0.001431, train_ic 0.001458, train_icir 0.021630, train_ric -0.017777, train_ricir -0.177608, valid_loss 0.0015372863 , valid_ic 0.004093, valid_icir 0.096386, valid_ric -0.013336, valid_ricir -0.177067, test_loss 0.003288, ic 0.002079, icir 0.040711, ric -0.008538, ricir -0.103609, prec@10 0.510700, prec@30 0.495199 
Epoch 73, train_loss 0.001456, train_ic 0.007304, train_icir 0.086354, train_ric -0.002698, train_ricir -0.020368, valid_loss 0.0013628749 , valid_ic -0.005143, valid_icir -0.097960, valid_ric -0.020195, valid_ricir -0.197498, test_loss 0.003001, ic -0.009571, icir -0.138939, ric -0.015152, ricir -0.103874, prec@10 0.530041, prec@30 0.492455 
Epoch 74, train_loss 0.001429, train_ic 0.001385, train_icir 0.028302, train_ric -0.016410, train_ricir -0.171284, valid_loss 0.0019361205 , valid_ic -0.003943, valid_icir -0.158485, valid_ric -0.016933, valid_ricir -0.301672, test_loss 0.003463, ic -0.007121, icir -0.188059, ric -0.015068, ricir -0.231996, prec@10 0.660905, prec@30 0.596022 
Epoch 75, train_loss 0.001432, train_ic 0.004210, train_icir 0.070797, train_ric -0.018350, train_ricir -0.198133, valid_loss 0.0012415896 , valid_ic -0.002958, valid_icir -0.081694, valid_ric -0.020700, valid_ricir -0.338517, test_loss 0.002791, ic -0.006249, icir -0.116434, ric -0.012264, ricir -0.165047, prec@10 0.519342, prec@30 0.498217 
Epoch 76, train_loss 0.001392, train_ic -0.001473, train_icir -0.016476, train_ric -0.019868, train_ricir -0.147218, valid_loss 0.0014172118 , valid_ic 0.003076, valid_icir 0.080135, valid_ric -0.005797, valid_ricir -0.055293, test_loss 0.002937, ic 0.002450, icir 0.066508, ric -0.001661, ricir -0.012301, prec@10 0.521811, prec@30 0.510151 
Epoch 77, train_loss 0.001513, train_ic -0.004359, train_icir -0.051860, train_ric -0.022421, train_ricir -0.185590, valid_loss 0.0018197182 , valid_ic 0.000448, valid_icir 0.013566, valid_ric -0.010386, valid_ricir -0.119359, test_loss 0.003522, ic 0.000102, icir 0.003475, ric -0.005388, ricir -0.045666, prec@10 0.541564, prec@30 0.526749 
Epoch 78, train_loss 0.001419, train_ic -0.000246, train_icir -0.003079, train_ric -0.019658, train_ricir -0.169561, valid_loss 0.0015521892 , valid_ic 0.006280, valid_icir 0.128544, valid_ric -0.011039, valid_ricir -0.122183, test_loss 0.003172, ic 0.006525, icir 0.141680, ric -0.006085, ricir -0.058021, prec@10 0.506996, prec@30 0.487517 
Epoch 79, train_loss 0.001454, train_ic -0.001334, train_icir -0.014310, train_ric -0.018214, train_ricir -0.141653, valid_loss 0.0016471216 , valid_ic 0.005710, valid_icir 0.109084, valid_ric -0.006951, valid_ricir -0.070209, test_loss 0.003219, ic 0.006038, icir 0.126603, ric -0.003221, ricir -0.026575, prec@10 0.509877, prec@30 0.511248 
Epoch 80, train_loss 0.001443, train_ic 0.003439, train_icir 0.052581, train_ric -0.013233, train_ricir -0.155362, valid_loss 0.0012381500 , valid_ic -0.000424, valid_icir -0.011811, valid_ric -0.015580, valid_ricir -0.265963, test_loss 0.002786, ic -0.003057, icir -0.061457, ric -0.009364, ricir -0.136044, prec@10 0.511111, prec@30 0.493416 
Epoch 81, train_loss 0.001341, train_ic 0.003102, train_icir 0.047287, train_ric -0.017046, train_ricir -0.188543, valid_loss 0.0013907648 , valid_ic 0.000896, valid_icir 0.022015, valid_ric -0.018191, valid_ricir -0.286400, test_loss 0.003043, ic -0.001642, icir -0.029855, ric -0.010925, ricir -0.151756, prec@10 0.518930, prec@30 0.498765 
Epoch 82, train_loss 0.001382, train_ic 0.000341, train_icir 0.005002, train_ric -0.010667, train_ricir -0.115374, valid_loss 0.0012493710 , valid_ic 0.002363, valid_icir 0.064720, valid_ric -0.008073, valid_ricir -0.110799, test_loss 0.002754, ic 0.000262, icir 0.006030, ric -0.004692, ricir -0.056391, prec@10 0.499588, prec@30 0.479973 
Epoch 83, train_loss 0.001399, train_ic -0.003016, train_icir -0.038936, train_ric -0.019239, train_ricir -0.147023, valid_loss 0.0014261016 , valid_ic 0.000486, valid_icir 0.018772, valid_ric -0.006967, valid_ricir -0.069888, test_loss 0.002887, ic -0.001529, icir -0.046870, ric -0.002324, ricir -0.019017, prec@10 0.531276, prec@30 0.525789 
Epoch 84, train_loss 0.001411, train_ic 0.001675, train_icir 0.033780, train_ric -0.028489, train_ricir -0.264482, valid_loss 0.0014283045 , valid_ic -0.003780, valid_icir -0.125277, valid_ric -0.025507, valid_ricir -0.347797, test_loss 0.002890, ic -0.006995, icir -0.149493, ric -0.020011, ricir -0.275720, prec@10 0.555967, prec@30 0.544856 
Epoch 85, train_loss 0.001410, train_ic 0.005976, train_icir 0.055987, train_ric 0.016704, train_ricir 0.117397, valid_loss 0.0025834915 , valid_ic -0.011125, valid_icir -0.154852, valid_ric -0.000635, valid_ricir -0.005685, test_loss 0.004481, ic -0.019536, icir -0.237134, ric -0.007220, ricir -0.045371, prec@10 0.649794, prec@30 0.596296 
Epoch 86, train_loss 0.001386, train_ic 0.004646, train_icir 0.063238, train_ric -0.005157, train_ricir -0.065000, valid_loss 0.0013407851 , valid_ic -0.003030, valid_icir -0.065581, valid_ric -0.010472, valid_ricir -0.214528, test_loss 0.002832, ic -0.007721, icir -0.121948, ric -0.006311, ricir -0.087854, prec@10 0.491358, prec@30 0.485734 
Epoch 87, train_loss 0.001348, train_ic 0.002956, train_icir 0.046013, train_ric -0.012025, train_ricir -0.140395, valid_loss 0.0012172698 , valid_ic -0.001910, valid_icir -0.051032, valid_ric -0.015925, valid_ricir -0.289346, test_loss 0.002751, ic -0.005272, icir -0.096758, ric -0.009381, ricir -0.135588, prec@10 0.511523, prec@30 0.485322 
Epoch 88, train_loss 0.001387, train_ic 0.006562, train_icir 0.085274, train_ric -0.004075, train_ricir -0.040352, valid_loss 0.0014112458 , valid_ic -0.003273, valid_icir -0.070715, valid_ric -0.014892, valid_ricir -0.232620, test_loss 0.002982, ic -0.007313, icir -0.121449, ric -0.010395, ricir -0.107586, prec@10 0.506584, prec@30 0.489163 
Epoch 89, train_loss 0.001397, train_ic 0.004521, train_icir 0.054965, train_ric 0.005790, train_ricir 0.044940, valid_loss 0.0024682430 , valid_ic -0.010253, valid_icir -0.178088, valid_ric -0.005536, valid_ricir -0.055223, test_loss 0.004194, ic -0.016604, icir -0.273411, ric -0.009260, ricir -0.066895, prec@10 0.648560, prec@30 0.594925 
Epoch 90, train_loss 0.001403, train_ic -0.000595, train_icir -0.007878, train_ric -0.021581, train_ricir -0.177999, valid_loss 0.0012723041 , valid_ic 0.003073, valid_icir 0.084292, valid_ric -0.011628, valid_ricir -0.123813, test_loss 0.002707, ic 0.001975, icir 0.053322, ric -0.005016, ricir -0.044850, prec@10 0.500000, prec@30 0.517558 
Epoch 91, train_loss 0.001428, train_ic 0.004944, train_icir 0.070953, train_ric -0.012014, train_ricir -0.132327, valid_loss 0.0014828654 , valid_ic -0.002681, valid_icir -0.065342, valid_ric -0.018113, valid_ricir -0.329035, test_loss 0.003073, ic -0.006176, icir -0.107308, ric -0.010952, ricir -0.145388, prec@10 0.518930, prec@30 0.489300 
Epoch 92, train_loss 0.001368, train_ic -0.000721, train_icir -0.008260, train_ric -0.019684, train_ricir -0.157574, valid_loss 0.0014004071 , valid_ic 0.005138, valid_icir 0.102607, valid_ric -0.009940, valid_ricir -0.103661, test_loss 0.002894, ic 0.005335, icir 0.115872, ric -0.005683, ricir -0.049905, prec@10 0.517695, prec@30 0.491221 
Epoch 93, train_loss 0.001388, train_ic -0.001614, train_icir -0.022343, train_ric -0.024227, train_ricir -0.202497, valid_loss 0.0016612865 , valid_ic -0.002019, valid_icir -0.086175, valid_ric -0.014129, valid_ricir -0.167100, test_loss 0.003100, ic -0.003780, icir -0.120254, ric -0.010905, ricir -0.108833, prec@10 0.534979, prec@30 0.530727 
Epoch 94, train_loss 0.001310, train_ic 0.006052, train_icir 0.075745, train_ric -0.003080, train_ricir -0.033882, valid_loss 0.0028526462 , valid_ic -0.002676, valid_icir -0.048743, valid_ric -0.012833, valid_ricir -0.226928, test_loss 0.005203, ic -0.006180, icir -0.080627, ric -0.008950, ricir -0.105509, prec@10 0.519753, prec@30 0.488477 
Epoch 95, train_loss 0.001317, train_ic 0.006568, train_icir 0.060749, train_ric 0.016857, train_ricir 0.118580, valid_loss 0.0023506201 , valid_ic -0.011096, valid_icir -0.154040, valid_ric -0.000593, valid_ricir -0.005314, test_loss 0.004090, ic -0.019404, icir -0.234146, ric -0.007336, ricir -0.046222, prec@10 0.649794, prec@30 0.595199 
Epoch 96, train_loss 0.001350, train_ic 0.003747, train_icir 0.043473, train_ric 0.016770, train_ricir 0.130006, valid_loss 0.0029417075 , valid_ic -0.009527, valid_icir -0.163987, valid_ric 0.003595, valid_ricir 0.034836, test_loss 0.004576, ic -0.016336, icir -0.265898, ric -0.003605, ricir -0.026057, prec@10 0.649794, prec@30 0.595610 
Epoch 97, train_loss 0.001391, train_ic 0.007270, train_icir 0.087575, train_ric -0.000896, train_ricir -0.006289, valid_loss 0.0012731437 , valid_ic -0.007508, valid_icir -0.163607, valid_ric -0.017244, valid_ricir -0.156663, test_loss 0.002702, ic -0.011648, icir -0.201455, ric -0.017473, ricir -0.109271, prec@10 0.644444, prec@30 0.595336 
Epoch 98, train_loss 0.001405, train_ic -0.002976, train_icir -0.030637, train_ric -0.021254, train_ricir -0.153769, valid_loss 0.0018239775 , valid_ic 0.002053, valid_icir 0.052206, valid_ric -0.006710, valid_ricir -0.062971, test_loss 0.003279, ic 0.001503, icir 0.042872, ric -0.001263, ricir -0.009014, prec@10 0.506173, prec@30 0.511797 
Epoch 99, train_loss 0.001362, train_ic -0.004089, train_icir -0.044490, train_ric -0.017542, train_ricir -0.127965, valid_loss 0.0012635955 , valid_ic 0.004109, valid_icir 0.106286, valid_ric -0.002238, valid_ricir -0.020826, test_loss 0.002703, ic 0.003067, icir 0.090421, ric 0.003569, ricir 0.024408, prec@10 0.520576, prec@30 0.527435 
Epoch 100, train_loss 0.001331, train_ic 0.004719, train_icir 0.079344, train_ric -0.027334, train_ricir -0.215166, valid_loss 0.0013789127 , valid_ic -0.004253, valid_icir -0.161389, valid_ric -0.034923, valid_ricir -0.419914, test_loss 0.002750, ic -0.006686, icir -0.180571, ric -0.024496, ricir -0.207277, prec@10 0.634568, prec@30 0.592044 
Epoch 101, train_loss 0.001355, train_ic 0.003327, train_icir 0.055899, train_ric -0.014319, train_ricir -0.159353, valid_loss 0.0011851963 , valid_ic -0.001623, valid_icir -0.054683, valid_ric -0.017758, valid_ricir -0.314507, test_loss 0.002575, ic -0.004741, icir -0.110654, ric -0.009873, ricir -0.145358, prec@10 0.509877, prec@30 0.489026 
Epoch 102, train_loss 0.001349, train_ic 0.000328, train_icir 0.004142, train_ric -0.025388, train_ricir -0.204240, valid_loss 0.0013198463 , valid_ic 0.004206, valid_icir 0.097331, valid_ric -0.015067, valid_ricir -0.159268, test_loss 0.002747, ic 0.003893, icir 0.095358, ric -0.007937, ricir -0.072799, prec@10 0.529630, prec@30 0.501646 
Epoch 103, train_loss 0.001338, train_ic 0.007594, train_icir 0.084413, train_ric 0.003566, train_ricir 0.031588, valid_loss 0.0015024849 , valid_ic -0.005212, valid_icir -0.085950, valid_ric -0.010301, valid_ricir -0.129970, test_loss 0.003289, ic -0.010248, icir -0.128780, ric -0.008372, ricir -0.070790, prec@10 0.507819, prec@30 0.484636 
Epoch 104, train_loss 0.001340, train_ic 0.002056, train_icir 0.037891, train_ric -0.015596, train_ricir -0.155164, valid_loss 0.0015547904 , valid_ic -0.005684, valid_icir -0.202394, valid_ric -0.013677, valid_ricir -0.231501, test_loss 0.002992, ic -0.008627, icir -0.259816, ric -0.010294, ricir -0.150731, prec@10 0.650617, prec@30 0.591495 
Epoch 105, train_loss 0.001333, train_ic 0.002039, train_icir 0.031330, train_ric -0.016012, train_ricir -0.168148, valid_loss 0.0011897054 , valid_ic 0.001763, valid_icir 0.050538, valid_ric -0.015065, valid_ricir -0.215319, test_loss 0.002608, ic -0.000442, icir -0.010203, ric -0.008757, ricir -0.112812, prec@10 0.516872, prec@30 0.494650 
Epoch 106, train_loss 0.001346, train_ic 0.003383, train_icir 0.067793, train_ric -0.013106, train_ricir -0.137775, valid_loss 0.0014790938 , valid_ic -0.002696, valid_icir -0.088402, valid_ric -0.018992, valid_ricir -0.338219, test_loss 0.002847, ic -0.005954, icir -0.130584, ric -0.010162, ricir -0.152707, prec@10 0.522634, prec@30 0.509328 
Epoch 107, train_loss 0.001499, train_ic 0.003834, train_icir 0.067011, train_ric -0.007710, train_ricir -0.084444, valid_loss 0.0014007915 , valid_ic -0.004078, valid_icir -0.111809, valid_ric -0.018011, valid_ricir -0.306093, test_loss 0.002770, ic -0.008616, icir -0.164483, ric -0.014717, ricir -0.145822, prec@10 0.636214, prec@30 0.591358 
Epoch 108, train_loss 0.001309, train_ic 0.002955, train_icir 0.051361, train_ric -0.021744, train_ricir -0.211258, valid_loss 0.0011282932 , valid_ic -0.001007, valid_icir -0.032749, valid_ric -0.023714, valid_ricir -0.361010, test_loss 0.002524, ic -0.003489, icir -0.079253, ric -0.013752, ricir -0.185882, prec@10 0.523045, prec@30 0.494513 
Epoch 109, train_loss 0.001342, train_ic 0.002606, train_icir 0.041847, train_ric -0.017593, train_ricir -0.179904, valid_loss 0.0011507215 , valid_ic 0.000104, valid_icir 0.003270, valid_ric -0.019145, valid_ricir -0.295534, test_loss 0.002535, ic -0.002196, icir -0.050370, ric -0.011322, ricir -0.154298, prec@10 0.504938, prec@30 0.483813 
Epoch 110, train_loss 0.001358, train_ic -0.000741, train_icir -0.008520, train_ric -0.025877, train_ricir -0.189183, valid_loss 0.0011911235 , valid_ic 0.002279, valid_icir 0.062783, valid_ric -0.013135, valid_ricir -0.125556, test_loss 0.002556, ic 0.001926, icir 0.056051, ric -0.005080, ricir -0.039509, prec@10 0.500412, prec@30 0.506310 
Epoch 111, train_loss 0.001314, train_ic 0.006043, train_icir 0.092763, train_ric -0.020677, train_ricir -0.143688, valid_loss 0.0012724270 , valid_ic -0.005417, valid_icir -0.152620, valid_ric -0.035682, valid_ricir -0.344208, test_loss 0.002642, ic -0.008406, icir -0.168527, ric -0.026580, ricir -0.174976, prec@10 0.648560, prec@30 0.593690 
Epoch 112, train_loss 0.001389, train_ic 0.004685, train_icir 0.062169, train_ric -0.000181, train_ricir -0.002105, valid_loss 0.0014478909 , valid_ic -0.002363, valid_icir -0.051517, valid_ric -0.008308, valid_ricir -0.161432, test_loss 0.003076, ic -0.006449, icir -0.100869, ric -0.005154, ricir -0.065558, prec@10 0.492593, prec@30 0.485871 
Epoch 113, train_loss 0.001368, train_ic 0.006989, train_icir 0.089962, train_ric -0.004432, train_ricir -0.033981, valid_loss 0.0013025865 , valid_ic -0.008518, valid_icir -0.192985, valid_ric -0.014372, valid_ricir -0.153577, test_loss 0.002714, ic -0.012107, icir -0.251571, ric -0.013825, ricir -0.101284, prec@10 0.646914, prec@30 0.594650 
Epoch 114, train_loss 0.001353, train_ic -0.005331, train_icir -0.048672, train_ric -0.019176, train_ricir -0.137415, valid_loss 0.0014288557 , valid_ic 0.004105, valid_icir 0.067635, valid_ric -0.004012, valid_ricir -0.037047, test_loss 0.002811, ic 0.005552, icir 0.107276, ric 0.002112, ricir 0.014442, prec@10 0.498354, prec@30 0.510700 
Epoch 115, train_loss 0.001343, train_ic 0.006395, train_icir 0.075472, train_ric 0.012849, train_ricir 0.092776, valid_loss 0.0011223584 , valid_ic -0.005254, valid_icir -0.134981, valid_ric -0.003731, valid_ricir -0.034263, test_loss 0.002474, ic -0.009214, icir -0.195331, ric -0.008078, ricir -0.053654, prec@10 0.644444, prec@30 0.595199 
Epoch 116, train_loss 0.001337, train_ic -0.002008, train_icir -0.022319, train_ric -0.019804, train_ricir -0.143288, valid_loss 0.0012522046 , valid_ic 0.001942, valid_icir 0.060384, valid_ric -0.006145, valid_ricir -0.057660, test_loss 0.002608, ic 0.000899, icir 0.029311, ric 0.000745, ricir 0.005256, prec@10 0.520165, prec@30 0.523868 
Epoch 117, train_loss 0.001287, train_ic -0.000463, train_icir -0.005462, train_ric -0.017733, train_ricir -0.133303, valid_loss 0.0012039330 , valid_ic 0.004600, valid_icir 0.110754, valid_ric -0.005935, valid_ricir -0.057901, test_loss 0.002566, ic 0.004283, icir 0.113415, ric 0.000605, ricir 0.004595, prec@10 0.507407, prec@30 0.513580 
Epoch 118, train_loss 0.001475, train_ic -0.001990, train_icir -0.021215, train_ric -0.027031, train_ricir -0.195347, valid_loss 0.0012785966 , valid_ic 0.001126, valid_icir 0.030863, valid_ric -0.013621, valid_ricir -0.128704, test_loss 0.002653, ic 0.001379, icir 0.042287, ric -0.004475, ricir -0.033589, prec@10 0.515638, prec@30 0.506310 
Epoch 119, train_loss 0.001332, train_ic -0.002360, train_icir -0.025614, train_ric -0.025902, train_ricir -0.183943, valid_loss 0.0017934901 , valid_ic 0.000340, valid_icir 0.010810, valid_ric -0.011135, valid_ricir -0.102745, test_loss 0.003241, ic 0.000604, icir 0.020611, ric -0.002192, ricir -0.015312, prec@10 0.518519, prec@30 0.526200 
Epoch 120, train_loss 0.001288, train_ic -0.002062, train_icir -0.021196, train_ric -0.020871, train_ricir -0.153529, valid_loss 0.0012232826 , valid_ic 0.003853, valid_icir 0.081792, valid_ric -0.008264, valid_ricir -0.079058, test_loss 0.002579, ic 0.004206, icir 0.103274, ric -0.002624, ricir -0.019930, prec@10 0.530041, prec@30 0.515226 
Epoch 121, train_loss 0.001343, train_ic 0.003058, train_icir 0.047280, train_ric -0.017009, train_ricir -0.169439, valid_loss 0.0011500844 , valid_ic 0.000469, valid_icir 0.014162, valid_ric -0.015325, valid_ricir -0.215240, test_loss 0.002534, ic -0.001930, icir -0.043271, ric -0.008739, ricir -0.111058, prec@10 0.527572, prec@30 0.496982 
Epoch 122, train_loss 0.001314, train_ic 0.006425, train_icir 0.080038, train_ric 0.002883, train_ricir 0.027344, valid_loss 0.0014970524 , valid_ic -0.005540, valid_icir -0.095805, valid_ric -0.010336, valid_ricir -0.143459, test_loss 0.003440, ic -0.010265, icir -0.128363, ric -0.008093, ricir -0.074666, prec@10 0.525926, prec@30 0.483539 
Epoch 123, train_loss 0.001318, train_ic 0.006413, train_icir 0.078810, train_ric 0.003576, train_ricir 0.027476, valid_loss 0.0017168232 , valid_ic -0.008660, valid_icir -0.183971, valid_ric -0.009822, valid_ricir -0.096617, test_loss 0.003104, ic -0.012607, icir -0.242268, ric -0.011202, ricir -0.078223, prec@10 0.646914, prec@30 0.594787 
Epoch 124, train_loss 0.001272, train_ic -0.004081, train_icir -0.042113, train_ric -0.026647, train_ricir -0.187902, valid_loss 0.0011965850 , valid_ic 0.001012, valid_icir 0.024797, valid_ric -0.012236, valid_ricir -0.112604, test_loss 0.002599, ic 0.002623, icir 0.075030, ric -0.002596, ricir -0.018101, prec@10 0.523868, prec@30 0.515912 
Epoch 125, train_loss 0.001294, train_ic 0.002908, train_icir 0.042294, train_ric -0.020803, train_ricir -0.201548, valid_loss 0.0014621032 , valid_ic 0.003332, valid_icir 0.081929, valid_ric -0.018409, valid_ricir -0.239010, test_loss 0.002891, ic 0.002372, icir 0.054495, ric -0.010592, ricir -0.124080, prec@10 0.527572, prec@30 0.498628 
Epoch 126, train_loss 0.001341, train_ic 0.005805, train_icir 0.073273, train_ric -0.002552, train_ricir -0.028395, valid_loss 0.0020927659 , valid_ic -0.002294, valid_icir -0.044954, valid_ric -0.012503, valid_ricir -0.224062, test_loss 0.003898, ic -0.005759, icir -0.082789, ric -0.008056, ricir -0.096366, prec@10 0.515226, prec@30 0.485322 
Epoch 127, train_loss 0.001358, train_ic 0.002302, train_icir 0.033195, train_ric -0.014897, train_ricir -0.159966, valid_loss 0.0016547922 , valid_ic 0.005388, valid_icir 0.117750, valid_ric -0.014821, valid_ricir -0.212611, test_loss 0.003186, ic 0.004841, icir 0.103262, ric -0.007974, ricir -0.101429, prec@10 0.526749, prec@30 0.498903 
Epoch 128, train_loss 0.001297, train_ic 0.004567, train_icir 0.073735, train_ric -0.013572, train_ricir -0.149605, valid_loss 0.0013625734 , valid_ic 0.000718, valid_icir 0.021859, valid_ric -0.019778, valid_ricir -0.351570, test_loss 0.002737, ic -0.001608, icir -0.036943, ric -0.010981, ricir -0.154469, prec@10 0.532099, prec@30 0.495748 
Epoch 129, train_loss 0.001318, train_ic -0.001623, train_icir -0.015452, train_ric -0.022202, train_ricir -0.158645, valid_loss 0.0017222688 , valid_ic 0.007605, valid_icir 0.121652, valid_ric -0.008500, valid_ricir -0.078970, test_loss 0.003142, ic 0.010574, icir 0.186311, ric -0.001280, ricir -0.009036, prec@10 0.508230, prec@30 0.511934 
Epoch 130, train_loss 0.001284, train_ic 0.004135, train_icir 0.066923, train_ric -0.024785, train_ricir -0.228683, valid_loss 0.0011359295 , valid_ic 0.000792, valid_icir 0.025954, valid_ric -0.024905, valid_ricir -0.339826, test_loss 0.002457, ic -0.001080, icir -0.027368, ric -0.012926, ricir -0.158909, prec@10 0.534568, prec@30 0.508916 
Epoch 131, train_loss 0.001255, train_ic 0.004958, train_icir 0.070232, train_ric -0.001029, train_ricir -0.011856, valid_loss 0.0011764803 , valid_ic -0.001039, valid_icir -0.025845, valid_ric -0.009952, valid_ricir -0.195833, test_loss 0.002606, ic -0.004730, icir -0.084304, ric -0.006013, ricir -0.080131, prec@10 0.520988, prec@30 0.493278 
Epoch 132, train_loss 0.001322, train_ic 0.009033, train_icir 0.102119, train_ric 0.011518, train_ricir 0.080991, valid_loss 0.0011390300 , valid_ic -0.006246, valid_icir -0.137793, valid_ric -0.007891, valid_ricir -0.070941, test_loss 0.002460, ic -0.010077, icir -0.179164, ric -0.011403, ricir -0.071495, prec@10 0.645267, prec@30 0.594787 
Epoch 133, train_loss 0.001283, train_ic 0.008483, train_icir 0.105061, train_ric 0.006363, train_ricir 0.048250, valid_loss 0.0014269581 , valid_ic -0.006410, valid_icir -0.157018, valid_ric -0.009675, valid_ricir -0.094112, test_loss 0.002740, ic -0.010078, icir -0.220289, ric -0.010815, ricir -0.074449, prec@10 0.648971, prec@30 0.596022 
Epoch 134, train_loss 0.001289, train_ic 0.005757, train_icir 0.100532, train_ric -0.013415, train_ricir -0.141331, valid_loss 0.0011834936 , valid_ic -0.000733, valid_icir -0.025158, valid_ric -0.022404, valid_ricir -0.395889, test_loss 0.002498, ic -0.003231, icir -0.077515, ric -0.011962, ricir -0.156763, prec@10 0.547737, prec@30 0.507133 
Epoch 135, train_loss 0.001323, train_ic 0.007432, train_icir 0.065467, train_ric 0.017800, train_ricir 0.125406, valid_loss 0.0017326616 , valid_ic -0.010826, valid_icir -0.141956, valid_ric -0.000034, valid_ricir -0.000304, test_loss 0.003330, ic -0.019107, icir -0.214108, ric -0.006746, ricir -0.042618, prec@10 0.647325, prec@30 0.594787 
Epoch 136, train_loss 0.001273, train_ic 0.005165, train_icir 0.070488, train_ric -0.001384, train_ricir -0.012138, valid_loss 0.0019053174 , valid_ic -0.009531, valid_icir -0.195600, valid_ric -0.010486, valid_ricir -0.126379, test_loss 0.003401, ic -0.013793, icir -0.280651, ric -0.008829, ricir -0.078814, prec@10 0.649794, prec@30 0.595748 
Epoch 137, train_loss 0.001295, train_ic 0.006905, train_icir 0.094061, train_ric -0.012275, train_ricir -0.095349, valid_loss 0.0011118568 , valid_ic -0.004845, valid_icir -0.169320, valid_ric -0.020410, valid_ricir -0.239383, test_loss 0.002402, ic -0.006796, icir -0.201084, ric -0.013641, ricir -0.123178, prec@10 0.628807, prec@30 0.581619 
Epoch 138, train_loss 0.001288, train_ic 0.005277, train_icir 0.085304, train_ric -0.027115, train_ricir -0.230227, valid_loss 0.0010691961 , valid_ic -0.000714, valid_icir -0.026709, valid_ric -0.027875, valid_ricir -0.360901, test_loss 0.002345, ic -0.002788, icir -0.072133, ric -0.013933, ricir -0.167542, prec@10 0.541152, prec@30 0.519753 
Epoch 139, train_loss 0.001295, train_ic 0.000147, train_icir 0.002254, train_ric -0.031026, train_ricir -0.270255, valid_loss 0.0011692207 , valid_ic -0.001820, valid_icir -0.087936, valid_ric -0.027018, valid_ricir -0.368837, test_loss 0.002505, ic -0.002515, icir -0.110729, ric -0.014923, ricir -0.178352, prec@10 0.531687, prec@30 0.527160 
Epoch 140, train_loss 0.001325, train_ic 0.004872, train_icir 0.078154, train_ric 0.000006, train_ricir 0.000060, valid_loss 0.0013449585 , valid_ic -0.006171, valid_icir -0.183492, valid_ric -0.007891, valid_ricir -0.107077, test_loss 0.002708, ic -0.009022, icir -0.271465, ric -0.006329, ricir -0.070821, prec@10 0.644033, prec@30 0.590672 
Epoch 141, train_loss 0.001282, train_ic 0.008473, train_icir 0.113269, train_ric 0.001654, train_ricir 0.012358, valid_loss 0.0012672812 , valid_ic -0.005570, valid_icir -0.164781, valid_ric -0.014628, valid_ricir -0.145809, test_loss 0.002552, ic -0.008285, icir -0.209530, ric -0.012685, ricir -0.092384, prec@10 0.645679, prec@30 0.594376 
Epoch 142, train_loss 0.001328, train_ic 0.008642, train_icir 0.082924, train_ric 0.017476, train_ricir 0.123783, valid_loss 0.0011573324 , valid_ic -0.007402, valid_icir -0.129011, valid_ric -0.001830, valid_ricir -0.016442, test_loss 0.002469, ic -0.012803, icir -0.200192, ric -0.007558, ricir -0.047873, prec@10 0.644033, prec@30 0.595199 
Epoch 143, train_loss 0.001241, train_ic 0.008006, train_icir 0.092409, train_ric 0.008310, train_ricir 0.069414, valid_loss 0.0012350927 , valid_ic -0.004941, valid_icir -0.095485, valid_ric -0.007642, valid_ricir -0.087739, test_loss 0.002674, ic -0.009327, icir -0.139160, ric -0.007187, ricir -0.055772, prec@10 0.512757, prec@30 0.489986 
Epoch 144, train_loss 0.001284, train_ic 0.010899, train_icir 0.129089, train_ric 0.005122, train_ricir 0.037461, valid_loss 0.0010819284 , valid_ic -0.004922, valid_icir -0.125995, valid_ric -0.015842, valid_ricir -0.148640, test_loss 0.002345, ic -0.007932, icir -0.161530, ric -0.015899, ricir -0.103404, prec@10 0.618930, prec@30 0.595199 
Epoch 145, train_loss 0.001309, train_ic 0.008348, train_icir 0.093735, train_ric 0.013445, train_ricir 0.094583, valid_loss 0.0010993666 , valid_ic -0.005498, valid_icir -0.131715, valid_ric -0.006147, valid_ricir -0.055279, test_loss 0.002379, ic -0.009546, icir -0.183947, ric -0.009976, ricir -0.062673, prec@10 0.647737, prec@30 0.594102 
