Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2023,
        "test_year": 2024,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003962, train_ic 0.002438, train_icir 0.027535, train_ric 0.014703, train_ricir 0.170279, train_mae 0.075358, train_rmse 0.083833, train_mape 754.696960, train_acc 0.362101, valid_loss 0.0082099623, valid_ic 0.020516, valid_icir 0.290607, valid_ric 0.037391, valid_ricir 0.469268, valid_mae 0.062467, valid_rmse 0.076604, valid_mape 1224.608887, valid_acc 0.738592, test_loss 0.008409, ic 0.010437, icir 0.110701, ric 0.024267, ricir 0.216028, prec@10 0.472314, prec@30 0.493251, test_mae 0.094525, test_rmse 0.107498, test_mape 648.219910, test_acc 0.203519
Epoch 13, train_loss 0.003582, train_ic -0.000508, train_icir -0.006593, train_ric 0.011673, train_ricir 0.143789, train_mae 0.093969, train_rmse 0.099047, train_mape 1832.472168, train_acc 0.599773, valid_loss 0.0122709287, valid_ic 0.017277, valid_icir 0.311795, valid_ric 0.036160, valid_ricir 0.488899, valid_mae 0.083230, valid_rmse 0.094492, valid_mape 1553.430420, valid_acc 0.802518, test_loss 0.012795, ic 0.006615, icir 0.084534, ric 0.020874, ricir 0.198015, prec@10 0.474793, prec@30 0.486777, test_mae 0.124006, test_rmse 0.132504, test_mape 851.881775, test_acc 0.126686
Epoch 14, train_loss 0.003444, train_ic 0.003687, train_icir 0.046745, train_ric 0.010910, train_ricir 0.138872, train_mae 0.104776, train_rmse 0.122601, train_mape 805.688965, train_acc 0.238375, valid_loss 0.0106502126, valid_ic 0.022067, valid_icir 0.371571, valid_ric 0.034505, valid_ricir 0.514654, valid_mae 0.074590, valid_rmse 0.089214, valid_mape 1390.114990, valid_acc 0.753934, test_loss 0.011419, ic 0.009418, icir 0.120173, ric 0.018914, ricir 0.197534, prec@10 0.486364, prec@30 0.491322, test_mae 0.108800, test_rmse 0.121468, test_mape 738.612671, test_acc 0.197067
Epoch 15, train_loss 0.003363, train_ic -0.000150, train_icir -0.001990, train_ric 0.009200, train_ricir 0.119935, train_mae 0.065292, train_rmse 0.076840, train_mape 1056.779175, train_acc 0.560876, valid_loss 0.0071588548, valid_ic 0.018139, valid_icir 0.341579, valid_ric 0.033393, valid_ricir 0.515261, valid_mae 0.057103, valid_rmse 0.069623, valid_mape 1088.930908, valid_acc 0.780881, test_loss 0.007742, ic 0.007492, icir 0.097190, ric 0.018239, ricir 0.181193, prec@10 0.469421, prec@30 0.488430, test_mae 0.094297, test_rmse 0.104311, test_mape 618.511841, test_acc 0.142131
Epoch 16, train_loss 0.003556, train_ic 0.000389, train_icir 0.005126, train_ric 0.002487, train_ricir 0.028275, train_mae 0.149847, train_rmse 0.152510, train_mape 3084.156982, train_acc 0.346031, valid_loss 0.0235627037, valid_ic 0.016378, valid_icir 0.355707, valid_ric 0.018913, valid_ricir 0.282991, valid_mae 0.130724, valid_rmse 0.136032, valid_mape 2269.925049, valid_acc 0.804288, test_loss 0.024374, ic 0.005569, icir 0.081859, ric 0.005425, ricir 0.050022, prec@10 0.490909, prec@30 0.489118, test_mae 0.173699, test_rmse 0.178971, test_mape 1242.440063, test_acc 0.118866
Epoch 17, train_loss 0.003262, train_ic 0.003960, train_icir 0.049914, train_ric 0.005511, train_ricir 0.072135, train_mae 0.104323, train_rmse 0.112673, train_mape 1431.790405, train_acc 0.343597, valid_loss 0.0113299792, valid_ic 0.022712, valid_icir 0.372725, valid_ric 0.029314, valid_ricir 0.453567, valid_mae 0.079760, valid_rmse 0.093570, valid_mape 1470.512573, valid_acc 0.757671, test_loss 0.012507, ic 0.009632, icir 0.119843, ric 0.014037, ricir 0.148400, prec@10 0.473967, prec@30 0.480303, test_mae 0.112557, test_rmse 0.124271, test_mape 779.270935, test_acc 0.192766
Epoch 18, train_loss 0.003116, train_ic 0.000825, train_icir 0.009945, train_ric 0.002216, train_ricir 0.022235, train_mae 0.116059, train_rmse 0.126226, train_mape 1467.426636, train_acc 0.780364, valid_loss 0.0180219410, valid_ic 0.016062, valid_icir 0.344212, valid_ric 0.018899, valid_ricir 0.242468, valid_mae 0.111516, valid_rmse 0.117693, valid_mape 1975.526367, valid_acc 0.805075, test_loss 0.018740, ic 0.005730, icir 0.077793, ric 0.006066, ricir 0.053455, prec@10 0.494215, prec@30 0.501515, test_mae 0.154055, test_rmse 0.159943, test_mape 1095.092773, test_acc 0.118475
Epoch 19, train_loss 0.003284, train_ic -0.000663, train_icir -0.008246, train_ric -0.007809, train_ricir -0.070957, train_mae 0.103966, train_rmse 0.109926, train_mape 1305.955566, train_acc 0.259194, valid_loss 0.0130478451, valid_ic 0.003741, valid_icir 0.086589, valid_ric -0.002809, valid_ricir -0.031866, valid_mae 0.086475, valid_rmse 0.096923, valid_mape 1622.859009, valid_acc 0.803304, test_loss 0.013528, ic -0.000648, icir -0.009558, ric -0.012848, ricir -0.097786, prec@10 0.466529, prec@30 0.461708, test_mae 0.131507, test_rmse 0.140736, test_mape 915.520569, test_acc 0.117107
Epoch 20, train_loss 0.002999, train_ic -0.000434, train_icir -0.004661, train_ric -0.017167, train_ricir -0.130390, train_mae 0.128878, train_rmse 0.133935, train_mape 2683.059814, train_acc 0.353328, valid_loss 0.0191726044, valid_ic 0.007233, valid_icir 0.107013, valid_ric -0.023841, valid_ricir -0.184892, valid_mae 0.113066, valid_rmse 0.120723, valid_mape 2039.039795, valid_acc 0.803108, test_loss 0.019202, ic -0.001768, icir -0.019866, ric -0.026542, ricir -0.165175, prec@10 0.457438, prec@30 0.471074, test_mae 0.154137, test_rmse 0.162057, test_mape 1117.380005, test_acc 0.122581
Epoch 21, train_loss 0.003197, train_ic -0.001443, train_icir -0.016078, train_ric -0.004824, train_ricir -0.039970, train_mae 0.104751, train_rmse 0.108654, train_mape 2284.817383, train_acc 0.723950, valid_loss 0.0167119688, valid_ic 0.013386, valid_icir 0.236218, valid_ric 0.003093, valid_ricir 0.026478, valid_mae 0.107218, valid_rmse 0.112894, valid_mape 1909.774536, valid_acc 0.803895, test_loss 0.017013, ic 0.001015, icir 0.012310, ric -0.009969, ricir -0.068333, prec@10 0.504545, prec@30 0.494766, test_mae 0.148750, test_rmse 0.155181, test_mape 1069.440186, test_acc 0.120626
