Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 35, train_loss 0.002447, train_ic 0.003707, train_icir 0.044513, train_ric 0.005326, train_ricir 0.066479, train_mae 0.033711, train_rmse 0.047478, train_mape 911.114624, train_acc 0.507478, valid_loss 0.0060648882, valid_ic -0.002039, valid_icir -0.027511, valid_ric -0.001002, valid_ricir -0.012630, valid_mae 0.049573, valid_rmse 0.088422, valid_mape 652.170044, valid_acc 0.449646, test_loss 0.007963, ic 0.004998, icir 0.046517, ric 0.010843, ricir 0.108644, prec@10 0.447325, prec@30 0.454733, test_mae 0.050158, test_rmse 0.089009, test_mape 1071.142822, test_acc 0.476149
Epoch 36, train_loss 0.002486, train_ic 0.002818, train_icir 0.043466, train_ric -0.000209, train_ricir -0.002976, train_mae 0.059562, train_rmse 0.070443, train_mape 484.724518, train_acc 0.252481, valid_loss 0.0062057722, valid_ic 0.007926, valid_icir 0.158358, valid_ric -0.001202, valid_ricir -0.021796, valid_mae 0.043459, valid_rmse 0.078287, valid_mape 584.274353, valid_acc 0.663984, test_loss 0.007437, ic 0.003653, icir 0.059039, ric 0.002550, ricir 0.042384, prec@10 0.493004, prec@30 0.468861, test_mae 0.044925, test_rmse 0.078822, test_mape 903.516357, test_acc 0.550985
Epoch 37, train_loss 0.002522, train_ic 0.000490, train_icir 0.008770, train_ric -0.004662, train_ricir -0.071726, train_mae 0.049153, train_rmse 0.054354, train_mape 1232.474487, train_acc 0.422501, valid_loss 0.0052309240, valid_ic 0.005360, valid_icir 0.126377, valid_ric 0.001479, valid_ricir 0.022588, valid_mae 0.043009, valid_rmse 0.071871, valid_mape 718.063477, valid_acc 0.745672, test_loss 0.007148, ic 0.002195, icir 0.043425, ric -0.005173, ricir -0.110566, prec@10 0.489300, prec@30 0.487791, test_mae 0.051732, test_rmse 0.080262, test_mape 1215.927124, test_acc 0.580306
Epoch 38, train_loss 0.002394, train_ic -0.000140, train_icir -0.002358, train_ric -0.006663, train_ricir -0.102073, train_mae 0.063162, train_rmse 0.070656, train_mape 520.992859, train_acc 0.148067, valid_loss 0.0067794111, valid_ic 0.012320, valid_icir 0.230006, valid_ric 0.003616, valid_ricir 0.043283, valid_mae 0.043285, valid_rmse 0.079855, valid_mape 710.064026, valid_acc 0.735918, test_loss 0.008350, ic 0.002473, icir 0.071647, ric -0.009746, ricir -0.139789, prec@10 0.483951, prec@30 0.493278, test_mae 0.051468, test_rmse 0.085567, test_mape 1198.359497, test_acc 0.573085
Epoch 39, train_loss 0.002427, train_ic 0.002981, train_icir 0.046183, train_ric 0.001170, train_ricir 0.016553, train_mae 0.028609, train_rmse 0.037273, train_mape 410.824829, train_acc 0.379633, valid_loss 0.0054073197, valid_ic 0.007891, valid_icir 0.163983, valid_ric -0.000993, valid_ricir -0.018510, valid_mae 0.044535, valid_rmse 0.080047, valid_mape 533.126221, valid_acc 0.379420, test_loss 0.006547, ic 0.003721, icir 0.059717, ric 0.003210, ricir 0.051574, prec@10 0.494650, prec@30 0.475034, test_mae 0.039772, test_rmse 0.075731, test_mape 736.819519, test_acc 0.437418
Epoch 40, train_loss 0.002477, train_ic 0.000036, train_icir 0.000834, train_ric -0.000855, train_ricir -0.017466, train_mae 0.043224, train_rmse 0.053361, train_mape 135.279434, train_acc 0.422845, valid_loss 0.0054169356, valid_ic 0.007593, valid_icir 0.195301, valid_ric 0.004027, valid_ricir 0.107202, valid_mae 0.040940, valid_rmse 0.087559, valid_mape 503.370300, valid_acc 0.415752, test_loss 0.007218, ic 0.003859, icir 0.098692, ric -0.001896, ricir -0.072503, prec@10 0.518519, prec@30 0.502332, test_mae 0.038835, test_rmse 0.077763, test_mape 761.987549, test_acc 0.445295
Epoch 41, train_loss 0.002579, train_ic 0.002899, train_icir 0.044128, train_ric 0.002928, train_ricir 0.040885, train_mae 0.038681, train_rmse 0.050223, train_mape 426.502045, train_acc 0.348596, valid_loss 0.0048392020, valid_ic 0.007059, valid_icir 0.151162, valid_ric 0.000557, valid_ricir 0.010766, valid_mae 0.036750, valid_rmse 0.071461, valid_mape 473.646698, valid_acc 0.580102, test_loss 0.006115, ic 0.004304, icir 0.069589, ric 0.005343, ricir 0.094727, prec@10 0.486831, prec@30 0.482030, test_mae 0.037030, test_rmse 0.071665, test_mape 729.856323, test_acc 0.519037
Epoch 42, train_loss 0.002317, train_ic 0.002715, train_icir 0.044237, train_ric 0.000366, train_ricir 0.005372, train_mae 0.023267, train_rmse 0.031774, train_mape 470.867981, train_acc 0.522293, valid_loss 0.0057207508, valid_ic 0.008984, valid_icir 0.190893, valid_ric -0.000245, valid_ricir -0.004766, valid_mae 0.036880, valid_rmse 0.073734, valid_mape 444.228302, valid_acc 0.510607, test_loss 0.006471, ic 0.004483, icir 0.078995, ric 0.001363, ricir 0.027525, prec@10 0.483539, prec@30 0.477915, test_mae 0.034904, test_rmse 0.070916, test_mape 643.023438, test_acc 0.475492
Epoch 43, train_loss 0.002442, train_ic 0.003726, train_icir 0.051287, train_ric 0.000974, train_ricir 0.013167, train_mae 0.032531, train_rmse 0.042712, train_mape 629.288818, train_acc 0.482904, valid_loss 0.0046427596, valid_ic 0.003059, valid_icir 0.052115, valid_ric -0.002532, valid_ricir -0.038432, valid_mae 0.040709, valid_rmse 0.072703, valid_mape 541.302490, valid_acc 0.527920, test_loss 0.006093, ic 0.004634, icir 0.054241, ric 0.005610, ricir 0.068179, prec@10 0.494650, prec@30 0.473937, test_mae 0.041402, test_rmse 0.073925, test_mape 845.446411, test_acc 0.498906
Epoch 44, train_loss 0.002679, train_ic -0.007416, train_icir -0.106280, train_ric -0.003214, train_ricir -0.047320, train_mae 0.035907, train_rmse 0.046906, train_mape 183.196777, train_acc 0.534675, valid_loss 0.0070810516, valid_ic 0.003336, valid_icir 0.067705, valid_ric -0.003399, valid_ricir -0.065919, valid_mae 0.045363, valid_rmse 0.083335, valid_mape 601.675964, valid_acc 0.517191, test_loss 0.007741, ic 0.001632, icir 0.023934, ric 0.003502, ricir 0.053126, prec@10 0.483539, prec@30 0.474211, test_mae 0.043453, test_rmse 0.078268, test_mape 829.055237, test_acc 0.482713
Epoch 45, train_loss 0.002764, train_ic -0.013285, train_icir -0.188185, train_ric -0.010140, train_ricir -0.143414, train_mae 0.026243, train_rmse 0.037571, train_mape 366.313812, train_acc 0.641515, valid_loss 0.0045595832, valid_ic -0.004421, valid_icir -0.084997, valid_ric -0.009755, valid_ricir -0.189899, valid_mae 0.036333, valid_rmse 0.070957, valid_mape 476.952423, valid_acc 0.573275, test_loss 0.006066, ic -0.000625, icir -0.007892, ric -0.001559, ricir -0.023536, prec@10 0.460905, prec@30 0.477778, test_mae 0.037557, test_rmse 0.072470, test_mape 732.368347, test_acc 0.508753
Epoch 46, train_loss 0.002613, train_ic -0.012106, train_icir -0.143928, train_ric -0.000498, train_ricir -0.006309, train_mae 0.046922, train_rmse 0.054869, train_mape 971.277161, train_acc 0.440510, valid_loss 0.0051012138, valid_ic -0.009915, valid_icir -0.157478, valid_ric -0.004408, valid_ricir -0.056462, valid_mae 0.042793, valid_rmse 0.070422, valid_mape 664.080872, valid_acc 0.728115, test_loss 0.006666, ic 0.000417, icir 0.004862, ric 0.008250, ricir 0.089944, prec@10 0.474897, prec@30 0.475583, test_mae 0.046058, test_rmse 0.075709, test_mape 974.161072, test_acc 0.590372
Epoch 47, train_loss 0.002726, train_ic -0.012561, train_icir -0.195844, train_ric -0.016212, train_ricir -0.252142, train_mae 0.028033, train_rmse 0.036767, train_mape 431.198547, train_acc 0.614938, valid_loss 0.0052498349, valid_ic 0.006409, valid_icir 0.129938, valid_ric -0.002253, valid_ricir -0.033826, valid_mae 0.036759, valid_rmse 0.071886, valid_mape 541.876831, valid_acc 0.696172, test_loss 0.006754, ic -0.001070, icir -0.030048, ric -0.012327, ricir -0.228842, prec@10 0.489300, prec@30 0.492318, test_mae 0.042446, test_rmse 0.076874, test_mape 909.808350, test_acc 0.563457
Epoch 48, train_loss 0.002595, train_ic -0.010720, train_icir -0.140563, train_ric -0.004902, train_ricir -0.070246, train_mae 0.028312, train_rmse 0.041460, train_mape 672.860168, train_acc 0.412162, valid_loss 0.0056874796, valid_ic -0.000101, valid_icir -0.001848, valid_ric -0.004111, valid_ricir -0.074360, valid_mae 0.045624, valid_rmse 0.081507, valid_mape 563.546021, valid_acc 0.406974, test_loss 0.006918, ic 0.001251, icir 0.015666, ric 0.003543, ricir 0.049880, prec@10 0.474897, prec@30 0.456379, test_mae 0.042535, test_rmse 0.078202, test_mape 807.085144, test_acc 0.451422
Epoch 49, train_loss 0.002833, train_ic -0.012950, train_icir -0.195927, train_ric -0.012705, train_ricir -0.180669, train_mae 0.035873, train_rmse 0.045557, train_mape 732.029602, train_acc 0.458966, valid_loss 0.0046531704, valid_ic 0.001479, valid_icir 0.035133, valid_ric -0.006909, valid_ricir -0.142329, valid_mae 0.033115, valid_rmse 0.066698, valid_mape 486.295715, valid_acc 0.717142, test_loss 0.006067, ic 0.000184, icir 0.003479, ric -0.006613, ricir -0.174093, prec@10 0.482716, prec@30 0.481619, test_mae 0.038501, test_rmse 0.071552, test_mape 810.410583, test_acc 0.568928
Epoch 50, train_loss 0.002573, train_ic -0.013679, train_icir -0.210743, train_ric -0.010250, train_ricir -0.161568, train_mae 0.045902, train_rmse 0.058249, train_mape 536.314270, train_acc 0.298192, valid_loss 0.0056432937, valid_ic 0.005961, valid_icir 0.127673, valid_ric -0.000501, valid_ricir -0.008807, valid_mae 0.038181, valid_rmse 0.072571, valid_mape 580.970215, valid_acc 0.713485, test_loss 0.006932, ic -0.000552, icir -0.014801, ric -0.008393, ricir -0.188253, prec@10 0.489300, prec@30 0.492455, test_mae 0.043219, test_rmse 0.076777, test_mape 915.878784, test_acc 0.564551
Epoch 51, train_loss 0.002607, train_ic -0.012661, train_icir -0.182958, train_ric -0.015276, train_ricir -0.216204, train_mae 0.037236, train_rmse 0.044362, train_mape 471.411469, train_acc 0.391680, valid_loss 0.0049430179, valid_ic 0.005129, valid_icir 0.104214, valid_ric -0.004148, valid_ricir -0.058258, valid_mae 0.035821, valid_rmse 0.068296, valid_mape 556.336426, valid_acc 0.712265, test_loss 0.006392, ic -0.001303, icir -0.036052, ric -0.012812, ricir -0.229343, prec@10 0.505761, prec@30 0.492867, test_mae 0.042138, test_rmse 0.074428, test_mape 903.046875, test_acc 0.566302
Epoch 52, train_loss 0.002564, train_ic -0.006426, train_icir -0.086089, train_ric -0.003530, train_ricir -0.047621, train_mae 0.069105, train_rmse 0.077826, train_mape 278.907806, train_acc 0.161989, valid_loss 0.0056898736, valid_ic 0.002658, valid_icir 0.055097, valid_ric -0.005806, valid_ricir -0.116805, valid_mae 0.039820, valid_rmse 0.074081, valid_mape 526.991882, valid_acc 0.643502, test_loss 0.006694, ic 0.002292, icir 0.031677, ric 0.002922, ricir 0.042797, prec@10 0.463786, prec@30 0.454184, test_mae 0.040618, test_rmse 0.073490, test_mape 797.915283, test_acc 0.533698
Epoch 53, train_loss 0.002611, train_ic -0.010443, train_icir -0.148873, train_ric -0.011089, train_ricir -0.138901, train_mae 0.040855, train_rmse 0.062001, train_mape 840.395142, train_acc 0.364003, valid_loss 0.0062424673, valid_ic 0.006824, valid_icir 0.138506, valid_ric 0.001109, valid_ricir 0.013962, valid_mae 0.041392, valid_rmse 0.079213, valid_mape 633.984253, valid_acc 0.709583, test_loss 0.008161, ic 0.001046, icir 0.030512, ric -0.004635, ricir -0.071662, prec@10 0.504527, prec@30 0.503841, test_mae 0.049511, test_rmse 0.087665, test_mape 1110.012939, test_acc 0.569584
Early stopping -----
Epoch 54, train_loss 0.002606, train_ic -0.004717, train_icir -0.059277, train_ric 0.002224, train_ricir 0.026176, train_mae 0.047199, train_rmse 0.051802, train_mape 971.975342, train_acc 0.342596, valid_loss 0.0046673712, valid_ic -0.004364, valid_icir -0.086411, valid_ric -0.004505, valid_ricir -0.059625, valid_mae 0.039314, valid_rmse 0.067796, valid_mape 558.752319, valid_acc 0.651061, test_loss 0.006076, ic 0.002675, icir 0.037316, ric 0.010358, ricir 0.120433, prec@10 0.484362, prec@30 0.488203, test_mae 0.040451, test_rmse 0.071636, test_mape 801.605408, test_acc 0.552298
Epoch 55, train_loss 0.002570, train_ic -0.002814, train_icir -0.033251, train_ric -0.017880, train_ricir -0.197566, train_mae 0.036974, train_rmse 0.047032, train_mape 330.022095, train_acc 0.765720, valid_loss 0.0061455307, valid_ic 0.005491, valid_icir 0.092391, valid_ric -0.012954, valid_ricir -0.168139, valid_mae 0.039849, valid_rmse 0.071657, valid_mape 643.088379, valid_acc 0.736893, test_loss 0.007193, ic 0.001156, icir 0.022737, ric -0.014634, ricir -0.255100, prec@10 0.490535, prec@30 0.488066, test_mae 0.046327, test_rmse 0.076494, test_mape 1012.803284, test_acc 0.579650
Epoch 56, train_loss 0.002394, train_ic -0.001956, train_icir -0.022311, train_ric 0.003539, train_ricir 0.040192, train_mae 0.082232, train_rmse 0.090981, train_mape 288.529602, train_acc 0.196623, valid_loss 0.0055614350, valid_ic -0.008748, valid_icir -0.117415, valid_ric -0.005528, valid_ricir -0.062965, valid_mae 0.049473, valid_rmse 0.073991, valid_mape 756.135681, valid_acc 0.678127, test_loss 0.007071, ic 0.003246, icir 0.031161, ric 0.011640, ricir 0.105122, prec@10 0.497119, prec@30 0.470508, test_mae 0.052903, test_rmse 0.079193, test_mape 1150.441650, test_acc 0.563239
Epoch 57, train_loss 0.002334, train_ic -0.002023, train_icir -0.022717, train_ric -0.021977, train_ricir -0.197362, train_mae 0.031741, train_rmse 0.040997, train_mape 430.202637, train_acc 0.782813, valid_loss 0.0105342621, valid_ic 0.014141, valid_icir 0.194541, valid_ric -0.006604, valid_ricir -0.056843, valid_mae 0.051396, valid_rmse 0.092365, valid_mape 792.323181, valid_acc 0.700561, test_loss 0.010243, ic 0.001079, icir 0.022930, ric -0.021347, ricir -0.223229, prec@10 0.493416, prec@30 0.498217, test_mae 0.056266, test_rmse 0.086387, test_mape 1234.620361, test_acc 0.550985
Epoch 58, train_loss 0.002231, train_ic 0.003518, train_icir 0.044127, train_ric 0.002782, train_ricir 0.032140, train_mae 0.046773, train_rmse 0.063934, train_mape 365.521942, train_acc 0.604755, valid_loss 0.0045148082, valid_ic -0.001303, valid_icir -0.021420, valid_ric -0.006921, valid_ricir -0.082070, valid_mae 0.037325, valid_rmse 0.069507, valid_mape 488.095001, valid_acc 0.630822, test_loss 0.005750, ic 0.003821, icir 0.041907, ric 0.007919, ricir 0.074179, prec@10 0.504115, prec@30 0.492593, test_mae 0.037640, test_rmse 0.070267, test_mape 741.578186, test_acc 0.541575
Epoch 59, train_loss 0.002370, train_ic -0.004299, train_icir -0.058033, train_ric -0.013815, train_ricir -0.174197, train_mae 0.033230, train_rmse 0.057592, train_mape 458.468018, train_acc 0.354077, valid_loss 0.0052224817, valid_ic 0.010353, valid_icir 0.175434, valid_ric -0.003351, valid_ricir -0.038647, valid_mae 0.039571, valid_rmse 0.075924, valid_mape 411.035065, valid_acc 0.393319, test_loss 0.006092, ic 0.000555, icir 0.013364, ric -0.012767, ricir -0.192422, prec@10 0.496296, prec@30 0.499040, test_mae 0.033231, test_rmse 0.070917, test_mape 502.873932, test_acc 0.437637
Epoch 60, train_loss 0.002217, train_ic -0.003049, train_icir -0.037559, train_ric -0.023721, train_ricir -0.295253, train_mae 0.040310, train_rmse 0.050136, train_mape 836.769775, train_acc 0.614381, valid_loss 0.0053711035, valid_ic 0.003439, valid_icir 0.060154, valid_ric -0.012620, valid_ricir -0.170723, valid_mae 0.038510, valid_rmse 0.066565, valid_mape 682.221497, valid_acc 0.744696, test_loss 0.006776, ic -0.000068, icir -0.001308, ric -0.021435, ricir -0.382597, prec@10 0.486831, prec@30 0.470919, test_mae 0.048425, test_rmse 0.076663, test_mape 1087.746094, test_acc 0.583589
Epoch 61, train_loss 0.002260, train_ic 0.005593, train_icir 0.077837, train_ric -0.002319, train_ricir -0.025650, train_mae 0.041761, train_rmse 0.046482, train_mape 507.599701, train_acc 0.252355, valid_loss 0.0035622594, valid_ic -0.003525, valid_icir -0.069884, valid_ric -0.008445, valid_ricir -0.096569, valid_mae 0.031734, valid_rmse 0.061381, valid_mape 454.492889, valid_acc 0.697147, test_loss 0.005063, ic 0.003118, icir 0.041613, ric 0.003782, ricir 0.038279, prec@10 0.500823, prec@30 0.499040, test_mae 0.034840, test_rmse 0.066950, test_mape 683.289062, test_acc 0.569803
Epoch 62, train_loss 0.002384, train_ic -0.000147, train_icir -0.002558, train_ric -0.010896, train_ricir -0.168905, train_mae 0.020486, train_rmse 0.034675, train_mape 256.415863, train_acc 0.571882, valid_loss 0.0039783476, valid_ic 0.006799, valid_icir 0.145786, valid_ric -0.007762, valid_ricir -0.154705, valid_mae 0.030466, valid_rmse 0.066710, valid_mape 314.611420, valid_acc 0.555230, test_loss 0.005107, ic 0.001786, icir 0.033100, ric -0.007434, ricir -0.155583, prec@10 0.489712, prec@30 0.487654, test_mae 0.028352, test_rmse 0.065862, test_mape 460.180054, test_acc 0.508753
Epoch 63, train_loss 0.002267, train_ic -0.003240, train_icir -0.046868, train_ric -0.007257, train_ricir -0.100520, train_mae 0.034940, train_rmse 0.049290, train_mape 452.373505, train_acc 0.457259, valid_loss 0.0038871480, valid_ic -0.001224, valid_icir -0.025038, valid_ric -0.010974, valid_ricir -0.205598, valid_mae 0.036461, valid_rmse 0.067259, valid_mape 472.589783, valid_acc 0.553767, test_loss 0.005322, ic 0.000403, icir 0.005660, ric -0.003780, ricir -0.056456, prec@10 0.479012, prec@30 0.475995, test_mae 0.037126, test_rmse 0.069219, test_mape 729.710083, test_acc 0.506346
Epoch 64, train_loss 0.002405, train_ic 0.000086, train_icir 0.001238, train_ric -0.005023, train_ricir -0.070354, train_mae 0.045858, train_rmse 0.055919, train_mape 364.698242, train_acc 0.291213, valid_loss 0.0074690629, valid_ic 0.006656, valid_icir 0.123968, valid_ric -0.007678, valid_ricir -0.136758, valid_mae 0.047575, valid_rmse 0.087578, valid_mape 582.585083, valid_acc 0.503048, test_loss 0.007890, ic 0.003074, icir 0.044600, ric -0.001576, ricir -0.023899, prec@10 0.477778, prec@30 0.477503, test_mae 0.044473, test_rmse 0.078975, test_mape 876.768311, test_acc 0.495842
Epoch 65, train_loss 0.002395, train_ic -0.006868, train_icir -0.114603, train_ric -0.015006, train_ricir -0.218856, train_mae 0.021774, train_rmse 0.037626, train_mape 333.089783, train_acc 0.471904, valid_loss 0.0031986352, valid_ic -0.001705, valid_icir -0.048744, valid_ric -0.011682, valid_ricir -0.218553, valid_mae 0.030461, valid_rmse 0.061601, valid_mape 376.209015, valid_acc 0.466715, test_loss 0.004759, ic -0.001033, icir -0.025510, ric -0.013572, ricir -0.268632, prec@10 0.483539, prec@30 0.486145, test_mae 0.030729, test_rmse 0.066257, test_mape 597.990845, test_acc 0.497374
Epoch 66, train_loss 0.002341, train_ic -0.003769, train_icir -0.052488, train_ric -0.009797, train_ricir -0.138370, train_mae 0.037787, train_rmse 0.051914, train_mape 670.072754, train_acc 0.667266, valid_loss 0.0055325287, valid_ic 0.006308, valid_icir 0.121845, valid_ric -0.005558, valid_ricir -0.079151, valid_mae 0.038878, valid_rmse 0.070741, valid_mape 638.735046, valid_acc 0.699585, test_loss 0.006583, ic 0.001450, icir 0.023889, ric -0.009114, ricir -0.179128, prec@10 0.480247, prec@30 0.472154, test_mae 0.043682, test_rmse 0.072456, test_mape 980.441589, test_acc 0.564551
Epoch 67, train_loss 0.002171, train_ic 0.004663, train_icir 0.069737, train_ric -0.003425, train_ricir -0.046220, train_mae 0.030562, train_rmse 0.040880, train_mape 510.294495, train_acc 0.430556, valid_loss 0.0034622728, valid_ic -0.003069, valid_icir -0.064037, valid_ric -0.008819, valid_ricir -0.140098, valid_mae 0.031709, valid_rmse 0.061480, valid_mape 415.996399, valid_acc 0.567666, test_loss 0.004944, ic 0.002231, icir 0.032577, ric -0.002213, ricir -0.029730, prec@10 0.491358, prec@30 0.485460, test_mae 0.033295, test_rmse 0.066639, test_mape 633.015991, test_acc 0.515755
Epoch 68, train_loss 0.002187, train_ic -0.001497, train_icir -0.026751, train_ric -0.001940, train_ricir -0.032461, train_mae 0.019833, train_rmse 0.027465, train_mape 378.653778, train_acc 0.552062, valid_loss 0.0056897680, valid_ic 0.009591, valid_icir 0.204595, valid_ric -0.000603, valid_ricir -0.016480, valid_mae 0.035298, valid_rmse 0.075140, valid_mape 403.573242, valid_acc 0.550597, test_loss 0.006239, ic 0.002204, icir 0.052347, ric -0.000961, ricir -0.032587, prec@10 0.499177, prec@30 0.495199, test_mae 0.032720, test_rmse 0.068664, test_mape 553.964966, test_acc 0.499562
Epoch 69, train_loss 0.002239, train_ic -0.000653, train_icir -0.010840, train_ric 0.000929, train_ricir 0.013330, train_mae 0.026681, train_rmse 0.034608, train_mape 373.052643, train_acc 0.511820, valid_loss 0.0031445335, valid_ic 0.001253, valid_icir 0.031753, valid_ric -0.001267, valid_ricir -0.027975, valid_mae 0.028506, valid_rmse 0.060855, valid_mape 336.178741, valid_acc 0.586930, test_loss 0.004579, ic 0.002153, icir 0.033931, ric 0.004264, ricir 0.072826, prec@10 0.498354, prec@30 0.486145, test_mae 0.028921, test_rmse 0.063486, test_mape 515.730225, test_acc 0.528665
Epoch 70, train_loss 0.002137, train_ic 0.003071, train_icir 0.043600, train_ric 0.001948, train_ricir 0.023974, train_mae 0.034547, train_rmse 0.043681, train_mape 260.781921, train_acc 0.450471, valid_loss 0.0035855494, valid_ic 0.001969, valid_icir 0.042432, valid_ric -0.003391, valid_ricir -0.049749, valid_mae 0.033597, valid_rmse 0.064797, valid_mape 420.803925, valid_acc 0.499878, test_loss 0.004880, ic 0.003956, icir 0.056256, ric 0.007295, ricir 0.086675, prec@10 0.501646, prec@30 0.486968, test_mae 0.032700, test_rmse 0.065513, test_mape 620.341614, test_acc 0.490591
Epoch 71, train_loss 0.002120, train_ic 0.003124, train_icir 0.045496, train_ric 0.004180, train_ricir 0.054655, train_mae 0.031432, train_rmse 0.043851, train_mape 538.138611, train_acc 0.420545, valid_loss 0.0040134459, valid_ic 0.005925, valid_icir 0.126119, valid_ric -0.001398, valid_ricir -0.023508, valid_mae 0.034038, valid_rmse 0.066210, valid_mape 412.244507, valid_acc 0.610095, test_loss 0.005219, ic 0.003829, icir 0.055866, ric 0.007241, ricir 0.093687, prec@10 0.483951, prec@30 0.472154, test_mae 0.034214, test_rmse 0.066773, test_mape 628.377136, test_acc 0.525383
Epoch 72, train_loss 0.002005, train_ic -0.000538, train_icir -0.006376, train_ric -0.011622, train_ricir -0.130099, train_mae 0.041677, train_rmse 0.058331, train_mape 296.371124, train_acc 0.471219, valid_loss 0.0060226345, valid_ic 0.016195, valid_icir 0.225243, valid_ric 0.002516, valid_ricir 0.021676, valid_mae 0.040251, valid_rmse 0.078478, valid_mape 477.086884, valid_acc 0.492563, test_loss 0.006717, ic 0.001437, icir 0.032129, ric -0.016570, ricir -0.154013, prec@10 0.483951, prec@30 0.488477, test_mae 0.036677, test_rmse 0.072944, test_mape 662.530273, test_acc 0.476368
Epoch 73, train_loss 0.002003, train_ic 0.005439, train_icir 0.089190, train_ric 0.000807, train_ricir 0.011166, train_mae 0.036081, train_rmse 0.045122, train_mape 341.028992, train_acc 0.487430, valid_loss 0.0039559881, valid_ic 0.007837, valid_icir 0.186732, valid_ric -0.000930, valid_ricir -0.019096, valid_mae 0.030236, valid_rmse 0.063227, valid_mape 395.523682, valid_acc 0.716654, test_loss 0.005121, ic 0.004117, icir 0.071580, ric 0.003321, ricir 0.055924, prec@10 0.495062, prec@30 0.485322, test_mae 0.032469, test_rmse 0.064916, test_mape 617.642212, test_acc 0.565864
Epoch 74, train_loss 0.002646, train_ic 0.002768, train_icir 0.041906, train_ric 0.002922, train_ricir 0.038538, train_mae 0.030176, train_rmse 0.050511, train_mape 428.591919, train_acc 0.529908, valid_loss 0.0044291913, valid_ic 0.006798, valid_icir 0.173590, valid_ric 0.000923, valid_ricir 0.018540, valid_mae 0.038382, valid_rmse 0.070605, valid_mape 441.138947, valid_acc 0.451841, test_loss 0.005559, ic 0.004271, icir 0.081976, ric 0.006300, ricir 0.114550, prec@10 0.497942, prec@30 0.490947, test_mae 0.035810, test_rmse 0.068990, test_mape 686.089172, test_acc 0.484464
Epoch 75, train_loss 0.002087, train_ic 0.004263, train_icir 0.064209, train_ric -0.002289, train_ricir -0.031279, train_mae 0.023530, train_rmse 0.031328, train_mape 315.931305, train_acc 0.579509, valid_loss 0.0048396028, valid_ic 0.009792, valid_icir 0.201562, valid_ric -0.003556, valid_ricir -0.062092, valid_mae 0.036041, valid_rmse 0.071043, valid_mape 429.313232, valid_acc 0.518898, test_loss 0.005651, ic 0.004266, icir 0.072168, ric 0.001013, ricir 0.015104, prec@10 0.498354, prec@30 0.483813, test_mae 0.034454, test_rmse 0.067235, test_mape 638.827332, test_acc 0.493873
Epoch 76, train_loss 0.001940, train_ic 0.002048, train_icir 0.039848, train_ric -0.001588, train_ricir -0.028283, train_mae 0.052459, train_rmse 0.059414, train_mape 354.831573, train_acc 0.113650, valid_loss 0.0043577362, valid_ic 0.009841, valid_icir 0.230206, valid_ric 0.002596, valid_ricir 0.063559, valid_mae 0.033891, valid_rmse 0.064688, valid_mape 504.993683, valid_acc 0.732504, test_loss 0.005598, ic 0.002604, icir 0.064253, ric -0.002870, ricir -0.095432, prec@10 0.485597, prec@30 0.482305, test_mae 0.038814, test_rmse 0.068272, test_mape 833.113098, test_acc 0.569803
Epoch 77, train_loss 0.001993, train_ic 0.003428, train_icir 0.052748, train_ric -0.000422, train_ricir -0.006071, train_mae 0.021967, train_rmse 0.032017, train_mape 356.050812, train_acc 0.448265, valid_loss 0.0072503714, valid_ic 0.010826, valid_icir 0.205387, valid_ric -0.002662, valid_ricir -0.047127, valid_mae 0.045634, valid_rmse 0.085408, valid_mape 513.606384, valid_acc 0.434040, test_loss 0.007480, ic 0.004736, icir 0.078139, ric 0.001859, ricir 0.028847, prec@10 0.504115, prec@30 0.478738, test_mae 0.039923, test_rmse 0.076188, test_mape 726.662231, test_acc 0.452735
Epoch 78, train_loss 0.002114, train_ic 0.004786, train_icir 0.074715, train_ric 0.003565, train_ricir 0.046266, train_mae 0.031681, train_rmse 0.048258, train_mape 246.817825, train_acc 0.404936, valid_loss 0.0048662984, valid_ic 0.009205, valid_icir 0.208584, valid_ric -0.001438, valid_ricir -0.024848, valid_mae 0.036462, valid_rmse 0.073090, valid_mape 400.907318, valid_acc 0.464277, test_loss 0.005580, ic 0.003846, icir 0.068695, ric 0.005346, ricir 0.074857, prec@10 0.484774, prec@30 0.479561, test_mae 0.031953, test_rmse 0.066848, test_mape 553.982544, test_acc 0.479869
