Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003947, train_ic 0.000904, train_icir 0.009680, train_ric 0.026877, train_ricir 0.228591, train_mae 0.057746, train_rmse 0.087849, train_mape 1017.046631, train_acc 0.448649, valid_loss 0.0103613946, valid_ic 0.004180, valid_icir 0.036065, valid_ric 0.028714, valid_ricir 0.204112, valid_mae 0.056860, valid_rmse 0.099950, valid_mape 1238.167480, valid_acc 0.568490, test_loss 0.008927, ic 0.012303, icir 0.122771, ric 0.041397, ricir 0.255738, prec@10 0.510331, prec@30 0.513499, test_mae 0.051823, test_rmse 0.084013, test_mape 1045.770386, test_acc 0.670694
Epoch 13, train_loss 0.005778, train_ic -0.004976, train_icir -0.057789, train_ric 0.027304, train_ricir 0.234583, train_mae 0.099851, train_rmse 0.108939, train_mape 1333.403442, train_acc 0.212304, valid_loss 0.0174285313, valid_ic 0.001968, valid_icir 0.021953, valid_ric 0.027220, valid_ricir 0.250061, valid_mae 0.094853, valid_rmse 0.125778, valid_mape 2194.835938, valid_acc 0.590153, test_loss 0.016721, ic 0.006928, icir 0.106618, ric 0.031910, ricir 0.279538, prec@10 0.479339, prec@30 0.478788, test_mae 0.096043, test_rmse 0.119242, test_mape 1980.943848, test_acc 0.665165
Epoch 14, train_loss 0.003648, train_ic 0.000412, train_icir 0.004200, train_ric 0.025677, train_ricir 0.208157, train_mae 0.059093, train_rmse 0.069440, train_mape 677.346252, train_acc 0.734709, valid_loss 0.0131145490, valid_ic 0.004329, valid_icir 0.034703, valid_ric 0.028974, valid_ricir 0.194076, valid_mae 0.078101, valid_rmse 0.110554, valid_mape 1725.339722, valid_acc 0.582713, test_loss 0.011728, ic 0.012775, icir 0.117966, ric 0.039971, ricir 0.240264, prec@10 0.551240, prec@30 0.558127, test_mae 0.074481, test_rmse 0.097586, test_mape 1500.267944, test_acc 0.668032
Epoch 15, train_loss 0.003258, train_ic 0.002066, train_icir 0.032189, train_ric 0.006640, train_ricir 0.089789, train_mae 0.056722, train_rmse 0.063381, train_mape 1399.100342, train_acc 0.426594, valid_loss 0.0101142694, valid_ic 0.003875, valid_icir 0.048598, valid_ric 0.008069, valid_ricir 0.118326, valid_mae 0.059817, valid_rmse 0.096102, valid_mape 1367.992554, valid_acc 0.574617, test_loss 0.008948, ic 0.009338, icir 0.137900, ric 0.015668, ricir 0.201619, prec@10 0.506198, prec@30 0.507851, test_mae 0.056364, test_rmse 0.083160, test_mape 1188.931641, test_acc 0.640795
Epoch 16, train_loss 0.003458, train_ic 0.001341, train_icir 0.013192, train_ric 0.023196, train_ricir 0.217449, train_mae 0.073147, train_rmse 0.082667, train_mape 869.214233, train_acc 0.258811, valid_loss 0.0119544248, valid_ic 0.005224, valid_icir 0.038950, valid_ric 0.026664, valid_ricir 0.201909, valid_mae 0.071964, valid_rmse 0.109175, valid_mape 1616.225586, valid_acc 0.546608, test_loss 0.010315, ic 0.015758, icir 0.130171, ric 0.038641, ricir 0.257867, prec@10 0.507438, prec@30 0.503030, test_mae 0.063179, test_rmse 0.090785, test_mape 1310.943359, test_acc 0.657588
Epoch 17, train_loss 0.003585, train_ic -0.003624, train_icir -0.034554, train_ric 0.021670, train_ricir 0.198719, train_mae 0.072120, train_rmse 0.076729, train_mape 1105.932129, train_acc 0.819620, valid_loss 0.0116575036, valid_ic 0.004301, valid_icir 0.035691, valid_ric 0.026798, valid_ricir 0.201979, valid_mae 0.070389, valid_rmse 0.101846, valid_mape 1476.030762, valid_acc 0.566083, test_loss 0.010484, ic 0.015036, icir 0.137217, ric 0.039222, ricir 0.258648, prec@10 0.490083, prec@30 0.498347, test_mae 0.067884, test_rmse 0.090825, test_mape 1326.721558, test_acc 0.662503
Epoch 18, train_loss 0.004800, train_ic -0.003885, train_icir -0.048681, train_ric 0.011422, train_ricir 0.113450, train_mae 0.111189, train_rmse 0.119619, train_mape 655.016968, train_acc 0.241197, valid_loss 0.0178088012, valid_ic 0.002320, valid_icir 0.035886, valid_ric 0.009329, valid_ricir 0.128214, valid_mae 0.104845, valid_rmse 0.128438, valid_mape 2498.719727, valid_acc 0.590372, test_loss 0.017616, ic 0.003876, icir 0.080695, ric 0.007725, ricir 0.090779, prec@10 0.455372, prec@30 0.464463, test_mae 0.104070, test_rmse 0.122709, test_mape 2239.618408, test_acc 0.663527
Epoch 19, train_loss 0.003504, train_ic 0.000831, train_icir 0.009711, train_ric 0.012190, train_ricir 0.136014, train_mae 0.091241, train_rmse 0.097341, train_mape 721.598816, train_acc 0.099297, valid_loss 0.0107935132, valid_ic 0.004482, valid_icir 0.040128, valid_ric 0.017303, valid_ricir 0.165138, valid_mae 0.070030, valid_rmse 0.099345, valid_mape 1572.815186, valid_acc 0.582932, test_loss 0.009788, ic 0.013765, icir 0.143811, ric 0.028703, ricir 0.249893, prec@10 0.486777, prec@30 0.501791, test_mae 0.066560, test_rmse 0.086982, test_mape 1375.283325, test_acc 0.666189
Epoch 20, train_loss 0.002761, train_ic -0.000153, train_icir -0.001594, train_ric 0.016693, train_ricir 0.168791, train_mae 0.081423, train_rmse 0.087861, train_mape 1697.094482, train_acc 0.474922, valid_loss 0.0118428188, valid_ic 0.004180, valid_icir 0.037427, valid_ric 0.022918, valid_ricir 0.184135, valid_mae 0.078009, valid_rmse 0.102470, valid_mape 1740.745361, valid_acc 0.587527, test_loss 0.011046, ic 0.012901, icir 0.132598, ric 0.035587, ricir 0.257672, prec@10 0.498347, prec@30 0.504408, test_mae 0.077893, test_rmse 0.094192, test_mape 1583.428101, test_acc 0.666598
Epoch 21, train_loss 0.002769, train_ic 0.000953, train_icir 0.010501, train_ric 0.014861, train_ricir 0.159740, train_mae 0.073332, train_rmse 0.080449, train_mape 977.834717, train_acc 0.248475, valid_loss 0.0094354956, valid_ic 0.004481, valid_icir 0.039406, valid_ric 0.021001, valid_ricir 0.184458, valid_mae 0.064747, valid_rmse 0.092356, valid_mape 1413.356567, valid_acc 0.578118, test_loss 0.008514, ic 0.014182, icir 0.140010, ric 0.034249, ricir 0.266593, prec@10 0.497107, prec@30 0.512534, test_mae 0.060967, test_rmse 0.080285, test_mape 1236.954956, test_acc 0.667213
Epoch 22, train_loss 0.002651, train_ic 0.000484, train_icir 0.004998, train_ric 0.009953, train_ricir 0.106721, train_mae 0.070086, train_rmse 0.079305, train_mape 1054.690796, train_acc 0.291071, valid_loss 0.0099872377, valid_ic 0.004511, valid_icir 0.035931, valid_ric 0.018093, valid_ricir 0.149375, valid_mae 0.068688, valid_rmse 0.096042, valid_mape 1491.906006, valid_acc 0.572867, test_loss 0.008952, ic 0.014783, icir 0.130623, ric 0.030321, ricir 0.220382, prec@10 0.525207, prec@30 0.515840, test_mae 0.063466, test_rmse 0.082744, test_mape 1276.776733, test_acc 0.666803
Epoch 23, train_loss 0.002677, train_ic -0.007351, train_icir -0.073815, train_ric 0.015229, train_ricir 0.140417, train_mae 0.062967, train_rmse 0.069419, train_mape 619.714722, train_acc 0.853485, valid_loss 0.0118609398, valid_ic 0.002294, valid_icir 0.024050, valid_ric 0.023195, valid_ricir 0.195288, valid_mae 0.081063, valid_rmse 0.102035, valid_mape 1827.385376, valid_acc 0.594967, test_loss 0.010998, ic 0.009891, icir 0.120102, ric 0.032729, ricir 0.233811, prec@10 0.457851, prec@30 0.456887, test_mae 0.079484, test_rmse 0.093267, test_mape 1622.800049, test_acc 0.665165
Epoch 24, train_loss 0.002518, train_ic 0.000900, train_icir 0.008055, train_ric 0.017005, train_ricir 0.142325, train_mae 0.078389, train_rmse 0.082429, train_mape 1397.592163, train_acc 0.718243, valid_loss 0.0103667070, valid_ic 0.005579, valid_icir 0.041435, valid_ric 0.023740, valid_ricir 0.163167, valid_mae 0.073579, valid_rmse 0.097303, valid_mape 1580.091919, valid_acc 0.549015, test_loss 0.009315, ic 0.017254, icir 0.134586, ric 0.037362, ricir 0.220989, prec@10 0.492562, prec@30 0.505785, test_mae 0.068231, test_rmse 0.085255, test_mape 1345.237793, test_acc 0.662503
Epoch 25, train_loss 0.002388, train_ic 0.001851, train_icir 0.019231, train_ric 0.012604, train_ricir 0.128456, train_mae 0.061515, train_rmse 0.070594, train_mape 1390.760742, train_acc 0.591633, valid_loss 0.0093553535, valid_ic 0.004995, valid_icir 0.046532, valid_ric 0.019239, valid_ricir 0.158811, valid_mae 0.065592, valid_rmse 0.090144, valid_mape 1389.049927, valid_acc 0.576149, test_loss 0.008616, ic 0.015228, icir 0.149936, ric 0.032500, ricir 0.231632, prec@10 0.504132, prec@30 0.506887, test_mae 0.063514, test_rmse 0.080642, test_mape 1251.082642, test_acc 0.661479
Epoch 26, train_loss 0.002613, train_ic -0.001564, train_icir -0.018033, train_ric 0.006562, train_ricir 0.077914, train_mae 0.077171, train_rmse 0.086500, train_mape 959.749634, train_acc 0.213333, valid_loss 0.0086619926, valid_ic 0.004369, valid_icir 0.039956, valid_ric 0.014109, valid_ricir 0.136034, valid_mae 0.063134, valid_rmse 0.086547, valid_mape 1375.906738, valid_acc 0.563895, test_loss 0.007792, ic 0.015257, icir 0.151124, ric 0.025646, ricir 0.217773, prec@10 0.491736, prec@30 0.507300, test_mae 0.058540, test_rmse 0.075192, test_mape 1191.695312, test_acc 0.662707
Epoch 27, train_loss 0.002725, train_ic 0.000295, train_icir 0.003804, train_ric 0.005809, train_ricir 0.076848, train_mae 0.049677, train_rmse 0.058989, train_mape 1003.778259, train_acc 0.549817, valid_loss 0.0087271722, valid_ic 0.004866, valid_icir 0.048549, valid_ric 0.011069, valid_ricir 0.132564, valid_mae 0.057890, valid_rmse 0.086852, valid_mape 1291.227051, valid_acc 0.544639, test_loss 0.007494, ic 0.014719, icir 0.161856, ric 0.020380, ricir 0.223473, prec@10 0.513636, prec@30 0.514601, test_mae 0.051739, test_rmse 0.073104, test_mape 1073.253540, test_acc 0.638337
Epoch 28, train_loss 0.002363, train_ic 0.000746, train_icir 0.007491, train_ric 0.012892, train_ricir 0.126209, train_mae 0.070479, train_rmse 0.088425, train_mape 1184.711426, train_acc 0.601078, valid_loss 0.0092528044, valid_ic 0.004874, valid_icir 0.047999, valid_ric 0.019931, valid_ricir 0.166360, valid_mae 0.068009, valid_rmse 0.089449, valid_mape 1452.084106, valid_acc 0.582057, test_loss 0.008569, ic 0.013929, icir 0.143705, ric 0.033068, ricir 0.232584, prec@10 0.469835, prec@30 0.501791, test_mae 0.066570, test_rmse 0.080980, test_mape 1305.980713, test_acc 0.657383
Epoch 29, train_loss 0.002369, train_ic 0.001440, train_icir 0.015333, train_ric 0.011766, train_ricir 0.131525, train_mae 0.064053, train_rmse 0.070703, train_mape 1276.184692, train_acc 0.378563, valid_loss 0.0077217827, valid_ic 0.005294, valid_icir 0.044495, valid_ric 0.017716, valid_ricir 0.158777, valid_mae 0.061736, valid_rmse 0.083155, valid_mape 1354.862061, valid_acc 0.561488, test_loss 0.007028, ic 0.015995, icir 0.144846, ric 0.029622, ricir 0.238394, prec@10 0.501240, prec@30 0.511433, test_mae 0.057954, test_rmse 0.072897, test_mape 1181.997437, test_acc 0.664550
Epoch 30, train_loss 0.002318, train_ic 0.002057, train_icir 0.026945, train_ric 0.002080, train_ricir 0.028227, train_mae 0.086394, train_rmse 0.113926, train_mape 754.138733, train_acc 0.291806, valid_loss 0.0104894614, valid_ic 0.005268, valid_icir 0.049454, valid_ric 0.008474, valid_ricir 0.098949, valid_mae 0.072876, valid_rmse 0.097221, valid_mape 1640.838379, valid_acc 0.576368, test_loss 0.009702, ic 0.014212, icir 0.149051, ric 0.017568, ricir 0.185694, prec@10 0.477686, prec@30 0.475344, test_mae 0.067877, test_rmse 0.085589, test_mape 1413.251465, test_acc 0.660455
