Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.004015, train_ic 0.001946, train_icir 0.018504, train_ric 0.021591, train_ricir 0.167261, train_mae 0.070591, train_rmse 0.083528, train_mape 1339.179932, train_acc 0.680512, valid_loss 0.0094005375, valid_ic -0.011222, valid_icir -0.150089, valid_ric 0.011658, valid_ricir 0.121111, valid_mae 0.077989, valid_rmse 0.095245, valid_mape 1615.627319, valid_acc 0.579424, test_loss 0.012581, ic -0.018283, icir -0.188048, ric 0.000915, ricir 0.006752, prec@10 0.432510, prec@30 0.465295, test_mae 0.080197, test_rmse 0.116904, test_mape 1576.691284, test_acc 0.683673
Epoch 13, train_loss 0.003857, train_ic -0.000172, train_icir -0.001943, train_ric 0.019097, train_ricir 0.196669, train_mae 0.040678, train_rmse 0.050417, train_mape 836.360657, train_acc 0.466937, valid_loss 0.0038099089, valid_ic -0.008233, valid_icir -0.138055, valid_ric 0.015683, valid_ricir 0.252375, valid_mae 0.041434, valid_rmse 0.064196, valid_mape 875.236389, valid_acc 0.546642, test_loss 0.007668, ic -0.014846, icir -0.177069, ric 0.005606, ricir 0.064792, prec@10 0.447737, prec@30 0.495610, test_mae 0.051704, test_rmse 0.099564, test_mape 1145.811157, test_acc 0.589650
Epoch 14, train_loss 0.004615, train_ic 0.003323, train_icir 0.033814, train_ric 0.025209, train_ricir 0.231787, train_mae 0.033839, train_rmse 0.041320, train_mape 723.785583, train_acc 0.608899, valid_loss 0.0047114648, valid_ic -0.002915, valid_icir -0.044877, valid_ric 0.016613, valid_ricir 0.223981, valid_mae 0.046305, valid_rmse 0.073682, valid_mape 954.816528, valid_acc 0.531183, test_loss 0.009484, ic -0.008673, icir -0.097140, ric 0.006044, ricir 0.058970, prec@10 0.434156, prec@30 0.484088, test_mae 0.061647, test_rmse 0.110420, test_mape 1277.317017, test_acc 0.515792
Epoch 15, train_loss 0.003315, train_ic 0.002011, train_icir 0.018139, train_ric 0.029847, train_ricir 0.236719, train_mae 0.045072, train_rmse 0.052124, train_mape 1015.997437, train_acc 0.552538, valid_loss 0.0064008920, valid_ic -0.009622, valid_icir -0.113607, valid_ric 0.019537, valid_ricir 0.203738, valid_mae 0.059010, valid_rmse 0.086777, valid_mape 1273.020996, valid_acc 0.542910, test_loss 0.012547, ic -0.019675, icir -0.170679, ric 0.005055, ricir 0.038251, prec@10 0.444444, prec@30 0.475446, test_mae 0.076734, test_rmse 0.127137, test_mape 1591.029785, test_acc 0.508260
Epoch 16, train_loss 0.003277, train_ic 0.002533, train_icir 0.026991, train_ric 0.026419, train_ricir 0.247516, train_mae 0.065045, train_rmse 0.074531, train_mape 1387.606201, train_acc 0.600279, valid_loss 0.0081649746, valid_ic -0.007455, valid_icir -0.116411, valid_ric 0.020375, valid_ricir 0.267630, valid_mae 0.073056, valid_rmse 0.087147, valid_mape 1556.749390, valid_acc 0.585554, test_loss 0.010640, ic -0.014050, icir -0.163730, ric 0.006819, ricir 0.065911, prec@10 0.410700, prec@30 0.463786, test_mae 0.074077, test_rmse 0.107268, test_mape 1475.362061, test_acc 0.711613
Epoch 17, train_loss 0.003762, train_ic 0.005182, train_icir 0.061962, train_ric 0.017915, train_ricir 0.190720, train_mae 0.082578, train_rmse 0.087645, train_mape 1439.428101, train_acc 0.398907, valid_loss 0.0084688871, valid_ic -0.000779, valid_icir -0.015610, valid_ric 0.010789, valid_ricir 0.186296, valid_mae 0.073121, valid_rmse 0.089082, valid_mape 1563.930664, valid_acc 0.576493, test_loss 0.011166, ic -0.004300, icir -0.062352, ric 0.004176, ricir 0.052552, prec@10 0.486831, prec@30 0.505350, test_mae 0.074645, test_rmse 0.109427, test_mape 1469.829834, test_acc 0.706511
Epoch 18, train_loss 0.003135, train_ic 0.002279, train_icir 0.026591, train_ric 0.018330, train_ricir 0.192159, train_mae 0.095748, train_rmse 0.100584, train_mape 1464.452148, train_acc 0.273918, valid_loss 0.0088753741, valid_ic -0.005668, valid_icir -0.097659, valid_ric 0.012248, valid_ricir 0.193464, valid_mae 0.077914, valid_rmse 0.091007, valid_mape 1690.168213, valid_acc 0.585821, test_loss 0.011071, ic -0.011553, icir -0.142564, ric 0.004348, ricir 0.048238, prec@10 0.467490, prec@30 0.495610, test_mae 0.076892, test_rmse 0.108027, test_mape 1536.647705, test_acc 0.713314
Epoch 19, train_loss 0.002989, train_ic 0.004869, train_icir 0.053558, train_ric 0.018533, train_ricir 0.193502, train_mae 0.060948, train_rmse 0.067371, train_mape 534.744141, train_acc 0.249706, valid_loss 0.0044563762, valid_ic -0.002711, valid_icir -0.044081, valid_ric 0.011474, valid_ricir 0.182911, valid_mae 0.047497, valid_rmse 0.068578, valid_mape 989.102905, valid_acc 0.547708, test_loss 0.008148, ic -0.008519, icir -0.097511, ric 0.004583, ricir 0.050760, prec@10 0.480247, prec@30 0.504390, test_mae 0.058781, test_rmse 0.102239, test_mape 1172.610718, test_acc 0.573858
Epoch 20, train_loss 0.003112, train_ic 0.003818, train_icir 0.043676, train_ric 0.019522, train_ricir 0.199193, train_mae 0.114283, train_rmse 0.124045, train_mape 1317.760620, train_acc 0.561184, valid_loss 0.0158530882, valid_ic -0.004927, valid_icir -0.085785, valid_ric 0.012900, valid_ricir 0.202734, valid_mae 0.111093, valid_rmse 0.120605, valid_mape 2406.086670, valid_acc 0.590885, test_loss 0.017151, ic -0.010498, icir -0.130628, ric 0.004971, ricir 0.055653, prec@10 0.469136, prec@30 0.489575, test_mae 0.107193, test_rmse 0.129169, test_mape 1986.885620, test_acc 0.719874
Epoch 21, train_loss 0.003541, train_ic 0.001315, train_icir 0.013798, train_ric 0.016713, train_ricir 0.163412, train_mae 0.051156, train_rmse 0.055052, train_mape 65040.714844, train_acc 0.701866, valid_loss 0.0051710143, valid_ic -0.006659, valid_icir -0.099988, valid_ric 0.010180, valid_ricir 0.149411, valid_mae 0.055541, valid_rmse 0.071259, valid_mape 1174.998535, valid_acc 0.563699, test_loss 0.007983, ic -0.014031, icir -0.153624, ric 0.002185, ricir 0.022607, prec@10 0.411523, prec@30 0.466529, test_mae 0.061841, test_rmse 0.097253, test_mape 1218.465576, test_acc 0.614917
