Dataset:  NASDAQ
Radom seed: 1234
GPU: 7
Learning rate: 1e-05
Loss: MaskedMSELoss

---------- Marketformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "NASDAQ",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20
    },
    "early_stop": 30,
    "runner": "basic2",
    "loss": "mse",
    "model_args": {
        "d_feat": 5,
        "seq_len": 16,
        "pred_len": 1,
        "n_node": 1026,
        "d_emb": 8,
        "d_model": 64,
        "dff": 256,
        "nheads": 2,
        "num_layers": 2,
        "alpha": 1,
        "dropout": 0.1
    }
}
Epoch 16, train_loss 0.001957, train_ic 0.036306, train_icir 0.377800, train_ric 0.036260, train_ricir 0.349718, valid_loss 0.0016375162 , valid_ic 0.033475, valid_icir 0.286917, valid_ric 0.033030, valid_ricir 0.254988, test_loss 0.001218, ic 0.022740, icir 0.229288, ric 0.036753, ricir 0.320312, prec@10 0.851055, prec@30 0.857384 
Epoch 17, train_loss 0.001781, train_ic 0.000355, train_icir 0.003997, train_ric 0.013293, train_ricir 0.143994, valid_loss 0.0017082274 , valid_ic 0.006645, valid_icir 0.063301, valid_ric 0.015055, valid_ricir 0.133716, test_loss 0.001431, ic 0.013272, icir 0.136106, ric 0.033661, ricir 0.284367, prec@10 0.112236, prec@30 0.112518 
Epoch 18, train_loss 0.001614, train_ic 0.018198, train_icir 0.186185, train_ric 0.025422, train_ricir 0.253972, valid_loss 0.0010276645 , valid_ic 0.020840, valid_icir 0.193127, valid_ric 0.024865, valid_ricir 0.211472, test_loss 0.000801, ic 0.017272, icir 0.169654, ric 0.035574, ricir 0.297010, prec@10 0.265401, prec@30 0.263150 
Epoch 19, train_loss 0.001481, train_ic 0.030955, train_icir 0.315182, train_ric 0.034073, train_ricir 0.327776, valid_loss 0.0009580375 , valid_ic 0.031573, valid_icir 0.280113, valid_ric 0.033309, valid_ricir 0.266979, test_loss 0.000711, ic 0.021840, icir 0.217415, ric 0.037363, ricir 0.319770, prec@10 0.698734, prec@30 0.699437 
Epoch 20, train_loss 0.001381, train_ic 0.036299, train_icir 0.404774, train_ric 0.036272, train_ricir 0.360081, valid_loss 0.0009682951 , valid_ic 0.036334, valid_icir 0.317208, valid_ric 0.035989, valid_ricir 0.283020, test_loss 0.000792, ic 0.019132, icir 0.206817, ric 0.036293, ricir 0.321098, prec@10 0.649789, prec@30 0.636990 
Epoch 21, train_loss 0.001309, train_ic 0.023229, train_icir 0.237505, train_ric 0.029080, train_ricir 0.284827, valid_loss 0.0008333648 , valid_ic 0.026870, valid_icir 0.247555, valid_ric 0.030272, valid_ricir 0.254348, test_loss 0.000644, ic 0.018499, icir 0.184996, ric 0.036356, ricir 0.306400, prec@10 0.387764, prec@30 0.381294 
Epoch 22, train_loss 0.001237, train_ic 0.031966, train_icir 0.328001, train_ric 0.034576, train_ricir 0.332746, valid_loss 0.0008886659 , valid_ic 0.034796, valid_icir 0.308795, valid_ric 0.036662, valid_ricir 0.292830, test_loss 0.000660, ic 0.022233, icir 0.224693, ric 0.037662, ricir 0.326603, prec@10 0.720675, prec@30 0.717440 
Epoch 23, train_loss 0.001134, train_ic 0.015565, train_icir 0.160226, train_ric 0.023448, train_ricir 0.235249, valid_loss 0.0009966984 , valid_ic 0.022595, valid_icir 0.212175, valid_ric 0.027982, valid_ricir 0.242347, test_loss 0.000803, ic 0.016675, icir 0.164499, ric 0.035286, ricir 0.294254, prec@10 0.182278, prec@30 0.177637 
Epoch 24, train_loss 0.001089, train_ic 0.012952, train_icir 0.134972, train_ric 0.023809, train_ricir 0.238880, valid_loss 0.0007694211 , valid_ic 0.022965, valid_icir 0.215086, valid_ric 0.030514, valid_ricir 0.262240, test_loss 0.000592, ic 0.019103, icir 0.190481, ric 0.038068, ricir 0.317937, prec@10 0.516034, prec@30 0.532771 
Epoch 25, train_loss 0.001050, train_ic 0.012546, train_icir 0.131768, train_ric 0.024166, train_ricir 0.243017, valid_loss 0.0007572730 , valid_ic 0.023144, valid_icir 0.217281, valid_ric 0.031288, valid_ricir 0.269193, test_loss 0.000592, ic 0.019118, icir 0.193145, ric 0.038032, ricir 0.317861, prec@10 0.530802, prec@30 0.548664 
