Dataset:  CSI2259
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.178072, train_ic 0.010410, train_icir 0.101140, train_ric 0.035706, train_ricir 0.316977, train_mae 0.173526, train_rmse 0.289730, train_mape 3491.668213, train_acc 0.568393, valid_loss 0.0691775799, valid_ic -0.004328, valid_icir -0.051074, valid_ric 0.018756, valid_ricir 0.194533, valid_prec@10 0.487705, valid_prec@30 0.513934, valid_mae 0.131234, valid_rmse 0.253962, valid_mape 2867.669678, valid_acc 0.394865, test_loss 0.049353, ic 0.001121, icir 0.010662, ric 0.017699, ricir 0.168290, prec@10 0.394239, prec@30 0.459945, test_mae 0.076562, test_rmse 0.178851, test_mape 1437.080322, test_acc 0.489597
Epoch 2, train_loss 0.043257, train_ic 0.010697, train_icir 0.110836, train_ric 0.027201, train_ricir 0.211555, train_mae 0.056714, train_rmse 0.125919, train_mape 910.254639, train_acc 0.484285, valid_loss 0.0352511112, valid_ic -0.004556, valid_icir -0.056934, valid_ric 0.010924, valid_ricir 0.112452, valid_prec@10 0.613115, valid_prec@30 0.584699, valid_mae 0.082145, valid_rmse 0.185423, valid_mape 1781.972290, valid_acc 0.455511, test_loss 0.027960, ic 0.001436, icir 0.014201, ric 0.014390, ricir 0.119503, prec@10 0.495885, prec@30 0.523045, test_mae 0.060067, test_rmse 0.134369, test_mape 1062.791016, test_acc 0.519256
Epoch 3, train_loss 0.025261, train_ic 0.012311, train_icir 0.143579, train_ric 0.026690, train_ricir 0.218720, train_mae 0.020216, train_rmse 0.054667, train_mape 413.770233, train_acc 0.619301, valid_loss 0.0230149989, valid_ic -0.004376, valid_icir -0.059693, valid_ric 0.000747, valid_ricir 0.008034, valid_prec@10 0.549180, valid_prec@30 0.544262, valid_mae 0.067777, valid_rmse 0.153051, valid_mape 1400.397095, valid_acc 0.200531, test_loss 0.019229, ic 0.001179, icir 0.012981, ric 0.004254, ricir 0.040234, prec@10 0.487654, prec@30 0.501372, test_mae 0.041749, test_rmse 0.109625, test_mape 755.773438, test_acc 0.435148
Epoch 4, train_loss 0.017657, train_ic 0.010941, train_icir 0.146490, train_ric 0.017643, train_ricir 0.174873, train_mae 0.022140, train_rmse 0.046809, train_mape 509.059235, train_acc 0.564409, valid_loss 0.0166882814, valid_ic -0.004851, valid_icir -0.073259, valid_ric -0.007244, valid_ricir -0.142136, valid_prec@10 0.541393, valid_prec@30 0.512432, valid_mae 0.048731, valid_rmse 0.130317, valid_mape 1061.563477, valid_acc 0.615317, test_loss 0.014798, ic -0.000938, icir -0.012026, ric -0.014585, ricir -0.252092, prec@10 0.499588, prec@30 0.492455, test_mae 0.035969, test_rmse 0.095265, test_mape 668.212341, test_acc 0.509517
Epoch 5, train_loss 0.013368, train_ic 0.013463, train_icir 0.154932, train_ric 0.029336, train_ricir 0.211681, train_mae 0.064449, train_rmse 0.125873, train_mape 75.656662, train_acc 0.467021, valid_loss 0.0134309453, valid_ic -0.003834, valid_icir -0.055018, valid_ric 0.001239, valid_ricir 0.012459, valid_prec@10 0.645082, valid_prec@30 0.594672, valid_mae 0.051513, valid_rmse 0.117725, valid_mape 1113.669067, valid_acc 0.635680, test_loss 0.013083, ic 0.002630, icir 0.029840, ric 0.007302, ricir 0.060475, prec@10 0.534568, prec@30 0.545405, test_mae 0.051335, test_rmse 0.093267, test_mape 924.269409, test_acc 0.531208
Epoch 6, train_loss 0.010532, train_ic 0.010615, train_icir 0.108767, train_ric 0.029145, train_ricir 0.209925, train_mae 0.116893, train_rmse 0.152648, train_mape 136.492401, train_acc 0.299247, valid_loss 0.0113462339, valid_ic -0.003768, valid_icir -0.052967, valid_ric 0.006241, valid_ricir 0.060534, valid_prec@10 0.648361, valid_prec@30 0.594536, valid_mae 0.051257, valid_rmse 0.109646, valid_mape 1068.163696, valid_acc 0.606906, test_loss 0.012876, ic 0.003495, icir 0.037005, ric 0.010867, ricir 0.086454, prec@10 0.548148, prec@30 0.560631, test_mae 0.064409, test_rmse 0.101931, test_mape 1100.079224, test_acc 0.529438
Epoch 7, train_loss 0.008706, train_ic 0.010340, train_icir 0.176864, train_ric -0.009665, train_ricir -0.084089, train_mae 0.023706, train_rmse 0.041118, train_mape 276.014282, train_acc 0.230190, valid_loss 0.0081456413, valid_ic -0.004370, valid_icir -0.082248, valid_ric -0.019499, valid_ricir -0.283455, valid_prec@10 0.556148, valid_prec@30 0.526639, valid_mae 0.032076, valid_rmse 0.093958, valid_mape 597.052429, valid_acc 0.369633, test_loss 0.008156, ic -0.000735, icir -0.012076, ric -0.024193, ricir -0.293581, prec@10 0.530453, prec@30 0.506173, test_mae 0.026759, test_rmse 0.070878, test_mape 413.968719, test_acc 0.404604
Epoch 8, train_loss 0.007325, train_ic 0.013801, train_icir 0.212634, train_ric 0.025018, train_ricir 0.187026, train_mae 0.019065, train_rmse 0.035847, train_mape 166.255371, train_acc 0.767154, valid_loss 0.0068899122, valid_ic -0.003996, valid_icir -0.070065, valid_ric -0.013587, valid_ricir -0.157141, valid_prec@10 0.530328, valid_prec@30 0.475820, valid_mae 0.027811, valid_rmse 0.085516, valid_mape 595.235291, valid_acc 0.667552, test_loss 0.007191, ic 0.001100, icir 0.016039, ric -0.012415, ricir -0.131791, prec@10 0.543621, prec@30 0.496022, test_mae 0.025004, test_rmse 0.065709, test_mape 416.358429, test_acc 0.536963
Epoch 9, train_loss 0.006163, train_ic 0.010142, train_icir 0.131935, train_ric 0.029528, train_ricir 0.230233, train_mae 0.022595, train_rmse 0.035404, train_mape 374.424286, train_acc 0.779548, valid_loss 0.0062546932, valid_ic -0.003783, valid_icir -0.066123, valid_ric 0.005969, valid_ricir 0.069151, valid_prec@10 0.643443, valid_prec@30 0.595082, valid_mae 0.033627, valid_rmse 0.081090, valid_mape 753.808411, valid_acc 0.668437, test_loss 0.007251, ic 0.002017, icir 0.026943, ric 0.008044, ricir 0.071893, prec@10 0.547737, prec@30 0.558985, test_mae 0.040465, test_rmse 0.071289, test_mape 684.104797, test_acc 0.533422
Epoch 10, train_loss 0.005390, train_ic 0.006233, train_icir 0.108426, train_ric -0.015602, train_ricir -0.131106, train_mae 0.019336, train_rmse 0.027486, train_mape 317.056702, train_acc 0.374502, valid_loss 0.0049530642, valid_ic -0.005203, valid_icir -0.100118, valid_ric -0.021023, valid_ricir -0.264065, valid_prec@10 0.523770, valid_prec@30 0.517760, valid_mae 0.022977, valid_rmse 0.072557, valid_mape 472.634125, valid_acc 0.664896, test_loss 0.005508, ic -0.000479, icir -0.007623, ric -0.009924, ricir -0.106159, prec@10 0.489712, prec@30 0.474897, test_mae 0.023329, test_rmse 0.057436, test_mape 358.057373, test_acc 0.532979
Epoch 11, train_loss 0.004896, train_ic 0.011052, train_icir 0.192318, train_ric 0.017370, train_ricir 0.131403, train_mae 0.021416, train_rmse 0.063098, train_mape 550.199097, train_acc 0.406817, valid_loss 0.0041583175, valid_ic -0.003899, valid_icir -0.084241, valid_ric 0.002742, valid_ricir 0.034826, valid_prec@10 0.561885, valid_prec@30 0.556421, valid_mae 0.020281, valid_rmse 0.067315, valid_mape 361.396271, valid_acc 0.526339, test_loss 0.004742, ic -0.001530, icir -0.027146, ric -0.012779, ricir -0.144968, prec@10 0.528395, prec@30 0.496022, test_mae 0.019404, test_rmse 0.053471, test_mape 225.279709, test_acc 0.471890
Epoch 12, train_loss 0.004164, train_ic 0.005560, train_icir 0.111924, train_ric -0.004413, train_ricir -0.044215, train_mae 0.022872, train_rmse 0.038383, train_mape 173.092651, train_acc 0.273572, valid_loss 0.0036008076, valid_ic -0.004690, valid_icir -0.107051, valid_ric -0.003938, valid_ricir -0.056407, valid_prec@10 0.627869, valid_prec@30 0.557787, valid_mae 0.020720, valid_rmse 0.063161, valid_mape 353.343750, valid_acc 0.462594, test_loss 0.004336, ic -0.001771, icir -0.033027, ric -0.010290, ricir -0.165111, prec@10 0.547737, prec@30 0.556104, test_mae 0.021943, test_rmse 0.053746, test_mape 259.019196, test_acc 0.448871
Epoch 13, train_loss 0.003735, train_ic 0.004241, train_icir 0.077437, train_ric -0.027869, train_ricir -0.226001, train_mae 0.037154, train_rmse 0.049775, train_mape 259.602966, train_acc 0.144754, valid_loss 0.0032644595, valid_ic -0.004665, valid_icir -0.123357, valid_ric -0.019909, valid_ricir -0.226196, valid_prec@10 0.535656, valid_prec@30 0.508880, valid_mae 0.028737, valid_rmse 0.061866, valid_mape 505.314545, valid_acc 0.250553, test_loss 0.003913, ic -0.001331, icir -0.030235, ric -0.017160, ricir -0.165845, prec@10 0.496708, prec@30 0.486694, test_mae 0.027234, test_rmse 0.051004, test_mape 384.591248, test_acc 0.384683
Epoch 14, train_loss 0.003449, train_ic 0.011993, train_icir 0.188081, train_ric 0.017659, train_ricir 0.132312, train_mae 0.022202, train_rmse 0.047555, train_mape 173.942596, train_acc 0.374502, valid_loss 0.0027031299, valid_ic -0.003257, valid_icir -0.069920, valid_ric -0.007015, valid_ricir -0.087625, valid_prec@10 0.605328, valid_prec@30 0.592623, valid_mae 0.017913, valid_rmse 0.054889, valid_mape 277.479584, valid_acc 0.501549, test_loss 0.003353, ic 0.001515, icir 0.025292, ric 0.006012, ricir 0.060170, prec@10 0.539095, prec@30 0.541838, test_mae 0.018856, test_rmse 0.045666, test_mape 210.514313, test_acc 0.504648
Epoch 15, train_loss 0.003190, train_ic 0.003736, train_icir 0.073801, train_ric -0.028300, train_ricir -0.235286, train_mae 0.017760, train_rmse 0.043314, train_mape 295.472015, train_acc 0.416113, valid_loss 0.0024064825, valid_ic -0.004174, valid_icir -0.112488, valid_ric -0.017602, valid_ricir -0.196583, valid_prec@10 0.515164, valid_prec@30 0.497814, valid_mae 0.019393, valid_rmse 0.051948, valid_mape 307.156830, valid_acc 0.332448, test_loss 0.002996, ic -0.001968, icir -0.045543, ric -0.020964, ricir -0.210870, prec@10 0.504527, prec@30 0.488615, test_mae 0.019643, test_rmse 0.043753, test_mape 223.514206, test_acc 0.408145
Epoch 16, train_loss 0.003016, train_ic 0.012127, train_icir 0.128804, train_ric 0.033346, train_ricir 0.245075, train_mae 0.020634, train_rmse 0.043971, train_mape 470.690552, train_acc 0.550686, valid_loss 0.0024799797, valid_ic -0.002354, valid_icir -0.040466, valid_ric 0.010108, valid_ricir 0.099929, valid_prec@10 0.639344, valid_prec@30 0.594126, valid_mae 0.022818, valid_rmse 0.051000, valid_mape 445.610535, valid_acc 0.629482, test_loss 0.003489, ic 0.004093, icir 0.052063, ric 0.012284, ricir 0.098857, prec@10 0.545679, prec@30 0.552263, test_mae 0.032033, test_rmse 0.051194, test_mape 480.518738, test_acc 0.532094
Epoch 17, train_loss 0.002758, train_ic 0.012916, train_icir 0.193840, train_ric 0.026458, train_ricir 0.199743, train_mae 0.026622, train_rmse 0.051768, train_mape 467.144592, train_acc 0.491811, valid_loss 0.0022884322, valid_ic -0.003556, valid_icir -0.085365, valid_ric -0.004455, valid_ricir -0.060889, valid_prec@10 0.531557, valid_prec@30 0.516940, valid_mae 0.020891, valid_rmse 0.046558, valid_mape 485.466705, valid_acc 0.666224, test_loss 0.002818, ic -0.003618, icir -0.080224, ric -0.017676, ricir -0.201757, prec@10 0.502469, prec@30 0.484362, test_mae 0.023724, test_rmse 0.041502, test_mape 375.488159, test_acc 0.501549
Epoch 18, train_loss 0.002586, train_ic 0.023910, train_icir 0.357615, train_ric -0.002259, train_ricir -0.015014, train_mae 0.023542, train_rmse 0.029805, train_mape 175.751358, train_acc 0.196990, valid_loss 0.0016907298, valid_ic -0.001224, valid_icir -0.029460, valid_ric -0.033853, valid_ricir -0.366114, valid_prec@10 0.553279, valid_prec@30 0.507377, valid_mae 0.018447, valid_rmse 0.044148, valid_mape 267.249298, valid_acc 0.226206, test_loss 0.002201, ic 0.001936, icir 0.040517, ric -0.030531, ricir -0.314648, prec@10 0.513580, prec@30 0.496022, test_mae 0.018192, test_rmse 0.037270, test_mape 197.507889, test_acc 0.388668
Epoch 19, train_loss 0.002494, train_ic 0.017895, train_icir 0.220004, train_ric -0.011299, train_ricir -0.078657, train_mae 0.019991, train_rmse 0.028038, train_mape 209.431671, train_acc 0.318282, valid_loss 0.0016144013, valid_ic -0.001361, valid_icir -0.036357, valid_ric -0.021122, valid_ricir -0.218347, valid_prec@10 0.526639, valid_prec@30 0.510656, valid_mae 0.016232, valid_rmse 0.040967, valid_mape 270.742889, valid_acc 0.490040, test_loss 0.002115, ic 0.004402, icir 0.101340, ric -0.017580, ricir -0.161225, prec@10 0.525514, prec@30 0.506996, test_mae 0.017355, test_rmse 0.036261, test_mape 203.440216, test_acc 0.434706
Epoch 20, train_loss 0.002374, train_ic 0.013813, train_icir 0.263409, train_ric -0.016182, train_ricir -0.132702, train_mae 0.043181, train_rmse 0.058394, train_mape 265.293549, train_acc 0.196104, valid_loss 0.0016141678, valid_ic -0.000672, valid_icir -0.019224, valid_ric -0.015750, valid_ricir -0.180049, valid_prec@10 0.554098, valid_prec@30 0.561475, valid_mae 0.016516, valid_rmse 0.038945, valid_mape 354.590454, valid_acc 0.682603, test_loss 0.002131, ic 0.003330, icir 0.078502, ric -0.014829, ricir -0.187499, prec@10 0.554733, prec@30 0.533608, test_mae 0.020184, test_rmse 0.037266, test_mape 288.393494, test_acc 0.530323
Epoch 21, train_loss 0.002324, train_ic 0.015855, train_icir 0.194951, train_ric 0.010550, train_ricir 0.076549, train_mae 0.038170, train_rmse 0.051871, train_mape 115.555298, train_acc 0.471448, valid_loss 0.0013555939, valid_ic -0.001921, valid_icir -0.049792, valid_ric -0.005225, valid_ricir -0.060728, valid_prec@10 0.499180, valid_prec@30 0.483470, valid_mae 0.015548, valid_rmse 0.037169, valid_mape 260.422150, valid_acc 0.561310, test_loss 0.001853, ic -0.001138, icir -0.027876, ric -0.010383, ricir -0.100587, prec@10 0.472840, prec@30 0.486283, test_mae 0.019194, test_rmse 0.034967, test_mape 226.289703, test_acc 0.447100
