Dataset:  CSI2259
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.178072, train_ic 0.010410, train_icir 0.101140, train_ric 0.035706, train_ricir 0.316977, train_mae 0.173526, train_rmse 0.289730, train_mape 3491.668213, train_acc 0.568393, valid_loss 0.0691775799, valid_ic -0.004328, valid_icir -0.051074, valid_ric 0.018756, valid_ricir 0.194533, valid_prec@10 0.487705, valid_prec@30 0.513934, valid_mae 0.131234, valid_rmse 0.253962, valid_mape 2867.669678, valid_acc 0.394865, test_loss 0.049353, ic 0.001121, icir 0.010662, ric 0.017699, ricir 0.168290, prec@10 0.394239, prec@30 0.459945, test_mae 0.076562, test_rmse 0.178851, test_mape 1437.080322, test_acc 0.489597
Epoch 22, train_loss 0.002250, train_ic 0.014780, train_icir 0.228010, train_ric -0.019777, train_ricir -0.150520, train_mae 0.053749, train_rmse 0.067569, train_mape 134.167267, train_acc 0.561310, valid_loss 0.0011755995, valid_ic -0.001359, valid_icir -0.039277, valid_ric -0.021490, valid_ricir -0.233991, valid_prec@10 0.579508, valid_prec@30 0.548907, valid_mae 0.014848, valid_rmse 0.035511, valid_mape 204.743149, valid_acc 0.424967, test_loss 0.001619, ic 0.000764, icir 0.020652, ric -0.023656, ricir -0.237027, prec@10 0.533333, prec@30 0.509053, test_mae 0.015882, test_rmse 0.032591, test_mape 157.689087, test_acc 0.420540
Epoch 23, train_loss 0.002055, train_ic 0.022528, train_icir 0.351501, train_ric 0.038589, train_ricir 0.310094, train_mae 0.043062, train_rmse 0.055810, train_mape 116.857018, train_acc 0.390881, valid_loss 0.0010922865, valid_ic 0.000230, valid_icir 0.006161, valid_ric 0.017650, valid_ricir 0.238021, valid_prec@10 0.561475, valid_prec@30 0.556967, valid_mae 0.012684, valid_rmse 0.033447, valid_mape 168.442780, valid_acc 0.580788, test_loss 0.001558, ic 0.002156, icir 0.049677, ric 0.005160, ricir 0.060931, prec@10 0.537037, prec@30 0.530590, test_mae 0.015579, test_rmse 0.032251, test_mape 152.154633, test_acc 0.492253
Epoch 24, train_loss 0.002009, train_ic 0.018702, train_icir 0.244194, train_ric 0.036497, train_ricir 0.291757, train_mae 0.031856, train_rmse 0.058044, train_mape 197.796738, train_acc 0.514387, valid_loss 0.0012295540, valid_ic -0.002778, valid_icir -0.060411, valid_ric 0.003728, valid_ricir 0.044360, valid_prec@10 0.516393, valid_prec@30 0.503825, valid_mae 0.014902, valid_rmse 0.032842, valid_mape 287.300934, valid_acc 0.648074, test_loss 0.001710, ic 0.001817, icir 0.034288, ric 0.004832, ricir 0.049309, prec@10 0.497531, prec@30 0.492455, test_mae 0.019630, test_rmse 0.033476, test_mape 297.611511, test_acc 0.536521
Epoch 25, train_loss 0.002035, train_ic 0.030632, train_icir 0.269749, train_ric 0.024548, train_ricir 0.156243, train_mae 0.028839, train_rmse 0.038267, train_mape 131.618332, train_acc 0.778220, valid_loss 0.0011380728, valid_ic 0.002825, valid_icir 0.051481, valid_ric -0.005518, valid_ricir -0.056148, valid_prec@10 0.516393, valid_prec@30 0.514617, valid_mae 0.020873, valid_rmse 0.036806, valid_mape 332.254761, valid_acc 0.307658, test_loss 0.001517, ic 0.011088, icir 0.169953, ric 0.003616, ricir 0.031011, prec@10 0.507407, prec@30 0.491770, test_mae 0.018098, test_rmse 0.032956, test_mape 232.153961, test_acc 0.469234
Epoch 26, train_loss 0.001864, train_ic 0.019381, train_icir 0.185132, train_ric 0.044745, train_ricir 0.315999, train_mae 0.025746, train_rmse 0.039396, train_mape 186.598236, train_acc 0.468792, valid_loss 0.0010651007, valid_ic -0.001003, valid_icir -0.017483, valid_ric 0.014178, valid_ricir 0.135280, valid_prec@10 0.634426, valid_prec@30 0.595902, valid_mae 0.015280, valid_rmse 0.032043, valid_mape 248.154907, valid_acc 0.587428, test_loss 0.001650, ic 0.003591, icir 0.049607, ric 0.014587, ricir 0.115466, prec@10 0.533333, prec@30 0.549520, test_mae 0.021765, test_rmse 0.035752, test_mape 297.046814, test_acc 0.529880
Epoch 27, train_loss 0.001946, train_ic 0.012539, train_icir 0.154236, train_ric 0.000466, train_ricir 0.004064, train_mae 0.016044, train_rmse 0.027791, train_mape 243.897507, train_acc 0.417441, valid_loss 0.0009804003, valid_ic -0.003680, valid_icir -0.101021, valid_ric -0.017104, valid_ricir -0.345935, valid_prec@10 0.539754, valid_prec@30 0.503825, valid_mae 0.014299, valid_rmse 0.030688, valid_mape 213.352036, valid_acc 0.562196, test_loss 0.001434, ic -0.000958, icir -0.025404, ric -0.015526, ricir -0.216559, prec@10 0.524691, prec@30 0.500686, test_mae 0.018382, test_rmse 0.032651, test_mape 211.023239, test_acc 0.475874
Epoch 28, train_loss 0.001911, train_ic 0.007518, train_icir 0.088413, train_ric 0.036589, train_ricir 0.291211, train_mae 0.073474, train_rmse 0.078377, train_mape 89.476204, train_acc 0.863214, valid_loss 0.0009908882, valid_ic -0.002303, valid_icir -0.061647, valid_ric 0.028685, valid_ricir 0.330239, valid_prec@10 0.543443, valid_prec@30 0.534426, valid_mae 0.020376, valid_rmse 0.033765, valid_mape 318.168579, valid_acc 0.208942, test_loss 0.001363, ic -0.000908, icir -0.020697, ric 0.022222, ricir 0.224442, prec@10 0.518930, prec@30 0.506173, test_mae 0.016481, test_rmse 0.031354, test_mape 187.997177, test_acc 0.428951
Epoch 29, train_loss 0.001790, train_ic 0.022143, train_icir 0.225662, train_ric 0.018399, train_ricir 0.137115, train_mae 0.022093, train_rmse 0.031338, train_mape 313.478027, train_acc 0.521027, valid_loss 0.0010975135, valid_ic 0.002885, valid_icir 0.067844, valid_ric 0.008543, valid_ricir 0.099464, valid_prec@10 0.514754, valid_prec@30 0.517077, valid_mae 0.023549, valid_rmse 0.035585, valid_mape 377.928650, valid_acc 0.246127, test_loss 0.001574, ic -0.003374, icir -0.087481, ric -0.009985, ricir -0.103331, prec@10 0.497119, prec@30 0.496022, test_mae 0.026057, test_rmse 0.037996, test_mape 376.558685, test_acc 0.392652
Epoch 30, train_loss 0.001813, train_ic 0.007644, train_icir 0.112051, train_ric 0.039988, train_ricir 0.338537, train_mae 0.012745, train_rmse 0.018683, train_mape 148.527664, train_acc 0.399292, valid_loss 0.0008402311, valid_ic -0.003447, valid_icir -0.095688, valid_ric 0.032142, valid_ricir 0.347966, valid_prec@10 0.516803, valid_prec@30 0.532923, valid_mae 0.011365, valid_rmse 0.027243, valid_mape 149.873901, valid_acc 0.679947, test_loss 0.001248, ic -0.001423, icir -0.038602, ric 0.024104, ricir 0.269665, prec@10 0.486831, prec@30 0.499726, test_mae 0.015082, test_rmse 0.029421, test_mape 164.310211, test_acc 0.536963
Epoch 31, train_loss 0.001749, train_ic 0.014145, train_icir 0.138757, train_ric -0.018797, train_ricir -0.140861, train_mae 0.023555, train_rmse 0.028924, train_mape 473.108398, train_acc 0.427180, valid_loss 0.0013250623, valid_ic -0.002136, valid_icir -0.059138, valid_ric -0.025765, valid_ricir -0.321136, valid_prec@10 0.559426, valid_prec@30 0.534016, valid_mae 0.018990, valid_rmse 0.030868, valid_mape 415.592468, valid_acc 0.640549, test_loss 0.001665, ic -0.001172, icir -0.023137, ric -0.019931, ricir -0.188227, prec@10 0.540329, prec@30 0.521948, test_mae 0.022331, test_rmse 0.034033, test_mape 339.561798, test_acc 0.483400
Epoch 32, train_loss 0.001815, train_ic 0.025877, train_icir 0.296695, train_ric 0.010171, train_ricir 0.081010, train_mae 0.016226, train_rmse 0.024189, train_mape 301.662750, train_acc 0.329792, valid_loss 0.0008503490, valid_ic -0.001460, valid_icir -0.042684, valid_ric -0.019866, valid_ricir -0.313603, valid_prec@10 0.552869, valid_prec@30 0.519945, valid_mae 0.012476, valid_rmse 0.026805, valid_mape 185.259064, valid_acc 0.625941, test_loss 0.001236, ic -0.000006, icir -0.000167, ric -0.016176, ricir -0.206818, prec@10 0.525514, prec@30 0.503978, test_mae 0.015935, test_rmse 0.029063, test_mape 179.473221, test_acc 0.502435
Epoch 33, train_loss 0.001745, train_ic 0.026936, train_icir 0.286037, train_ric -0.010338, train_ricir -0.081026, train_mae 0.063603, train_rmse 0.068079, train_mape 212.775513, train_acc 0.027888, valid_loss 0.0018053997, valid_ic 0.005355, valid_icir 0.135205, valid_ric -0.010280, valid_ricir -0.109743, valid_prec@10 0.543443, valid_prec@30 0.529781, valid_mae 0.041450, valid_rmse 0.048366, valid_mape 765.194702, valid_acc 0.194776, test_loss 0.002180, ic 0.008107, icir 0.250818, ric -0.008438, ricir -0.105753, prec@10 0.506996, prec@30 0.499726, test_mae 0.038026, test_rmse 0.046638, test_mape 634.495422, test_acc 0.386012
Epoch 34, train_loss 0.001815, train_ic 0.017004, train_icir 0.193825, train_ric 0.019589, train_ricir 0.155471, train_mae 0.026129, train_rmse 0.034679, train_mape 131.675140, train_acc 0.244799, valid_loss 0.0007542896, valid_ic -0.000470, valid_icir -0.014387, valid_ric 0.007464, valid_ricir 0.094944, valid_prec@10 0.562705, valid_prec@30 0.550820, valid_mae 0.014973, valid_rmse 0.027824, valid_mape 180.654892, valid_acc 0.343072, test_loss 0.001145, ic 0.000767, icir 0.024561, ric -0.002438, ricir -0.025509, prec@10 0.514403, prec@30 0.514403, test_mae 0.016961, test_rmse 0.029256, test_mape 172.158020, test_acc 0.416113
Epoch 35, train_loss 0.001714, train_ic 0.019637, train_icir 0.224519, train_ric 0.013445, train_ricir 0.111755, train_mae 0.026471, train_rmse 0.035136, train_mape 242.068176, train_acc 0.458610, valid_loss 0.0009213064, valid_ic 0.001817, valid_icir 0.055322, valid_ric 0.002878, valid_ricir 0.041690, valid_prec@10 0.654508, valid_prec@30 0.603279, valid_mae 0.023472, valid_rmse 0.033441, valid_mape 376.948181, valid_acc 0.214697, test_loss 0.001257, ic 0.006422, icir 0.153094, ric 0.007075, ricir 0.086319, prec@10 0.550206, prec@30 0.562414, test_mae 0.019807, test_rmse 0.031827, test_mape 274.662415, test_acc 0.430722
Epoch 36, train_loss 0.001647, train_ic 0.039411, train_icir 0.445350, train_ric 0.021725, train_ricir 0.169687, train_mae 0.017233, train_rmse 0.023984, train_mape 128.794785, train_acc 0.396636, valid_loss 0.0007176206, valid_ic 0.003824, valid_icir 0.111803, valid_ric -0.004382, valid_ricir -0.058952, valid_prec@10 0.566393, valid_prec@30 0.542760, valid_mae 0.013497, valid_rmse 0.026708, valid_mape 151.985352, valid_acc 0.327579, test_loss 0.001092, ic 0.005968, icir 0.163884, ric -0.010242, ricir -0.126540, prec@10 0.520165, prec@30 0.513169, test_mae 0.014751, test_rmse 0.028181, test_mape 128.718384, test_acc 0.443116
Epoch 37, train_loss 0.001661, train_ic 0.016383, train_icir 0.167073, train_ric -0.019612, train_ricir -0.147359, train_mae 0.016257, train_rmse 0.025443, train_mape 145.125168, train_acc 0.408145, valid_loss 0.0007258000, valid_ic -0.000731, valid_icir -0.021945, valid_ric -0.025749, valid_ricir -0.304400, valid_prec@10 0.536885, valid_prec@30 0.512295, valid_mae 0.012876, valid_rmse 0.025915, valid_mape 148.134705, valid_acc 0.537849, test_loss 0.001124, ic 0.000671, icir 0.018612, ric -0.021100, ricir -0.218400, prec@10 0.504938, prec@30 0.464883, test_mae 0.016563, test_rmse 0.028864, test_mape 159.607269, test_acc 0.445330
Epoch 38, train_loss 0.001667, train_ic 0.023775, train_icir 0.260088, train_ric 0.037614, train_ricir 0.345042, train_mae 0.040963, train_rmse 0.045768, train_mape 206.395584, train_acc 0.099602, valid_loss 0.0010133675, valid_ic 0.002647, valid_icir 0.067486, valid_ric 0.017131, valid_ricir 0.261019, valid_prec@10 0.613115, valid_prec@30 0.592350, valid_mae 0.025159, valid_rmse 0.034592, valid_mape 414.412537, valid_acc 0.223108, test_loss 0.001321, ic 0.002770, icir 0.050516, ric 0.015758, ricir 0.160176, prec@10 0.516461, prec@30 0.536763, test_mae 0.020424, test_rmse 0.032542, test_mape 291.950134, test_acc 0.435591
Epoch 39, train_loss 0.001643, train_ic 0.039973, train_icir 0.417193, train_ric 0.029263, train_ricir 0.224834, train_mae 0.019129, train_rmse 0.026309, train_mape 140.220474, train_acc 0.708278, valid_loss 0.0007824999, valid_ic 0.003803, valid_icir 0.129674, valid_ric 0.002341, valid_ricir 0.033302, valid_prec@10 0.561475, valid_prec@30 0.563115, valid_mae 0.020493, valid_rmse 0.030491, valid_mape 306.886566, valid_acc 0.198761, test_loss 0.001123, ic 0.006551, icir 0.186810, ric 0.006350, ricir 0.074335, prec@10 0.536626, prec@30 0.528669, test_mae 0.017575, test_rmse 0.029626, test_mape 214.841003, test_acc 0.410801
