Dataset:  CSI300
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003115, train_ic 0.007967, train_icir 0.115791, train_ric -0.017412, train_ricir -0.163672, train_mae 0.021272, train_rmse 0.034546, train_mape 258.184143, train_acc 0.416667, valid_loss 0.0042645646, valid_ic -0.014072, valid_icir -0.143070, valid_ric -0.013289, valid_ricir -0.167779, valid_prec@10 0.523770, valid_prec@30 0.559426, valid_mae 0.026918, valid_rmse 0.077326, valid_mape 758.810059, valid_acc 0.466667, test_loss 0.005983, ic -0.005749, icir -0.066224, ric -0.018483, ricir -0.180755, prec@10 0.509053, prec@30 0.528807, test_mae 0.026326, test_rmse 0.063693, test_mape 769.603394, test_acc 0.380000
Epoch 13, train_loss 0.002805, train_ic 0.011678, train_icir 0.164239, train_ric -0.028322, train_ricir -0.222869, train_mae 0.032792, train_rmse 0.043863, train_mape 211.880539, train_acc 0.143333, valid_loss 0.0036852602, valid_ic -0.014116, valid_icir -0.154316, valid_ric -0.030228, valid_ricir -0.350412, valid_prec@10 0.522541, valid_prec@30 0.540437, valid_mae 0.029322, valid_rmse 0.075209, valid_mape 758.384827, valid_acc 0.206667, test_loss 0.005526, ic -0.004200, icir -0.049525, ric -0.022052, ricir -0.199868, prec@10 0.509877, prec@30 0.510700, test_mae 0.029866, test_rmse 0.062566, test_mape 760.424194, test_acc 0.336667
Epoch 14, train_loss 0.002653, train_ic 0.023029, train_icir 0.306571, train_ric 0.034844, train_ricir 0.268682, train_mae 0.017641, train_rmse 0.033558, train_mape 177.151718, train_acc 0.420000, valid_loss 0.0031676422, valid_ic -0.012206, valid_icir -0.125559, valid_ric -0.004656, valid_ricir -0.052847, valid_prec@10 0.579918, valid_prec@30 0.559973, valid_mae 0.021238, valid_rmse 0.069899, valid_mape 584.043457, valid_acc 0.466667, test_loss 0.004864, ic 0.000488, icir 0.005201, ric 0.009159, ricir 0.077187, prec@10 0.520988, prec@30 0.536077, test_mae 0.018565, test_rmse 0.054897, test_mape 506.065735, test_acc 0.550000
Epoch 15, train_loss 0.002481, train_ic 0.015296, train_icir 0.211856, train_ric -0.030377, train_ricir -0.236250, train_mae 0.017609, train_rmse 0.039332, train_mape 223.337387, train_acc 0.420000, valid_loss 0.0028081420, valid_ic -0.012414, valid_icir -0.139908, valid_ric -0.028463, valid_ricir -0.305506, valid_prec@10 0.513934, valid_prec@30 0.543989, valid_mae 0.021323, valid_rmse 0.066881, valid_mape 551.038574, valid_acc 0.263333, test_loss 0.004428, ic -0.002505, icir -0.029539, ric -0.030890, ricir -0.316447, prec@10 0.501235, prec@30 0.513855, test_mae 0.019475, test_rmse 0.052919, test_mape 433.909973, test_acc 0.323333
Epoch 16, train_loss 0.002330, train_ic 0.019983, train_icir 0.225886, train_ric 0.040140, train_ricir 0.382276, train_mae 0.020917, train_rmse 0.034929, train_mape 395.537628, train_acc 0.526667, valid_loss 0.0029380024, valid_ic -0.009370, valid_icir -0.095508, valid_ric 0.011653, valid_ricir 0.123124, valid_prec@10 0.607787, valid_prec@30 0.579372, valid_mae 0.027473, valid_rmse 0.066093, valid_mape 743.115540, valid_acc 0.650000, test_loss 0.005265, ic 0.003589, icir 0.035558, ric 0.015449, ricir 0.123705, prec@10 0.560905, prec@30 0.545679, test_mae 0.037486, test_rmse 0.061542, test_mape 733.653687, test_acc 0.590000
Epoch 17, train_loss 0.002154, train_ic 0.022432, train_icir 0.259903, train_ric 0.015991, train_ricir 0.125076, train_mae 0.026553, train_rmse 0.034892, train_mape 557.128357, train_acc 0.416667, valid_loss 0.0028117920, valid_ic -0.012989, valid_icir -0.135594, valid_ric -0.010511, valid_ricir -0.116567, valid_prec@10 0.481557, valid_prec@30 0.501639, valid_mae 0.026656, valid_rmse 0.062250, valid_mape 721.375854, valid_acc 0.670000, test_loss 0.004285, ic -0.005605, icir -0.066850, ric -0.015737, ricir -0.156477, prec@10 0.477366, prec@30 0.496433, test_mae 0.025233, test_rmse 0.051068, test_mape 469.269135, test_acc 0.510000
Epoch 18, train_loss 0.002069, train_ic 0.032021, train_icir 0.296787, train_ric -0.018160, train_ricir -0.123367, train_mae 0.021081, train_rmse 0.025724, train_mape 214.181473, train_acc 0.173333, valid_loss 0.0020315400, valid_ic -0.010684, valid_icir -0.126475, valid_ric -0.027234, valid_ricir -0.265408, valid_prec@10 0.527869, valid_prec@30 0.553552, valid_mae 0.023048, valid_rmse 0.059508, valid_mape 527.786438, valid_acc 0.193333, test_loss 0.003496, ic -0.000696, icir -0.008416, ric -0.029911, ricir -0.264019, prec@10 0.525103, prec@30 0.526886, test_mae 0.020151, test_rmse 0.046658, test_mape 374.249817, test_acc 0.333333
Epoch 19, train_loss 0.002040, train_ic 0.028262, train_icir 0.217241, train_ric -0.020131, train_ricir -0.130366, train_mae 0.019080, train_rmse 0.025467, train_mape 278.643341, train_acc 0.396667, valid_loss 0.0019945194, valid_ic -0.012100, valid_icir -0.143983, valid_ric -0.034126, valid_ricir -0.329642, valid_prec@10 0.513115, valid_prec@30 0.519262, valid_mae 0.019454, valid_rmse 0.056131, valid_mape 472.398621, valid_acc 0.596667, test_loss 0.003392, ic 0.000124, icir 0.001516, ric -0.022664, ricir -0.193912, prec@10 0.479012, prec@30 0.498491, test_mae 0.017151, test_rmse 0.043831, test_mape 292.476715, test_acc 0.473333
Epoch 20, train_loss 0.001971, train_ic 0.028298, train_icir 0.262470, train_ric -0.016079, train_ricir -0.111324, train_mae 0.046865, train_rmse 0.054972, train_mape 234.154968, train_acc 0.180000, valid_loss 0.0020178638, valid_ic -0.010016, valid_icir -0.121843, valid_ric -0.023763, valid_ricir -0.255636, valid_prec@10 0.532787, valid_prec@30 0.565437, valid_mae 0.021686, valid_rmse 0.054366, valid_mape 556.927307, valid_acc 0.680000, test_loss 0.003354, ic -0.000638, icir -0.007888, ric -0.026524, ricir -0.244084, prec@10 0.516049, prec@30 0.509739, test_mae 0.019890, test_rmse 0.043074, test_mape 466.909882, test_acc 0.596667
Epoch 21, train_loss 0.001977, train_ic 0.025230, train_icir 0.246308, train_ric 0.012609, train_ricir 0.090827, train_mae 0.033471, train_rmse 0.044104, train_mape 104.986938, train_acc 0.536667, valid_loss 0.0016143621, valid_ic -0.011336, valid_icir -0.135548, valid_ric -0.007131, valid_ricir -0.076039, valid_prec@10 0.519672, valid_prec@30 0.514891, valid_mae 0.018270, valid_rmse 0.052220, valid_mape 414.809509, valid_acc 0.586667, test_loss 0.003057, ic -0.005510, icir -0.069581, ric -0.010279, ricir -0.095815, prec@10 0.485597, prec@30 0.501783, test_mae 0.021247, test_rmse 0.043724, test_mape 339.489014, test_acc 0.446667
