Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.01
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002542, train_ic 0.013399, train_icir 0.268623, train_ric 0.001806, train_ricir 0.021939, train_mae 0.072901, train_rmse 0.082171, train_mape 196.409790, train_acc 0.063300, valid_loss 0.0017581653, valid_ic 0.005245, valid_icir 0.175409, valid_ric -0.004472, valid_ricir -0.074581, valid_prec@10 0.538525, valid_prec@30 0.556421, valid_mae 0.023209, valid_rmse 0.037868, valid_mape 506.453217, valid_acc 0.669749, test_loss 0.002240, ic -0.003268, icir -0.100841, ric -0.012673, ricir -0.186625, prec@10 0.507819, prec@30 0.523594, test_mae 0.028795, test_rmse 0.041969, test_mape 451.006470, test_acc 0.503506
Epoch 13, train_loss 0.002585, train_ic 0.004104, train_icir 0.075367, train_ric -0.003229, train_ricir -0.044598, train_mae 0.066207, train_rmse 0.073134, train_mape 84.652618, train_acc 0.755659, valid_loss 0.0015747838, valid_ic 0.002956, valid_icir 0.084406, valid_ric 0.001535, valid_ricir 0.024053, valid_prec@10 0.552869, valid_prec@30 0.544809, valid_mae 0.021406, valid_rmse 0.035398, valid_mape 442.914307, valid_acc 0.655013, test_loss 0.002076, ic -0.006624, icir -0.170229, ric -0.005948, ricir -0.080574, prec@10 0.512757, prec@30 0.523045, test_mae 0.027670, test_rmse 0.041203, test_mape 416.432098, test_acc 0.499579
Epoch 14, train_loss 0.002301, train_ic 0.018143, train_icir 0.341973, train_ric -0.006846, train_ricir -0.084328, train_mae 0.021169, train_rmse 0.029533, train_mape 223.260071, train_acc 0.469234, valid_loss 0.0010930213, valid_ic 0.014509, valid_icir 0.353584, valid_ric -0.005327, valid_ricir -0.075484, valid_prec@10 0.530738, valid_prec@30 0.547678, valid_mae 0.020198, valid_rmse 0.033580, valid_mape 286.056244, valid_acc 0.356255, test_loss 0.001548, ic -0.003544, icir -0.095213, ric -0.010209, ricir -0.148739, prec@10 0.478601, prec@30 0.502606, test_mae 0.020728, test_rmse 0.033930, test_mape 249.562759, test_acc 0.464797
Epoch 15, train_loss 0.002123, train_ic 0.010413, train_icir 0.227577, train_ric 0.019644, train_ricir 0.329588, train_mae 0.016363, train_rmse 0.022000, train_mape 6539.293457, train_acc 0.392219, valid_loss 0.0009386571, valid_ic 0.005109, valid_icir 0.169928, valid_ric 0.006864, valid_ricir 0.136624, valid_prec@10 0.561475, valid_prec@30 0.544262, valid_mae 0.015786, valid_rmse 0.029258, valid_mape 191.962585, valid_acc 0.488298, test_loss 0.001372, ic -0.005096, icir -0.142403, ric 0.002591, ricir 0.040458, prec@10 0.476543, prec@30 0.499863, test_mae 0.019066, test_rmse 0.031561, test_mape 217.061478, test_acc 0.523142
Epoch 16, train_loss 0.002197, train_ic -0.001569, train_icir -0.024675, train_ric -0.000621, train_ricir -0.007677, train_mae 0.027730, train_rmse 0.039648, train_mape 159.375412, train_acc 0.339656, valid_loss 0.0008830905, valid_ic 0.001199, valid_icir 0.035377, valid_ric 0.006039, valid_ricir 0.106324, valid_prec@10 0.586066, valid_prec@30 0.562705, valid_mae 0.014870, valid_rmse 0.027441, valid_mape 203.279694, valid_acc 0.544640, test_loss 0.001310, ic -0.006217, icir -0.171866, ric -0.001523, ricir -0.021123, prec@10 0.499588, prec@30 0.513169, test_mae 0.019114, test_rmse 0.031334, test_mape 209.560425, test_acc 0.463114
Epoch 17, train_loss 0.002188, train_ic 0.011733, train_icir 0.139338, train_ric 0.029365, train_ricir 0.285327, train_mae 0.051532, train_rmse 0.068153, train_mape 131.480209, train_acc 0.361039, valid_loss 0.0013205679, valid_ic 0.001225, valid_icir 0.015189, valid_ric 0.007162, valid_ricir 0.065079, valid_prec@10 0.522131, valid_prec@30 0.537022, valid_mae 0.025078, valid_rmse 0.036282, valid_mape 442.606293, valid_acc 0.424155, test_loss 0.002061, ic -0.004483, icir -0.060986, ric 0.005855, ricir 0.053439, prec@10 0.528807, prec@30 0.529630, test_mae 0.026460, test_rmse 0.044357, test_mape 384.006989, test_acc 0.515288
Epoch 18, train_loss 0.002022, train_ic 0.014974, train_icir 0.315718, train_ric 0.003561, train_ricir 0.060821, train_mae 0.021318, train_rmse 0.028430, train_mape 254.494476, train_acc 0.383044, valid_loss 0.0008893974, valid_ic 0.015580, valid_icir 0.428735, valid_ric 0.004478, valid_ricir 0.094090, valid_prec@10 0.610656, valid_prec@30 0.609016, valid_mae 0.018744, valid_rmse 0.029301, valid_mape 262.417664, valid_acc 0.436579, test_loss 0.001417, ic -0.001893, icir -0.056940, ric -0.001338, ricir -0.036902, prec@10 0.501646, prec@30 0.535254, test_mae 0.023513, test_rmse 0.035197, test_mape 289.844666, test_acc 0.489481
Epoch 19, train_loss 0.002006, train_ic 0.037902, train_icir 0.501900, train_ric 0.005925, train_ricir 0.059855, train_mae 0.038172, train_rmse 0.042984, train_mape 784.649902, train_acc 0.318493, valid_loss 0.0018504656, valid_ic 0.025916, valid_icir 0.627082, valid_ric -0.004852, valid_ricir -0.078498, valid_prec@10 0.634426, valid_prec@30 0.581557, valid_mae 0.029285, valid_rmse 0.036907, valid_mape 669.196838, valid_acc 0.670038, test_loss 0.002194, ic 0.002495, icir 0.053066, ric -0.013508, ricir -0.164607, prec@10 0.517695, prec@30 0.512894, test_mae 0.032382, test_rmse 0.040302, test_mape 567.021973, test_acc 0.502945
Epoch 20, train_loss 0.002004, train_ic 0.020997, train_icir 0.304565, train_ric 0.029761, train_ricir 0.347637, train_mae 0.018263, train_rmse 0.025295, train_mape 186.454071, train_acc 0.741805, valid_loss 0.0008085350, valid_ic 0.012284, valid_icir 0.313308, valid_ric 0.012745, valid_ricir 0.199119, valid_prec@10 0.577049, valid_prec@30 0.570765, valid_mae 0.015924, valid_rmse 0.025648, valid_mape 218.890594, valid_acc 0.551575, test_loss 0.001269, ic 0.000449, icir 0.008855, ric 0.007698, ricir 0.086709, prec@10 0.506173, prec@30 0.521674, test_mae 0.021669, test_rmse 0.031680, test_mape 262.897095, test_acc 0.512763
Epoch 21, train_loss 0.001895, train_ic 0.027114, train_icir 0.544014, train_ric 0.008122, train_ricir 0.122684, train_mae 0.019388, train_rmse 0.028278, train_mape 159.776184, train_acc 0.426859, valid_loss 0.0007377494, valid_ic 0.019883, valid_icir 0.648983, valid_ric -0.000175, valid_ricir -0.004813, valid_prec@10 0.614754, valid_prec@30 0.585246, valid_mae 0.014545, valid_rmse 0.024975, valid_mape 172.279221, valid_acc 0.519503, test_loss 0.001148, ic 0.001041, icir 0.033215, ric -0.008381, ricir -0.178591, prec@10 0.508642, prec@30 0.506447, test_mae 0.017808, test_rmse 0.028451, test_mape 181.594604, test_acc 0.473212
