Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.005761, train_ic 0.005821, train_icir 0.088638, train_ric -0.013374, train_ricir -0.142726, train_mae 0.025065, train_rmse 0.034232, train_mape 293.534332, train_acc 0.360604, valid_loss 0.0043568517, valid_ic -0.002940, valid_icir -0.075938, valid_ric -0.008986, valid_ricir -0.141154, valid_prec@10 0.574590, valid_prec@30 0.553962, valid_mae 0.025879, valid_rmse 0.066728, valid_mape 501.309631, valid_acc 0.577185, test_loss 0.004708, ic -0.003490, icir -0.085772, ric -0.013288, ricir -0.131602, prec@10 0.520988, prec@30 0.503841, test_mae 0.027844, test_rmse 0.055205, test_mape 427.951324, test_acc 0.426276
Epoch 13, train_loss 0.004878, train_ic 0.012663, train_icir 0.198362, train_ric 0.029269, train_ricir 0.267443, train_mae 0.046338, train_rmse 0.065533, train_mape 157.444962, train_acc 0.578793, valid_loss 0.0035975646, valid_ic -0.002473, valid_icir -0.057363, valid_ric -0.000555, valid_ricir -0.008689, valid_prec@10 0.574180, valid_prec@30 0.561475, valid_mae 0.029253, valid_rmse 0.064153, valid_mape 467.766144, valid_acc 0.217481, test_loss 0.003982, ic -0.000865, icir -0.018916, ric 0.000829, ricir 0.011888, prec@10 0.502058, prec@30 0.496022, test_mae 0.024482, test_rmse 0.050375, test_mape 360.314331, test_acc 0.427403
Epoch 14, train_loss 0.004424, train_ic 0.014263, train_icir 0.265843, train_ric -0.001770, train_ricir -0.016697, train_mae 0.053839, train_rmse 0.107986, train_mape 365.262177, train_acc 0.252843, valid_loss 0.0032014564, valid_ic -0.002190, valid_icir -0.059979, valid_ric -0.013437, valid_ricir -0.154458, valid_prec@10 0.566393, valid_prec@30 0.541257, valid_mae 0.030896, valid_rmse 0.061469, valid_mape 500.783630, valid_acc 0.232000, test_loss 0.003625, ic -0.000280, icir -0.007147, ric -0.011298, ricir -0.133014, prec@10 0.542387, prec@30 0.513992, test_mae 0.025868, test_rmse 0.048917, test_mape 399.155121, test_acc 0.436707
Epoch 15, train_loss 0.004113, train_ic 0.014630, train_icir 0.256313, train_ric 0.022313, train_ricir 0.197965, train_mae 0.038347, train_rmse 0.062997, train_mape 220.506027, train_acc 0.105650, valid_loss 0.0027418280, valid_ic -0.002349, valid_icir -0.059319, valid_ric -0.011942, valid_ricir -0.144121, valid_prec@10 0.553689, valid_prec@30 0.544399, valid_mae 0.026573, valid_rmse 0.056611, valid_mape 411.565979, valid_acc 0.218667, test_loss 0.003148, ic -0.002047, icir -0.046373, ric -0.014847, ricir -0.168810, prec@10 0.531687, prec@30 0.495336, test_mae 0.021792, test_rmse 0.044629, test_mape 319.840515, test_acc 0.436707
Epoch 16, train_loss 0.003696, train_ic 0.014903, train_icir 0.171263, train_ric 0.012391, train_ricir 0.091515, train_mae 0.050904, train_rmse 0.071961, train_mape 416.413300, train_acc 0.115973, valid_loss 0.0030474048, valid_ic 0.000192, valid_icir 0.003473, valid_ric -0.004221, valid_ricir -0.038818, valid_prec@10 0.614344, valid_prec@30 0.605191, valid_mae 0.036350, valid_rmse 0.060004, valid_mape 661.482117, valid_acc 0.253630, test_loss 0.003362, ic 0.002151, icir 0.032385, ric -0.005688, ricir -0.044408, prec@10 0.562963, prec@30 0.560494, test_mae 0.030090, test_rmse 0.048651, test_mape 536.965515, test_acc 0.469975
Epoch 17, train_loss 0.003507, train_ic 0.009273, train_icir 0.110029, train_ric 0.022197, train_ricir 0.168936, train_mae 0.022890, train_rmse 0.049197, train_mape 498.496826, train_acc 0.495676, valid_loss 0.0023079103, valid_ic -0.001528, valid_icir -0.027202, valid_ric 0.006415, valid_ricir 0.055090, valid_prec@10 0.619672, valid_prec@30 0.601639, valid_mae 0.021843, valid_rmse 0.049196, valid_mape 390.058197, valid_acc 0.592593, test_loss 0.002935, ic -0.000996, icir -0.015096, ric 0.002070, ricir 0.015527, prec@10 0.550206, prec@30 0.541152, test_mae 0.027269, test_rmse 0.045297, test_mape 406.944275, test_acc 0.497322
Epoch 18, train_loss 0.003202, train_ic 0.020029, train_icir 0.285587, train_ric 0.032237, train_ricir 0.222954, train_mae 0.021441, train_rmse 0.046248, train_mape 288.427032, train_acc 0.590729, valid_loss 0.0020530111, valid_ic -0.000877, valid_icir -0.021180, valid_ric -0.006246, valid_ricir -0.062679, valid_prec@10 0.593033, valid_prec@30 0.576366, valid_mae 0.018744, valid_rmse 0.045299, valid_mape 346.852264, valid_acc 0.666667, test_loss 0.002610, ic 0.001754, icir 0.035407, ric 0.000844, ricir 0.007363, prec@10 0.550617, prec@30 0.552401, test_mae 0.023491, test_rmse 0.041494, test_mape 348.010010, test_acc 0.505780
Epoch 19, train_loss 0.002957, train_ic 0.008810, train_icir 0.165820, train_ric 0.012833, train_ricir 0.129793, train_mae 0.042738, train_rmse 0.055288, train_mape 116.800095, train_acc 0.426691, valid_loss 0.0017230387, valid_ic -0.002390, valid_icir -0.065607, valid_ric 0.012010, valid_ricir 0.125463, valid_prec@10 0.568033, valid_prec@30 0.558880, valid_mae 0.021916, valid_rmse 0.044862, valid_mape 314.750763, valid_acc 0.273778, test_loss 0.002156, ic -0.001095, icir -0.030711, ric 0.010356, ricir 0.135542, prec@10 0.534156, prec@30 0.527435, test_mae 0.019982, test_rmse 0.037966, test_mape 255.393188, test_acc 0.457852
Epoch 20, train_loss 0.002781, train_ic 0.009648, train_icir 0.114968, train_ric 0.026451, train_ricir 0.202908, train_mae 0.025821, train_rmse 0.043600, train_mape 205.701706, train_acc 0.402602, valid_loss 0.0016121316, valid_ic -0.002308, valid_icir -0.039941, valid_ric 0.006893, valid_ricir 0.058571, valid_prec@10 0.522131, valid_prec@30 0.520765, valid_mae 0.019518, valid_rmse 0.042692, valid_mape 288.549652, valid_acc 0.466667, test_loss 0.001993, ic -0.001295, icir -0.021397, ric 0.004377, ricir 0.036877, prec@10 0.470370, prec@30 0.487791, test_mae 0.018027, test_rmse 0.035686, test_mape 214.872314, test_acc 0.503806
Epoch 21, train_loss 0.002692, train_ic 0.008968, train_icir 0.120962, train_ric 0.022932, train_ricir 0.185401, train_mae 0.031296, train_rmse 0.038630, train_mape 456.646545, train_acc 0.361795, valid_loss 0.0017703576, valid_ic -0.003625, valid_icir -0.102337, valid_ric 0.010481, valid_ricir 0.141555, valid_prec@10 0.519672, valid_prec@30 0.522541, valid_mae 0.031616, valid_rmse 0.047036, valid_mape 539.653870, valid_acc 0.213926, test_loss 0.002249, ic -0.004689, icir -0.131422, ric 0.002888, ricir 0.029679, prec@10 0.472428, prec@30 0.486283, test_mae 0.028629, test_rmse 0.042005, test_mape 440.815826, test_acc 0.427122
