Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.002027, train_ic 0.016076, train_icir 0.248632, train_ric 0.024126, train_ricir 0.241572, train_mae 0.028300, train_rmse 0.034259, train_mape 394.532654, train_acc 0.228701, valid_loss 0.0011557923, valid_ic -0.000006, valid_icir -0.000156, valid_ric 0.004811, valid_ricir 0.075967, valid_prec@10 0.512295, valid_prec@30 0.488798, valid_mae 0.017822, valid_rmse 0.028349, valid_mape 389.833069, valid_acc 0.681185, test_loss 0.001560, ic 0.000758, icir 0.022704, ric 0.001831, ricir 0.030650, prec@10 0.492181, prec@30 0.475995, test_mae 0.023768, test_rmse 0.033555, test_mape 376.144806, test_acc 0.502678
Epoch 33, train_loss 0.001889, train_ic 0.001734, train_icir 0.021143, train_ric -0.013941, train_ricir -0.121142, train_mae 0.019703, train_rmse 0.029405, train_mape 303.138031, train_acc 0.360294, valid_loss 0.0009259955, valid_ic -0.002818, valid_icir -0.057261, valid_ric -0.004164, valid_ricir -0.043331, valid_prec@10 0.522951, valid_prec@30 0.507104, valid_mae 0.022555, valid_rmse 0.032687, valid_mape 317.186249, valid_acc 0.253037, test_loss 0.001369, ic -0.008408, icir -0.163279, ric -0.013229, ricir -0.114014, prec@10 0.481070, prec@30 0.465158, test_mae 0.023405, test_rmse 0.033366, test_mape 301.518677, test_acc 0.420919
Epoch 34, train_loss 0.001887, train_ic 0.042749, train_icir 0.482475, train_ric 0.022693, train_ricir 0.170280, train_mae 0.034732, train_rmse 0.049294, train_mape 136.837540, train_acc 0.684350, valid_loss 0.0009174574, valid_ic 0.009939, valid_icir 0.189604, valid_ric -0.012063, valid_ricir -0.129542, valid_prec@10 0.597951, valid_prec@30 0.532923, valid_mae 0.022445, valid_rmse 0.032280, valid_mape 326.735535, valid_acc 0.209185, test_loss 0.001285, ic 0.009578, icir 0.229624, ric -0.014285, ricir -0.173760, prec@10 0.545679, prec@30 0.530316, test_mae 0.021829, test_rmse 0.031608, test_mape 306.662354, test_acc 0.429377
Epoch 35, train_loss 0.001838, train_ic 0.018414, train_icir 0.277361, train_ric 0.017005, train_ricir 0.162121, train_mae 0.045587, train_rmse 0.051867, train_mape 878.546326, train_acc 0.191270, valid_loss 0.0016894316, valid_ic 0.003455, valid_icir 0.072938, valid_ric 0.006026, valid_ricir 0.069448, valid_prec@10 0.571721, valid_prec@30 0.551093, valid_mae 0.039780, valid_rmse 0.046007, valid_mape 726.565552, valid_acc 0.214815, test_loss 0.002033, ic 0.001958, icir 0.063941, ric 0.006261, ricir 0.087501, prec@10 0.492181, prec@30 0.500274, test_mae 0.034047, test_rmse 0.041858, test_mape 597.573486, test_acc 0.436425
Epoch 36, train_loss 0.001897, train_ic 0.026831, train_icir 0.315200, train_ric 0.011702, train_ricir 0.096881, train_mae 0.023669, train_rmse 0.030589, train_mape 7284.245117, train_acc 0.243050, valid_loss 0.0007797541, valid_ic 0.004571, valid_icir 0.103945, valid_ric -0.004395, valid_ricir -0.053431, valid_prec@10 0.552869, valid_prec@30 0.548087, valid_mae 0.017871, valid_rmse 0.028192, valid_mape 233.644363, valid_acc 0.358519, test_loss 0.001214, ic 0.005610, icir 0.109232, ric -0.003825, ricir -0.034808, prec@10 0.500412, prec@30 0.519753, test_mae 0.020934, test_rmse 0.031263, test_mape 244.978119, test_acc 0.430505
Epoch 37, train_loss 0.001786, train_ic 0.030085, train_icir 0.345183, train_ric 0.002741, train_ricir 0.019899, train_mae 0.025200, train_rmse 0.038735, train_mape 188.899246, train_acc 0.626528, valid_loss 0.0008091666, valid_ic 0.004928, valid_icir 0.104896, valid_ric -0.011110, valid_ricir -0.102904, valid_prec@10 0.576639, valid_prec@30 0.532377, valid_mae 0.013681, valid_rmse 0.024677, valid_mape 225.030487, valid_acc 0.620741, test_loss 0.001171, ic 0.004611, icir 0.097846, ric -0.011989, ricir -0.098369, prec@10 0.546091, prec@30 0.528669, test_mae 0.017182, test_rmse 0.027921, test_mape 186.831039, test_acc 0.445729
Epoch 38, train_loss 0.001802, train_ic 0.029067, train_icir 0.313964, train_ric -0.004900, train_ricir -0.037444, train_mae 0.021136, train_rmse 0.029391, train_mape 242.529343, train_acc 0.331479, valid_loss 0.0008355416, valid_ic 0.003178, valid_icir 0.075566, valid_ric -0.023617, valid_ricir -0.259252, valid_prec@10 0.571311, valid_prec@30 0.530601, valid_mae 0.014638, valid_rmse 0.025537, valid_mape 235.860901, valid_acc 0.600296, test_loss 0.001299, ic 0.004321, icir 0.073682, ric -0.018080, ricir -0.159050, prec@10 0.573663, prec@30 0.532236, test_mae 0.020366, test_rmse 0.031812, test_mape 234.978561, test_acc 0.427967
Epoch 39, train_loss 0.001808, train_ic 0.030873, train_icir 0.364906, train_ric 0.018701, train_ricir 0.152975, train_mae 0.017114, train_rmse 0.023667, train_mape 135.715729, train_acc 0.421710, valid_loss 0.0007994342, valid_ic 0.005704, valid_icir 0.100968, valid_ric -0.001429, valid_ricir -0.013311, valid_prec@10 0.544672, valid_prec@30 0.516393, valid_mae 0.013487, valid_rmse 0.024133, valid_mape 219.094681, valid_acc 0.625185, test_loss 0.001162, ic 0.003387, icir 0.069887, ric -0.002503, ricir -0.022293, prec@10 0.491358, prec@30 0.487929, test_mae 0.016495, test_rmse 0.027220, test_mape 173.603149, test_acc 0.494220
Epoch 40, train_loss 0.001799, train_ic 0.038592, train_icir 0.367551, train_ric -0.002917, train_ricir -0.019936, train_mae 0.023742, train_rmse 0.035205, train_mape 184.046631, train_acc 0.408339, valid_loss 0.0007481761, valid_ic 0.009417, valid_icir 0.208625, valid_ric -0.020038, valid_ricir -0.203454, valid_prec@10 0.575000, valid_prec@30 0.530191, valid_mae 0.013778, valid_rmse 0.024283, valid_mape 206.059128, valid_acc 0.548741, test_loss 0.001111, ic 0.012582, icir 0.268763, ric -0.022312, ricir -0.199095, prec@10 0.551029, prec@30 0.517558, test_mae 0.016649, test_rmse 0.027069, test_mape 170.216644, test_acc 0.427122
Epoch 41, train_loss 0.001738, train_ic 0.005174, train_icir 0.049728, train_ric 0.022247, train_ricir 0.156398, train_mae 0.037764, train_rmse 0.052480, train_mape 129.674896, train_acc 0.373389, valid_loss 0.0007724350, valid_ic -0.002029, valid_icir -0.027972, valid_ric 0.022685, valid_ricir 0.178885, valid_prec@10 0.508607, valid_prec@30 0.529098, valid_mae 0.014051, valid_rmse 0.024159, valid_mape 205.454208, valid_acc 0.561185, test_loss 0.001212, ic -0.002510, icir -0.038286, ric 0.018414, ricir 0.142767, prec@10 0.457202, prec@30 0.487243, test_mae 0.020148, test_rmse 0.030453, test_mape 240.490387, test_acc 0.440936
Epoch 42, train_loss 0.001725, train_ic 0.044546, train_icir 0.428718, train_ric 0.012926, train_ricir 0.087177, train_mae 0.018873, train_rmse 0.026899, train_mape 179.731049, train_acc 0.465149, valid_loss 0.0008056914, valid_ic 0.012536, valid_icir 0.245525, valid_ric -0.013433, valid_ricir -0.127320, valid_prec@10 0.564754, valid_prec@30 0.523634, valid_mae 0.014266, valid_rmse 0.024124, valid_mape 263.863861, valid_acc 0.671407, test_loss 0.001195, ic 0.011472, icir 0.231682, ric -0.018868, ricir -0.169526, prec@10 0.542387, prec@30 0.516049, test_mae 0.017352, test_rmse 0.027483, test_mape 202.849319, test_acc 0.501269
Epoch 43, train_loss 0.001818, train_ic 0.027564, train_icir 0.254203, train_ric 0.052408, train_ricir 0.389280, train_mae 0.026148, train_rmse 0.039571, train_mape 157.601974, train_acc 0.598304, valid_loss 0.0007275550, valid_ic 0.004256, valid_icir 0.062557, valid_ric 0.016012, valid_ricir 0.145957, valid_prec@10 0.576230, valid_prec@30 0.550273, valid_mae 0.014537, valid_rmse 0.024909, valid_mape 183.439667, valid_acc 0.496593, test_loss 0.001135, ic 0.002524, icir 0.034719, ric 0.014906, ricir 0.119040, prec@10 0.516872, prec@30 0.527846, test_mae 0.017649, test_rmse 0.027396, test_mape 193.816696, test_acc 0.501551
Epoch 44, train_loss 0.001668, train_ic 0.027720, train_icir 0.323466, train_ric 0.001175, train_ricir 0.009411, train_mae 0.017757, train_rmse 0.023667, train_mape 410.358673, train_acc 0.484233, valid_loss 0.0009235566, valid_ic 0.005230, valid_icir 0.147494, valid_ric -0.011715, valid_ricir -0.167212, valid_prec@10 0.545902, valid_prec@30 0.511475, valid_mae 0.016289, valid_rmse 0.025059, valid_mape 339.650513, valid_acc 0.665185, test_loss 0.001277, ic 0.004564, icir 0.112917, ric -0.017888, ricir -0.198782, prec@10 0.530864, prec@30 0.486420, test_mae 0.019871, test_rmse 0.029192, test_mape 276.684326, test_acc 0.478151
Epoch 45, train_loss 0.001732, train_ic 0.039054, train_icir 0.463387, train_ric 0.042284, train_ricir 0.355026, train_mae 0.017120, train_rmse 0.024152, train_mape 165.448349, train_acc 0.724179, valid_loss 0.0009151797, valid_ic 0.007375, valid_icir 0.206317, valid_ric 0.010758, valid_ricir 0.149540, valid_prec@10 0.581148, valid_prec@30 0.554372, valid_mae 0.025656, valid_rmse 0.032762, valid_mape 412.738861, valid_acc 0.214222, test_loss 0.001238, ic 0.005952, icir 0.161467, ric 0.010126, ricir 0.116629, prec@10 0.474897, prec@30 0.495610, test_mae 0.021798, test_rmse 0.030229, test_mape 331.197052, test_acc 0.436143
Epoch 46, train_loss 0.001681, train_ic 0.028489, train_icir 0.390281, train_ric 0.007041, train_ricir 0.063163, train_mae 0.025464, train_rmse 0.033087, train_mape 430.321075, train_acc 0.567549, valid_loss 0.0012078074, valid_ic 0.005263, valid_icir 0.154287, valid_ric 0.001549, valid_ricir 0.019103, valid_prec@10 0.582787, valid_prec@30 0.566257, valid_mae 0.033130, valid_rmse 0.038926, valid_mape 580.400513, valid_acc 0.216296, test_loss 0.001551, ic 0.004682, icir 0.175460, ric -0.002183, ricir -0.028310, prec@10 0.498354, prec@30 0.506996, test_mae 0.029278, test_rmse 0.036373, test_mape 494.485962, test_acc 0.427403
Epoch 47, train_loss 0.001688, train_ic 0.043818, train_icir 0.506794, train_ric 0.024385, train_ricir 0.182942, train_mae 0.042822, train_rmse 0.048714, train_mape 276.236115, train_acc 0.039540, valid_loss 0.0009463641, valid_ic 0.007637, valid_icir 0.206821, valid_ric -0.003407, valid_ricir -0.035062, valid_prec@10 0.557787, valid_prec@30 0.537158, valid_mae 0.026992, valid_rmse 0.033537, valid_mape 442.668976, valid_acc 0.213630, test_loss 0.001308, ic 0.006777, icir 0.190878, ric -0.009959, ricir -0.093534, prec@10 0.525926, prec@30 0.527846, test_mae 0.025490, test_rmse 0.032931, test_mape 406.398438, test_acc 0.428531
Epoch 48, train_loss 0.001740, train_ic 0.039366, train_icir 0.382336, train_ric 0.035166, train_ricir 0.260881, train_mae 0.016426, train_rmse 0.021906, train_mape 119.887253, train_acc 0.647871, valid_loss 0.0007242203, valid_ic 0.008252, valid_icir 0.127580, valid_ric 0.003164, valid_ricir 0.028533, valid_prec@10 0.604098, valid_prec@30 0.597678, valid_mae 0.018965, valid_rmse 0.027987, valid_mape 255.350250, valid_acc 0.233481, test_loss 0.001053, ic 0.003867, icir 0.063932, ric -0.000740, ricir -0.006322, prec@10 0.510288, prec@30 0.530864, test_mae 0.016969, test_rmse 0.026469, test_mape 189.931183, test_acc 0.454469
Epoch 49, train_loss 0.001640, train_ic 0.038734, train_icir 0.434444, train_ric 0.025579, train_ricir 0.200580, train_mae 0.016473, train_rmse 0.024654, train_mape 180.543961, train_acc 0.389726, valid_loss 0.0006658906, valid_ic 0.005070, valid_icir 0.087258, valid_ric -0.000736, valid_ricir -0.007255, valid_prec@10 0.535656, valid_prec@30 0.524454, valid_mae 0.014740, valid_rmse 0.023841, valid_mape 184.691589, valid_acc 0.354667, test_loss 0.001012, ic 0.004831, icir 0.111471, ric -0.000763, ricir -0.007319, prec@10 0.516049, prec@30 0.509877, test_mae 0.015963, test_rmse 0.025517, test_mape 157.609161, test_acc 0.439526
Epoch 50, train_loss 0.001630, train_ic 0.031528, train_icir 0.345781, train_ric 0.056224, train_ricir 0.489663, train_mae 0.020578, train_rmse 0.025817, train_mape 416.963806, train_acc 0.709490, valid_loss 0.0012100767, valid_ic 0.006291, valid_icir 0.114452, valid_ric 0.022321, valid_ricir 0.237300, valid_prec@10 0.555738, valid_prec@30 0.545082, valid_mae 0.021423, valid_rmse 0.027848, valid_mape 479.143280, valid_acc 0.681481, test_loss 0.001667, ic 0.004291, icir 0.080808, ric 0.019162, ricir 0.190715, prec@10 0.508230, prec@30 0.516598, test_mae 0.028616, test_rmse 0.035697, test_mape 483.216156, test_acc 0.502960
Epoch 51, train_loss 0.001672, train_ic 0.047720, train_icir 0.394882, train_ric 0.031612, train_ricir 0.208969, train_mae 0.023879, train_rmse 0.032291, train_mape 395.011414, train_acc 0.360836, valid_loss 0.0007080600, valid_ic 0.012255, valid_icir 0.167536, valid_ric -0.001898, valid_ricir -0.016486, valid_prec@10 0.551230, valid_prec@30 0.496311, valid_mae 0.018110, valid_rmse 0.027316, valid_mape 242.690155, valid_acc 0.256593, test_loss 0.001042, ic 0.016280, icir 0.266912, ric 0.001614, ricir 0.014493, prec@10 0.514815, prec@30 0.508368, test_mae 0.016646, test_rmse 0.026049, test_mape 187.691193, test_acc 0.452213
Epoch 52, train_loss 0.001718, train_ic 0.039199, train_icir 0.415334, train_ric -0.004452, train_ricir -0.034497, train_mae 0.059810, train_rmse 0.067573, train_mape 171.704865, train_acc 0.034495, valid_loss 0.0008476537, valid_ic 0.007775, valid_icir 0.196913, valid_ric -0.015870, valid_ricir -0.168202, valid_prec@10 0.559016, valid_prec@30 0.541120, valid_mae 0.024814, valid_rmse 0.031681, valid_mape 381.897797, valid_acc 0.215111, test_loss 0.001216, ic 0.008609, icir 0.222665, ric -0.020679, ricir -0.211072, prec@10 0.542387, prec@30 0.524966, test_mae 0.024233, test_rmse 0.031668, test_mape 372.431152, test_acc 0.429377
Epoch 53, train_loss 0.001617, train_ic 0.048413, train_icir 0.495020, train_ric 0.028006, train_ricir 0.206627, train_mae 0.017997, train_rmse 0.025643, train_mape 173.693436, train_acc 0.337172, valid_loss 0.0006121956, valid_ic 0.011508, valid_icir 0.286029, valid_ric 0.000756, valid_ricir 0.008764, valid_prec@10 0.565984, valid_prec@30 0.516940, valid_mae 0.013972, valid_rmse 0.023512, valid_mape 137.248199, valid_acc 0.386074, test_loss 0.000964, ic 0.011519, icir 0.296570, ric -0.005015, ricir -0.052481, prec@10 0.519342, prec@30 0.509465, test_mae 0.015447, test_rmse 0.024864, test_mape 140.679581, test_acc 0.477587
Epoch 54, train_loss 0.001653, train_ic 0.022039, train_icir 0.204411, train_ric 0.053100, train_ricir 0.399857, train_mae 0.024647, train_rmse 0.031904, train_mape 123.853043, train_acc 0.421606, valid_loss 0.0006934132, valid_ic 0.005009, valid_icir 0.072385, valid_ric 0.025661, valid_ricir 0.233401, valid_prec@10 0.629508, valid_prec@30 0.590984, valid_mae 0.015257, valid_rmse 0.024589, valid_mape 193.593842, valid_acc 0.479407, test_loss 0.001174, ic 0.001250, icir 0.015888, ric 0.022628, ricir 0.173205, prec@10 0.550206, prec@30 0.547188, test_mae 0.019615, test_rmse 0.029773, test_mape 231.477692, test_acc 0.511136
Epoch 55, train_loss 0.001617, train_ic 0.028909, train_icir 0.263554, train_ric -0.013989, train_ricir -0.101994, train_mae 0.029698, train_rmse 0.039840, train_mape 228.958344, train_acc 0.340403, valid_loss 0.0009341684, valid_ic 0.007617, valid_icir 0.126975, valid_ric -0.016256, valid_ricir -0.159592, valid_prec@10 0.553279, valid_prec@30 0.540847, valid_mae 0.017129, valid_rmse 0.025502, valid_mape 350.905426, valid_acc 0.617481, test_loss 0.001274, ic 0.006403, icir 0.086334, ric -0.019457, ricir -0.158814, prec@10 0.543621, prec@30 0.528532, test_mae 0.020510, test_rmse 0.029842, test_mape 264.711487, test_acc 0.428813
Epoch 56, train_loss 0.001663, train_ic 0.047842, train_icir 0.503968, train_ric 0.013387, train_ricir 0.104283, train_mae 0.024074, train_rmse 0.031473, train_mape 109.263016, train_acc 0.659597, valid_loss 0.0008491063, valid_ic 0.010105, valid_icir 0.289844, valid_ric -0.009194, valid_ricir -0.128287, valid_prec@10 0.596311, valid_prec@30 0.547404, valid_mae 0.015180, valid_rmse 0.023266, valid_mape 309.085785, valid_acc 0.677333, test_loss 0.001217, ic 0.011663, icir 0.331820, ric -0.011485, ricir -0.149091, prec@10 0.545267, prec@30 0.531276, test_mae 0.020017, test_rmse 0.028166, test_mape 285.970612, test_acc 0.502396
Epoch 57, train_loss 0.001619, train_ic 0.050954, train_icir 0.510472, train_ric 0.030696, train_ricir 0.228831, train_mae 0.025243, train_rmse 0.036400, train_mape 129.935257, train_acc 0.510065, valid_loss 0.0006315598, valid_ic 0.014320, valid_icir 0.324163, valid_ric 0.002379, valid_ricir 0.027295, valid_prec@10 0.588525, valid_prec@30 0.565574, valid_mae 0.015297, valid_rmse 0.023965, valid_mape 178.073853, valid_acc 0.362963, test_loss 0.000990, ic 0.008179, icir 0.170754, ric -0.009192, ricir -0.084435, prec@10 0.509465, prec@30 0.514952, test_mae 0.017486, test_rmse 0.026200, test_mape 190.905273, test_acc 0.429659
Epoch 58, train_loss 0.001609, train_ic 0.036644, train_icir 0.412713, train_ric 0.040166, train_ricir 0.343398, train_mae 0.025168, train_rmse 0.029980, train_mape 260.919403, train_acc 0.198662, valid_loss 0.0007866946, valid_ic 0.009985, valid_icir 0.345651, valid_ric 0.017197, valid_ricir 0.295748, valid_prec@10 0.636475, valid_prec@30 0.601913, valid_mae 0.014502, valid_rmse 0.022647, valid_mape 277.266357, valid_acc 0.682667, test_loss 0.001230, ic 0.010129, icir 0.226737, ric 0.015036, ricir 0.161978, prec@10 0.550206, prec@30 0.554184, test_mae 0.021001, test_rmse 0.029548, test_mape 287.370148, test_acc 0.504934
Epoch 59, train_loss 0.001632, train_ic 0.012926, train_icir 0.146176, train_ric 0.003624, train_ricir 0.031889, train_mae 0.032239, train_rmse 0.038401, train_mape 96.282753, train_acc 0.664959, valid_loss 0.0006762998, valid_ic 0.000821, valid_icir 0.013039, valid_ric 0.004905, valid_ricir 0.047650, valid_prec@10 0.538115, valid_prec@30 0.537978, valid_mae 0.016789, valid_rmse 0.025024, valid_mape 232.494659, valid_acc 0.424593, test_loss 0.001035, ic -0.004659, icir -0.086305, ric -0.003924, ricir -0.036092, prec@10 0.527984, prec@30 0.510562, test_mae 0.018623, test_rmse 0.027182, test_mape 210.227386, test_acc 0.429659
Epoch 60, train_loss 0.001653, train_ic 0.035784, train_icir 0.382907, train_ric 0.030757, train_ricir 0.264104, train_mae 0.018641, train_rmse 0.024733, train_mape 189.540039, train_acc 0.854781, valid_loss 0.0012930970, valid_ic 0.004306, valid_icir 0.100760, valid_ric 0.004293, valid_ricir 0.059343, valid_prec@10 0.549180, valid_prec@30 0.533333, valid_mae 0.021037, valid_rmse 0.027595, valid_mape 499.435577, valid_acc 0.683852, test_loss 0.001640, ic 0.001196, icir 0.024666, ric -0.000552, ricir -0.005746, prec@10 0.510288, prec@30 0.507407, test_mae 0.027037, test_rmse 0.034843, test_mape 469.681946, test_acc 0.504652
Epoch 61, train_loss 0.001637, train_ic 0.044937, train_icir 0.455853, train_ric 0.018290, train_ricir 0.147440, train_mae 0.028620, train_rmse 0.037918, train_mape 157.344620, train_acc 0.556579, valid_loss 0.0007977047, valid_ic 0.009894, valid_icir 0.242381, valid_ric -0.006262, valid_ricir -0.096934, valid_prec@10 0.596721, valid_prec@30 0.534973, valid_mae 0.014630, valid_rmse 0.022788, valid_mape 276.520386, valid_acc 0.655407, test_loss 0.001171, ic 0.005925, icir 0.105944, ric -0.008966, ricir -0.092013, prec@10 0.552263, prec@30 0.529218, test_mae 0.019400, test_rmse 0.028334, test_mape 250.618271, test_acc 0.475613
Epoch 62, train_loss 0.001623, train_ic 0.048057, train_icir 0.528618, train_ric 0.043623, train_ricir 0.360169, train_mae 0.015757, train_rmse 0.023519, train_mape 124.970818, train_acc 0.481453, valid_loss 0.0005976989, valid_ic 0.009809, valid_icir 0.272035, valid_ric 0.011822, valid_ricir 0.158156, valid_prec@10 0.600000, valid_prec@30 0.575273, valid_mae 0.012702, valid_rmse 0.022088, valid_mape 124.451302, valid_acc 0.508444, test_loss 0.000968, ic 0.007068, icir 0.179818, ric 0.010955, ricir 0.127374, prec@10 0.507407, prec@30 0.534019, test_mae 0.015755, test_rmse 0.024822, test_mape 138.288956, test_acc 0.476177
Epoch 63, train_loss 0.001596, train_ic 0.048424, train_icir 0.508976, train_ric 0.051548, train_ricir 0.452865, train_mae 0.022367, train_rmse 0.031511, train_mape 152.130707, train_acc 0.572610, valid_loss 0.0006680334, valid_ic 0.011539, valid_icir 0.197538, valid_ric 0.013971, valid_ricir 0.185424, valid_prec@10 0.553689, valid_prec@30 0.544262, valid_mae 0.015620, valid_rmse 0.024649, valid_mape 196.641617, valid_acc 0.402074, test_loss 0.001007, ic 0.009512, icir 0.192458, ric 0.007894, ricir 0.101844, prec@10 0.509877, prec@30 0.515775, test_mae 0.016485, test_rmse 0.025684, test_mape 168.068069, test_acc 0.429941
Epoch 64, train_loss 0.001624, train_ic 0.043544, train_icir 0.438092, train_ric 0.025955, train_ricir 0.210318, train_mae 0.020477, train_rmse 0.027659, train_mape 288.879059, train_acc 0.607536, valid_loss 0.0009355840, valid_ic 0.008657, valid_icir 0.238793, valid_ric 0.002875, valid_ricir 0.043655, valid_prec@10 0.595902, valid_prec@30 0.559290, valid_mae 0.027911, valid_rmse 0.034095, valid_mape 463.930511, valid_acc 0.213333, test_loss 0.001241, ic 0.009583, icir 0.211257, ric 0.005397, ricir 0.054367, prec@10 0.523045, prec@30 0.537723, test_mae 0.023002, test_rmse 0.030384, test_mape 362.275238, test_acc 0.440372
Epoch 65, train_loss 0.001597, train_ic 0.041230, train_icir 0.430650, train_ric 0.016747, train_ricir 0.136902, train_mae 0.032612, train_rmse 0.036515, train_mape 385.294189, train_acc 0.199718, valid_loss 0.0011150309, valid_ic 0.010541, valid_icir 0.234419, valid_ric -0.000417, valid_ricir -0.005894, valid_prec@10 0.555738, valid_prec@30 0.543852, valid_mae 0.019949, valid_rmse 0.026562, valid_mape 449.025452, valid_acc 0.683556, test_loss 0.001517, ic 0.008099, icir 0.193205, ric -0.006579, ricir -0.077043, prec@10 0.519342, prec@30 0.507819, test_mae 0.025965, test_rmse 0.033401, test_mape 423.707642, test_acc 0.505216
Epoch 66, train_loss 0.001593, train_ic 0.058851, train_icir 0.496321, train_ric 0.036815, train_ricir 0.251642, train_mae 0.018924, train_rmse 0.025857, train_mape 5503.028809, train_acc 0.236602, valid_loss 0.0006970424, valid_ic 0.019019, valid_icir 0.368907, valid_ric 0.005132, valid_ricir 0.060784, valid_prec@10 0.599180, valid_prec@30 0.569262, valid_mae 0.018921, valid_rmse 0.026816, valid_mape 254.648972, valid_acc 0.241778, test_loss 0.001024, ic 0.019212, icir 0.376798, ric 0.002716, ricir 0.028002, prec@10 0.504115, prec@30 0.524005, test_mae 0.019001, test_rmse 0.027310, test_mape 253.395935, test_acc 0.456724
Epoch 67, train_loss 0.001554, train_ic 0.030484, train_icir 0.368789, train_ric 0.033278, train_ricir 0.331571, train_mae 0.046659, train_rmse 0.052787, train_mape 124.937584, train_acc 0.166430, valid_loss 0.0006678997, valid_ic 0.004239, valid_icir 0.107760, valid_ric 0.013079, valid_ricir 0.247221, valid_prec@10 0.560656, valid_prec@30 0.541667, valid_mae 0.013512, valid_rmse 0.022204, valid_mape 197.445435, valid_acc 0.615111, test_loss 0.001037, ic 0.001972, icir 0.047014, ric 0.003578, ricir 0.054857, prec@10 0.520576, prec@30 0.512894, test_mae 0.018270, test_rmse 0.026846, test_mape 206.171173, test_acc 0.459543
Epoch 68, train_loss 0.001570, train_ic 0.047979, train_icir 0.425857, train_ric -0.000657, train_ricir -0.004689, train_mae 0.016930, train_rmse 0.022626, train_mape 329.812714, train_acc 0.405461, valid_loss 0.0007549967, valid_ic 0.012443, valid_icir 0.236558, valid_ric -0.016231, valid_ricir -0.162421, valid_prec@10 0.600000, valid_prec@30 0.559290, valid_mae 0.022175, valid_rmse 0.029225, valid_mape 312.104095, valid_acc 0.219556, test_loss 0.001134, ic 0.008477, icir 0.153433, ric -0.024074, ricir -0.213614, prec@10 0.534568, prec@30 0.525789, test_mae 0.023122, test_rmse 0.030321, test_mape 331.903839, test_acc 0.427122
Epoch 69, train_loss 0.001577, train_ic 0.055895, train_icir 0.570245, train_ric 0.040985, train_ricir 0.313741, train_mae 0.024768, train_rmse 0.032426, train_mape 94.126366, train_acc 0.739922, valid_loss 0.0006438310, valid_ic 0.012985, valid_icir 0.267162, valid_ric 0.012921, valid_ricir 0.130607, valid_prec@10 0.564754, valid_prec@30 0.554781, valid_mae 0.012014, valid_rmse 0.020885, valid_mape 180.115753, valid_acc 0.679704, test_loss 0.001001, ic 0.010545, icir 0.256830, ric 0.003306, ricir 0.033484, prec@10 0.503704, prec@30 0.515226, test_mae 0.015829, test_rmse 0.024828, test_mape 160.069580, test_acc 0.510008
Epoch 70, train_loss 0.001623, train_ic 0.044848, train_icir 0.562744, train_ric 0.026861, train_ricir 0.264026, train_mae 0.029790, train_rmse 0.038328, train_mape 424.208313, train_acc 0.602598, valid_loss 0.0013209967, valid_ic 0.009447, valid_icir 0.285575, valid_ric 0.000805, valid_ricir 0.013840, valid_prec@10 0.553689, valid_prec@30 0.545082, valid_mae 0.023007, valid_rmse 0.028987, valid_mape 536.546936, valid_acc 0.683556, test_loss 0.001696, ic 0.005546, icir 0.176376, ric -0.005920, ricir -0.105283, prec@10 0.527984, prec@30 0.520027, test_mae 0.027936, test_rmse 0.034774, test_mape 476.526459, test_acc 0.503242
Epoch 71, train_loss 0.001555, train_ic 0.037894, train_icir 0.300015, train_ric 0.035731, train_ricir 0.246162, train_mae 0.025262, train_rmse 0.031639, train_mape 156.180374, train_acc 0.430154, valid_loss 0.0006907530, valid_ic 0.007695, valid_icir 0.084030, valid_ric 0.003622, valid_ricir 0.029375, valid_prec@10 0.653689, valid_prec@30 0.605464, valid_mae 0.017678, valid_rmse 0.026523, valid_mape 241.160233, valid_acc 0.408593, test_loss 0.001072, ic 0.007944, icir 0.088926, ric 0.004890, ricir 0.036037, prec@10 0.502469, prec@30 0.551989, test_mae 0.018134, test_rmse 0.026464, test_mape 208.711151, test_acc 0.506343
Epoch 72, train_loss 0.001542, train_ic 0.053092, train_icir 0.467127, train_ric 0.019941, train_ricir 0.140793, train_mae 0.016887, train_rmse 0.022580, train_mape 195.894562, train_acc 0.352063, valid_loss 0.0006227632, valid_ic 0.013833, valid_icir 0.245390, valid_ric -0.002203, valid_ricir -0.022129, valid_prec@10 0.557377, valid_prec@30 0.564208, valid_mae 0.013020, valid_rmse 0.021812, valid_mape 163.246384, valid_acc 0.549333, test_loss 0.000982, ic 0.012714, icir 0.220801, ric -0.005498, ricir -0.048792, prec@10 0.528807, prec@30 0.524005, test_mae 0.016507, test_rmse 0.025298, test_mape 159.183182, test_acc 0.439808
