Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001864, train_ic 0.013389, train_icir 0.173565, train_ric -0.015056, train_ricir -0.127739, train_mae 0.015215, train_rmse 0.028493, train_mape 309.222046, train_acc 0.704737, valid_loss 0.0043656339, valid_ic -0.005148, valid_icir -0.091170, valid_ric -0.011690, valid_ricir -0.128722, valid_prec@10 0.549794, valid_prec@30 0.515226, valid_mae 0.026682, valid_rmse 0.078436, valid_mape 387.904236, valid_acc 0.679947, test_loss 0.006914, ic 0.005970, icir 0.066484, ric -0.012906, ricir -0.139824, prec@10 0.555556, prec@30 0.511111, test_mae 0.030777, test_rmse 0.083485, test_mape 734.251282, test_acc 0.601594
Epoch 13, train_loss 0.001765, train_ic 0.012612, train_icir 0.187643, train_ric 0.023749, train_ricir 0.209289, train_mae 0.038892, train_rmse 0.052254, train_mape 128.424149, train_acc 0.330235, valid_loss 0.0038140518, valid_ic -0.008248, valid_icir -0.155683, valid_ric 0.004510, valid_ricir 0.042991, valid_prec@10 0.572016, valid_prec@30 0.562003, valid_mae 0.025831, valid_rmse 0.075152, valid_mape 299.544067, valid_acc 0.587428, test_loss 0.006136, ic 0.005777, icir 0.066693, ric 0.018389, ricir 0.163341, prec@10 0.570370, prec@30 0.570919, test_mae 0.026242, test_rmse 0.078702, test_mape 549.022400, test_acc 0.573263
Epoch 14, train_loss 0.001659, train_ic 0.012224, train_icir 0.156779, train_ric 0.039109, train_ricir 0.322801, train_mae 0.078483, train_rmse 0.083698, train_mape 94.133308, train_acc 0.664453, valid_loss 0.0035353370, valid_ic -0.008997, valid_icir -0.164113, valid_ric 0.014626, valid_ricir 0.128776, valid_prec@10 0.546091, valid_prec@30 0.541015, valid_mae 0.027336, valid_rmse 0.073311, valid_mape 309.899536, valid_acc 0.401062, test_loss 0.005699, ic 0.005695, icir 0.065442, ric 0.031126, ricir 0.248933, prec@10 0.531276, prec@30 0.536351, test_mae 0.027384, test_rmse 0.076400, test_mape 563.225769, test_acc 0.484728
Epoch 15, train_loss 0.001628, train_ic 0.010052, train_icir 0.139136, train_ric 0.036006, train_ricir 0.287321, train_mae 0.015870, train_rmse 0.035321, train_mape 120.816490, train_acc 0.887561, valid_loss 0.0033501544, valid_ic -0.006967, valid_icir -0.159947, valid_ric 0.018309, valid_ricir 0.151109, valid_prec@10 0.523045, valid_prec@30 0.506722, valid_mae 0.022402, valid_rmse 0.068854, valid_mape 307.113281, valid_acc 0.704294, test_loss 0.005363, ic 0.004516, icir 0.060079, ric 0.017884, ricir 0.175115, prec@10 0.514815, prec@30 0.506173, test_mae 0.025435, test_rmse 0.072496, test_mape 592.744324, test_acc 0.624170
Epoch 16, train_loss 0.001604, train_ic 0.016734, train_icir 0.259196, train_ric 0.032285, train_ricir 0.338936, train_mae 0.028877, train_rmse 0.035246, train_mape 317.202393, train_acc 0.203187, valid_loss 0.0034521435, valid_ic -0.004235, valid_icir -0.102713, valid_ric 0.019625, valid_ricir 0.269278, valid_prec@10 0.553909, valid_prec@30 0.532099, valid_mae 0.037426, valid_rmse 0.072878, valid_mape 458.634369, valid_acc 0.215139, test_loss 0.005358, ic 0.005331, icir 0.073249, ric 0.016049, ricir 0.239947, prec@10 0.518107, prec@30 0.519204, test_mae 0.035811, test_rmse 0.074495, test_mape 732.763855, test_acc 0.334219
Epoch 17, train_loss 0.001510, train_ic 0.008774, train_icir 0.139102, train_ric 0.011159, train_ricir 0.128093, train_mae 0.020159, train_rmse 0.028241, train_mape 292.360718, train_acc 0.427623, valid_loss 0.0031599811, valid_ic -0.004034, valid_icir -0.110760, valid_ric 0.009957, valid_ricir 0.168753, valid_prec@10 0.551852, valid_prec@30 0.546091, valid_mae 0.031695, valid_rmse 0.068764, valid_mape 384.358215, valid_acc 0.305002, test_loss 0.004938, ic 0.005221, icir 0.080299, ric 0.004321, ricir 0.075253, prec@10 0.560905, prec@30 0.559396, test_mae 0.030549, test_rmse 0.070447, test_mape 618.230896, test_acc 0.396636
Epoch 18, train_loss 0.001465, train_ic 0.034662, train_icir 0.382022, train_ric 0.016059, train_ricir 0.123714, train_mae 0.012040, train_rmse 0.029769, train_mape 153.286575, train_acc 0.442231, valid_loss 0.0028071134, valid_ic -0.000929, valid_icir -0.018444, valid_ric 0.004935, valid_ricir 0.043535, valid_prec@10 0.576955, valid_prec@30 0.553086, valid_mae 0.025594, valid_rmse 0.065025, valid_mape 283.781494, valid_acc 0.353696, test_loss 0.004511, ic 0.007711, icir 0.098260, ric 0.006470, ricir 0.055164, prec@10 0.558025, prec@30 0.542936, test_mae 0.025087, test_rmse 0.067134, test_mape 479.141388, test_acc 0.394865
Epoch 19, train_loss 0.001443, train_ic 0.015769, train_icir 0.222528, train_ric 0.001833, train_ricir 0.017504, train_mae 0.028654, train_rmse 0.037910, train_mape 173.897873, train_acc 0.688358, valid_loss 0.0036052102, valid_ic -0.003582, valid_icir -0.092541, valid_ric 0.000169, valid_ricir 0.002297, valid_prec@10 0.553498, valid_prec@30 0.527160, valid_mae 0.047716, valid_rmse 0.074181, valid_mape 612.768005, valid_acc 0.211598, test_loss 0.005226, ic 0.004829, icir 0.073215, ric -0.005357, ricir -0.076354, prec@10 0.539095, prec@30 0.512209, test_mae 0.043846, test_rmse 0.073800, test_mape 883.178162, test_acc 0.331563
Epoch 20, train_loss 0.001457, train_ic 0.015222, train_icir 0.175211, train_ric 0.040682, train_ricir 0.330561, train_mae 0.023956, train_rmse 0.029301, train_mape 265.387817, train_acc 0.272687, valid_loss 0.0026700814, valid_ic -0.005478, valid_icir -0.111595, valid_ric 0.024371, valid_ricir 0.226856, valid_prec@10 0.542798, valid_prec@30 0.540192, valid_mae 0.022217, valid_rmse 0.060393, valid_mape 291.419708, valid_acc 0.677734, test_loss 0.004193, ic 0.006004, icir 0.078680, ric 0.032802, ricir 0.281160, prec@10 0.544033, prec@30 0.544307, test_mae 0.023762, test_rmse 0.063406, test_mape 494.034393, test_acc 0.598495
Epoch 21, train_loss 0.001406, train_ic 0.016889, train_icir 0.182650, train_ric -0.018006, train_ricir -0.151321, train_mae 0.028618, train_rmse 0.042572, train_mape 380.605164, train_acc 0.270474, valid_loss 0.0032021529, valid_ic 0.004450, valid_icir 0.087637, valid_ric -0.009324, valid_ricir -0.087893, valid_prec@10 0.581070, valid_prec@30 0.534979, valid_mae 0.039062, valid_rmse 0.068404, valid_mape 473.560944, valid_acc 0.233732, test_loss 0.004597, ic 0.004649, icir 0.079934, ric -0.022983, ricir -0.268617, prec@10 0.565021, prec@30 0.528395, test_mae 0.034941, test_rmse 0.067782, test_mape 648.359192, test_acc 0.327579
