Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001917, train_ic 0.011401, train_icir 0.191083, train_ric 0.014925, train_ricir 0.160726, train_mae 0.022939, train_rmse 0.037281, train_mape 447.568848, train_acc 0.469775, valid_loss 0.0020326004, valid_ic 0.005946, valid_icir 0.181225, valid_ric 0.011136, valid_ricir 0.102966, valid_prec@10 0.507438, valid_prec@30 0.488981, valid_mae 0.027164, valid_rmse 0.042786, valid_mape 538.640869, valid_acc 0.479904, test_loss 0.002159, ic -0.000327, icir -0.008075, ric 0.016052, ricir 0.230169, prec@10 0.497119, prec@30 0.505624, test_mae 0.022907, test_rmse 0.045549, test_mape 720.907837, test_acc 0.495261
Epoch 13, train_loss 0.001834, train_ic 0.005612, train_icir 0.096088, train_ric -0.004131, train_ricir -0.041348, train_mae 0.024771, train_rmse 0.038420, train_mape 658.077515, train_acc 0.459029, valid_loss 0.0020532605, valid_ic 0.002601, valid_icir 0.064697, valid_ric -0.006189, valid_ricir -0.047087, valid_prec@10 0.479339, valid_prec@30 0.470661, valid_mae 0.028380, valid_rmse 0.043127, valid_mape 866.927734, valid_acc 0.494645, test_loss 0.002150, ic -0.001360, icir -0.043326, ric -0.004113, ricir -0.039078, prec@10 0.512757, prec@30 0.504390, test_mae 0.024570, test_rmse 0.045641, test_mape 991.358154, test_acc 0.475832
Epoch 14, train_loss 0.001738, train_ic 0.017811, train_icir 0.236449, train_ric 0.024273, train_ricir 0.243509, train_mae 0.023323, train_rmse 0.036206, train_mape 507.599152, train_acc 0.473852, valid_loss 0.0018859899, valid_ic 0.014807, valid_icir 0.264466, valid_ric 0.032797, valid_ricir 0.263566, valid_prec@10 0.567769, valid_prec@30 0.560468, valid_mae 0.027467, valid_rmse 0.041213, valid_mape 665.663147, valid_acc 0.484293, test_loss 0.001943, ic 0.001291, icir 0.023338, ric 0.026086, ricir 0.241725, prec@10 0.570370, prec@30 0.574897, test_mae 0.022906, test_rmse 0.043191, test_mape 735.306152, test_acc 0.499710
Epoch 15, train_loss 0.001684, train_ic 0.021223, train_icir 0.258228, train_ric 0.023785, train_ricir 0.199505, train_mae 0.023744, train_rmse 0.036693, train_mape 543.039062, train_acc 0.464254, valid_loss 0.0018619912, valid_ic 0.014939, valid_icir 0.260041, valid_ric 0.033559, valid_ricir 0.224542, valid_prec@10 0.567769, valid_prec@30 0.525895, valid_mae 0.027354, valid_rmse 0.040955, valid_mape 617.351746, valid_acc 0.502160, test_loss 0.001988, ic 0.001431, icir 0.027208, ric 0.016694, ricir 0.136546, prec@10 0.551029, prec@30 0.528395, test_mae 0.024251, test_rmse 0.043854, test_mape 893.657288, test_acc 0.481604
Epoch 16, train_loss 0.001600, train_ic 0.016716, train_icir 0.165297, train_ric 0.006771, train_ricir 0.047129, train_mae 0.031015, train_rmse 0.041134, train_mape 1300.125732, train_acc 0.468070, valid_loss 0.0021983552, valid_ic 0.018296, valid_icir 0.198842, valid_ric 0.026115, valid_ricir 0.153524, valid_prec@10 0.519835, valid_prec@30 0.492424, valid_mae 0.033436, valid_rmse 0.044655, valid_mape 1503.176392, valid_acc 0.480441, test_loss 0.002125, ic 0.001041, icir 0.015175, ric 0.003903, ricir 0.026954, prec@10 0.539506, prec@30 0.516324, test_mae 0.029254, test_rmse 0.045161, test_mape 1852.545532, test_acc 0.490687
Epoch 17, train_loss 0.001576, train_ic -0.001094, train_icir -0.015727, train_ric -0.004454, train_ricir -0.043421, train_mae 0.021475, train_rmse 0.034029, train_mape 247.981262, train_acc 0.463171, valid_loss 0.0016837545, valid_ic 0.000433, valid_icir 0.007907, valid_ric -0.002407, valid_ricir -0.017548, valid_prec@10 0.443388, valid_prec@30 0.446832, valid_mae 0.025750, valid_rmse 0.038599, valid_mape 318.359558, valid_acc 0.492932, test_loss 0.001664, ic -0.004345, icir -0.103056, ric -0.001641, ricir -0.019034, prec@10 0.471605, prec@30 0.460631, test_mae 0.021259, test_rmse 0.039927, test_mape 355.446960, test_acc 0.479339
Epoch 18, train_loss 0.001522, train_ic 0.015286, train_icir 0.185525, train_ric 0.016468, train_ricir 0.131803, train_mae 0.028168, train_rmse 0.038924, train_mape 1070.778931, train_acc 0.460736, valid_loss 0.0019714414, valid_ic 0.008404, valid_icir 0.142204, valid_ric -0.000668, valid_ricir -0.004513, valid_prec@10 0.477273, valid_prec@30 0.471901, valid_mae 0.030591, valid_rmse 0.042121, valid_mape 1217.647583, valid_acc 0.496434, test_loss 0.001937, ic 0.003222, icir 0.091571, ric 0.006898, ricir 0.055376, prec@10 0.518107, prec@30 0.507819, test_mae 0.027382, test_rmse 0.043352, test_mape 1530.285278, test_acc 0.480048
Epoch 19, train_loss 0.001494, train_ic 0.002002, train_icir 0.027536, train_ric -0.019594, train_ricir -0.197833, train_mae 0.022450, train_rmse 0.033891, train_mape 381.956116, train_acc 0.458835, valid_loss 0.0016741625, valid_ic -0.001433, valid_icir -0.021181, valid_ric -0.018209, valid_ricir -0.130732, valid_prec@10 0.513636, valid_prec@30 0.472452, valid_mae 0.026639, valid_rmse 0.038581, valid_mape 509.288605, valid_acc 0.479787, test_loss 0.001585, ic -0.002968, icir -0.071744, ric -0.015764, ricir -0.189965, prec@10 0.497942, prec@30 0.477229, test_mae 0.022015, test_rmse 0.038932, test_mape 579.536499, test_acc 0.479084
Epoch 20, train_loss 0.001453, train_ic 0.021342, train_icir 0.224070, train_ric 0.018453, train_ricir 0.144148, train_mae 0.026804, train_rmse 0.036194, train_mape 928.504333, train_acc 0.469775, valid_loss 0.0018178857, valid_ic 0.020319, valid_icir 0.269060, valid_ric 0.035008, valid_ricir 0.223636, valid_prec@10 0.565702, valid_prec@30 0.552204, valid_mae 0.030072, valid_rmse 0.040335, valid_mape 1165.391846, valid_acc 0.481558, test_loss 0.001686, ic 0.002265, icir 0.036497, ric 0.017204, ricir 0.125062, prec@10 0.566255, prec@30 0.564472, test_mae 0.025482, test_rmse 0.040066, test_mape 1263.357056, test_acc 0.491799
Epoch 21, train_loss 0.001439, train_ic 0.014832, train_icir 0.194424, train_ric 0.024102, train_ricir 0.207114, train_mae 0.024690, train_rmse 0.035551, train_mape 663.485657, train_acc 0.462395, valid_loss 0.0017311544, valid_ic 0.011865, valid_icir 0.191269, valid_ric 0.029969, valid_ricir 0.197919, valid_prec@10 0.505785, valid_prec@30 0.496970, valid_mae 0.027901, valid_rmse 0.039257, valid_mape 765.489441, valid_acc 0.499317, test_loss 0.001717, ic -0.000738, icir -0.015080, ric 0.009328, ricir 0.079624, prec@10 0.519753, prec@30 0.516872, test_mae 0.025250, test_rmse 0.040705, test_mape 1119.204712, test_acc 0.479050
Epoch 22, train_loss 0.001389, train_ic 0.014369, train_icir 0.155342, train_ric 0.004489, train_ricir 0.033382, train_mae 0.025459, train_rmse 0.035887, train_mape 820.061218, train_acc 0.463759, valid_loss 0.0017468654, valid_ic 0.008381, valid_icir 0.096098, valid_ric -0.006089, valid_ricir -0.035987, valid_prec@10 0.479339, valid_prec@30 0.482094, valid_mae 0.028613, valid_rmse 0.039656, valid_mape 1003.514709, valid_acc 0.493830, test_loss 0.001599, ic 0.007617, icir 0.158633, ric 0.007939, ricir 0.064017, prec@10 0.501235, prec@30 0.506859, test_mae 0.024031, test_rmse 0.039277, test_mape 1210.437744, test_acc 0.486241
