Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 39, train_loss 0.001436, train_ic 0.074220, train_icir 0.795644, train_ric 0.025058, train_ricir 0.182170, train_mae 0.023208, train_rmse 0.030024, train_mape 206.830627, train_acc 0.166209, valid_loss 0.0010167610, valid_ic 0.020051, valid_icir 0.453892, valid_ric -0.004755, valid_ricir -0.045683, valid_prec@10 0.603704, valid_prec@30 0.571468, valid_mae 0.017379, valid_rmse 0.026802, valid_mape 194.066528, valid_acc 0.440112, test_loss 0.001350, ic 0.004632, icir 0.107489, ric -0.014037, ricir -0.169529, prec@10 0.628279, prec@30 0.598087, test_mae 0.017461, test_rmse 0.037356, test_mape 207.733154, test_acc 0.361407
Epoch 40, train_loss 0.001428, train_ic 0.051094, train_icir 0.814180, train_ric 0.028383, train_ricir 0.322250, train_mae 0.019591, train_rmse 0.024873, train_mape 296.925659, train_acc 0.338251, valid_loss 0.0010980083, valid_ic 0.006205, valid_icir 0.248963, valid_ric 0.004788, valid_ricir 0.089540, valid_prec@10 0.600000, valid_prec@30 0.529630, valid_mae 0.017787, valid_rmse 0.027019, valid_mape 221.270676, valid_acc 0.503226, test_loss 0.001327, ic -0.000299, icir -0.009719, ric 0.009041, ricir 0.234018, prec@10 0.616393, prec@30 0.569809, test_mae 0.016445, test_rmse 0.035299, test_mape 260.535187, test_acc 0.595682
Epoch 41, train_loss 0.001462, train_ic 0.048510, train_icir 0.564069, train_ric 0.018153, train_ricir 0.152437, train_mae 0.027719, train_rmse 0.031596, train_mape 575.230652, train_acc 0.306569, valid_loss 0.0015138013, valid_ic 0.009852, valid_icir 0.261311, valid_ric -0.006660, valid_ricir -0.096647, valid_prec@10 0.595885, valid_prec@30 0.527709, valid_mae 0.025047, valid_rmse 0.032962, valid_mape 398.483734, valid_acc 0.474614, test_loss 0.001664, ic 0.005731, icir 0.157885, ric -0.004749, ricir -0.091070, prec@10 0.592213, prec@30 0.535383, test_mae 0.023932, test_rmse 0.038349, test_mape 483.984375, test_acc 0.576493
Epoch 42, train_loss 0.001398, train_ic 0.041473, train_icir 0.409569, train_ric 0.026370, train_ricir 0.204798, train_mae 0.018835, train_rmse 0.026908, train_mape 167.858521, train_acc 0.462957, valid_loss 0.0012413510, valid_ic 0.009266, valid_icir 0.117352, valid_ric 0.008636, valid_ricir 0.066774, valid_prec@10 0.567490, valid_prec@30 0.568724, valid_mae 0.020740, valid_rmse 0.031126, valid_mape 231.864243, valid_acc 0.500982, test_loss 0.001657, ic -0.005735, icir -0.093764, ric 0.003548, ricir 0.034970, prec@10 0.627459, prec@30 0.600683, test_mae 0.020302, test_rmse 0.041016, test_mape 260.226105, test_acc 0.514126
Epoch 43, train_loss 0.001402, train_ic 0.050078, train_icir 0.600156, train_ric 0.039079, train_ricir 0.361743, train_mae 0.016250, train_rmse 0.026180, train_mape 169.474426, train_acc 0.630783, valid_loss 0.0011035621, valid_ic 0.008367, valid_icir 0.173529, valid_ric 0.017023, valid_ricir 0.166698, valid_prec@10 0.539506, valid_prec@30 0.512346, valid_mae 0.018156, valid_rmse 0.026891, valid_mape 214.610214, valid_acc 0.507433, test_loss 0.001292, ic 0.000463, icir 0.011028, ric 0.009759, ricir 0.115530, prec@10 0.576639, prec@30 0.543852, test_mae 0.016363, test_rmse 0.034217, test_mape 232.012756, test_acc 0.589286
Epoch 44, train_loss 0.001366, train_ic 0.078311, train_icir 0.932677, train_ric 0.021740, train_ricir 0.185253, train_mae 0.015432, train_rmse 0.024027, train_mape 184.387268, train_acc 0.508169, valid_loss 0.0009968112, valid_ic 0.012640, valid_icir 0.326101, valid_ric -0.009507, valid_ricir -0.098967, valid_prec@10 0.565021, valid_prec@30 0.538272, valid_mae 0.017798, valid_rmse 0.026534, valid_mape 206.156448, valid_acc 0.428612, test_loss 0.001257, ic 0.004670, icir 0.135045, ric -0.011956, ricir -0.187660, prec@10 0.552869, prec@30 0.544672, test_mae 0.017741, test_rmse 0.035345, test_mape 210.461502, test_acc 0.351546
Epoch 45, train_loss 0.001384, train_ic 0.018923, train_icir 0.226153, train_ric 0.005197, train_ricir 0.053012, train_mae 0.034752, train_rmse 0.045130, train_mape 353.964661, train_acc 0.565750, valid_loss 0.0020126199, valid_ic -0.007715, valid_icir -0.208898, valid_ric -0.000066, valid_ricir -0.000959, valid_prec@10 0.498354, valid_prec@30 0.459945, valid_mae 0.034261, valid_rmse 0.041634, valid_mape 611.611206, valid_acc 0.503506, test_loss 0.002115, ic -0.007392, icir -0.223811, ric 0.008507, ricir 0.143834, prec@10 0.572131, prec@30 0.511066, test_mae 0.029889, test_rmse 0.042707, test_mape 649.891357, test_acc 0.596748
Epoch 46, train_loss 0.001426, train_ic 0.077025, train_icir 0.780785, train_ric 0.007164, train_ricir 0.052714, train_mae 0.015607, train_rmse 0.023708, train_mape 143.344238, train_acc 0.423630, valid_loss 0.0009873368, valid_ic 0.019097, valid_icir 0.397501, valid_ric -0.015843, valid_ricir -0.141787, valid_prec@10 0.602469, valid_prec@30 0.564746, valid_mae 0.016057, valid_rmse 0.025430, valid_mape 148.409714, valid_acc 0.438990, test_loss 0.001205, ic 0.009272, icir 0.244113, ric -0.015721, ricir -0.195967, prec@10 0.583607, prec@30 0.567896, test_mae 0.015830, test_rmse 0.033813, test_mape 178.978760, test_acc 0.443497
Epoch 47, train_loss 0.001366, train_ic 0.039380, train_icir 0.415095, train_ric 0.010870, train_ricir 0.090300, train_mae 0.028361, train_rmse 0.034557, train_mape 75.768883, train_acc 0.871266, valid_loss 0.0012471196, valid_ic -0.001101, valid_icir -0.022159, valid_ric 0.001489, valid_ricir 0.013133, valid_prec@10 0.562551, valid_prec@30 0.527023, valid_mae 0.020777, valid_rmse 0.029532, valid_mape 307.617126, valid_acc 0.503226, test_loss 0.001367, ic 0.001222, icir 0.038365, ric 0.011925, ricir 0.123190, prec@10 0.562705, prec@30 0.537158, test_mae 0.018895, test_rmse 0.034778, test_mape 361.759338, test_acc 0.596748
Epoch 48, train_loss 0.001410, train_ic 0.031600, train_icir 0.475459, train_ric 0.022359, train_ricir 0.270253, train_mae 0.022467, train_rmse 0.027015, train_mape 453.141174, train_acc 0.482595, valid_loss 0.0013899262, valid_ic 0.003651, valid_icir 0.114247, valid_ric 0.008532, valid_ricir 0.136365, valid_prec@10 0.539506, valid_prec@30 0.482579, valid_mae 0.024471, valid_rmse 0.031989, valid_mape 393.201935, valid_acc 0.503787, test_loss 0.001488, ic -0.000430, icir -0.013769, ric 0.014071, ricir 0.321858, prec@10 0.560656, prec@30 0.511339, test_mae 0.021434, test_rmse 0.035288, test_mape 421.188507, test_acc 0.595416
Epoch 49, train_loss 0.001398, train_ic 0.044748, train_icir 0.468508, train_ric 0.017888, train_ricir 0.145231, train_mae 0.021414, train_rmse 0.028897, train_mape 215.761566, train_acc 0.694574, valid_loss 0.0015223525, valid_ic 0.000941, valid_icir 0.017409, valid_ric 0.002038, valid_ricir 0.017727, valid_prec@10 0.558436, valid_prec@30 0.529492, valid_mae 0.025533, valid_rmse 0.033377, valid_mape 429.349091, valid_acc 0.499579, test_loss 0.001580, ic 0.002202, icir 0.062204, ric 0.010126, ricir 0.105944, prec@10 0.563115, prec@30 0.536749, test_mae 0.023158, test_rmse 0.036707, test_mape 490.416321, test_acc 0.594616
Epoch 50, train_loss 0.001386, train_ic 0.049567, train_icir 0.633710, train_ric 0.059670, train_ricir 0.535203, train_mae 0.023776, train_rmse 0.028771, train_mape 233.303864, train_acc 0.342607, valid_loss 0.0011636539, valid_ic 0.002116, valid_icir 0.061004, valid_ric 0.030163, valid_ricir 0.290108, valid_prec@10 0.528807, valid_prec@30 0.500000, valid_mae 0.020416, valid_rmse 0.028457, valid_mape 291.156281, valid_acc 0.504348, test_loss 0.001280, ic -0.001071, icir -0.033777, ric 0.037467, ricir 0.446904, prec@10 0.591803, prec@30 0.537978, test_mae 0.017520, test_rmse 0.033161, test_mape 304.187378, test_acc 0.596482
Epoch 51, train_loss 0.001420, train_ic 0.055573, train_icir 0.583118, train_ric -0.003638, train_ricir -0.028770, train_mae 0.017269, train_rmse 0.023122, train_mape 139.586823, train_acc 0.864832, valid_loss 0.0012160033, valid_ic 0.010667, valid_icir 0.238197, valid_ric -0.017815, valid_ricir -0.162230, valid_prec@10 0.607407, valid_prec@30 0.546365, valid_mae 0.019264, valid_rmse 0.028245, valid_mape 267.381989, valid_acc 0.505750, test_loss 0.001391, ic 0.002403, icir 0.071810, ric -0.012879, ricir -0.160064, prec@10 0.644262, prec@30 0.589071, test_mae 0.019229, test_rmse 0.035281, test_mape 369.698730, test_acc 0.594616
Epoch 52, train_loss 0.001373, train_ic 0.042607, train_icir 0.434329, train_ric 0.007045, train_ricir 0.057267, train_mae 0.023974, train_rmse 0.030571, train_mape 13655.297852, train_acc 0.448690, valid_loss 0.0013980308, valid_ic 0.001402, valid_icir 0.020688, valid_ric -0.002003, valid_ricir -0.016409, valid_prec@10 0.572840, valid_prec@30 0.528395, valid_mae 0.028009, valid_rmse 0.035660, valid_mape 415.828094, valid_acc 0.428331, test_loss 0.001713, ic 0.007568, icir 0.170225, ric 0.004048, ricir 0.041295, prec@10 0.577459, prec@30 0.547814, test_mae 0.029594, test_rmse 0.042258, test_mape 469.926025, test_acc 0.351546
Epoch 53, train_loss 0.001363, train_ic 0.067355, train_icir 0.829164, train_ric 0.041688, train_ricir 0.378686, train_mae 0.020938, train_rmse 0.026147, train_mape 204.492188, train_acc 0.309441, valid_loss 0.0010087389, valid_ic 0.006313, valid_icir 0.184652, valid_ric 0.004278, valid_ricir 0.047968, valid_prec@10 0.536214, valid_prec@30 0.514129, valid_mae 0.016432, valid_rmse 0.025175, valid_mape 174.142548, valid_acc 0.511921, test_loss 0.001142, ic 0.000165, icir 0.005423, ric 0.006705, ricir 0.109532, prec@10 0.548770, prec@30 0.541667, test_mae 0.015064, test_rmse 0.031589, test_mape 200.825043, test_acc 0.597015
Epoch 54, train_loss 0.001358, train_ic 0.064089, train_icir 0.798852, train_ric 0.033294, train_ricir 0.322896, train_mae 0.023728, train_rmse 0.033718, train_mape 173.028702, train_acc 0.718489, valid_loss 0.0011487061, valid_ic 0.010188, valid_icir 0.298426, valid_ric 0.007401, valid_ricir 0.104069, valid_prec@10 0.558848, valid_prec@30 0.543621, valid_mae 0.019352, valid_rmse 0.027680, valid_mape 259.694305, valid_acc 0.509958, test_loss 0.001269, ic 0.003492, icir 0.103578, ric 0.009274, ricir 0.162805, prec@10 0.605328, prec@30 0.572814, test_mae 0.017483, test_rmse 0.032987, test_mape 297.681274, test_acc 0.593817
Epoch 55, train_loss 0.001320, train_ic 0.086269, train_icir 0.902877, train_ric 0.021099, train_ricir 0.169750, train_mae 0.017182, train_rmse 0.026217, train_mape 112.737228, train_acc 0.551098, valid_loss 0.0009461950, valid_ic 0.013506, valid_icir 0.315946, valid_ric -0.011822, valid_ricir -0.120027, valid_prec@10 0.576543, valid_prec@30 0.543073, valid_mae 0.015832, valid_rmse 0.024893, valid_mape 133.903076, valid_acc 0.422721, test_loss 0.001113, ic 0.006751, icir 0.187781, ric -0.009669, ricir -0.139760, prec@10 0.572541, prec@30 0.549317, test_mae 0.015657, test_rmse 0.032021, test_mape 161.843674, test_acc 0.410448
Epoch 56, train_loss 0.001363, train_ic 0.068012, train_icir 0.646536, train_ric -0.009694, train_ricir -0.076528, train_mae 0.013637, train_rmse 0.022383, train_mape 175.748810, train_acc 0.540721, valid_loss 0.0009852407, valid_ic 0.012556, valid_icir 0.255311, valid_ric -0.021448, valid_ricir -0.204757, valid_prec@10 0.593827, valid_prec@30 0.536763, valid_mae 0.016735, valid_rmse 0.025656, valid_mape 158.188354, valid_acc 0.443198, test_loss 0.001121, ic 0.008709, icir 0.233614, ric -0.011539, ricir -0.147534, prec@10 0.594262, prec@30 0.546175, test_mae 0.015554, test_rmse 0.031223, test_mape 200.006836, test_acc 0.543177
Epoch 57, train_loss 0.001363, train_ic 0.059336, train_icir 0.585513, train_ric 0.019596, train_ricir 0.156364, train_mae 0.021524, train_rmse 0.026829, train_mape 490.941620, train_acc 0.274702, valid_loss 0.0012068354, valid_ic 0.003641, valid_icir 0.061664, valid_ric -0.005472, valid_ricir -0.045796, valid_prec@10 0.518930, valid_prec@30 0.503978, valid_mae 0.024045, valid_rmse 0.031412, valid_mape 336.443237, valid_acc 0.426928, test_loss 0.001455, ic 0.004716, icir 0.124864, ric 0.002021, ricir 0.021584, prec@10 0.556967, prec@30 0.529781, test_mae 0.025120, test_rmse 0.038040, test_mape 374.201935, test_acc 0.348881
Epoch 58, train_loss 0.001348, train_ic 0.055214, train_icir 0.616270, train_ric 0.055303, train_ricir 0.498374, train_mae 0.020158, train_rmse 0.027379, train_mape 385.742676, train_acc 0.264168, valid_loss 0.0010606737, valid_ic 0.007688, valid_icir 0.154777, valid_ric 0.023427, valid_ricir 0.235128, valid_prec@10 0.572840, valid_prec@30 0.555967, valid_mae 0.018064, valid_rmse 0.026546, valid_mape 225.334351, valid_acc 0.452454, test_loss 0.001295, ic -0.002074, icir -0.048661, ric 0.018021, ricir 0.227608, prec@10 0.633607, prec@30 0.598224, test_mae 0.021193, test_rmse 0.036096, test_mape 310.663208, test_acc 0.359009
Epoch 59, train_loss 0.001287, train_ic 0.088655, train_icir 0.973718, train_ric 0.019296, train_ricir 0.163875, train_mae 0.021549, train_rmse 0.028818, train_mape 359.128845, train_acc 0.456573, valid_loss 0.0011203475, valid_ic 0.019929, valid_icir 0.574114, valid_ric -0.009992, valid_ricir -0.112447, valid_prec@10 0.595473, valid_prec@30 0.561180, valid_mae 0.022729, valid_rmse 0.029903, valid_mape 330.991852, valid_acc 0.427770, test_loss 0.001328, ic 0.012722, icir 0.378150, ric -0.007982, ricir -0.140577, prec@10 0.594672, prec@30 0.560519, test_mae 0.023440, test_rmse 0.036245, test_mape 360.216064, test_acc 0.350213
Epoch 60, train_loss 0.001288, train_ic 0.055331, train_icir 0.558605, train_ric 0.030959, train_ricir 0.253885, train_mae 0.021495, train_rmse 0.031796, train_mape 180.653076, train_acc 0.373343, valid_loss 0.0009609285, valid_ic 0.011882, valid_icir 0.215784, valid_ric 0.013561, valid_ricir 0.119714, valid_prec@10 0.574074, valid_prec@30 0.574348, valid_mae 0.016328, valid_rmse 0.025047, valid_mape 172.879379, valid_acc 0.463394, test_loss 0.001173, ic 0.001117, icir 0.023050, ric 0.010538, ricir 0.116327, prec@10 0.629918, prec@30 0.603825, test_mae 0.017624, test_rmse 0.033794, test_mape 222.743042, test_acc 0.392857
Epoch 61, train_loss 0.001350, train_ic 0.060378, train_icir 0.741358, train_ric 0.045164, train_ricir 0.471002, train_mae 0.034032, train_rmse 0.039670, train_mape 302.705536, train_acc 0.118234, valid_loss 0.0011871027, valid_ic 0.007510, valid_icir 0.168848, valid_ric 0.016841, valid_ricir 0.193207, valid_prec@10 0.576543, valid_prec@30 0.569136, valid_mae 0.021721, valid_rmse 0.029341, valid_mape 328.955444, valid_acc 0.453576, test_loss 0.001460, ic -0.002393, icir -0.058500, ric 0.015682, ricir 0.259759, prec@10 0.628279, prec@30 0.600546, test_mae 0.025057, test_rmse 0.038592, test_mape 408.146179, test_acc 0.364606
Epoch 62, train_loss 0.001304, train_ic 0.072048, train_icir 0.728180, train_ric 0.016386, train_ricir 0.141958, train_mae 0.029349, train_rmse 0.034359, train_mape 65.381065, train_acc 0.885074, valid_loss 0.0011968560, valid_ic 0.009653, valid_icir 0.217463, valid_ric 0.000097, valid_ricir 0.000960, valid_prec@10 0.572016, valid_prec@30 0.529081, valid_mae 0.021647, valid_rmse 0.029749, valid_mape 306.559387, valid_acc 0.502384, test_loss 0.001331, ic -0.002405, icir -0.055376, ric -0.002602, ricir -0.035619, prec@10 0.632787, prec@30 0.580464, test_mae 0.019342, test_rmse 0.033364, test_mape 339.059723, test_acc 0.595949
Epoch 63, train_loss 0.001315, train_ic 0.083097, train_icir 1.033218, train_ric 0.036280, train_ricir 0.410540, train_mae 0.028698, train_rmse 0.033813, train_mape 310.008392, train_acc 0.055950, valid_loss 0.0010392090, valid_ic 0.009322, valid_icir 0.326931, valid_ric 0.007630, valid_ricir 0.112821, valid_prec@10 0.590535, valid_prec@30 0.544033, valid_mae 0.019563, valid_rmse 0.027205, valid_mape 253.105331, valid_acc 0.430856, test_loss 0.001231, ic 0.002864, icir 0.092746, ric 0.010763, ricir 0.245433, prec@10 0.595492, prec@30 0.561749, test_mae 0.021406, test_rmse 0.034632, test_mape 313.090546, test_acc 0.350213
Epoch 64, train_loss 0.001373, train_ic 0.096621, train_icir 0.910640, train_ric 0.010346, train_ricir 0.077586, train_mae 0.026098, train_rmse 0.032348, train_mape 110.400406, train_acc 0.449942, valid_loss 0.0009405948, valid_ic 0.023687, valid_icir 0.561731, valid_ric -0.014799, valid_ricir -0.158879, valid_prec@10 0.599177, valid_prec@30 0.558573, valid_mae 0.015213, valid_rmse 0.024224, valid_mape 123.404610, valid_acc 0.484432, test_loss 0.001045, ic 0.011030, icir 0.271933, ric -0.018730, ricir -0.264325, prec@10 0.592213, prec@30 0.558880, test_mae 0.014315, test_rmse 0.029502, test_mape 154.750336, test_acc 0.575693
Epoch 65, train_loss 0.001329, train_ic 0.077713, train_icir 0.841769, train_ric 0.023990, train_ricir 0.228599, train_mae 0.023205, train_rmse 0.030639, train_mape 99.667778, train_acc 0.577421, valid_loss 0.0009455534, valid_ic 0.020981, valid_icir 0.538415, valid_ric 0.003737, valid_ricir 0.056380, valid_prec@10 0.600412, valid_prec@30 0.565295, valid_mae 0.015953, valid_rmse 0.024757, valid_mape 145.665268, valid_acc 0.474053, test_loss 0.001053, ic 0.007881, icir 0.206184, ric -0.002920, ricir -0.052336, prec@10 0.591393, prec@30 0.578689, test_mae 0.014779, test_rmse 0.029796, test_mape 163.501007, test_acc 0.515725
Epoch 66, train_loss 0.001313, train_ic 0.061263, train_icir 0.678694, train_ric 0.019751, train_ricir 0.182705, train_mae 0.012783, train_rmse 0.019043, train_mape 142.990417, train_acc 0.382295, valid_loss 0.0009515011, valid_ic 0.012370, valid_icir 0.286295, valid_ric -0.002429, valid_ricir -0.030855, valid_prec@10 0.601235, valid_prec@30 0.522222, valid_mae 0.015732, valid_rmse 0.024846, valid_mape 141.142548, valid_acc 0.492286, test_loss 0.001078, ic 0.002200, icir 0.052491, ric 0.000745, ricir 0.014411, prec@10 0.635246, prec@30 0.561885, test_mae 0.014776, test_rmse 0.030499, test_mape 167.577103, test_acc 0.572495
Epoch 67, train_loss 0.001303, train_ic 0.064143, train_icir 0.621065, train_ric 0.047079, train_ricir 0.366519, train_mae 0.031714, train_rmse 0.037952, train_mape 241.992447, train_acc 0.388743, valid_loss 0.0013178029, valid_ic 0.010784, valid_icir 0.175725, valid_ric 0.016342, valid_ricir 0.140290, valid_prec@10 0.555144, valid_prec@30 0.534294, valid_mae 0.023844, valid_rmse 0.030827, valid_mape 363.724762, valid_acc 0.496494, test_loss 0.001360, ic 0.001971, icir 0.038203, ric 0.011572, ricir 0.122449, prec@10 0.608197, prec@30 0.575273, test_mae 0.020471, test_rmse 0.032471, test_mape 372.724701, test_acc 0.586620
Epoch 68, train_loss 0.001298, train_ic 0.078643, train_icir 0.868201, train_ric 0.050520, train_ricir 0.501774, train_mae 0.028664, train_rmse 0.035908, train_mape 118.214294, train_acc 0.311458, valid_loss 0.0009253836, valid_ic 0.012427, valid_icir 0.283511, valid_ric 0.019355, valid_ricir 0.209166, valid_prec@10 0.545267, valid_prec@30 0.540466, valid_mae 0.015767, valid_rmse 0.024425, valid_mape 142.380005, valid_acc 0.467602, test_loss 0.001046, ic 0.004688, icir 0.124180, ric 0.015025, ricir 0.218784, prec@10 0.545492, prec@30 0.549863, test_mae 0.015689, test_rmse 0.030348, test_mape 174.822418, test_acc 0.408049
Epoch 69, train_loss 0.001294, train_ic 0.075980, train_icir 0.797082, train_ric 0.037887, train_ricir 0.354891, train_mae 0.014295, train_rmse 0.022696, train_mape 334.890289, train_acc 0.446008, valid_loss 0.0009188535, valid_ic 0.009869, valid_icir 0.220119, valid_ric 0.009271, valid_ricir 0.089037, valid_prec@10 0.586420, valid_prec@30 0.546776, valid_mae 0.015147, valid_rmse 0.023926, valid_mape 126.796494, valid_acc 0.501262, test_loss 0.001050, ic 0.002909, icir 0.077194, ric 0.011619, ricir 0.158061, prec@10 0.628279, prec@30 0.595082, test_mae 0.014903, test_rmse 0.030251, test_mape 151.864792, test_acc 0.490672
Epoch 70, train_loss 0.001309, train_ic 0.068574, train_icir 0.737787, train_ric 0.052245, train_ricir 0.466995, train_mae 0.024178, train_rmse 0.032667, train_mape 429.829681, train_acc 0.472339, valid_loss 0.0011634465, valid_ic 0.012527, valid_icir 0.219828, valid_ric 0.018655, valid_ricir 0.182196, valid_prec@10 0.572840, valid_prec@30 0.572840, valid_mae 0.021098, valid_rmse 0.028626, valid_mape 317.463776, valid_acc 0.455820, test_loss 0.001373, ic 0.003010, icir 0.062798, ric 0.014455, ricir 0.187213, prec@10 0.617623, prec@30 0.598770, test_mae 0.024313, test_rmse 0.036701, test_mape 393.080414, test_acc 0.373134
Epoch 71, train_loss 0.001303, train_ic 0.073104, train_icir 0.857548, train_ric 0.025876, train_ricir 0.286986, train_mae 0.028546, train_rmse 0.033589, train_mape 599.415466, train_acc 0.357312, valid_loss 0.0013922904, valid_ic 0.010153, valid_icir 0.321264, valid_ric 0.007293, valid_ricir 0.117047, valid_prec@10 0.591358, valid_prec@30 0.551440, valid_mae 0.026346, valid_rmse 0.033033, valid_mape 432.660828, valid_acc 0.433941, test_loss 0.001612, ic 0.002585, icir 0.087260, ric 0.009880, ricir 0.237570, prec@10 0.629098, prec@30 0.591803, test_mae 0.029917, test_rmse 0.040300, test_mape 513.564758, test_acc 0.351546
Epoch 72, train_loss 0.001307, train_ic 0.091947, train_icir 0.888641, train_ric 0.034816, train_ricir 0.277058, train_mae 0.012586, train_rmse 0.021166, train_mape 144.989044, train_acc 0.408255, valid_loss 0.0009351072, valid_ic 0.011398, valid_icir 0.227800, valid_ric 0.001429, valid_ricir 0.012165, valid_prec@10 0.565432, valid_prec@30 0.540604, valid_mae 0.017275, valid_rmse 0.025597, valid_mape 159.688538, valid_acc 0.423562, test_loss 0.001063, ic 0.011959, icir 0.318213, ric 0.003737, ricir 0.041927, prec@10 0.565574, prec@30 0.546721, test_mae 0.017225, test_rmse 0.030768, test_mape 193.120682, test_acc 0.362473
Epoch 73, train_loss 0.001299, train_ic 0.084112, train_icir 0.759347, train_ric 0.018646, train_ricir 0.140837, train_mae 0.024625, train_rmse 0.031579, train_mape 139.294189, train_acc 0.350062, valid_loss 0.0009379668, valid_ic 0.022581, valid_icir 0.459198, valid_ric 0.001555, valid_ricir 0.013601, valid_prec@10 0.606173, valid_prec@30 0.550206, valid_mae 0.015384, valid_rmse 0.024070, valid_mape 129.530716, valid_acc 0.495091, test_loss 0.001024, ic 0.010006, icir 0.224477, ric -0.003541, ricir -0.039109, prec@10 0.594262, prec@30 0.573087, test_mae 0.014388, test_rmse 0.028665, test_mape 155.881104, test_acc 0.571695
Epoch 74, train_loss 0.001348, train_ic 0.071342, train_icir 0.736990, train_ric 0.056356, train_ricir 0.486687, train_mae 0.013953, train_rmse 0.022860, train_mape 179.794022, train_acc 0.457947, valid_loss 0.0009420842, valid_ic 0.010955, valid_icir 0.190940, valid_ric 0.019483, valid_ricir 0.181046, valid_prec@10 0.523457, valid_prec@30 0.506173, valid_mae 0.015787, valid_rmse 0.024447, valid_mape 150.110641, valid_acc 0.504628, test_loss 0.001025, ic 0.006396, icir 0.137980, ric 0.015896, ricir 0.186620, prec@10 0.558197, prec@30 0.543306, test_mae 0.014662, test_rmse 0.029032, test_mape 169.114212, test_acc 0.557303
Epoch 75, train_loss 0.001299, train_ic 0.042294, train_icir 0.601453, train_ric 0.022143, train_ricir 0.251750, train_mae 0.051145, train_rmse 0.058512, train_mape 200.460220, train_acc 0.090115, valid_loss 0.0012827825, valid_ic 0.008771, valid_icir 0.311037, valid_ric 0.012713, valid_ricir 0.203956, valid_prec@10 0.585597, valid_prec@30 0.550754, valid_mae 0.022426, valid_rmse 0.030043, valid_mape 349.917877, valid_acc 0.505470, test_loss 0.001348, ic 0.002653, icir 0.089638, ric 0.019514, ricir 0.412883, prec@10 0.638115, prec@30 0.603279, test_mae 0.019603, test_rmse 0.032276, test_mape 379.334259, test_acc 0.597814
Epoch 76, train_loss 0.001308, train_ic 0.079076, train_icir 0.792901, train_ric 0.008698, train_ricir 0.079321, train_mae 0.015856, train_rmse 0.020512, train_mape 271.784485, train_acc 0.870859, valid_loss 0.0014794957, valid_ic 0.009858, valid_icir 0.241022, valid_ric -0.009278, valid_ricir -0.093612, valid_prec@10 0.606173, valid_prec@30 0.543347, valid_mae 0.025427, valid_rmse 0.032808, valid_mape 426.410675, valid_acc 0.502945, test_loss 0.001474, ic 0.006544, icir 0.199606, ric -0.001041, ricir -0.013315, prec@10 0.625000, prec@30 0.577596, test_mae 0.023159, test_rmse 0.033468, test_mape 489.077576, test_acc 0.598081
Epoch 77, train_loss 0.001274, train_ic 0.081420, train_icir 0.792387, train_ric 0.037245, train_ricir 0.341117, train_mae 0.025946, train_rmse 0.032251, train_mape 334.001099, train_acc 0.158290, valid_loss 0.0011270215, valid_ic 0.011178, valid_icir 0.184428, valid_ric 0.007903, valid_ricir 0.072446, valid_prec@10 0.577366, valid_prec@30 0.563786, valid_mae 0.020207, valid_rmse 0.027833, valid_mape 300.573242, valid_acc 0.457784, test_loss 0.001289, ic 0.002192, icir 0.045815, ric 0.005254, ricir 0.067137, prec@10 0.617623, prec@30 0.592623, test_mae 0.023052, test_rmse 0.034997, test_mape 372.565277, test_acc 0.372335
Epoch 78, train_loss 0.001306, train_ic 0.056679, train_icir 0.486050, train_ric 0.050147, train_ricir 0.365166, train_mae 0.014629, train_rmse 0.020679, train_mape 192.093307, train_acc 0.455822, valid_loss 0.0009850064, valid_ic 0.013891, valid_icir 0.177597, valid_ric 0.019437, valid_ricir 0.148715, valid_prec@10 0.551440, valid_prec@30 0.547462, valid_mae 0.016768, valid_rmse 0.024971, valid_mape 164.430756, valid_acc 0.519776, test_loss 0.001083, ic 0.000970, icir 0.016370, ric 0.013678, ricir 0.132487, prec@10 0.613115, prec@30 0.595765, test_mae 0.016130, test_rmse 0.029948, test_mape 193.117233, test_acc 0.515458
Epoch 79, train_loss 0.001289, train_ic 0.048475, train_icir 0.433701, train_ric 0.038900, train_ricir 0.297816, train_mae 0.015198, train_rmse 0.023125, train_mape 132.482391, train_acc 0.530339, valid_loss 0.0009853104, valid_ic 0.007052, valid_icir 0.087200, valid_ric 0.011312, valid_ricir 0.085708, valid_prec@10 0.523045, valid_prec@30 0.524417, valid_mae 0.017006, valid_rmse 0.025071, valid_mape 180.369904, valid_acc 0.502945, test_loss 0.001094, ic -0.002630, icir -0.045027, ric 0.007995, ricir 0.078625, prec@10 0.588115, prec@30 0.561475, test_mae 0.016379, test_rmse 0.030247, test_mape 202.466934, test_acc 0.494136
