Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003012, train_ic 0.007283, train_icir 0.146570, train_ric 0.014483, train_ricir 0.140771, train_mae 0.021873, train_rmse 0.029458, train_mape 292.214691, train_acc 0.213692, valid_loss 0.0023983688, valid_ic -0.001136, valid_icir -0.031031, valid_ric 0.005959, valid_ricir 0.081492, valid_prec@10 0.536626, valid_prec@30 0.524691, valid_mae 0.020139, valid_rmse 0.039484, valid_mape 274.091278, valid_acc 0.463114, test_loss 0.003417, ic -0.005435, icir -0.140710, ric 0.008267, ricir 0.149303, prec@10 0.614754, prec@30 0.572951, test_mae 0.025735, test_rmse 0.067236, test_mape 395.543610, test_acc 0.381397
Epoch 13, train_loss 0.002739, train_ic 0.027559, train_icir 0.427551, train_ric -0.006320, train_ricir -0.049474, train_mae 0.036479, train_rmse 0.057841, train_mape 289.876129, train_acc 0.304348, valid_loss 0.0023124540, valid_ic 0.004870, valid_icir 0.128085, valid_ric -0.024354, valid_ricir -0.247346, valid_prec@10 0.606173, valid_prec@30 0.534019, valid_mae 0.020193, valid_rmse 0.038003, valid_mape 281.872284, valid_acc 0.485273, test_loss 0.003113, ic 0.000007, icir 0.000172, ric -0.017972, ricir -0.264345, prec@10 0.602459, prec@30 0.560519, test_mae 0.023852, test_rmse 0.061912, test_mape 451.226990, test_acc 0.574627
Epoch 14, train_loss 0.002537, train_ic 0.016426, train_icir 0.330998, train_ric 0.017892, train_ricir 0.188278, train_mae 0.034038, train_rmse 0.061068, train_mape 155.652649, train_acc 0.331297, valid_loss 0.0018365316, valid_ic 0.000740, valid_icir 0.020137, valid_ric 0.007066, valid_ricir 0.097792, valid_prec@10 0.572428, valid_prec@30 0.552538, valid_mae 0.016320, valid_rmse 0.034461, valid_mape 147.435120, valid_acc 0.480505, test_loss 0.002706, ic -0.004533, icir -0.117694, ric 0.007777, ricir 0.133685, prec@10 0.628689, prec@30 0.587705, test_mae 0.019258, test_rmse 0.058727, test_mape 239.115051, test_acc 0.430171
Epoch 15, train_loss 0.002301, train_ic 0.018828, train_icir 0.261221, train_ric 0.025261, train_ricir 0.183727, train_mae 0.059693, train_rmse 0.070327, train_mape 137.132233, train_acc 0.095306, valid_loss 0.0018768440, valid_ic 0.002878, valid_icir 0.058198, valid_ric 0.006614, valid_ricir 0.052492, valid_prec@10 0.565844, valid_prec@30 0.553361, valid_mae 0.020479, valid_rmse 0.035665, valid_mape 260.304535, valid_acc 0.504348, test_loss 0.002641, ic -0.004790, icir -0.105531, ric 0.000970, ricir 0.009215, prec@10 0.622131, prec@30 0.595219, test_mae 0.021468, test_rmse 0.056348, test_mape 351.295319, test_acc 0.588486
Epoch 16, train_loss 0.002163, train_ic 0.036321, train_icir 0.540772, train_ric 0.001970, train_ricir 0.015654, train_mae 0.047134, train_rmse 0.050715, train_mape 734.862061, train_acc 0.197379, valid_loss 0.0028571763, valid_ic 0.009252, valid_icir 0.274253, valid_ric -0.014426, valid_ricir -0.153492, valid_prec@10 0.572016, valid_prec@30 0.566667, valid_mae 0.042658, valid_rmse 0.051590, valid_mape 751.591553, valid_acc 0.428892, test_loss 0.003727, ic 0.002695, icir 0.074425, ric -0.013315, ricir -0.201495, prec@10 0.565164, prec@30 0.560109, test_mae 0.046170, test_rmse 0.067103, test_mape 868.715088, test_acc 0.348081
Epoch 17, train_loss 0.002104, train_ic 0.006318, train_icir 0.068939, train_ric 0.028432, train_ricir 0.203131, train_mae 0.034263, train_rmse 0.055009, train_mape 553.560181, train_acc 0.316392, valid_loss 0.0019167133, valid_ic -0.002977, valid_icir -0.039721, valid_ric 0.013735, valid_ricir 0.099666, valid_prec@10 0.556379, valid_prec@30 0.555967, valid_mae 0.022994, valid_rmse 0.038003, valid_mape 325.223602, valid_acc 0.488920, test_loss 0.003007, ic -0.012725, icir -0.222538, ric 0.009836, ricir 0.094536, prec@10 0.630328, prec@30 0.593033, test_mae 0.028775, test_rmse 0.060896, test_mape 487.341644, test_acc 0.413113
Epoch 18, train_loss 0.001965, train_ic 0.014087, train_icir 0.256545, train_ric 0.027151, train_ricir 0.282578, train_mae 0.022262, train_rmse 0.037100, train_mape 100.673485, train_acc 0.722262, valid_loss 0.0014526860, valid_ic -0.002301, valid_icir -0.066095, valid_ric 0.009984, valid_ricir 0.121370, valid_prec@10 0.530041, valid_prec@30 0.532236, valid_mae 0.017319, valid_rmse 0.031360, valid_mape 178.517197, valid_acc 0.507433, test_loss 0.002091, ic -0.006350, icir -0.181302, ric 0.015496, ricir 0.271795, prec@10 0.599180, prec@30 0.583743, test_mae 0.017481, test_rmse 0.049561, test_mape 246.850632, test_acc 0.591684
Epoch 19, train_loss 0.001949, train_ic 0.027662, train_icir 0.276450, train_ric 0.033987, train_ricir 0.239516, train_mae 0.016108, train_rmse 0.028530, train_mape 385.758911, train_acc 0.445050, valid_loss 0.0015010500, valid_ic 0.005486, valid_icir 0.075424, valid_ric 0.010186, valid_ricir 0.077759, valid_prec@10 0.505350, valid_prec@30 0.528532, valid_mae 0.019167, valid_rmse 0.032005, valid_mape 225.924255, valid_acc 0.525947, test_loss 0.002100, ic -0.003397, icir -0.059511, ric 0.004431, ricir 0.040760, prec@10 0.560246, prec@30 0.558743, test_mae 0.020675, test_rmse 0.049571, test_mape 320.836975, test_acc 0.532516
Epoch 20, train_loss 0.001877, train_ic 0.014611, train_icir 0.174129, train_ric 0.028724, train_ricir 0.214156, train_mae 0.028960, train_rmse 0.041912, train_mape 183.790329, train_acc 0.411912, valid_loss 0.0013327431, valid_ic 0.000037, valid_icir 0.000656, valid_ric 0.012244, valid_ricir 0.089956, valid_prec@10 0.521811, valid_prec@30 0.540878, valid_mae 0.016753, valid_rmse 0.029982, valid_mape 171.726837, valid_acc 0.495372, test_loss 0.001989, ic -0.007769, icir -0.171532, ric 0.009941, ricir 0.095735, prec@10 0.612705, prec@30 0.587705, test_mae 0.019074, test_rmse 0.048706, test_mape 258.404388, test_acc 0.444829
Epoch 21, train_loss 0.001777, train_ic 0.022306, train_icir 0.309167, train_ric 0.022317, train_ricir 0.167094, train_mae 0.026131, train_rmse 0.043329, train_mape 179.455292, train_acc 0.593738, valid_loss 0.0012867459, valid_ic 0.002649, valid_icir 0.060452, valid_ric -0.000183, valid_ricir -0.001574, valid_prec@10 0.526337, valid_prec@30 0.532647, valid_mae 0.016982, valid_rmse 0.029830, valid_mape 184.865143, valid_acc 0.469565, test_loss 0.001944, ic -0.006321, icir -0.159943, ric -0.004237, ricir -0.048422, prec@10 0.611885, prec@30 0.583743, test_mae 0.018624, test_rmse 0.047865, test_mape 232.265564, test_acc 0.388060
Epoch 22, train_loss 0.001821, train_ic 0.036257, train_icir 0.640529, train_ric 0.009869, train_ricir 0.092138, train_mae 0.013981, train_rmse 0.027679, train_mape 210.787781, train_acc 0.767334, valid_loss 0.0013150062, valid_ic 0.002074, valid_icir 0.075735, valid_ric -0.014485, valid_ricir -0.180748, valid_prec@10 0.582305, valid_prec@30 0.527298, valid_mae 0.020217, valid_rmse 0.031152, valid_mape 266.712677, valid_acc 0.430575, test_loss 0.001916, ic -0.002913, icir -0.093733, ric -0.006899, ricir -0.120417, prec@10 0.607787, prec@30 0.564208, test_mae 0.023019, test_rmse 0.047649, test_mape 347.555664, test_acc 0.348614
Epoch 23, train_loss 0.001725, train_ic 0.010918, train_icir 0.210342, train_ric -0.006426, train_ricir -0.068296, train_mae 0.044900, train_rmse 0.065296, train_mape 395.805908, train_acc 0.292398, valid_loss 0.0016070848, valid_ic -0.003891, valid_icir -0.161156, valid_ric -0.000526, valid_ricir -0.009764, valid_prec@10 0.553909, valid_prec@30 0.543073, valid_mae 0.025678, valid_rmse 0.035376, valid_mape 414.343353, valid_acc 0.438429, test_loss 0.002241, ic -0.007356, icir -0.267160, ric 0.005118, ricir 0.113356, prec@10 0.602049, prec@30 0.563388, test_mae 0.030753, test_rmse 0.051396, test_mape 529.952637, test_acc 0.353678
Epoch 24, train_loss 0.001691, train_ic 0.040748, train_icir 0.451361, train_ric 0.021953, train_ricir 0.149802, train_mae 0.013237, train_rmse 0.020382, train_mape 173.302795, train_acc 0.601181, valid_loss 0.0011893897, valid_ic 0.010048, valid_icir 0.193690, valid_ric 0.000910, valid_ricir 0.007188, valid_prec@10 0.574074, valid_prec@30 0.542661, valid_mae 0.016100, valid_rmse 0.027854, valid_mape 147.296127, valid_acc 0.517532, test_loss 0.001660, ic -0.000408, icir -0.009366, ric -0.005326, ricir -0.052580, prec@10 0.610246, prec@30 0.566530, test_mae 0.016833, test_rmse 0.042896, test_mape 211.453751, test_acc 0.547974
Epoch 25, train_loss 0.001668, train_ic 0.030472, train_icir 0.380727, train_ric 0.010433, train_ricir 0.083251, train_mae 0.019727, train_rmse 0.031505, train_mape 224.045746, train_acc 0.474395, valid_loss 0.0012154302, valid_ic 0.005439, valid_icir 0.131797, valid_ric -0.005431, valid_ricir -0.054407, valid_prec@10 0.523045, valid_prec@30 0.499040, valid_mae 0.018351, valid_rmse 0.029312, valid_mape 216.534515, valid_acc 0.450210, test_loss 0.001719, ic 0.001321, icir 0.042383, ric -0.003415, ricir -0.045838, prec@10 0.562295, prec@30 0.520082, test_mae 0.020099, test_rmse 0.044149, test_mape 276.802094, test_acc 0.391525
Epoch 26, train_loss 0.001641, train_ic 0.028883, train_icir 0.346494, train_ric 0.034565, train_ricir 0.290454, train_mae 0.017172, train_rmse 0.026651, train_mape 293.619385, train_acc 0.740388, valid_loss 0.0018972398, valid_ic 0.003530, valid_icir 0.056921, valid_ric 0.009577, valid_ricir 0.086312, valid_prec@10 0.552263, valid_prec@30 0.558025, valid_mae 0.030358, valid_rmse 0.039616, valid_mape 483.868408, valid_acc 0.501543, test_loss 0.002365, ic -0.006221, icir -0.124186, ric 0.004387, ricir 0.048746, prec@10 0.620492, prec@30 0.594262, test_mae 0.028456, test_rmse 0.049035, test_mape 553.615112, test_acc 0.591951
Epoch 27, train_loss 0.001554, train_ic 0.015556, train_icir 0.167198, train_ric 0.036799, train_ricir 0.283132, train_mae 0.021725, train_rmse 0.031013, train_mape 200.530960, train_acc 0.265069, valid_loss 0.0012007970, valid_ic 0.003376, valid_icir 0.052142, valid_ric 0.017521, valid_ricir 0.144540, valid_prec@10 0.529630, valid_prec@30 0.538546, valid_mae 0.017575, valid_rmse 0.028611, valid_mape 189.105331, valid_acc 0.491725, test_loss 0.001720, ic -0.005860, icir -0.114067, ric 0.012543, ricir 0.128481, prec@10 0.620082, prec@30 0.592486, test_mae 0.019179, test_rmse 0.043835, test_mape 254.697083, test_acc 0.430704
Epoch 28, train_loss 0.001590, train_ic 0.005544, train_icir 0.087587, train_ric 0.027113, train_ricir 0.274910, train_mae 0.015952, train_rmse 0.027372, train_mape 185.808212, train_acc 0.277245, valid_loss 0.0010920360, valid_ic -0.007487, valid_icir -0.204937, valid_ric 0.018199, valid_ricir 0.196227, valid_prec@10 0.452263, valid_prec@30 0.463374, valid_mae 0.015583, valid_rmse 0.026807, valid_mape 129.037369, valid_acc 0.469565, test_loss 0.001530, ic -0.007581, icir -0.242817, ric 0.024471, ricir 0.382182, prec@10 0.554918, prec@30 0.507650, test_mae 0.017214, test_rmse 0.041249, test_mape 195.410599, test_acc 0.380597
