Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001961, train_ic -0.004506, train_icir -0.092623, train_ric 0.005466, train_ricir 0.084929, train_mae 0.013592, train_rmse 0.028577, train_mape 198.674240, train_acc 0.408588, valid_loss 0.0052222441, valid_ic 0.004605, valid_icir 0.060172, valid_ric 0.014178, valid_ricir 0.289971, valid_prec@10 0.525926, valid_prec@30 0.538409, valid_mae 0.025680, valid_rmse 0.072315, valid_mape 521.881348, valid_acc 0.448429, test_loss 0.004096, ic 0.005562, icir 0.107781, ric 0.013359, ricir 0.304160, prec@10 0.500000, prec@30 0.518733, test_mae 0.021299, test_rmse 0.058773, test_mape 270.840240, test_acc 0.418769
Epoch 13, train_loss 0.001852, train_ic 0.013988, train_icir 0.182813, train_ric 0.012729, train_ricir 0.104965, train_mae 0.029090, train_rmse 0.060118, train_mape 422.451263, train_acc 0.444887, valid_loss 0.0049605781, valid_ic 0.006483, valid_icir 0.080472, valid_ric 0.013714, valid_ricir 0.111187, valid_prec@10 0.569136, valid_prec@30 0.555693, valid_mae 0.026071, valid_rmse 0.069151, valid_mape 580.338501, valid_acc 0.619743, test_loss 0.003923, ic 0.008952, icir 0.155934, ric 0.020274, ricir 0.161617, prec@10 0.540909, prec@30 0.555372, test_mae 0.019356, test_rmse 0.055241, test_mape 303.811005, test_acc 0.710934
Epoch 14, train_loss 0.001725, train_ic 0.003120, train_icir 0.042974, train_ric 0.019294, train_ricir 0.166193, train_mae 0.011231, train_rmse 0.020247, train_mape 127.789619, train_acc 0.689686, valid_loss 0.0046026306, valid_ic 0.003335, valid_icir 0.050455, valid_ric 0.002585, valid_ricir 0.026462, valid_prec@10 0.492593, valid_prec@30 0.506310, valid_mae 0.027134, valid_rmse 0.067786, valid_mape 513.041931, valid_acc 0.345286, test_loss 0.003560, ic 0.005069, icir 0.112757, ric 0.001498, ricir 0.012785, prec@10 0.472314, prec@30 0.471212, test_mae 0.024715, test_rmse 0.055561, test_mape 302.004852, test_acc 0.243913
Epoch 15, train_loss 0.001709, train_ic 0.011568, train_icir 0.166407, train_ric -0.000683, train_ricir -0.006184, train_mae 0.016171, train_rmse 0.033653, train_mape 163.471176, train_acc 0.627269, valid_loss 0.0042222088, valid_ic 0.005132, valid_icir 0.075315, valid_ric -0.010065, valid_ricir -0.132802, valid_prec@10 0.530453, valid_prec@30 0.523868, valid_mae 0.024118, valid_rmse 0.064520, valid_mape 438.204376, valid_acc 0.373617, test_loss 0.003253, ic 0.006626, icir 0.144571, ric -0.016729, ricir -0.158665, prec@10 0.516116, prec@30 0.502066, test_mae 0.022319, test_rmse 0.052432, test_mape 257.034607, test_acc 0.249225
Epoch 16, train_loss 0.001647, train_ic -0.007012, train_icir -0.092350, train_ric -0.016408, train_ricir -0.144492, train_mae 0.016477, train_rmse 0.022469, train_mape 174.314880, train_acc 0.676405, valid_loss 0.0042764285, valid_ic 0.002462, valid_icir 0.043567, valid_ric -0.014078, valid_ricir -0.135710, valid_prec@10 0.503704, valid_prec@30 0.501372, valid_mae 0.031503, valid_rmse 0.065589, valid_mape 602.210693, valid_acc 0.373617, test_loss 0.003321, ic 0.000827, icir 0.023130, ric -0.024212, ricir -0.195207, prec@10 0.477686, prec@30 0.475344, test_mae 0.030623, test_rmse 0.055097, test_mape 394.756683, test_acc 0.262506
Epoch 17, train_loss 0.001636, train_ic 0.001700, train_icir 0.028335, train_ric 0.003266, train_ricir 0.035245, train_mae 0.015021, train_rmse 0.024515, train_mape 235.996277, train_acc 0.373174, valid_loss 0.0038138470, valid_ic 0.003242, valid_icir 0.053176, valid_ric -0.005555, valid_ricir -0.059045, valid_prec@10 0.517695, valid_prec@30 0.508093, valid_mae 0.022205, valid_rmse 0.060164, valid_mape 444.632294, valid_acc 0.579017, test_loss 0.002939, ic 0.004224, icir 0.106431, ric -0.009134, ricir -0.086131, prec@10 0.487190, prec@30 0.485950, test_mae 0.018131, test_rmse 0.047374, test_mape 239.294891, test_acc 0.590527
Epoch 18, train_loss 0.001575, train_ic 0.012790, train_icir 0.207154, train_ric -0.002514, train_ricir -0.030135, train_mae 0.032271, train_rmse 0.042341, train_mape 744.906372, train_acc 0.489597, valid_loss 0.0044255485, valid_ic 0.004742, valid_icir 0.068665, valid_ric -0.002115, valid_ricir -0.035781, valid_prec@10 0.546502, valid_prec@30 0.524966, valid_mae 0.034094, valid_rmse 0.063048, valid_mape 824.411194, valid_acc 0.617530, test_loss 0.003641, ic 0.006410, icir 0.135624, ric -0.006826, ricir -0.109867, prec@10 0.511570, prec@30 0.495179, test_mae 0.027620, test_rmse 0.049494, test_mape 525.689270, test_acc 0.716246
Epoch 19, train_loss 0.001566, train_ic 0.003292, train_icir 0.046350, train_ric -0.001394, train_ricir -0.014080, train_mae 0.014406, train_rmse 0.020954, train_mape 160.002518, train_acc 0.532979, valid_loss 0.0035126388, valid_ic 0.003067, valid_icir 0.051080, valid_ric -0.009838, valid_ricir -0.110196, valid_prec@10 0.512757, valid_prec@30 0.512894, valid_mae 0.022451, valid_rmse 0.057451, valid_mape 428.456940, valid_acc 0.543161, test_loss 0.002684, ic 0.003995, icir 0.098756, ric -0.010395, ricir -0.102515, prec@10 0.486364, prec@30 0.485950, test_mae 0.018880, test_rmse 0.044948, test_mape 252.011841, test_acc 0.548030
Epoch 20, train_loss 0.001494, train_ic 0.007246, train_icir 0.077695, train_ric 0.005798, train_ricir 0.046847, train_mae 0.030343, train_rmse 0.042128, train_mape 140.756088, train_acc 0.591855, valid_loss 0.0034984719, valid_ic 0.006032, valid_icir 0.073099, valid_ric 0.016054, valid_ricir 0.120190, valid_prec@10 0.543621, valid_prec@30 0.541289, valid_mae 0.024286, valid_rmse 0.057177, valid_mape 456.148285, valid_acc 0.545374, test_loss 0.002682, ic 0.010367, icir 0.158998, ric 0.021611, ricir 0.148891, prec@10 0.522314, prec@30 0.539256, test_mae 0.017890, test_rmse 0.043113, test_mape 238.323807, test_acc 0.656928
Epoch 21, train_loss 0.001505, train_ic 0.021539, train_icir 0.290974, train_ric 0.002335, train_ricir 0.022597, train_mae 0.013551, train_rmse 0.019510, train_mape 234.883545, train_acc 0.644976, valid_loss 0.0032640840, valid_ic 0.005619, valid_icir 0.086535, valid_ric -0.009812, valid_ricir -0.139680, valid_prec@10 0.567490, valid_prec@30 0.547737, valid_mae 0.022234, valid_rmse 0.054864, valid_mape 457.083221, valid_acc 0.610890, test_loss 0.002501, ic 0.008302, icir 0.191856, ric -0.011016, ricir -0.124539, prec@10 0.528512, prec@30 0.518871, test_mae 0.016856, test_rmse 0.041771, test_mape 240.405701, test_acc 0.705622
Epoch 22, train_loss 0.001494, train_ic 0.022986, train_icir 0.297074, train_ric 0.012093, train_ricir 0.117869, train_mae 0.033475, train_rmse 0.043520, train_mape 200.599716, train_acc 0.142984, valid_loss 0.0032037051, valid_ic 0.006017, valid_icir 0.099676, valid_ric -0.001768, valid_ricir -0.023447, valid_prec@10 0.548148, valid_prec@30 0.528258, valid_mae 0.026105, valid_rmse 0.055824, valid_mape 462.952484, valid_acc 0.341301, test_loss 0.002406, ic 0.008759, icir 0.224498, ric 0.001326, ricir 0.015989, prec@10 0.499587, prec@30 0.489669, test_mae 0.024049, test_rmse 0.044699, test_mape 290.010712, test_acc 0.255865
Epoch 23, train_loss 0.001435, train_ic 0.021134, train_icir 0.267843, train_ric -0.003344, train_ricir -0.032489, train_mae 0.012738, train_rmse 0.019026, train_mape 229.040314, train_acc 0.447986, valid_loss 0.0030541421, valid_ic 0.005665, valid_icir 0.099714, valid_ric -0.015506, valid_ricir -0.208273, valid_prec@10 0.542387, valid_prec@30 0.524280, valid_mae 0.023457, valid_rmse 0.053748, valid_mape 403.401886, valid_acc 0.414785, test_loss 0.002289, ic 0.007455, icir 0.197293, ric -0.016789, ricir -0.175791, prec@10 0.517769, prec@30 0.505785, test_mae 0.021720, test_rmse 0.042650, test_mape 252.419861, test_acc 0.309429
Epoch 24, train_loss 0.001413, train_ic 0.010250, train_icir 0.168990, train_ric 0.011199, train_ricir 0.145593, train_mae 0.017233, train_rmse 0.023901, train_mape 337.319092, train_acc 0.549801, valid_loss 0.0030967693, valid_ic 0.005221, valid_icir 0.085037, valid_ric 0.009109, valid_ricir 0.151543, valid_prec@10 0.524280, valid_prec@30 0.531824, valid_mae 0.028897, valid_rmse 0.055502, valid_mape 518.478760, valid_acc 0.335989, test_loss 0.002337, ic 0.007311, icir 0.188131, ric 0.005262, ricir 0.092191, prec@10 0.495455, prec@30 0.525069, test_mae 0.027780, test_rmse 0.045505, test_mape 362.820679, test_acc 0.259849
Epoch 25, train_loss 0.001385, train_ic 0.016748, train_icir 0.290869, train_ric 0.014866, train_ricir 0.174423, train_mae 0.020191, train_rmse 0.027925, train_mape 134.245346, train_acc 0.377601, valid_loss 0.0028113740, valid_ic 0.005852, valid_icir 0.095766, valid_ric 0.004090, valid_ricir 0.062873, valid_prec@10 0.581893, valid_prec@30 0.559534, valid_mae 0.020321, valid_rmse 0.050377, valid_mape 344.719330, valid_acc 0.614431, test_loss 0.002104, ic 0.008247, icir 0.216162, ric 0.006528, ricir 0.091333, prec@10 0.563636, prec@30 0.553857, test_mae 0.016632, test_rmse 0.038414, test_mape 181.528198, test_acc 0.670651
Epoch 26, train_loss 0.001398, train_ic 0.008408, train_icir 0.135035, train_ric -0.007631, train_ricir -0.096217, train_mae 0.023454, train_rmse 0.029899, train_mape 375.745880, train_acc 0.277999, valid_loss 0.0029767145, valid_ic 0.005277, valid_icir 0.086537, valid_ric -0.004896, valid_ricir -0.097953, valid_prec@10 0.553498, valid_prec@30 0.545267, valid_mae 0.024364, valid_rmse 0.050802, valid_mape 532.996826, valid_acc 0.614874, test_loss 0.002328, ic 0.006106, icir 0.154289, ric -0.011091, ricir -0.178980, prec@10 0.522727, prec@30 0.522590, test_mae 0.018217, test_rmse 0.037916, test_mape 305.561432, test_acc 0.716246
Epoch 27, train_loss 0.001390, train_ic 0.015855, train_icir 0.271005, train_ric -0.008295, train_ricir -0.108730, train_mae 0.015294, train_rmse 0.020358, train_mape 334.527344, train_acc 0.494909, valid_loss 0.0027298711, valid_ic 0.004114, valid_icir 0.072884, valid_ric -0.013388, valid_ricir -0.284835, valid_prec@10 0.537037, valid_prec@30 0.527709, valid_mae 0.021416, valid_rmse 0.048898, valid_mape 424.159180, valid_acc 0.599823, test_loss 0.002090, ic 0.006244, icir 0.172069, ric -0.012455, ricir -0.226113, prec@10 0.515289, prec@30 0.502893, test_mae 0.016077, test_rmse 0.036478, test_mape 235.144394, test_acc 0.688358
Epoch 28, train_loss 0.001342, train_ic 0.031119, train_icir 0.343554, train_ric 0.013439, train_ricir 0.112046, train_mae 0.019879, train_rmse 0.026804, train_mape 308.768738, train_acc 0.385126, valid_loss 0.0027714034, valid_ic 0.007675, valid_icir 0.113418, valid_ric 0.006894, valid_ricir 0.061678, valid_prec@10 0.533745, valid_prec@30 0.535802, valid_mae 0.023243, valid_rmse 0.048909, valid_mape 477.837616, valid_acc 0.614431, test_loss 0.002154, ic 0.011850, icir 0.250973, ric 0.013329, ricir 0.122860, prec@10 0.497521, prec@30 0.514187, test_mae 0.016817, test_rmse 0.036120, test_mape 258.368591, test_acc 0.710934
Epoch 29, train_loss 0.001341, train_ic 0.012223, train_icir 0.137094, train_ric -0.009180, train_ricir -0.078033, train_mae 0.012671, train_rmse 0.018893, train_mape 201.249771, train_acc 0.590084, valid_loss 0.0026003629, valid_ic 0.004028, valid_icir 0.091069, valid_ric -0.020311, valid_ricir -0.175980, valid_prec@10 0.520576, valid_prec@30 0.522634, valid_mae 0.022691, valid_rmse 0.048421, valid_mape 414.537231, valid_acc 0.499779, test_loss 0.001992, ic 0.001683, icir 0.045082, ric -0.027137, ricir -0.196226, prec@10 0.515702, prec@30 0.500826, test_mae 0.020391, test_rmse 0.038047, test_mape 255.255585, test_acc 0.426737
