Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 31, train_loss 0.001340, train_ic 0.011647, train_icir 0.150494, train_ric 0.012209, train_ricir 0.113500, train_mae 0.061691, train_rmse 0.070441, train_mape 188.889572, train_acc 0.135215, valid_loss 0.0030236922, valid_ic -0.009788, valid_icir -0.211441, valid_ric -0.009352, valid_ricir -0.087361, valid_prec@10 0.604527, valid_prec@30 0.592318, valid_mae 0.026520, valid_rmse 0.056211, valid_mape 394.704987, valid_acc 0.749080, test_loss 0.004463, ic 0.003355, icir 0.047317, ric 0.015723, ricir 0.142076, prec@10 0.556379, prec@30 0.562826, test_mae 0.031132, test_rmse 0.062033, test_mape 658.464294, test_acc 0.595600
Epoch 32, train_loss 0.001297, train_ic 0.028552, train_icir 0.404771, train_ric 0.040734, train_ricir 0.438891, train_mae 0.030018, train_rmse 0.036856, train_mape 335.777710, train_acc 0.272883, valid_loss 0.0025192550, valid_ic -0.000963, valid_icir -0.024106, valid_ric 0.020307, valid_ricir 0.244880, valid_prec@10 0.536214, valid_prec@30 0.528532, valid_mae 0.023382, valid_rmse 0.053942, valid_mape 328.961884, valid_acc 0.746627, test_loss 0.003989, ic 0.005211, icir 0.076880, ric 0.028808, ricir 0.306185, prec@10 0.519342, prec@30 0.510014, test_mae 0.026812, test_rmse 0.059542, test_mape 530.100891, test_acc 0.592079
Epoch 33, train_loss 0.001294, train_ic 0.007230, train_icir 0.077901, train_ric 0.003901, train_ricir 0.029653, train_mae 0.052513, train_rmse 0.060774, train_mape 147.845001, train_acc 0.125088, valid_loss 0.0022668829, valid_ic 0.003014, valid_icir 0.083265, valid_ric 0.006056, valid_ricir 0.040745, valid_prec@10 0.544444, valid_prec@30 0.533471, valid_mae 0.021100, valid_rmse 0.053042, valid_mape 225.118118, valid_acc 0.660044, test_loss 0.003716, ic 0.003154, icir 0.066097, ric -0.007463, ricir -0.055481, prec@10 0.521399, prec@30 0.502469, test_mae 0.022929, test_rmse 0.057988, test_mape 390.714142, test_acc 0.535754
Epoch 34, train_loss 0.001266, train_ic 0.044654, train_icir 0.450134, train_ric -0.003933, train_ricir -0.031611, train_mae 0.015192, train_rmse 0.022391, train_mape 179.738266, train_acc 0.385149, valid_loss 0.0022127741, valid_ic 0.009480, valid_icir 0.181984, valid_ric -0.003117, valid_ricir -0.029291, valid_prec@10 0.590535, valid_prec@30 0.568724, valid_mae 0.023635, valid_rmse 0.054195, valid_mape 215.297180, valid_acc 0.575668, test_loss 0.003640, ic 0.007964, icir 0.107687, ric -0.009866, ricir -0.093810, prec@10 0.547737, prec@30 0.547188, test_mae 0.023040, test_rmse 0.057828, test_mape 358.864502, test_acc 0.543674
Epoch 35, train_loss 0.001291, train_ic 0.006412, train_icir 0.092093, train_ric 0.004431, train_ricir 0.048624, train_mae 0.016609, train_rmse 0.023685, train_mape 289.430084, train_acc 0.531535, valid_loss 0.0022789770, valid_ic -0.003316, valid_icir -0.107267, valid_ric -0.002137, valid_ricir -0.035745, valid_prec@10 0.531687, valid_prec@30 0.518107, valid_mae 0.032314, valid_rmse 0.057725, valid_mape 314.034149, valid_acc 0.241844, test_loss 0.003657, ic 0.002972, icir 0.055801, ric 0.003172, ricir 0.060587, prec@10 0.505761, prec@30 0.501509, test_mae 0.027028, test_rmse 0.058726, test_mape 443.235504, test_acc 0.392519
Epoch 36, train_loss 0.001276, train_ic 0.039998, train_icir 0.518158, train_ric 0.015742, train_ricir 0.156643, train_mae 0.020966, train_rmse 0.027863, train_mape 218.057983, train_acc 0.223096, valid_loss 0.0021171235, valid_ic 0.003141, valid_icir 0.105294, valid_ric 0.006974, valid_ricir 0.105937, valid_prec@10 0.569959, valid_prec@30 0.543210, valid_mae 0.027786, valid_rmse 0.054667, valid_mape 248.673889, valid_acc 0.225166, test_loss 0.003475, ic 0.005146, icir 0.092847, ric 0.000744, ricir 0.012758, prec@10 0.545267, prec@30 0.534019, test_mae 0.023853, test_rmse 0.056905, test_mape 339.974091, test_acc 0.372717
Epoch 37, train_loss 0.001272, train_ic 0.024725, train_icir 0.334128, train_ric 0.041424, train_ricir 0.408010, train_mae 0.019691, train_rmse 0.027738, train_mape 144.966095, train_acc 0.188366, valid_loss 0.0020928663, valid_ic -0.005154, valid_icir -0.133015, valid_ric 0.012826, valid_ricir 0.153720, valid_prec@10 0.542798, valid_prec@30 0.554595, valid_mae 0.024939, valid_rmse 0.053191, valid_mape 213.031723, valid_acc 0.376748, test_loss 0.003413, ic 0.004299, icir 0.065620, ric 0.028185, ricir 0.317584, prec@10 0.525926, prec@30 0.533196, test_mae 0.022834, test_rmse 0.056213, test_mape 314.555756, test_acc 0.406161
Epoch 38, train_loss 0.001270, train_ic 0.029929, train_icir 0.364499, train_ric 0.010143, train_ricir 0.094523, train_mae 0.012701, train_rmse 0.019592, train_mape 153.305908, train_acc 0.472772, valid_loss 0.0020890552, valid_ic 0.001793, valid_icir 0.056339, valid_ric 0.006930, valid_ricir 0.103806, valid_prec@10 0.648560, valid_prec@30 0.600000, valid_mae 0.025707, valid_rmse 0.052955, valid_mape 218.698639, valid_acc 0.357616, test_loss 0.003377, ic 0.005031, icir 0.088301, ric -0.003932, ricir -0.060581, prec@10 0.576543, prec@30 0.582579, test_mae 0.023129, test_rmse 0.055685, test_mape 309.695068, test_acc 0.410121
Epoch 39, train_loss 0.001264, train_ic 0.029040, train_icir 0.424196, train_ric 0.013570, train_ricir 0.163764, train_mae 0.020381, train_rmse 0.026562, train_mape 363.878387, train_acc 0.614306, valid_loss 0.0022133604, valid_ic 0.001911, valid_icir 0.052826, valid_ric 0.004246, valid_ricir 0.081173, valid_prec@10 0.581070, valid_prec@30 0.550892, valid_mae 0.021003, valid_rmse 0.049651, valid_mape 268.459381, valid_acc 0.741477, test_loss 0.003485, ic 0.005280, icir 0.083686, ric 0.007686, ricir 0.138936, prec@10 0.546914, prec@30 0.535254, test_mae 0.025063, test_rmse 0.055229, test_mape 486.051758, test_acc 0.594499
Epoch 40, train_loss 0.001235, train_ic 0.034953, train_icir 0.307024, train_ric 0.023080, train_ricir 0.161272, train_mae 0.026858, train_rmse 0.038577, train_mape 235.508820, train_acc 0.259049, valid_loss 0.0023746428, valid_ic -0.006007, valid_icir -0.093524, valid_ric 0.002116, valid_ricir 0.014822, valid_prec@10 0.632922, valid_prec@30 0.593553, valid_mae 0.033387, valid_rmse 0.056703, valid_mape 334.882141, valid_acc 0.235467, test_loss 0.003547, ic 0.006572, icir 0.089419, ric 0.016266, ricir 0.123071, prec@10 0.583951, prec@30 0.588203, test_mae 0.026869, test_rmse 0.056622, test_mape 451.621948, test_acc 0.408361
Epoch 41, train_loss 0.001255, train_ic 0.028097, train_icir 0.466579, train_ric 0.027233, train_ricir 0.337984, train_mae 0.022990, train_rmse 0.032454, train_mape 152.156250, train_acc 0.301061, valid_loss 0.0020097674, valid_ic -0.002555, valid_icir -0.084804, valid_ric 0.012403, valid_ricir 0.173323, valid_prec@10 0.608642, valid_prec@30 0.597531, valid_mae 0.020253, valid_rmse 0.049054, valid_mape 183.660522, valid_acc 0.683591, test_loss 0.003208, ic 0.003880, icir 0.069615, ric 0.012775, ricir 0.189339, prec@10 0.534156, prec@30 0.542661, test_mae 0.020900, test_rmse 0.053210, test_mape 303.321289, test_acc 0.568977
Epoch 42, train_loss 0.001234, train_ic 0.037902, train_icir 0.417319, train_ric 0.010795, train_ricir 0.092689, train_mae 0.029413, train_rmse 0.034247, train_mape 307.099762, train_acc 0.331192, valid_loss 0.0024795640, valid_ic 0.014962, valid_icir 0.408723, valid_ric 0.011540, valid_ricir 0.102532, valid_prec@10 0.542798, valid_prec@30 0.537997, valid_mae 0.023267, valid_rmse 0.049247, valid_mape 379.409363, valid_acc 0.751778, test_loss 0.003703, ic 0.007444, icir 0.158904, ric -0.010515, ricir -0.102773, prec@10 0.526337, prec@30 0.513992, test_mae 0.030542, test_rmse 0.056843, test_mape 689.240112, test_acc 0.594939
Epoch 43, train_loss 0.001250, train_ic 0.026496, train_icir 0.333983, train_ric 0.013941, train_ricir 0.133871, train_mae 0.017470, train_rmse 0.025882, train_mape 9479.288086, train_acc 0.415433, valid_loss 0.0018963598, valid_ic 0.006088, valid_icir 0.201597, valid_ric 0.011998, valid_ricir 0.114303, valid_prec@10 0.561728, valid_prec@30 0.543484, valid_mae 0.022211, valid_rmse 0.049017, valid_mape 196.913330, valid_acc 0.585234, test_loss 0.003090, ic 0.004523, icir 0.089052, ric -0.004599, ricir -0.047708, prec@10 0.523457, prec@30 0.527298, test_mae 0.021499, test_rmse 0.052652, test_mape 298.815460, test_acc 0.509351
Epoch 44, train_loss 0.001222, train_ic 0.039489, train_icir 0.432249, train_ric 0.000184, train_ricir 0.001537, train_mae 0.022365, train_rmse 0.032139, train_mape 105.269913, train_acc 0.814825, valid_loss 0.0019303709, valid_ic 0.004248, valid_icir 0.108655, valid_ric -0.003897, valid_ricir -0.049975, valid_prec@10 0.576543, valid_prec@30 0.575995, valid_mae 0.027087, valid_rmse 0.051379, valid_mape 237.660141, valid_acc 0.259750, test_loss 0.003104, ic 0.005349, icir 0.089027, ric -0.011307, ricir -0.164424, prec@10 0.534156, prec@30 0.530041, test_mae 0.022688, test_rmse 0.052941, test_mape 309.874115, test_acc 0.414301
Epoch 45, train_loss 0.001226, train_ic 0.023017, train_icir 0.255978, train_ric -0.012777, train_ricir -0.117272, train_mae 0.019065, train_rmse 0.027979, train_mape 235.257675, train_acc 0.587496, valid_loss 0.0019552047, valid_ic 0.013063, valid_icir 0.313068, valid_ric -0.001475, valid_ricir -0.015773, valid_prec@10 0.576955, valid_prec@30 0.550617, valid_mae 0.023815, valid_rmse 0.049277, valid_mape 212.567261, valid_acc 0.531273, test_loss 0.003091, ic 0.005206, icir 0.115276, ric -0.018483, ricir -0.216911, prec@10 0.539918, prec@30 0.534156, test_mae 0.022503, test_rmse 0.052331, test_mape 343.415436, test_acc 0.499010
Epoch 46, train_loss 0.001221, train_ic 0.026442, train_icir 0.366129, train_ric 0.020181, train_ricir 0.224517, train_mae 0.013361, train_rmse 0.022211, train_mape 140.741608, train_acc 0.550786, valid_loss 0.0018409021, valid_ic 0.004008, valid_icir 0.139851, valid_ric 0.009820, valid_ricir 0.137112, valid_prec@10 0.567901, valid_prec@30 0.549246, valid_mae 0.021225, valid_rmse 0.047525, valid_mape 185.419540, valid_acc 0.615649, test_loss 0.002970, ic 0.005640, icir 0.109603, ric 0.008108, ricir 0.120785, prec@10 0.535391, prec@30 0.523594, test_mae 0.020698, test_rmse 0.051138, test_mape 293.060272, test_acc 0.543674
Epoch 47, train_loss 0.001220, train_ic 0.026325, train_icir 0.372158, train_ric 0.010197, train_ricir 0.116050, train_mae 0.027218, train_rmse 0.035249, train_mape 127.964958, train_acc 0.292595, valid_loss 0.0018362119, valid_ic 0.001458, valid_icir 0.050396, valid_ric 0.000731, valid_ricir 0.014068, valid_prec@10 0.554321, valid_prec@30 0.537037, valid_mae 0.024366, valid_rmse 0.048727, valid_mape 204.448730, valid_acc 0.363993, test_loss 0.002944, ic 0.004705, icir 0.093032, ric -0.000753, ricir -0.015143, prec@10 0.533745, prec@30 0.526886, test_mae 0.021055, test_rmse 0.050998, test_mape 274.140198, test_acc 0.482948
Epoch 48, train_loss 0.001220, train_ic 0.032706, train_icir 0.451722, train_ric 0.018572, train_ricir 0.218214, train_mae 0.016881, train_rmse 0.022228, train_mape 204.563690, train_acc 0.383824, valid_loss 0.0018855990, valid_ic 0.005517, valid_icir 0.189878, valid_ric 0.010167, valid_ricir 0.178345, valid_prec@10 0.570782, valid_prec@30 0.550480, valid_mae 0.019934, valid_rmse 0.046081, valid_mape 217.334671, valid_acc 0.730439, test_loss 0.002982, ic 0.005630, icir 0.109773, ric 0.003226, ricir 0.057243, prec@10 0.548148, prec@30 0.530864, test_mae 0.021615, test_rmse 0.050615, test_mape 369.877686, test_acc 0.599340
Epoch 49, train_loss 0.001206, train_ic 0.038029, train_icir 0.538347, train_ric 0.014511, train_ricir 0.182848, train_mae 0.026756, train_rmse 0.035859, train_mape 3978.985596, train_acc 0.377035, valid_loss 0.0019313266, valid_ic 0.007519, valid_icir 0.248685, valid_ric 0.008594, valid_ricir 0.173592, valid_prec@10 0.562551, valid_prec@30 0.555556, valid_mae 0.019660, valid_rmse 0.045375, valid_mape 242.916656, valid_acc 0.749080, test_loss 0.003016, ic 0.006122, icir 0.117925, ric 0.002860, ricir 0.066185, prec@10 0.531276, prec@30 0.531139, test_mae 0.023322, test_rmse 0.050826, test_mape 435.160492, test_acc 0.594279
Epoch 50, train_loss 0.001244, train_ic 0.040533, train_icir 0.421298, train_ric 0.003844, train_ricir 0.032833, train_mae 0.086814, train_rmse 0.096735, train_mape 120.700905, train_acc 0.083723, valid_loss 0.0018408722, valid_ic 0.013108, valid_icir 0.347410, valid_ric 0.005645, valid_ricir 0.059358, valid_prec@10 0.572840, valid_prec@30 0.554458, valid_mae 0.020579, valid_rmse 0.045821, valid_mape 217.221146, valid_acc 0.657837, test_loss 0.002917, ic 0.006914, icir 0.144465, ric -0.014643, ricir -0.172097, prec@10 0.546914, prec@30 0.537860, test_mae 0.022266, test_rmse 0.050506, test_mape 374.358002, test_acc 0.562376
Epoch 51, train_loss 0.001199, train_ic 0.023286, train_icir 0.291410, train_ric -0.002316, train_ricir -0.025056, train_mae 0.040501, train_rmse 0.049671, train_mape 342.250458, train_acc 0.334292, valid_loss 0.0019474919, valid_ic 0.001640, valid_icir 0.049966, valid_ric -0.007185, valid_ricir -0.126634, valid_prec@10 0.579424, valid_prec@30 0.543896, valid_mae 0.032884, valid_rmse 0.052856, valid_mape 324.032990, valid_acc 0.204807, test_loss 0.002987, ic 0.004832, icir 0.095019, ric -0.005405, ricir -0.105284, prec@10 0.550206, prec@30 0.538683, test_mae 0.026502, test_rmse 0.052380, test_mape 417.037872, test_acc 0.373597
Epoch 52, train_loss 0.001204, train_ic 0.027589, train_icir 0.302388, train_ric -0.015035, train_ricir -0.136114, train_mae 0.030485, train_rmse 0.037764, train_mape 212.249924, train_acc 0.089337, valid_loss 0.0018373926, valid_ic 0.012065, valid_icir 0.339562, valid_ric -0.001764, valid_ricir -0.021680, valid_prec@10 0.578601, valid_prec@30 0.551578, valid_mae 0.027985, valid_rmse 0.049495, valid_mape 249.367737, valid_acc 0.249693, test_loss 0.002870, ic 0.005960, icir 0.135393, ric -0.022190, ricir -0.277984, prec@10 0.544033, prec@30 0.531962, test_mae 0.023501, test_rmse 0.050733, test_mape 323.075317, test_acc 0.384818
Epoch 53, train_loss 0.001189, train_ic 0.044076, train_icir 0.468871, train_ric 0.012635, train_ricir 0.111490, train_mae 0.017650, train_rmse 0.024632, train_mape 125.647308, train_acc 0.494708, valid_loss 0.0017211015, valid_ic 0.014059, valid_icir 0.396179, valid_ric 0.014814, valid_ricir 0.196950, valid_prec@10 0.585185, valid_prec@30 0.566118, valid_mae 0.020872, valid_rmse 0.045481, valid_mape 177.667007, valid_acc 0.600932, test_loss 0.002742, ic 0.007943, icir 0.149068, ric -0.000997, ricir -0.013876, prec@10 0.535802, prec@30 0.529081, test_mae 0.020560, test_rmse 0.048964, test_mape 264.143494, test_acc 0.506051
Epoch 54, train_loss 0.001201, train_ic 0.016075, train_icir 0.281770, train_ric 0.015294, train_ricir 0.250746, train_mae 0.027486, train_rmse 0.032827, train_mape 523.055481, train_acc 0.403503, valid_loss 0.0021789334, valid_ic -0.001143, valid_icir -0.029415, valid_ric 0.002572, valid_ricir 0.054676, valid_prec@10 0.497942, valid_prec@30 0.506447, valid_mae 0.023516, valid_rmse 0.045698, valid_mape 345.136444, valid_acc 0.743194, test_loss 0.003163, ic 0.004337, icir 0.068251, ric 0.010851, ricir 0.194446, prec@10 0.528395, prec@30 0.520439, test_mae 0.027577, test_rmse 0.051290, test_mape 564.864258, test_acc 0.590539
Epoch 55, train_loss 0.001185, train_ic 0.022455, train_icir 0.242775, train_ric 0.014101, train_ricir 0.119682, train_mae 0.011904, train_rmse 0.016622, train_mape 343.225159, train_acc 0.535479, valid_loss 0.0017671178, valid_ic 0.007628, valid_icir 0.208044, valid_ric 0.010453, valid_ricir 0.081107, valid_prec@10 0.549794, valid_prec@30 0.535117, valid_mae 0.019313, valid_rmse 0.043736, valid_mape 208.795456, valid_acc 0.677949, test_loss 0.002763, ic 0.004973, icir 0.117648, ric -0.003666, ricir -0.031379, prec@10 0.549383, prec@30 0.518381, test_mae 0.021454, test_rmse 0.048555, test_mape 361.410034, test_acc 0.553135
Epoch 56, train_loss 0.001205, train_ic 0.031595, train_icir 0.417541, train_ric 0.029519, train_ricir 0.329232, train_mae 0.015781, train_rmse 0.024200, train_mape 147.150146, train_acc 0.688375, valid_loss 0.0017472686, valid_ic 0.001953, valid_icir 0.056229, valid_ric 0.013435, valid_ricir 0.191763, valid_prec@10 0.589712, valid_prec@30 0.580933, valid_mae 0.026022, valid_rmse 0.047868, valid_mape 230.487640, valid_acc 0.306107, test_loss 0.002724, ic 0.006434, icir 0.115478, ric 0.020955, ricir 0.283539, prec@10 0.532099, prec@30 0.544033, test_mae 0.023565, test_rmse 0.049858, test_mape 345.186584, test_acc 0.393619
Epoch 57, train_loss 0.001158, train_ic 0.019821, train_icir 0.198151, train_ric 0.012353, train_ricir 0.101109, train_mae 0.062129, train_rmse 0.073974, train_mape 111.562027, train_acc 0.458135, valid_loss 0.0018273205, valid_ic 0.012385, valid_icir 0.267957, valid_ric 0.014891, valid_ricir 0.109566, valid_prec@10 0.538683, valid_prec@30 0.535665, valid_mae 0.027103, valid_rmse 0.047759, valid_mape 263.589783, valid_acc 0.389257, test_loss 0.002785, ic 0.004699, icir 0.129557, ric -0.005379, ricir -0.041682, prec@10 0.513580, prec@30 0.501646, test_mae 0.024845, test_rmse 0.049927, test_mape 360.450958, test_acc 0.415622
Epoch 58, train_loss 0.001185, train_ic 0.020302, train_icir 0.315250, train_ric 0.023059, train_ricir 0.325624, train_mae 0.020946, train_rmse 0.027763, train_mape 151.730743, train_acc 0.450655, valid_loss 0.0017934551, valid_ic -0.004041, valid_icir -0.105435, valid_ric 0.004620, valid_ricir 0.082552, valid_prec@10 0.541975, valid_prec@30 0.549383, valid_mae 0.020697, valid_rmse 0.043888, valid_mape 212.039001, valid_acc 0.734364, test_loss 0.002710, ic 0.004754, icir 0.081013, ric 0.016863, ricir 0.325650, prec@10 0.532099, prec@30 0.533059, test_mae 0.021236, test_rmse 0.047602, test_mape 325.979553, test_acc 0.592739
Epoch 59, train_loss 0.001178, train_ic 0.020786, train_icir 0.302462, train_ric 0.024339, train_ricir 0.284224, train_mae 0.021437, train_rmse 0.030843, train_mape 155.508560, train_acc 0.558231, valid_loss 0.0017236824, valid_ic 0.004118, valid_icir 0.118212, valid_ric 0.010357, valid_ricir 0.139029, valid_prec@10 0.553086, valid_prec@30 0.528669, valid_mae 0.026484, valid_rmse 0.047420, valid_mape 231.836441, valid_acc 0.279863, test_loss 0.002644, ic 0.005343, icir 0.100380, ric 0.017155, ricir 0.252704, prec@10 0.530864, prec@30 0.513306, test_mae 0.023076, test_rmse 0.048858, test_mape 311.388184, test_acc 0.378218
Epoch 60, train_loss 0.001181, train_ic 0.039391, train_icir 0.367084, train_ric 0.011051, train_ricir 0.084259, train_mae 0.016994, train_rmse 0.024308, train_mape 198.527710, train_acc 0.308047, valid_loss 0.0017682792, valid_ic -0.002120, valid_icir -0.043552, valid_ric -0.001941, valid_ricir -0.015728, valid_prec@10 0.641152, valid_prec@30 0.597257, valid_mae 0.026285, valid_rmse 0.047118, valid_mape 222.263245, valid_acc 0.243316, test_loss 0.002638, ic 0.005861, icir 0.093759, ric 0.007724, ricir 0.065484, prec@10 0.562551, prec@30 0.576132, test_mae 0.021862, test_rmse 0.047968, test_mape 298.121399, test_acc 0.407481
Epoch 61, train_loss 0.001190, train_ic 0.038805, train_icir 0.381811, train_ric 0.016151, train_ricir 0.133719, train_mae 0.028207, train_rmse 0.033045, train_mape 563.377686, train_acc 0.691094, valid_loss 0.0028311477, valid_ic 0.000900, valid_icir 0.016668, valid_ric -0.002584, valid_ricir -0.021529, valid_prec@10 0.564198, valid_prec@30 0.541427, valid_mae 0.051350, valid_rmse 0.064997, valid_mape 613.420166, valid_acc 0.190581, test_loss 0.003796, ic 0.007200, icir 0.101206, ric 0.008899, ricir 0.075641, prec@10 0.531687, prec@30 0.528944, test_mae 0.044517, test_rmse 0.061624, test_mape 884.079468, test_acc 0.366117
Epoch 62, train_loss 0.001179, train_ic 0.021687, train_icir 0.242245, train_ric 0.007508, train_ricir 0.067015, train_mae 0.019293, train_rmse 0.026660, train_mape 133.834885, train_acc 0.585699, valid_loss 0.0017515118, valid_ic 0.008854, valid_icir 0.237947, valid_ric 0.005879, valid_ricir 0.053446, valid_prec@10 0.567078, valid_prec@30 0.549520, valid_mae 0.029231, valid_rmse 0.048043, valid_mape 267.593079, valid_acc 0.236203, test_loss 0.002638, ic 0.004443, icir 0.098923, ric -0.006661, ricir -0.067069, prec@10 0.519342, prec@30 0.518107, test_mae 0.024480, test_rmse 0.048768, test_mape 327.596375, test_acc 0.375138
Epoch 63, train_loss 0.001157, train_ic 0.038443, train_icir 0.554010, train_ric 0.035018, train_ricir 0.439768, train_mae 0.018970, train_rmse 0.026739, train_mape 122.161736, train_acc 0.452728, valid_loss 0.0015778067, valid_ic 0.007470, valid_icir 0.278912, valid_ric 0.021943, valid_ricir 0.382163, valid_prec@10 0.534979, valid_prec@30 0.532647, valid_mae 0.020593, valid_rmse 0.042857, valid_mape 162.805252, valid_acc 0.588423, test_loss 0.002463, ic 0.006136, icir 0.131339, ric 0.018845, ricir 0.350122, prec@10 0.500000, prec@30 0.505075, test_mae 0.019809, test_rmse 0.046041, test_mape 241.567612, test_acc 0.511551
Epoch 64, train_loss 0.001165, train_ic 0.043148, train_icir 0.452736, train_ric 0.040609, train_ricir 0.366037, train_mae 0.016907, train_rmse 0.026139, train_mape 2588.614014, train_acc 0.498864, valid_loss 0.0015904235, valid_ic 0.002744, valid_icir 0.058727, valid_ric 0.013300, valid_ricir 0.125103, valid_prec@10 0.536626, valid_prec@30 0.534431, valid_mae 0.022008, valid_rmse 0.043555, valid_mape 180.409973, valid_acc 0.534216, test_loss 0.002456, ic 0.007591, icir 0.125023, ric 0.025321, ricir 0.241831, prec@10 0.531276, prec@30 0.520576, test_mae 0.020122, test_rmse 0.046018, test_mape 254.741089, test_acc 0.510891
Epoch 65, train_loss 0.001163, train_ic 0.033045, train_icir 0.463907, train_ric 0.009417, train_ricir 0.118562, train_mae 0.020511, train_rmse 0.030267, train_mape 158.941406, train_acc 0.447228, valid_loss 0.0016126991, valid_ic 0.004454, valid_icir 0.151666, valid_ric 0.001141, valid_ricir 0.026131, valid_prec@10 0.573251, valid_prec@30 0.566118, valid_mae 0.026321, valid_rmse 0.045879, valid_mape 220.948334, valid_acc 0.239882, test_loss 0.002468, ic 0.005802, icir 0.117705, ric 0.000290, ricir 0.006813, prec@10 0.551029, prec@30 0.541975, test_mae 0.021870, test_rmse 0.046745, test_mape 276.669342, test_acc 0.397140
Epoch 66, train_loss 0.001188, train_ic 0.032875, train_icir 0.356251, train_ric -0.002021, train_ricir -0.018078, train_mae 0.037962, train_rmse 0.044131, train_mape 113.007782, train_acc 0.301413, valid_loss 0.0016008334, valid_ic 0.016376, valid_icir 0.391020, valid_ric 0.003813, valid_ricir 0.035602, valid_prec@10 0.581893, valid_prec@30 0.560357, valid_mae 0.021269, valid_rmse 0.042406, valid_mape 190.599670, valid_acc 0.594064, test_loss 0.002451, ic 0.007508, icir 0.191783, ric -0.016246, ricir -0.159707, prec@10 0.546502, prec@30 0.532099, test_mae 0.020644, test_rmse 0.045659, test_mape 297.535492, test_acc 0.534653
Epoch 67, train_loss 0.001167, train_ic 0.037469, train_icir 0.402810, train_ric 0.018290, train_ricir 0.164223, train_mae 0.014491, train_rmse 0.022746, train_mape 193.754303, train_acc 0.485912, valid_loss 0.0016114037, valid_ic 0.019346, valid_icir 0.445434, valid_ric 0.013891, valid_ricir 0.139389, valid_prec@10 0.578601, valid_prec@30 0.554184, valid_mae 0.021121, valid_rmse 0.042250, valid_mape 207.827576, valid_acc 0.600687, test_loss 0.002452, ic 0.008230, icir 0.170341, ric -0.001794, ricir -0.020992, prec@10 0.529630, prec@30 0.526337, test_mae 0.021218, test_rmse 0.045533, test_mape 315.060547, test_acc 0.519472
Epoch 68, train_loss 0.001164, train_ic 0.036038, train_icir 0.463238, train_ric 0.022731, train_ricir 0.254505, train_mae 0.019086, train_rmse 0.027568, train_mape 105.681702, train_acc 0.718741, valid_loss 0.0015699654, valid_ic 0.004498, valid_icir 0.171166, valid_ric 0.013364, valid_ricir 0.233784, valid_prec@10 0.573251, valid_prec@30 0.589026, valid_mae 0.020494, valid_rmse 0.041703, valid_mape 169.573898, valid_acc 0.640422, test_loss 0.002387, ic 0.005124, icir 0.117578, ric 0.006922, ricir 0.113734, prec@10 0.535391, prec@30 0.522908, test_mae 0.019684, test_rmse 0.044734, test_mape 263.623413, test_acc 0.551595
Epoch 69, train_loss 0.001141, train_ic 0.043659, train_icir 0.490489, train_ric 0.023672, train_ricir 0.230238, train_mae 0.033253, train_rmse 0.046444, train_mape 171.090424, train_acc 0.550338, valid_loss 0.0017390458, valid_ic 0.005415, valid_icir 0.142916, valid_ric 0.011993, valid_ricir 0.186028, valid_prec@10 0.639918, valid_prec@30 0.593416, valid_mae 0.029379, valid_rmse 0.047150, valid_mape 271.602020, valid_acc 0.236939, test_loss 0.002545, ic 0.007512, icir 0.145343, ric 0.006402, ricir 0.098942, prec@10 0.568724, prec@30 0.576543, test_mae 0.025044, test_rmse 0.047722, test_mape 378.977814, test_acc 0.387019
Epoch 70, train_loss 0.001161, train_ic 0.028874, train_icir 0.346514, train_ric -0.006811, train_ricir -0.072702, train_mae 0.025444, train_rmse 0.031808, train_mape 478.155243, train_acc 0.496468, valid_loss 0.0021298686, valid_ic 0.000712, valid_icir 0.020104, valid_ric -0.003263, valid_ricir -0.052807, valid_prec@10 0.639095, valid_prec@30 0.599863, valid_mae 0.039694, valid_rmse 0.054162, valid_mape 435.154144, valid_acc 0.199902, test_loss 0.002917, ic 0.004966, icir 0.109571, ric -0.008914, ricir -0.162183, prec@10 0.556379, prec@30 0.565844, test_mae 0.034083, test_rmse 0.052796, test_mape 609.342957, test_acc 0.366777
Epoch 71, train_loss 0.001149, train_ic 0.030917, train_icir 0.368674, train_ric -0.004520, train_ricir -0.047166, train_mae 0.014818, train_rmse 0.025257, train_mape 158.655029, train_acc 0.489946, valid_loss 0.0015472294, valid_ic 0.006213, valid_icir 0.185367, valid_ric -0.004185, valid_ricir -0.071901, valid_prec@10 0.597531, valid_prec@30 0.583539, valid_mae 0.022078, valid_rmse 0.042073, valid_mape 173.220444, valid_acc 0.475350, test_loss 0.002332, ic 0.006390, icir 0.137923, ric -0.008575, ricir -0.152074, prec@10 0.557202, prec@30 0.550892, test_mae 0.019864, test_rmse 0.044381, test_mape 253.453476, test_acc 0.522992
