Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001963, train_ic 0.014461, train_icir 0.196700, train_ric -0.017055, train_ricir -0.132908, train_mae 0.016418, train_rmse 0.028162, train_mape 396.438385, train_acc 0.658239, valid_loss 0.0051742967, valid_ic -0.004521, valid_icir -0.077832, valid_ric -0.006821, valid_ricir -0.060434, valid_prec@10 0.565021, valid_prec@30 0.525652, valid_mae 0.029050, valid_rmse 0.084238, valid_mape 361.918152, valid_acc 0.719402, test_loss 0.008772, ic 0.004621, icir 0.048587, ric -0.007684, ricir -0.066005, prec@10 0.560082, prec@30 0.527709, test_mae 0.035077, test_rmse 0.094331, test_mape 743.917175, test_acc 0.585919
Epoch 13, train_loss 0.001845, train_ic 0.014075, train_icir 0.224476, train_ric 0.022389, train_ricir 0.204367, train_mae 0.039350, train_rmse 0.052550, train_mape 127.373055, train_acc 0.271864, valid_loss 0.0044617345, valid_ic -0.006211, valid_icir -0.120727, valid_ric 0.002500, valid_ricir 0.027241, valid_prec@10 0.539506, valid_prec@30 0.523045, valid_mae 0.027960, valid_rmse 0.080566, valid_mape 261.794983, valid_acc 0.635271, test_loss 0.007736, ic 0.004223, icir 0.047662, ric 0.018850, ricir 0.175882, prec@10 0.526337, prec@30 0.524966, test_mae 0.029492, test_rmse 0.088672, test_mape 517.696716, test_acc 0.555776
Epoch 14, train_loss 0.001730, train_ic 0.012922, train_icir 0.205011, train_ric 0.037478, train_ricir 0.354084, train_mae 0.079487, train_rmse 0.085124, train_mape 93.942650, train_acc 0.856937, valid_loss 0.0041689746, valid_ic -0.007942, valid_icir -0.157768, valid_ric 0.009859, valid_ricir 0.108318, valid_prec@10 0.565021, valid_prec@30 0.563649, valid_mae 0.031570, valid_rmse 0.078805, valid_mape 298.036255, valid_acc 0.279863, test_loss 0.007176, ic 0.003794, icir 0.043875, ric 0.031189, ricir 0.295591, prec@10 0.553086, prec@30 0.543621, test_mae 0.030723, test_rmse 0.085494, test_mape 535.463501, test_acc 0.373157
Epoch 15, train_loss 0.001691, train_ic 0.013381, train_icir 0.221505, train_ric 0.033117, train_ricir 0.308472, train_mae 0.016207, train_rmse 0.036631, train_mape 129.971390, train_acc 0.870595, valid_loss 0.0039308569, valid_ic -0.003689, valid_icir -0.087957, valid_ric 0.015218, valid_ricir 0.177518, valid_prec@10 0.537860, valid_prec@30 0.525240, valid_mae 0.024490, valid_rmse 0.073506, valid_mape 289.925995, valid_acc 0.732647, test_loss 0.006726, ic 0.004121, icir 0.053501, ric 0.015598, ricir 0.221372, prec@10 0.521811, prec@30 0.513992, test_mae 0.029013, test_rmse 0.081370, test_mape 577.545166, test_acc 0.585919
Epoch 16, train_loss 0.001656, train_ic 0.015475, train_icir 0.269142, train_ric 0.028178, train_ricir 0.282065, train_mae 0.030079, train_rmse 0.036678, train_mape 324.123260, train_acc 0.203756, valid_loss 0.0040218116, valid_ic -0.001594, valid_icir -0.042931, valid_ric 0.016947, valid_ricir 0.180018, valid_prec@10 0.544033, valid_prec@30 0.537723, valid_mae 0.040836, valid_rmse 0.077697, valid_mape 444.865356, valid_acc 0.194506, test_loss 0.006639, ic 0.004590, icir 0.063516, ric 0.011399, ricir 0.149713, prec@10 0.510288, prec@30 0.517421, test_mae 0.038107, test_rmse 0.082210, test_mape 712.643494, test_acc 0.365677
Epoch 17, train_loss 0.001560, train_ic 0.009630, train_icir 0.163990, train_ric 0.005645, train_ricir 0.059089, train_mae 0.019183, train_rmse 0.028757, train_mape 248.552567, train_acc 0.418904, valid_loss 0.0035542431, valid_ic -0.003447, valid_icir -0.102658, valid_ric 0.004777, valid_ricir 0.064001, valid_prec@10 0.611934, valid_prec@30 0.593278, valid_mae 0.032796, valid_rmse 0.072548, valid_mape 330.077942, valid_acc 0.269561, test_loss 0.006022, ic 0.003799, icir 0.056409, ric -0.002983, ricir -0.043241, prec@10 0.551029, prec@30 0.558162, test_mae 0.030485, test_rmse 0.077269, test_mape 523.454712, test_acc 0.403960
Epoch 18, train_loss 0.001519, train_ic 0.029407, train_icir 0.363133, train_ric 0.017500, train_ricir 0.135301, train_mae 0.013579, train_rmse 0.031476, train_mape 1385.560791, train_acc 0.431492, valid_loss 0.0033592804, valid_ic -0.004085, valid_icir -0.085413, valid_ric 0.005990, valid_ricir 0.049408, valid_prec@10 0.613169, valid_prec@30 0.589712, valid_mae 0.029172, valid_rmse 0.069932, valid_mape 274.709351, valid_acc 0.326711, test_loss 0.005683, ic 0.005287, icir 0.067440, ric 0.009211, ricir 0.076430, prec@10 0.562963, prec@30 0.576543, test_mae 0.027647, test_rmse 0.074650, test_mape 449.884857, test_acc 0.401760
Epoch 19, train_loss 0.001488, train_ic 0.015721, train_icir 0.251663, train_ric 0.003689, train_ricir 0.037265, train_mae 0.029113, train_rmse 0.038910, train_mape 177.446930, train_acc 0.683829, valid_loss 0.0040397205, valid_ic -0.003491, valid_icir -0.101539, valid_ric 0.000975, valid_ricir 0.015252, valid_prec@10 0.551029, valid_prec@30 0.556241, valid_mae 0.049278, valid_rmse 0.078013, valid_mape 582.079773, valid_acc 0.193034, test_loss 0.006279, ic 0.003851, icir 0.057039, ric -0.004778, ricir -0.087405, prec@10 0.526749, prec@30 0.521536, test_mae 0.044377, test_rmse 0.079707, test_mape 868.779175, test_acc 0.365457
Epoch 20, train_loss 0.001499, train_ic 0.013541, train_icir 0.161425, train_ric 0.037741, train_ricir 0.308647, train_mae 0.023971, train_rmse 0.029336, train_mape 260.577454, train_acc 0.262762, valid_loss 0.0030917490, valid_ic -0.005934, valid_icir -0.119443, valid_ric 0.015315, valid_ricir 0.142338, valid_prec@10 0.496296, valid_prec@30 0.495336, valid_mae 0.023764, valid_rmse 0.064951, valid_mape 261.406830, valid_acc 0.684327, test_loss 0.005219, ic 0.004810, icir 0.060314, ric 0.033706, ricir 0.267993, prec@10 0.506996, prec@30 0.514815, test_mae 0.025447, test_rmse 0.070451, test_mape 421.385529, test_acc 0.561936
Epoch 21, train_loss 0.001448, train_ic 0.019300, train_icir 0.220073, train_ric -0.016456, train_ricir -0.143282, train_mae 0.027736, train_rmse 0.042168, train_mape 359.490143, train_acc 0.310109, valid_loss 0.0035784060, valid_ic 0.011073, valid_icir 0.237982, valid_ric -0.002314, valid_ricir -0.023899, valid_prec@10 0.585185, valid_prec@30 0.548834, valid_mae 0.039456, valid_rmse 0.071611, valid_mape 418.817810, valid_acc 0.242826, test_loss 0.005532, ic 0.005594, icir 0.090698, ric -0.020179, ricir -0.269696, prec@10 0.548971, prec@30 0.537449, test_mae 0.034320, test_rmse 0.073157, test_mape 569.220947, test_acc 0.367437
Epoch 22, train_loss 0.001426, train_ic 0.032401, train_icir 0.426245, train_ric 0.009864, train_ricir 0.090563, train_mae 0.029619, train_rmse 0.036975, train_mape 84.688278, train_acc 0.818990, valid_loss 0.0028766214, valid_ic 0.004545, valid_icir 0.121064, valid_ric 0.011402, valid_ricir 0.150401, valid_prec@10 0.553086, valid_prec@30 0.553361, valid_mae 0.021936, valid_rmse 0.061970, valid_mape 242.577118, valid_acc 0.729948, test_loss 0.004867, ic 0.006187, icir 0.091711, ric -0.001788, ricir -0.025438, prec@10 0.532922, prec@30 0.513443, test_mae 0.025443, test_rmse 0.067825, test_mape 458.369019, test_acc 0.581958
Epoch 23, train_loss 0.001429, train_ic 0.010255, train_icir 0.156659, train_ric -0.010036, train_ricir -0.100228, train_mae 0.022229, train_rmse 0.032071, train_mape 149.220352, train_acc 0.530554, valid_loss 0.0028239164, valid_ic 0.000033, valid_icir 0.000995, valid_ric -0.003561, valid_ricir -0.039213, valid_prec@10 0.536626, valid_prec@30 0.541701, valid_mae 0.030080, valid_rmse 0.064404, valid_mape 285.320312, valid_acc 0.310032, test_loss 0.004734, ic 0.003569, icir 0.059263, ric -0.012116, ricir -0.152959, prec@10 0.517695, prec@30 0.510974, test_mae 0.027303, test_rmse 0.067700, test_mape 415.771484, test_acc 0.388339
Epoch 24, train_loss 0.001402, train_ic 0.015955, train_icir 0.270298, train_ric 0.023996, train_ricir 0.292861, train_mae 0.017655, train_rmse 0.028557, train_mape 313.031616, train_acc 0.809669, valid_loss 0.0030646784, valid_ic -0.004388, valid_icir -0.103484, valid_ric 0.007053, valid_ricir 0.097128, valid_prec@10 0.532922, valid_prec@30 0.516598, valid_mae 0.024993, valid_rmse 0.060482, valid_mape 376.952209, valid_acc 0.748590, test_loss 0.004905, ic 0.003716, icir 0.051138, ric 0.020739, ricir 0.278848, prec@10 0.502469, prec@30 0.513580, test_mae 0.029869, test_rmse 0.066720, test_mape 638.723206, test_acc 0.591859
Epoch 25, train_loss 0.001401, train_ic 0.026577, train_icir 0.307191, train_ric -0.009258, train_ricir -0.075284, train_mae 0.015881, train_rmse 0.025551, train_mape 218.300674, train_acc 0.387577, valid_loss 0.0026897075, valid_ic 0.008089, valid_icir 0.248502, valid_ric 0.006436, valid_ricir 0.056605, valid_prec@10 0.564609, valid_prec@30 0.541564, valid_mae 0.028095, valid_rmse 0.061662, valid_mape 271.325958, valid_acc 0.366936, test_loss 0.004485, ic 0.005304, icir 0.099443, ric -0.019963, ricir -0.195972, prec@10 0.536214, prec@30 0.529630, test_mae 0.026629, test_rmse 0.065402, test_mape 413.464203, test_acc 0.391859
Epoch 26, train_loss 0.001334, train_ic 0.016630, train_icir 0.336909, train_ric 0.010273, train_ricir 0.164031, train_mae 0.021148, train_rmse 0.026687, train_mape 192.166168, train_acc 0.296827, valid_loss 0.0026402160, valid_ic -0.003632, valid_icir -0.111649, valid_ric 0.004704, valid_ricir 0.090019, valid_prec@10 0.622634, valid_prec@30 0.589300, valid_mae 0.022341, valid_rmse 0.058370, valid_mape 234.613831, valid_acc 0.674025, test_loss 0.004352, ic 0.003468, icir 0.056756, ric -0.000467, ricir -0.011173, prec@10 0.563374, prec@30 0.562277, test_mae 0.023875, test_rmse 0.063360, test_mape 401.120483, test_acc 0.583278
Epoch 27, train_loss 0.001344, train_ic 0.020845, train_icir 0.280639, train_ric 0.017512, train_ricir 0.179405, train_mae 0.017106, train_rmse 0.024179, train_mape 118.770172, train_acc 0.426132, valid_loss 0.0024725324, valid_ic -0.002550, valid_icir -0.064159, valid_ric 0.004413, valid_ricir 0.058503, valid_prec@10 0.546914, valid_prec@30 0.536077, valid_mae 0.024396, valid_rmse 0.058722, valid_mape 217.296097, valid_acc 0.488595, test_loss 0.004158, ic 0.004205, icir 0.061595, ric 0.010052, ricir 0.147452, prec@10 0.549383, prec@30 0.523731, test_mae 0.022927, test_rmse 0.062486, test_mape 322.612152, test_acc 0.499890
Epoch 28, train_loss 0.001348, train_ic 0.021476, train_icir 0.242598, train_ric 0.021792, train_ricir 0.187358, train_mae 0.029620, train_rmse 0.039658, train_mape 133.066269, train_acc 0.825929, valid_loss 0.0026818791, valid_ic -0.003233, valid_icir -0.063103, valid_ric 0.001293, valid_ricir 0.010948, valid_prec@10 0.554321, valid_prec@30 0.519753, valid_mae 0.035772, valid_rmse 0.064014, valid_mape 367.599274, valid_acc 0.194260, test_loss 0.004341, ic 0.005257, icir 0.067543, ric 0.017958, ricir 0.139966, prec@10 0.551029, prec@30 0.521674, test_mae 0.030920, test_rmse 0.065215, test_mape 558.245667, test_acc 0.365237
Epoch 29, train_loss 0.001287, train_ic 0.015591, train_icir 0.208653, train_ric 0.030907, train_ricir 0.298632, train_mae 0.031739, train_rmse 0.038348, train_mape 80.037056, train_acc 0.845580, valid_loss 0.0023851934, valid_ic -0.001277, valid_icir -0.036868, valid_ric 0.015226, valid_ricir 0.181628, valid_prec@10 0.520165, valid_prec@30 0.519204, valid_mae 0.021680, valid_rmse 0.055898, valid_mape 223.409988, valid_acc 0.701006, test_loss 0.003979, ic 0.003619, icir 0.058468, ric 0.017577, ricir 0.247270, prec@10 0.519753, prec@30 0.514403, test_mae 0.022643, test_rmse 0.060496, test_mape 362.574738, test_acc 0.582838
Epoch 30, train_loss 0.001339, train_ic 0.039912, train_icir 0.502351, train_ric 0.018758, train_ricir 0.168649, train_mae 0.013747, train_rmse 0.023930, train_mape 179.885895, train_acc 0.428163, valid_loss 0.0022891415, valid_ic 0.003280, valid_icir 0.083223, valid_ric 0.011549, valid_ricir 0.125877, valid_prec@10 0.553086, valid_prec@30 0.553224, valid_mae 0.023625, valid_rmse 0.056277, valid_mape 199.214264, valid_acc 0.525386, test_loss 0.003856, ic 0.006402, icir 0.094687, ric 0.007227, ricir 0.076433, prec@10 0.548148, prec@30 0.542112, test_mae 0.022293, test_rmse 0.060003, test_mape 300.811615, test_acc 0.496810
