Dataset:  CSI300
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001855, train_ic 0.006065, train_icir 0.057565, train_ric -0.025623, train_ricir -0.213311, train_mae 0.024465, train_rmse 0.033643, train_mape 210.796570, train_acc 0.390000, valid_loss 0.0048107754, valid_ic -0.005472, valid_icir -0.072953, valid_ric -0.012980, valid_ricir -0.112488, valid_prec@10 0.489712, valid_prec@30 0.500412, valid_mae 0.042226, valid_rmse 0.086132, valid_mape 463.927948, valid_acc 0.326667, test_loss 0.006478, ic 0.008001, icir 0.075288, ric -0.025556, ricir -0.228988, prec@10 0.492181, prec@30 0.489849, test_mae 0.037436, test_rmse 0.078658, test_mape 2665.610107, test_acc 0.366667
Epoch 13, train_loss 0.001746, train_ic -0.003351, train_icir -0.038808, train_ric -0.021757, train_ricir -0.204514, train_mae 0.019315, train_rmse 0.025474, train_mape 149.806625, train_acc 0.346667, valid_loss 0.0040090949, valid_ic -0.008569, valid_icir -0.120477, valid_ric -0.009069, valid_ricir -0.077688, valid_prec@10 0.513992, valid_prec@30 0.505624, valid_mae 0.028061, valid_rmse 0.077554, valid_mape 255.114227, valid_acc 0.596667, test_loss 0.005407, ic 0.006342, icir 0.061474, ric -0.022635, ricir -0.204873, prec@10 0.493416, prec@30 0.496708, test_mae 0.025608, test_rmse 0.069572, test_mape 2382.422607, test_acc 0.523333
Epoch 14, train_loss 0.001673, train_ic 0.018086, train_icir 0.191529, train_ric 0.021699, train_ricir 0.240761, train_mae 0.013613, train_rmse 0.018700, train_mape 230.114029, train_acc 0.726667, valid_loss 0.0038101421, valid_ic -0.009030, valid_icir -0.123701, valid_ric -0.002947, valid_ricir -0.038126, valid_prec@10 0.507819, valid_prec@30 0.493416, valid_mae 0.026570, valid_rmse 0.073176, valid_mape 325.771606, valid_acc 0.666667, test_loss 0.004965, ic 0.010169, icir 0.093236, ric 0.007841, ricir 0.080624, prec@10 0.479835, prec@30 0.483951, test_mae 0.026097, test_rmse 0.065666, test_mape 2391.154785, test_acc 0.623333
Epoch 15, train_loss 0.001570, train_ic 0.020599, train_icir 0.212341, train_ric -0.009099, train_ricir -0.086559, train_mae 0.017362, train_rmse 0.042586, train_mape 151.645660, train_acc 0.476667, valid_loss 0.0033830344, valid_ic -0.006283, valid_icir -0.088842, valid_ric -0.009272, valid_ricir -0.093534, valid_prec@10 0.521399, valid_prec@30 0.508642, valid_mae 0.023960, valid_rmse 0.070692, valid_mape 202.737885, valid_acc 0.616667, test_loss 0.004354, ic 0.010127, icir 0.100853, ric -0.017052, ricir -0.182512, prec@10 0.503704, prec@30 0.501783, test_mae 0.022802, test_rmse 0.061777, test_mape 2186.066162, test_acc 0.553333
Epoch 16, train_loss 0.001531, train_ic 0.010894, train_icir 0.105991, train_ric -0.014636, train_ricir -0.127602, train_mae 0.035030, train_rmse 0.040709, train_mape 295.767181, train_acc 0.310000, valid_loss 0.0035607744, valid_ic -0.007308, valid_icir -0.100180, valid_ric -0.012157, valid_ricir -0.120954, valid_prec@10 0.502469, valid_prec@30 0.499726, valid_mae 0.026295, valid_rmse 0.068852, valid_mape 352.724579, valid_acc 0.676667, test_loss 0.004384, ic 0.008329, icir 0.085880, ric -0.020053, ricir -0.238758, prec@10 0.480247, prec@30 0.492181, test_mae 0.027068, test_rmse 0.060175, test_mape 2328.857910, test_acc 0.646667
Epoch 17, train_loss 0.001468, train_ic 0.041395, train_icir 0.373527, train_ric 0.032174, train_ricir 0.269094, train_mae 0.023932, train_rmse 0.041667, train_mape 337.340942, train_acc 0.500000, valid_loss 0.0033432633, valid_ic -0.006184, valid_icir -0.079506, valid_ric 0.008518, valid_ricir 0.071616, valid_prec@10 0.550617, valid_prec@30 0.531001, valid_mae 0.034262, valid_rmse 0.071195, valid_mape 335.981384, valid_acc 0.253333, test_loss 0.004030, ic 0.013835, icir 0.135641, ric 0.019423, ricir 0.141438, prec@10 0.547737, prec@30 0.537860, test_mae 0.031429, test_rmse 0.061100, test_mape 2241.272461, test_acc 0.296667
Epoch 18, train_loss 0.001426, train_ic 0.022464, train_icir 0.192914, train_ric 0.041449, train_ricir 0.320898, train_mae 0.017864, train_rmse 0.029006, train_mape 139.213974, train_acc 0.606667, valid_loss 0.0031869037, valid_ic -0.007884, valid_icir -0.102634, valid_ric 0.017867, valid_ricir 0.159310, valid_prec@10 0.541564, valid_prec@30 0.526063, valid_mae 0.025011, valid_rmse 0.066143, valid_mape 201.753540, valid_acc 0.613333, test_loss 0.003605, ic 0.012305, icir 0.127215, ric 0.026773, ricir 0.232040, prec@10 0.540329, prec@30 0.530590, test_mae 0.021252, test_rmse 0.054897, test_mape 1982.226562, test_acc 0.603333
Epoch 19, train_loss 0.001424, train_ic 0.021436, train_icir 0.218754, train_ric -0.007211, train_ricir -0.064473, train_mae 0.027411, train_rmse 0.036913, train_mape 460.254425, train_acc 0.530000, valid_loss 0.0033952754, valid_ic -0.005683, valid_icir -0.081217, valid_ric -0.004951, valid_ricir -0.046719, valid_prec@10 0.520576, valid_prec@30 0.503978, valid_mae 0.040731, valid_rmse 0.071259, valid_mape 445.858948, valid_acc 0.240000, test_loss 0.003964, ic 0.009085, icir 0.109770, ric -0.019922, ricir -0.197363, prec@10 0.483128, prec@30 0.484225, test_mae 0.036065, test_rmse 0.059866, test_mape 2209.794922, test_acc 0.300000
Epoch 20, train_loss 0.001384, train_ic 0.040950, train_icir 0.382898, train_ric 0.028170, train_ricir 0.236366, train_mae 0.013214, train_rmse 0.022657, train_mape 166.829025, train_acc 0.503333, valid_loss 0.0028555795, valid_ic -0.005540, valid_icir -0.074945, valid_ric 0.013147, valid_ricir 0.123104, valid_prec@10 0.546914, valid_prec@30 0.538683, valid_mae 0.023113, valid_rmse 0.062533, valid_mape 173.001236, valid_acc 0.666667, test_loss 0.003282, ic 0.012655, icir 0.140174, ric 0.019044, ricir 0.160777, prec@10 0.526749, prec@30 0.537723, test_mae 0.020924, test_rmse 0.051288, test_mape 1888.393555, test_acc 0.600000
Epoch 21, train_loss 0.001432, train_ic 0.003502, train_icir 0.037465, train_ric -0.012305, train_ricir -0.119382, train_mae 0.021515, train_rmse 0.028516, train_mape 326.096222, train_acc 0.530000, valid_loss 0.0028158778, valid_ic -0.007253, valid_icir -0.102473, valid_ric -0.015528, valid_ricir -0.162773, valid_prec@10 0.505350, valid_prec@30 0.495885, valid_mae 0.022374, valid_rmse 0.061638, valid_mape 195.840576, valid_acc 0.700000, test_loss 0.003235, ic 0.009062, icir 0.107018, ric -0.006741, ricir -0.079781, prec@10 0.493004, prec@30 0.502881, test_mae 0.021033, test_rmse 0.049814, test_mape 1897.964233, test_acc 0.640000
Epoch 22, train_loss 0.001381, train_ic 0.025837, train_icir 0.272269, train_ric 0.011600, train_ricir 0.114753, train_mae 0.024290, train_rmse 0.034278, train_mape 151.580719, train_acc 0.473333, valid_loss 0.0029216343, valid_ic -0.005955, valid_icir -0.078670, valid_ric 0.008892, valid_ricir 0.114838, valid_prec@10 0.549383, valid_prec@30 0.535391, valid_mae 0.030401, valid_rmse 0.064382, valid_mape 267.113800, valid_acc 0.256667, test_loss 0.003185, ic 0.013798, icir 0.156361, ric 0.014910, ricir 0.176301, prec@10 0.556379, prec@30 0.540466, test_mae 0.026797, test_rmse 0.052098, test_mape 1909.665283, test_acc 0.303333
