Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 32, train_loss 0.001309, train_ic 0.023745, train_icir 0.301473, train_ric 0.050754, train_ricir 0.449403, train_mae 0.018094, train_rmse 0.026782, train_mape 162.108261, train_acc 0.365206, valid_loss 0.0011459790, valid_ic 0.001176, valid_icir 0.034223, valid_ric 0.025253, valid_ricir 0.310632, valid_prec@10 0.572131, valid_prec@30 0.566803, valid_mae 0.013991, valid_rmse 0.031086, valid_mape 150.417938, valid_acc 0.590527, test_loss 0.002226, ic -0.005312, icir -0.123175, ric 0.018338, ricir 0.203571, prec@10 0.551029, prec@30 0.551303, test_mae 0.021073, test_rmse 0.055738, test_mape 221.279877, test_acc 0.638336
Epoch 33, train_loss 0.001346, train_ic 0.039082, train_icir 0.427210, train_ric 0.016546, train_ricir 0.142813, train_mae 0.021371, train_rmse 0.032492, train_mape 163.911209, train_acc 0.283754, valid_loss 0.0011394091, valid_ic 0.006258, valid_icir 0.185937, valid_ric -0.005389, valid_ricir -0.085612, valid_prec@10 0.570902, valid_prec@30 0.561066, valid_mae 0.015094, valid_rmse 0.031429, valid_mape 166.696747, valid_acc 0.423196, test_loss 0.002180, ic 0.000563, icir 0.013467, ric 0.003623, ricir 0.048371, prec@10 0.556790, prec@30 0.550754, test_mae 0.023396, test_rmse 0.056194, test_mape 239.955017, test_acc 0.386012
Epoch 34, train_loss 0.001310, train_ic 0.044470, train_icir 0.462202, train_ric -0.012975, train_ricir -0.103020, train_mae 0.015809, train_rmse 0.025404, train_mape 128.461304, train_acc 0.683046, valid_loss 0.0011520489, valid_ic 0.005253, valid_icir 0.125398, valid_ric -0.038433, valid_ricir -0.462260, valid_prec@10 0.566803, valid_prec@30 0.537022, valid_mae 0.016321, valid_rmse 0.031773, valid_mape 189.855911, valid_acc 0.333776, test_loss 0.002161, ic 0.003464, icir 0.075402, ric -0.018065, ricir -0.197405, prec@10 0.575309, prec@30 0.551715, test_mae 0.026242, test_rmse 0.056748, test_mape 278.569275, test_acc 0.241257
Epoch 35, train_loss 0.001327, train_ic 0.020035, train_icir 0.237257, train_ric 0.046824, train_ricir 0.424642, train_mae 0.024001, train_rmse 0.030392, train_mape 8205.193359, train_acc 0.183710, valid_loss 0.0011393880, valid_ic 0.001641, valid_icir 0.051106, valid_ric 0.020108, valid_ricir 0.273359, valid_prec@10 0.520492, valid_prec@30 0.528552, valid_mae 0.014691, valid_rmse 0.030268, valid_mape 208.344147, valid_acc 0.606906, test_loss 0.002132, ic -0.003394, icir -0.079905, ric 0.020093, ricir 0.220123, prec@10 0.525103, prec@30 0.536351, test_mae 0.021007, test_rmse 0.053832, test_mape 242.528015, test_acc 0.670651
Epoch 36, train_loss 0.001276, train_ic 0.018049, train_icir 0.220976, train_ric -0.012615, train_ricir -0.120921, train_mae 0.018247, train_rmse 0.028459, train_mape 15161.301758, train_acc 0.616202, valid_loss 0.0014419832, valid_ic 0.005624, valid_icir 0.173683, valid_ric -0.014180, valid_ricir -0.195261, valid_prec@10 0.561066, valid_prec@30 0.549727, valid_mae 0.024997, valid_rmse 0.037192, valid_mape 389.775787, valid_acc 0.328907, test_loss 0.002389, ic 0.001599, icir 0.042921, ric -0.008468, ricir -0.101211, prec@10 0.584362, prec@30 0.543347, test_mae 0.035388, test_rmse 0.060603, test_mape 418.833832, test_acc 0.225321
Epoch 37, train_loss 0.001325, train_ic 0.021138, train_icir 0.253593, train_ric 0.015495, train_ricir 0.140276, train_mae 0.018062, train_rmse 0.030357, train_mape 164.085388, train_acc 0.555998, valid_loss 0.0011223670, valid_ic 0.002489, valid_icir 0.072851, valid_ric -0.000698, valid_ricir -0.008006, valid_prec@10 0.542623, valid_prec@30 0.530738, valid_mae 0.014900, valid_rmse 0.030068, valid_mape 208.522888, valid_acc 0.562638, test_loss 0.002078, ic -0.000715, icir -0.018028, ric -0.000420, ricir -0.003587, prec@10 0.553909, prec@30 0.536488, test_mae 0.020005, test_rmse 0.052674, test_mape 234.261322, test_acc 0.678619
Epoch 38, train_loss 0.001292, train_ic 0.021826, train_icir 0.249773, train_ric 0.014193, train_ricir 0.124957, train_mae 0.011960, train_rmse 0.023495, train_mape 130.822372, train_acc 0.506419, valid_loss 0.0011093578, valid_ic 0.001369, valid_icir 0.035205, valid_ric 0.002602, valid_ricir 0.034477, valid_prec@10 0.574590, valid_prec@30 0.555738, valid_mae 0.015579, valid_rmse 0.031129, valid_mape 176.255280, valid_acc 0.388668, test_loss 0.002068, ic -0.004733, icir -0.100418, ric -0.001087, ricir -0.010844, prec@10 0.572428, prec@30 0.553772, test_mae 0.024869, test_rmse 0.054878, test_mape 254.544189, test_acc 0.307658
Epoch 39, train_loss 0.001275, train_ic 0.017003, train_icir 0.262688, train_ric 0.028636, train_ricir 0.336599, train_mae 0.045224, train_rmse 0.052646, train_mape 177.511215, train_acc 0.225764, valid_loss 0.0013581728, valid_ic 0.001706, valid_icir 0.057928, valid_ric 0.017321, valid_ricir 0.296607, valid_prec@10 0.566803, valid_prec@30 0.537568, valid_mae 0.020075, valid_rmse 0.031849, valid_mape 390.885986, valid_acc 0.604250, test_loss 0.002278, ic -0.004729, icir -0.119816, ric 0.009995, ricir 0.144903, prec@10 0.554321, prec@30 0.532510, test_mae 0.022203, test_rmse 0.051828, test_mape 341.456665, test_acc 0.714475
Epoch 40, train_loss 0.001283, train_ic 0.037575, train_icir 0.428491, train_ric 0.022263, train_ricir 0.214351, train_mae 0.054938, train_rmse 0.061610, train_mape 284.484589, train_acc 0.098274, valid_loss 0.0014742998, valid_ic 0.006843, valid_icir 0.215980, valid_ric -0.001916, valid_ricir -0.033223, valid_prec@10 0.562295, valid_prec@30 0.527186, valid_mae 0.021537, valid_rmse 0.032747, valid_mape 447.886566, valid_acc 0.604250, test_loss 0.002347, ic 0.001885, icir 0.048366, ric 0.001729, ricir 0.024189, prec@10 0.563786, prec@30 0.539781, test_mae 0.023553, test_rmse 0.051835, test_mape 385.788788, test_acc 0.714918
Epoch 41, train_loss 0.001267, train_ic 0.038241, train_icir 0.367992, train_ric 0.018286, train_ricir 0.141533, train_mae 0.019470, train_rmse 0.028342, train_mape 226.416611, train_acc 0.308986, valid_loss 0.0011413744, valid_ic 0.004336, valid_icir 0.091794, valid_ric -0.014264, valid_ricir -0.149469, valid_prec@10 0.565574, valid_prec@30 0.553552, valid_mae 0.015489, valid_rmse 0.029519, valid_mape 236.909363, valid_acc 0.594511, test_loss 0.002022, ic 0.000283, icir 0.005471, ric 0.002473, ricir 0.021872, prec@10 0.562551, prec@30 0.556379, test_mae 0.021366, test_rmse 0.051303, test_mape 261.683228, test_acc 0.660027
Epoch 42, train_loss 0.001217, train_ic 0.026539, train_icir 0.289174, train_ric 0.009888, train_ricir 0.083524, train_mae 0.016716, train_rmse 0.028148, train_mape 2931.968994, train_acc 0.400177, valid_loss 0.0010473930, valid_ic 0.007898, valid_icir 0.256834, valid_ric 0.003896, valid_ricir 0.042829, valid_prec@10 0.542213, valid_prec@30 0.534426, valid_mae 0.014902, valid_rmse 0.029389, valid_mape 167.770325, valid_acc 0.393537, test_loss 0.001894, ic 0.003306, icir 0.094941, ric 0.010005, ricir 0.082329, prec@10 0.558025, prec@30 0.541564, test_mae 0.020470, test_rmse 0.050659, test_mape 218.097931, test_acc 0.520584
Epoch 43, train_loss 0.001278, train_ic 0.027430, train_icir 0.328193, train_ric 0.021150, train_ricir 0.202879, train_mae 0.012620, train_rmse 0.022154, train_mape 106.005669, train_acc 0.762727, valid_loss 0.0010485397, valid_ic 0.003287, valid_icir 0.084898, valid_ric -0.002007, valid_ricir -0.028757, valid_prec@10 0.556148, valid_prec@30 0.511475, valid_mae 0.013792, valid_rmse 0.028400, valid_mape 168.495667, valid_acc 0.594954, test_loss 0.001894, ic -0.002623, icir -0.060122, ric 0.000362, ricir 0.004425, prec@10 0.550206, prec@30 0.520027, test_mae 0.020005, test_rmse 0.050189, test_mape 207.139557, test_acc 0.650288
Epoch 44, train_loss 0.001254, train_ic 0.032549, train_icir 0.376082, train_ric 0.064194, train_ricir 0.530899, train_mae 0.022404, train_rmse 0.026439, train_mape 246.374603, train_acc 0.230190, valid_loss 0.0011622420, valid_ic 0.003845, valid_icir 0.110643, valid_ric 0.034238, valid_ricir 0.357735, valid_prec@10 0.535656, valid_prec@30 0.533743, valid_mae 0.016341, valid_rmse 0.029064, valid_mape 278.340973, valid_acc 0.605135, test_loss 0.001993, ic -0.002563, icir -0.063522, ric 0.028073, ricir 0.272381, prec@10 0.528395, prec@30 0.525377, test_mae 0.020284, test_rmse 0.049207, test_mape 275.196228, test_acc 0.706507
Epoch 45, train_loss 0.001248, train_ic 0.014000, train_icir 0.141038, train_ric 0.023990, train_ricir 0.193436, train_mae 0.018180, train_rmse 0.023637, train_mape 361.667145, train_acc 0.801682, valid_loss 0.0016702382, valid_ic -0.001803, valid_icir -0.035597, valid_ric 0.002271, valid_ricir 0.023939, valid_prec@10 0.553279, valid_prec@30 0.537568, valid_mae 0.025787, valid_rmse 0.035467, valid_mape 515.906128, valid_acc 0.605578, test_loss 0.002500, ic -0.008141, icir -0.141991, ric -0.002389, ricir -0.018955, prec@10 0.557613, prec@30 0.539643, test_mae 0.026918, test_rmse 0.051856, test_mape 411.821411, test_acc 0.700753
Epoch 46, train_loss 0.001257, train_ic 0.033524, train_icir 0.365849, train_ric 0.022295, train_ricir 0.195413, train_mae 0.016361, train_rmse 0.025284, train_mape 174.244385, train_acc 0.563524, valid_loss 0.0011063438, valid_ic 0.004282, valid_icir 0.106855, valid_ric -0.007559, valid_ricir -0.102958, valid_prec@10 0.486066, valid_prec@30 0.500546, valid_mae 0.016432, valid_rmse 0.029884, valid_mape 204.358093, valid_acc 0.409473, test_loss 0.001889, ic 0.004669, icir 0.107684, ric 0.003619, ricir 0.040114, prec@10 0.523868, prec@30 0.521536, test_mae 0.026414, test_rmse 0.052160, test_mape 284.283539, test_acc 0.301018
Epoch 47, train_loss 0.001235, train_ic 0.037737, train_icir 0.385758, train_ric 0.026283, train_ricir 0.209015, train_mae 0.016772, train_rmse 0.020782, train_mape 394.107758, train_acc 0.414343, valid_loss 0.0011133143, valid_ic 0.007959, valid_icir 0.250908, valid_ric 0.002032, valid_ricir 0.024368, valid_prec@10 0.540164, valid_prec@30 0.527322, valid_mae 0.015592, valid_rmse 0.028420, valid_mape 267.845673, valid_acc 0.597610, test_loss 0.001895, ic 0.005270, icir 0.143604, ric 0.012500, ricir 0.113803, prec@10 0.548971, prec@30 0.533608, test_mae 0.019284, test_rmse 0.047767, test_mape 265.844238, test_acc 0.698539
Epoch 48, train_loss 0.001263, train_ic 0.031208, train_icir 0.338176, train_ric 0.040415, train_ricir 0.388673, train_mae 0.018160, train_rmse 0.024239, train_mape 310.932770, train_acc 0.420097, valid_loss 0.0011942119, valid_ic 0.002147, valid_icir 0.047381, valid_ric 0.004629, valid_ricir 0.063719, valid_prec@10 0.552049, valid_prec@30 0.522131, valid_mae 0.017738, valid_rmse 0.029453, valid_mape 319.477020, valid_acc 0.600266, test_loss 0.001954, ic -0.001374, icir -0.028656, ric 0.012232, ricir 0.149866, prec@10 0.558436, prec@30 0.533745, test_mae 0.021474, test_rmse 0.048408, test_mape 284.510223, test_acc 0.661797
Epoch 49, train_loss 0.001262, train_ic 0.043791, train_icir 0.449928, train_ric 0.029811, train_ricir 0.252070, train_mae 0.032412, train_rmse 0.035999, train_mape 720.005066, train_acc 0.409473, valid_loss 0.0019787279, valid_ic 0.005081, valid_icir 0.108837, valid_ric -0.004811, valid_ricir -0.051108, valid_prec@10 0.589344, valid_prec@30 0.581831, valid_mae 0.031050, valid_rmse 0.039256, valid_mape 651.974915, valid_acc 0.606463, test_loss 0.002784, ic 0.001250, icir 0.026394, ric 0.006715, ricir 0.059121, prec@10 0.571605, prec@30 0.551989, test_mae 0.030083, test_rmse 0.052206, test_mape 501.318878, test_acc 0.717131
Epoch 50, train_loss 0.001241, train_ic 0.040844, train_icir 0.452151, train_ric 0.047272, train_ricir 0.429098, train_mae 0.032442, train_rmse 0.041706, train_mape 173.686050, train_acc 0.327579, valid_loss 0.0011231243, valid_ic 0.006407, valid_icir 0.166121, valid_ric 0.011691, valid_ricir 0.149593, valid_prec@10 0.560656, valid_prec@30 0.525820, valid_mae 0.016085, valid_rmse 0.028042, valid_mape 269.164978, valid_acc 0.598052, test_loss 0.001858, ic 0.000413, icir 0.009969, ric 0.014337, ricir 0.173744, prec@10 0.549383, prec@30 0.534294, test_mae 0.020233, test_rmse 0.047039, test_mape 263.234650, test_acc 0.697211
Epoch 51, train_loss 0.001227, train_ic 0.044760, train_icir 0.578922, train_ric 0.021742, train_ricir 0.231484, train_mae 0.012988, train_rmse 0.018799, train_mape 118.719734, train_acc 0.691014, valid_loss 0.0010505234, valid_ic 0.005698, valid_icir 0.177357, valid_ric -0.011274, valid_ricir -0.192788, valid_prec@10 0.555738, valid_prec@30 0.537568, valid_mae 0.016871, valid_rmse 0.029605, valid_mape 206.819702, valid_acc 0.328464, test_loss 0.001777, ic 0.003039, icir 0.083417, ric 0.003767, ricir 0.056290, prec@10 0.551440, prec@30 0.544307, test_mae 0.025917, test_rmse 0.050198, test_mape 264.943756, test_acc 0.231961
Epoch 52, train_loss 0.001195, train_ic 0.035460, train_icir 0.432074, train_ric 0.042512, train_ricir 0.410686, train_mae 0.011520, train_rmse 0.018991, train_mape 170.856934, train_acc 0.455954, valid_loss 0.0010115156, valid_ic 0.003195, valid_icir 0.082402, valid_ric 0.014561, valid_ricir 0.178375, valid_prec@10 0.563115, valid_prec@30 0.530191, valid_mae 0.015353, valid_rmse 0.028954, valid_mape 177.071732, valid_acc 0.333776, test_loss 0.001753, ic -0.003148, icir -0.070171, ric 0.008200, ricir 0.086535, prec@10 0.572428, prec@30 0.539643, test_mae 0.023312, test_rmse 0.049110, test_mape 222.819870, test_acc 0.290394
Epoch 53, train_loss 0.001225, train_ic 0.044072, train_icir 0.477981, train_ric 0.048191, train_ricir 0.421602, train_mae 0.013936, train_rmse 0.021889, train_mape 206.097000, train_acc 0.649845, valid_loss 0.0011127390, valid_ic 0.004535, valid_icir 0.112418, valid_ric 0.008164, valid_ricir 0.090740, valid_prec@10 0.541803, valid_prec@30 0.538798, valid_mae 0.016452, valid_rmse 0.027881, valid_mape 276.075897, valid_acc 0.604250, test_loss 0.001814, ic 0.001705, icir 0.041695, ric 0.017756, ricir 0.180636, prec@10 0.552675, prec@30 0.540878, test_mae 0.020562, test_rmse 0.046318, test_mape 260.041443, test_acc 0.695883
Epoch 54, train_loss 0.001222, train_ic 0.028317, train_icir 0.297366, train_ric -0.002112, train_ricir -0.018122, train_mae 0.012697, train_rmse 0.019475, train_mape 161.380753, train_acc 0.397078, valid_loss 0.0009951726, valid_ic 0.008127, valid_icir 0.241480, valid_ric -0.008221, valid_ricir -0.100386, valid_prec@10 0.569262, valid_prec@30 0.544399, valid_mae 0.014751, valid_rmse 0.027589, valid_mape 167.665955, valid_acc 0.474104, test_loss 0.001694, ic 0.004711, icir 0.122964, ric -0.004056, ricir -0.038667, prec@10 0.577778, prec@30 0.540741, test_mae 0.020540, test_rmse 0.046723, test_mape 208.243988, test_acc 0.563966
Epoch 55, train_loss 0.001200, train_ic 0.032225, train_icir 0.352726, train_ric 0.025702, train_ricir 0.223153, train_mae 0.014176, train_rmse 0.021034, train_mape 154.560547, train_acc 0.379814, valid_loss 0.0010148816, valid_ic 0.009066, valid_icir 0.309638, valid_ric 0.021017, valid_ricir 0.254823, valid_prec@10 0.538525, valid_prec@30 0.527322, valid_mae 0.016345, valid_rmse 0.028931, valid_mape 195.684402, valid_acc 0.371403, test_loss 0.001691, ic 0.002824, icir 0.081304, ric 0.016293, ricir 0.150164, prec@10 0.557202, prec@30 0.528669, test_mae 0.022281, test_rmse 0.047413, test_mape 218.481750, test_acc 0.413457
Epoch 56, train_loss 0.001190, train_ic 0.043510, train_icir 0.496696, train_ric 0.047724, train_ricir 0.440438, train_mae 0.021782, train_rmse 0.027796, train_mape 197.798889, train_acc 0.231518, valid_loss 0.0010329997, valid_ic 0.007233, valid_icir 0.214748, valid_ric 0.012676, valid_ricir 0.167015, valid_prec@10 0.539344, valid_prec@30 0.540984, valid_mae 0.014465, valid_rmse 0.027038, valid_mape 217.759567, valid_acc 0.600708, test_loss 0.001721, ic 0.003008, icir 0.082013, ric 0.021623, ricir 0.266447, prec@10 0.556379, prec@30 0.540604, test_mae 0.019285, test_rmse 0.045116, test_mape 229.512360, test_acc 0.698097
Epoch 57, train_loss 0.001223, train_ic 0.046302, train_icir 0.525207, train_ric 0.003602, train_ricir 0.032527, train_mae 0.017891, train_rmse 0.022657, train_mape 155.195755, train_acc 0.230190, valid_loss 0.0009649919, valid_ic 0.009683, valid_icir 0.292284, valid_ric -0.018191, valid_ricir -0.259077, valid_prec@10 0.588525, valid_prec@30 0.558880, valid_mae 0.013516, valid_rmse 0.026430, valid_mape 154.023819, valid_acc 0.550686, test_loss 0.001630, ic 0.007676, icir 0.214085, ric -0.002999, ricir -0.035900, prec@10 0.583539, prec@30 0.557476, test_mae 0.019285, test_rmse 0.045165, test_mape 186.240692, test_acc 0.657813
Epoch 58, train_loss 0.001197, train_ic 0.037339, train_icir 0.487859, train_ric 0.046619, train_ricir 0.497916, train_mae 0.041017, train_rmse 0.051235, train_mape 153.010880, train_acc 0.138557, valid_loss 0.0010283163, valid_ic 0.007880, valid_icir 0.255933, valid_ric 0.027425, valid_ricir 0.394506, valid_prec@10 0.557377, valid_prec@30 0.547268, valid_mae 0.017510, valid_rmse 0.029756, valid_mape 233.692047, valid_acc 0.331120, test_loss 0.001668, ic 0.001512, icir 0.046051, ric 0.024275, ricir 0.337565, prec@10 0.545679, prec@30 0.531550, test_mae 0.024207, test_rmse 0.047771, test_mape 237.975220, test_acc 0.261178
Epoch 59, train_loss 0.001213, train_ic 0.055594, train_icir 0.593713, train_ric 0.046577, train_ricir 0.400703, train_mae 0.051605, train_rmse 0.061540, train_mape 154.151184, train_acc 0.204958, valid_loss 0.0009770122, valid_ic 0.010157, valid_icir 0.267152, valid_ric 0.010116, valid_ricir 0.115845, valid_prec@10 0.550410, valid_prec@30 0.537432, valid_mae 0.013264, valid_rmse 0.026051, valid_mape 161.800308, valid_acc 0.602479, test_loss 0.001618, ic 0.005046, icir 0.130167, ric 0.019079, ricir 0.206879, prec@10 0.551440, prec@30 0.550343, test_mae 0.018531, test_rmse 0.044240, test_mape 191.791809, test_acc 0.680832
Epoch 60, train_loss 0.001218, train_ic 0.038409, train_icir 0.455002, train_ric 0.032483, train_ricir 0.304529, train_mae 0.011440, train_rmse 0.016423, train_mape 197.768021, train_acc 0.479416, valid_loss 0.0009758013, valid_ic 0.004826, valid_icir 0.166543, valid_ric -0.001470, valid_ricir -0.023048, valid_prec@10 0.541393, valid_prec@30 0.527049, valid_mae 0.013692, valid_rmse 0.026259, valid_mape 187.526947, valid_acc 0.601594, test_loss 0.001611, ic 0.004018, icir 0.116738, ric 0.008854, ricir 0.108226, prec@10 0.550206, prec@30 0.527298, test_mae 0.019556, test_rmse 0.044203, test_mape 195.714203, test_acc 0.612218
Epoch 61, train_loss 0.001177, train_ic 0.027454, train_icir 0.323031, train_ric -0.008418, train_ricir -0.076393, train_mae 0.021670, train_rmse 0.030237, train_mape 263.224121, train_acc 0.539177, valid_loss 0.0013326963, valid_ic 0.007569, valid_icir 0.228883, valid_ric -0.012369, valid_ricir -0.190240, valid_prec@10 0.574590, valid_prec@30 0.573497, valid_mae 0.023753, valid_rmse 0.034759, valid_mape 363.973938, valid_acc 0.347499, test_loss 0.002029, ic 0.004024, icir 0.113365, ric -0.004889, ricir -0.073921, prec@10 0.548560, prec@30 0.547462, test_mae 0.032272, test_rmse 0.051603, test_mape 358.036377, test_acc 0.232846
Epoch 62, train_loss 0.001175, train_ic 0.033932, train_icir 0.388922, train_ric 0.045304, train_ricir 0.414513, train_mae 0.010725, train_rmse 0.015984, train_mape 169.358490, train_acc 0.477645, valid_loss 0.0009600105, valid_ic 0.007087, valid_icir 0.236398, valid_ric 0.026051, valid_ricir 0.327039, valid_prec@10 0.554918, valid_prec@30 0.543169, valid_mae 0.013698, valid_rmse 0.026407, valid_mape 160.927750, valid_acc 0.548915, test_loss 0.001583, ic 0.002478, icir 0.071102, ric 0.017536, ricir 0.156879, prec@10 0.568724, prec@30 0.541975, test_mae 0.018731, test_rmse 0.043753, test_mape 186.172958, test_acc 0.667109
Epoch 63, train_loss 0.001202, train_ic 0.006114, train_icir 0.082324, train_ric 0.020735, train_ricir 0.229952, train_mae 0.013876, train_rmse 0.023223, train_mape 264.383209, train_acc 0.525454, valid_loss 0.0010642932, valid_ic 0.001444, valid_icir 0.054295, valid_ric 0.016082, valid_ricir 0.311073, valid_prec@10 0.534426, valid_prec@30 0.536612, valid_mae 0.018331, valid_rmse 0.030041, valid_mape 248.000763, valid_acc 0.328021, test_loss 0.001692, ic -0.002269, icir -0.068400, ric 0.008360, ricir 0.121100, prec@10 0.542798, prec@30 0.527572, test_mae 0.026842, test_rmse 0.047900, test_mape 274.814667, test_acc 0.243471
Epoch 64, train_loss 0.001192, train_ic 0.024477, train_icir 0.284901, train_ric 0.026398, train_ricir 0.246642, train_mae 0.011056, train_rmse 0.016557, train_mape 240.312057, train_acc 0.498451, valid_loss 0.0009635458, valid_ic 0.008744, valid_icir 0.277410, valid_ric 0.017694, valid_ricir 0.215502, valid_prec@10 0.542623, valid_prec@30 0.538934, valid_mae 0.013944, valid_rmse 0.026279, valid_mape 176.263474, valid_acc 0.519699, test_loss 0.001578, ic 0.003391, icir 0.095785, ric 0.008806, ricir 0.077430, prec@10 0.557202, prec@30 0.534568, test_mae 0.018670, test_rmse 0.043196, test_mape 190.310181, test_acc 0.649402
Epoch 65, train_loss 0.001184, train_ic 0.026636, train_icir 0.305039, train_ric 0.053794, train_ricir 0.482977, train_mae 0.052083, train_rmse 0.069618, train_mape 129.967194, train_acc 0.222665, valid_loss 0.0010347223, valid_ic 0.005920, valid_icir 0.163650, valid_ric 0.034853, valid_ricir 0.412470, valid_prec@10 0.549590, valid_prec@30 0.553962, valid_mae 0.017439, valid_rmse 0.029483, valid_mape 234.651901, valid_acc 0.340416, test_loss 0.001629, ic -0.000817, icir -0.020560, ric 0.028538, ricir 0.305991, prec@10 0.542798, prec@30 0.538546, test_mae 0.024055, test_rmse 0.046220, test_mape 228.657990, test_acc 0.293935
Epoch 66, train_loss 0.001191, train_ic 0.023554, train_icir 0.226143, train_ric -0.021521, train_ricir -0.171129, train_mae 0.022040, train_rmse 0.028693, train_mape 11803.879883, train_acc 0.576804, valid_loss 0.0016849916, valid_ic 0.007816, valid_icir 0.161030, valid_ric -0.023249, valid_ricir -0.252815, valid_prec@10 0.573770, valid_prec@30 0.538388, valid_mae 0.031992, valid_rmse 0.040438, valid_mape 539.898254, valid_acc 0.325808, test_loss 0.002275, ic 0.009527, icir 0.178062, ric -0.012786, ricir -0.122739, prec@10 0.585185, prec@30 0.540604, test_mae 0.041745, test_rmse 0.057058, test_mape 496.353516, test_acc 0.213811
Epoch 67, train_loss 0.001215, train_ic 0.035957, train_icir 0.414745, train_ric 0.029201, train_ricir 0.285057, train_mae 0.014380, train_rmse 0.022365, train_mape 186.904663, train_acc 0.370961, valid_loss 0.0009687222, valid_ic 0.006853, valid_icir 0.233104, valid_ric 0.010017, valid_ricir 0.139728, valid_prec@10 0.561885, valid_prec@30 0.542213, valid_mae 0.013671, valid_rmse 0.025801, valid_mape 179.868484, valid_acc 0.547587, test_loss 0.001549, ic 0.004092, icir 0.122733, ric 0.008209, ricir 0.080451, prec@10 0.561728, prec@30 0.539781, test_mae 0.018027, test_rmse 0.042330, test_mape 189.575775, test_acc 0.675963
Epoch 68, train_loss 0.001197, train_ic 0.047523, train_icir 0.546558, train_ric 0.037737, train_ricir 0.389618, train_mae 0.014262, train_rmse 0.024235, train_mape 172.289139, train_acc 0.346171, valid_loss 0.0009607489, valid_ic 0.007489, valid_icir 0.195639, valid_ric 0.008446, valid_ricir 0.112367, valid_prec@10 0.583197, valid_prec@30 0.570082, valid_mae 0.014658, valid_rmse 0.027182, valid_mape 164.559067, valid_acc 0.425852, test_loss 0.001540, ic 0.002177, icir 0.054962, ric 0.011661, ricir 0.137516, prec@10 0.571193, prec@30 0.556241, test_mae 0.021885, test_rmse 0.044202, test_mape 198.350693, test_acc 0.378043
Epoch 69, train_loss 0.001183, train_ic 0.036482, train_icir 0.356017, train_ric 0.022110, train_ricir 0.183799, train_mae 0.014603, train_rmse 0.021705, train_mape 154.042007, train_acc 0.470120, valid_loss 0.0009828544, valid_ic 0.004739, valid_icir 0.095479, valid_ric -0.000792, valid_ricir -0.008272, valid_prec@10 0.569672, valid_prec@30 0.553142, valid_mae 0.014189, valid_rmse 0.026124, valid_mape 177.887253, valid_acc 0.583887, test_loss 0.001572, ic 0.000354, icir 0.007209, ric 0.002554, ricir 0.020569, prec@10 0.568724, prec@30 0.549246, test_mae 0.020560, test_rmse 0.043174, test_mape 197.411835, test_acc 0.570164
Epoch 70, train_loss 0.001176, train_ic 0.036820, train_icir 0.442419, train_ric 0.022777, train_ricir 0.240623, train_mae 0.016868, train_rmse 0.025416, train_mape 151.046249, train_acc 0.346614, valid_loss 0.0009514724, valid_ic 0.006303, valid_icir 0.216321, valid_ric -0.003544, valid_ricir -0.072892, valid_prec@10 0.558197, valid_prec@30 0.531148, valid_mae 0.013945, valid_rmse 0.025866, valid_mape 186.330215, valid_acc 0.536078, test_loss 0.001520, ic 0.004199, icir 0.123185, ric 0.001525, ricir 0.027565, prec@10 0.562140, prec@30 0.544993, test_mae 0.019378, test_rmse 0.042321, test_mape 188.450989, test_acc 0.591412
Epoch 71, train_loss 0.001157, train_ic 0.028087, train_icir 0.298367, train_ric -0.000255, train_ricir -0.002190, train_mae 0.011654, train_rmse 0.019490, train_mape 7973.246094, train_acc 0.447100, valid_loss 0.0009632611, valid_ic 0.008791, valid_icir 0.230929, valid_ric -0.003333, valid_ricir -0.038291, valid_prec@10 0.557787, valid_prec@30 0.537978, valid_mae 0.015610, valid_rmse 0.027160, valid_mape 185.492218, valid_acc 0.381142, test_loss 0.001526, ic 0.006272, icir 0.146388, ric -0.004682, ricir -0.040821, prec@10 0.570782, prec@30 0.537860, test_mae 0.021109, test_rmse 0.043243, test_mape 197.677856, test_acc 0.443116
Epoch 72, train_loss 0.001191, train_ic 0.035761, train_icir 0.373078, train_ric 0.051454, train_ricir 0.443541, train_mae 0.019251, train_rmse 0.025344, train_mape 158.033920, train_acc 0.393537, valid_loss 0.0009902986, valid_ic 0.003507, valid_icir 0.067380, valid_ric 0.021115, valid_ricir 0.214890, valid_prec@10 0.537295, valid_prec@30 0.548634, valid_mae 0.014387, valid_rmse 0.026750, valid_mape 178.292648, valid_acc 0.571049, test_loss 0.001580, ic -0.002535, icir -0.045574, ric 0.018797, ricir 0.165397, prec@10 0.535802, prec@30 0.532647, test_mae 0.021431, test_rmse 0.043975, test_mape 203.244492, test_acc 0.548473
