Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002146, train_ic 0.001269, train_icir 0.026573, train_ric -0.010438, train_ricir -0.137165, train_mae 0.016653, train_rmse 0.022912, train_mape 163.869781, train_acc 0.414343, valid_loss 0.0022515220, valid_ic -0.004583, valid_icir -0.109326, valid_ric -0.016159, valid_ricir -0.327625, valid_prec@10 0.499180, valid_prec@30 0.478279, valid_mae 0.017873, valid_rmse 0.051897, valid_mape 281.817413, valid_acc 0.505091, test_loss 0.005289, ic -0.009212, icir -0.168274, ric -0.016391, ricir -0.291778, prec@10 0.535391, prec@30 0.500412, test_mae 0.029979, test_rmse 0.088895, test_mape 355.204529, test_acc 0.478530
Epoch 13, train_loss 0.001953, train_ic 0.016926, train_icir 0.204701, train_ric 0.017893, train_ricir 0.140630, train_mae 0.020129, train_rmse 0.032035, train_mape 468.043884, train_acc 0.358566, valid_loss 0.0026155445, valid_ic -0.002295, valid_icir -0.041558, valid_ric -0.008112, valid_ricir -0.079998, valid_prec@10 0.573361, valid_prec@30 0.569126, valid_mae 0.026326, valid_rmse 0.053508, valid_mape 501.643738, valid_acc 0.602479, test_loss 0.005434, ic -0.008392, icir -0.126792, ric -0.000646, ricir -0.004828, prec@10 0.551440, prec@30 0.550069, test_mae 0.033931, test_rmse 0.086522, test_mape 479.175903, test_acc 0.675520
Epoch 14, train_loss 0.001891, train_ic 0.005885, train_icir 0.100716, train_ric 0.015537, train_ricir 0.163539, train_mae 0.029113, train_rmse 0.038492, train_mape 421.303955, train_acc 0.167331, valid_loss 0.0021489015, valid_ic -0.002028, valid_icir -0.059581, valid_ric 0.001373, valid_ricir 0.026028, valid_prec@10 0.538934, valid_prec@30 0.527322, valid_mae 0.025271, valid_rmse 0.050516, valid_mape 429.403168, valid_acc 0.338645, test_loss 0.004630, ic -0.007399, icir -0.161814, ric 0.003024, ricir 0.044795, prec@10 0.536626, prec@30 0.519616, test_mae 0.037456, test_rmse 0.084343, test_mape 460.828979, test_acc 0.254095
Epoch 15, train_loss 0.001762, train_ic 0.004483, train_icir 0.078949, train_ric -0.002949, train_ricir -0.031479, train_mae 0.021767, train_rmse 0.037620, train_mape 125.931786, train_acc 0.460823, valid_loss 0.0017632016, valid_ic -0.002171, valid_icir -0.060402, valid_ric -0.007410, valid_ricir -0.100871, valid_prec@10 0.534016, valid_prec@30 0.506831, valid_mae 0.017482, valid_rmse 0.044933, valid_mape 231.244064, valid_acc 0.353696, test_loss 0.004081, ic -0.007969, icir -0.166861, ric -0.012173, ricir -0.127132, prec@10 0.545267, prec@30 0.517147, test_mae 0.028411, test_rmse 0.078854, test_mape 314.762970, test_acc 0.359008
Epoch 16, train_loss 0.001732, train_ic 0.009358, train_icir 0.141433, train_ric 0.005393, train_ricir 0.051308, train_mae 0.017425, train_rmse 0.032738, train_mape 173.610611, train_acc 0.464807, valid_loss 0.0016981778, valid_ic 0.000037, valid_icir 0.001059, valid_ric -0.005281, valid_ricir -0.071805, valid_prec@10 0.538525, valid_prec@30 0.530055, valid_mae 0.017251, valid_rmse 0.043105, valid_mape 242.106003, valid_acc 0.466578, test_loss 0.003859, ic -0.004805, icir -0.109000, ric -0.001199, ricir -0.011828, prec@10 0.545679, prec@30 0.526475, test_mae 0.026159, test_rmse 0.075731, test_mape 311.843353, test_acc 0.598938
Epoch 17, train_loss 0.001648, train_ic 0.009131, train_icir 0.121456, train_ric -0.013359, train_ricir -0.131733, train_mae 0.019097, train_rmse 0.031885, train_mape 192.920425, train_acc 0.332448, valid_loss 0.0016930589, valid_ic -0.003374, valid_icir -0.073700, valid_ric -0.023018, valid_ricir -0.350353, valid_prec@10 0.504508, valid_prec@30 0.479918, valid_mae 0.017567, valid_rmse 0.041944, valid_mape 274.684784, valid_acc 0.526339, test_loss 0.003750, ic -0.007107, icir -0.129432, ric -0.018949, ricir -0.246986, prec@10 0.539918, prec@30 0.501920, test_mae 0.027845, test_rmse 0.074717, test_mape 333.568848, test_acc 0.503320
Epoch 18, train_loss 0.001592, train_ic 0.017107, train_icir 0.267604, train_ric -0.010201, train_ricir -0.095274, train_mae 0.016847, train_rmse 0.026502, train_mape 210.521179, train_acc 0.405932, valid_loss 0.0015405800, valid_ic 0.001510, valid_icir 0.044551, valid_ric -0.020103, valid_ricir -0.265843, valid_prec@10 0.562295, valid_prec@30 0.542350, valid_mae 0.015509, valid_rmse 0.039357, valid_mape 245.612579, valid_acc 0.583444, test_loss 0.003433, ic -0.003695, icir -0.085744, ric -0.008215, ricir -0.096878, prec@10 0.573663, prec@30 0.541975, test_mae 0.023000, test_rmse 0.070565, test_mape 288.125458, test_acc 0.677291
Epoch 19, train_loss 0.001513, train_ic 0.024597, train_icir 0.339438, train_ric -0.000594, train_ricir -0.005450, train_mae 0.013554, train_rmse 0.026962, train_mape 164.969009, train_acc 0.814520, valid_loss 0.0018374797, valid_ic 0.001130, valid_icir 0.034084, valid_ric -0.013225, valid_ricir -0.209927, valid_prec@10 0.560246, valid_prec@30 0.564208, valid_mae 0.026919, valid_rmse 0.044768, valid_mape 461.033447, valid_acc 0.334661, test_loss 0.003588, ic -0.005085, icir -0.111510, ric -0.001180, ricir -0.015910, prec@10 0.554733, prec@30 0.541015, test_mae 0.037935, test_rmse 0.074655, test_mape 468.524994, test_acc 0.216467
Epoch 20, train_loss 0.001510, train_ic 0.013426, train_icir 0.207904, train_ric 0.003496, train_ricir 0.041392, train_mae 0.015014, train_rmse 0.029692, train_mape 141.617554, train_acc 0.444002, valid_loss 0.0014755352, valid_ic 0.000713, valid_icir 0.020467, valid_ric -0.008732, valid_ricir -0.180377, valid_prec@10 0.532377, valid_prec@30 0.509699, valid_mae 0.017373, valid_rmse 0.038966, valid_mape 217.619034, valid_acc 0.462151, test_loss 0.003177, ic -0.005068, icir -0.108649, ric -0.007723, ricir -0.128743, prec@10 0.542798, prec@30 0.518930, test_mae 0.027147, test_rmse 0.069301, test_mape 300.458527, test_acc 0.471890
Epoch 21, train_loss 0.001489, train_ic 0.021175, train_icir 0.287054, train_ric 0.022905, train_ricir 0.216814, train_mae 0.020883, train_rmse 0.027112, train_mape 103.598381, train_acc 0.686144, valid_loss 0.0013859464, valid_ic 0.001271, valid_icir 0.038377, valid_ric -0.000926, valid_ricir -0.012565, valid_prec@10 0.549180, valid_prec@30 0.531967, valid_mae 0.014832, valid_rmse 0.036194, valid_mape 217.100937, valid_acc 0.591855, test_loss 0.002974, ic -0.004213, icir -0.096375, ric 0.003906, ricir 0.042708, prec@10 0.546914, prec@30 0.532373, test_mae 0.022004, test_rmse 0.065528, test_mape 265.884338, test_acc 0.664011
