Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002248, train_ic 0.006335, train_icir 0.100069, train_ric -0.023424, train_ricir -0.212979, train_mae 0.023888, train_rmse 0.038111, train_mape 321.719330, train_acc 0.402390, valid_loss 0.0027062835, valid_ic 0.000000, valid_icir 0.000009, valid_ric -0.024808, valid_ricir -0.300598, valid_prec@10 0.527869, valid_prec@30 0.491940, valid_mae 0.024894, valid_rmse 0.055665, valid_mape 514.274292, valid_acc 0.555998, test_loss 0.005862, ic -0.003162, icir -0.060885, ric -0.016141, ricir -0.165352, prec@10 0.551440, prec@30 0.510014, test_mae 0.031937, test_rmse 0.090340, test_mape 475.611603, test_acc 0.648960
Epoch 13, train_loss 0.002092, train_ic 0.009489, train_icir 0.154737, train_ric -0.026416, train_ricir -0.211036, train_mae 0.037197, train_rmse 0.050582, train_mape 844.345581, train_acc 0.467463, valid_loss 0.0036115779, valid_ic -0.000714, valid_icir -0.018473, valid_ric -0.025456, valid_ricir -0.286167, valid_prec@10 0.563525, valid_prec@30 0.533197, valid_mae 0.046035, valid_rmse 0.064810, valid_mape 866.901489, valid_acc 0.325365, test_loss 0.006345, ic -0.004091, icir -0.086951, ric -0.014739, ricir -0.148542, prec@10 0.571605, prec@30 0.531687, test_mae 0.060545, test_rmse 0.097757, test_mape 807.452087, test_acc 0.213369
Epoch 14, train_loss 0.001915, train_ic 0.010467, train_icir 0.187989, train_ric 0.015316, train_ricir 0.178575, train_mae 0.036888, train_rmse 0.048529, train_mape 385.022369, train_acc 0.275343, valid_loss 0.0024008093, valid_ic -0.003827, valid_icir -0.089385, valid_ric -0.013519, valid_ricir -0.233627, valid_prec@10 0.534426, valid_prec@30 0.517896, valid_mae 0.026437, valid_rmse 0.049827, valid_mape 574.341431, valid_acc 0.602036, test_loss 0.004904, ic -0.008958, icir -0.161612, ric -0.008819, ricir -0.131219, prec@10 0.533333, prec@30 0.519616, test_mae 0.031224, test_rmse 0.081738, test_mape 497.600159, test_acc 0.694555
Epoch 15, train_loss 0.001774, train_ic -0.000146, train_icir -0.002436, train_ric 0.004482, train_ricir 0.046178, train_mae 0.015838, train_rmse 0.028837, train_mape 131.378326, train_acc 0.461266, valid_loss 0.0017612989, valid_ic -0.003619, valid_icir -0.103878, valid_ric 0.002902, valid_ricir 0.043527, valid_prec@10 0.508197, valid_prec@30 0.509563, valid_mae 0.017426, valid_rmse 0.044817, valid_mape 242.780487, valid_acc 0.384241, test_loss 0.004072, ic -0.009080, icir -0.191816, ric -0.002395, ricir -0.026944, prec@10 0.510288, prec@30 0.517010, test_mae 0.027290, test_rmse 0.078361, test_mape 315.712341, test_acc 0.408145
Epoch 16, train_loss 0.001744, train_ic 0.006732, train_icir 0.111031, train_ric 0.022263, train_ricir 0.222541, train_mae 0.012629, train_rmse 0.030341, train_mape 140.381607, train_acc 0.613988, valid_loss 0.0016579442, valid_ic -0.001538, valid_icir -0.039991, valid_ric 0.009471, valid_ricir 0.112836, valid_prec@10 0.570082, valid_prec@30 0.550683, valid_mae 0.015688, valid_rmse 0.042285, valid_mape 218.793228, valid_acc 0.600708, test_loss 0.003813, ic -0.008824, icir -0.176421, ric 0.007473, ricir 0.075245, prec@10 0.560905, prec@30 0.545542, test_mae 0.024811, test_rmse 0.075163, test_mape 285.590118, test_acc 0.647632
Epoch 17, train_loss 0.001647, train_ic 0.020531, train_icir 0.324270, train_ric -0.000966, train_ricir -0.009364, train_mae 0.033140, train_rmse 0.040507, train_mape 81.913368, train_acc 0.891988, valid_loss 0.0016833331, valid_ic -0.000779, valid_icir -0.019985, valid_ric -0.024993, valid_ricir -0.336872, valid_prec@10 0.573770, valid_prec@30 0.522541, valid_mae 0.017713, valid_rmse 0.041074, valid_mape 319.828430, valid_acc 0.598495, test_loss 0.003683, ic -0.006210, icir -0.124179, ric -0.013314, ricir -0.155313, prec@10 0.576132, prec@30 0.537586, test_mae 0.024109, test_rmse 0.072375, test_mape 332.204132, test_acc 0.694998
Epoch 18, train_loss 0.001557, train_ic 0.011821, train_icir 0.136749, train_ric 0.020660, train_ricir 0.174767, train_mae 0.026755, train_rmse 0.035497, train_mape 120.703163, train_acc 0.602479, valid_loss 0.0015872501, valid_ic -0.004026, valid_icir -0.077583, valid_ric -0.008650, valid_ricir -0.090691, valid_prec@10 0.589754, valid_prec@30 0.564208, valid_mae 0.017118, valid_rmse 0.040572, valid_mape 260.701477, valid_acc 0.557769, test_loss 0.003493, ic -0.010411, icir -0.167638, ric -0.005481, ricir -0.043409, prec@10 0.562551, prec@30 0.552263, test_mae 0.027662, test_rmse 0.072156, test_mape 331.033722, test_acc 0.510846
Epoch 19, train_loss 0.001537, train_ic 0.008157, train_icir 0.090943, train_ric 0.018375, train_ricir 0.146501, train_mae 0.056125, train_rmse 0.062399, train_mape 535.045837, train_acc 0.114210, valid_loss 0.0030050792, valid_ic -0.003636, valid_icir -0.064400, valid_ric 0.003159, valid_ricir 0.030009, valid_prec@10 0.580328, valid_prec@30 0.547951, valid_mae 0.037834, valid_rmse 0.052208, valid_mape 782.217529, valid_acc 0.603807, test_loss 0.004804, ic -0.011378, icir -0.172505, ric -0.000767, ricir -0.005439, prec@10 0.557202, prec@30 0.541015, test_mae 0.039409, test_rmse 0.075249, test_mape 640.121765, test_acc 0.711819
Epoch 20, train_loss 0.001544, train_ic 0.026395, train_icir 0.354756, train_ric 0.001282, train_ricir 0.011449, train_mae 0.016851, train_rmse 0.032088, train_mape 7496.283203, train_acc 0.722886, valid_loss 0.0014254870, valid_ic 0.001357, valid_icir 0.040537, valid_ric -0.018208, valid_ricir -0.279547, valid_prec@10 0.570082, valid_prec@30 0.547541, valid_mae 0.015267, valid_rmse 0.036945, valid_mape 228.427536, valid_acc 0.603807, test_loss 0.003087, ic -0.004418, icir -0.098354, ric -0.004405, ricir -0.057021, prec@10 0.571605, prec@30 0.545679, test_mae 0.022175, test_rmse 0.066633, test_mape 275.405731, test_acc 0.690128
Epoch 21, train_loss 0.001497, train_ic 0.028275, train_icir 0.338586, train_ric 0.028928, train_ricir 0.237683, train_mae 0.027471, train_rmse 0.037050, train_mape 187.508575, train_acc 0.194776, valid_loss 0.0014411037, valid_ic 0.002077, valid_icir 0.050187, valid_ric 0.001615, valid_ricir 0.017456, valid_prec@10 0.567623, valid_prec@30 0.562158, valid_mae 0.015874, valid_rmse 0.036428, valid_mape 238.779190, valid_acc 0.598495, test_loss 0.003018, ic -0.004510, icir -0.087468, ric 0.011136, ricir 0.099635, prec@10 0.553086, prec@30 0.546365, test_mae 0.023206, test_rmse 0.065420, test_mape 294.064117, test_acc 0.675963
Epoch 22, train_loss 0.001447, train_ic 0.002867, train_icir 0.033124, train_ric 0.021148, train_ricir 0.190826, train_mae 0.020375, train_rmse 0.028804, train_mape 173.576385, train_acc 0.679947, valid_loss 0.0016792608, valid_ic -0.001427, valid_icir -0.038540, valid_ric 0.001481, valid_ricir 0.021864, valid_prec@10 0.497131, valid_prec@30 0.501366, valid_mae 0.021763, valid_rmse 0.038743, valid_mape 419.303619, valid_acc 0.544489, test_loss 0.003183, ic -0.004282, icir -0.096649, ric 0.000012, ricir 0.000130, prec@10 0.491358, prec@30 0.499451, test_mae 0.025739, test_rmse 0.065199, test_mape 389.828766, test_acc 0.663125
Epoch 23, train_loss 0.001429, train_ic 0.023591, train_icir 0.295070, train_ric 0.009410, train_ricir 0.084126, train_mae 0.017312, train_rmse 0.023429, train_mape 289.004486, train_acc 0.513502, valid_loss 0.0015619103, valid_ic 0.004698, valid_icir 0.150547, valid_ric 0.006027, valid_ricir 0.096720, valid_prec@10 0.569672, valid_prec@30 0.568169, valid_mae 0.023963, valid_rmse 0.040326, valid_mape 382.707001, valid_acc 0.340416, test_loss 0.002972, ic -0.003025, icir -0.070334, ric 0.008134, ricir 0.120515, prec@10 0.567490, prec@30 0.551578, test_mae 0.032418, test_rmse 0.067066, test_mape 377.155151, test_acc 0.232404
