Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002440, train_ic 0.008277, train_icir 0.147771, train_ric -0.019073, train_ricir -0.176735, train_mae 0.022575, train_rmse 0.037942, train_mape 297.774567, train_acc 0.404849, valid_loss 0.0028089157, valid_ic 0.001967, valid_icir 0.051916, valid_ric -0.016135, valid_ricir -0.211006, valid_prec@10 0.555328, valid_prec@30 0.509016, valid_mae 0.023844, valid_rmse 0.058692, valid_mape 438.370361, valid_acc 0.560837, test_loss 0.007223, ic -0.000626, icir -0.012031, ric -0.006568, ricir -0.077944, prec@10 0.559671, prec@30 0.521811, test_mae 0.034673, test_rmse 0.100129, test_mape 424.370239, test_acc 0.671390
Epoch 13, train_loss 0.002262, train_ic 0.010080, train_icir 0.180239, train_ric -0.025206, train_ricir -0.207013, train_mae 0.037436, train_rmse 0.050631, train_mape 861.968140, train_acc 0.510651, valid_loss 0.0037940760, valid_ic -0.003753, valid_icir -0.118748, valid_ric -0.025322, valid_ricir -0.297367, valid_prec@10 0.562295, valid_prec@30 0.538525, valid_mae 0.045804, valid_rmse 0.067158, valid_mape 860.597595, valid_acc 0.348724, test_loss 0.007513, ic -0.005925, icir -0.127451, ric -0.011713, ricir -0.131989, prec@10 0.544033, prec@30 0.536763, test_mae 0.064600, test_rmse 0.106226, test_mape 772.315063, test_acc 0.191648
Epoch 14, train_loss 0.002076, train_ic 0.010531, train_icir 0.197775, train_ric 0.022053, train_ricir 0.218258, train_mae 0.037377, train_rmse 0.049927, train_mape 398.429993, train_acc 0.281313, valid_loss 0.0025958588, valid_ic -0.004124, valid_icir -0.109606, valid_ric -0.007187, valid_ricir -0.113407, valid_prec@10 0.524180, valid_prec@30 0.512978, valid_mae 0.026979, valid_rmse 0.053640, valid_mape 563.780029, valid_acc 0.592341, test_loss 0.006007, ic -0.007037, icir -0.126247, ric -0.001290, ricir -0.017032, prec@10 0.513992, prec@30 0.517421, test_mae 0.032725, test_rmse 0.089750, test_mape 461.677917, test_acc 0.732041
Epoch 15, train_loss 0.001902, train_ic -0.000021, train_icir -0.000350, train_ric 0.009348, train_ricir 0.089976, train_mae 0.016950, train_rmse 0.033419, train_mape 242.904190, train_acc 0.466643, valid_loss 0.0019634407, valid_ic -0.005460, valid_icir -0.170231, valid_ric 0.011382, valid_ricir 0.149876, valid_prec@10 0.447951, valid_prec@30 0.469809, valid_mae 0.017583, valid_rmse 0.048607, valid_mape 220.746277, valid_acc 0.438892, test_loss 0.005077, ic -0.008732, icir -0.176854, ric 0.003043, ricir 0.032568, prec@10 0.434156, prec@30 0.451578, test_mae 0.029866, test_rmse 0.085978, test_mape 274.485443, test_acc 0.562267
Epoch 16, train_loss 0.001857, train_ic 0.004474, train_icir 0.079479, train_ric 0.015206, train_ricir 0.159431, train_mae 0.014676, train_rmse 0.031591, train_mape 148.904221, train_acc 0.638607, valid_loss 0.0018439254, valid_ic -0.004205, valid_icir -0.120930, valid_ric 0.004718, valid_ricir 0.065889, valid_prec@10 0.549180, valid_prec@30 0.561475, valid_mae 0.016417, valid_rmse 0.046296, valid_mape 209.450241, valid_acc 0.589897, test_loss 0.004709, ic -0.008611, icir -0.174606, ric -0.002421, ricir -0.031052, prec@10 0.508230, prec@30 0.534294, test_mae 0.027640, test_rmse 0.082169, test_mape 261.877350, test_acc 0.682824
Epoch 17, train_loss 0.001748, train_ic 0.017176, train_icir 0.316897, train_ric -0.000371, train_ricir -0.003779, train_mae 0.032725, train_rmse 0.042184, train_mape 76.574921, train_acc 0.895399, valid_loss 0.0018716067, valid_ic -0.002003, valid_icir -0.059364, valid_ric -0.017452, valid_ricir -0.282366, valid_prec@10 0.567623, valid_prec@30 0.518033, valid_mae 0.019255, valid_rmse 0.045452, valid_mape 337.591888, valid_acc 0.590440, test_loss 0.004507, ic -0.004932, icir -0.102545, ric -0.006977, ricir -0.099863, prec@10 0.557613, prec@30 0.529492, test_mae 0.026358, test_rmse 0.078770, test_mape 312.949768, test_acc 0.733532
Epoch 18, train_loss 0.001634, train_ic 0.013794, train_icir 0.162100, train_ric 0.020153, train_ricir 0.184024, train_mae 0.026462, train_rmse 0.036782, train_mape 131.629150, train_acc 0.608196, valid_loss 0.0017563429, valid_ic -0.005488, valid_icir -0.103646, valid_ric -0.003915, valid_ricir -0.047612, valid_prec@10 0.494262, valid_prec@30 0.502596, valid_mae 0.018815, valid_rmse 0.044647, valid_mape 298.022552, valid_acc 0.541554, test_loss 0.004248, ic -0.010275, icir -0.154855, ric -0.003721, ricir -0.030718, prec@10 0.462963, prec@30 0.496022, test_mae 0.030812, test_rmse 0.078605, test_mape 327.103180, test_acc 0.518519
Epoch 19, train_loss 0.001610, train_ic 0.008417, train_icir 0.092991, train_ric 0.018895, train_ricir 0.138721, train_mae 0.056113, train_rmse 0.061582, train_mape 542.413025, train_acc 0.120739, valid_loss 0.0030386556, valid_ic -0.006423, valid_icir -0.114965, valid_ric 0.001389, valid_ricir 0.012534, valid_prec@10 0.586475, valid_prec@30 0.545902, valid_mae 0.037614, valid_rmse 0.054121, valid_mape 770.647461, valid_acc 0.593699, test_loss 0.005291, ic -0.012005, icir -0.182617, ric -0.005444, ricir -0.035361, prec@10 0.557202, prec@30 0.559671, test_mae 0.038636, test_rmse 0.078973, test_mape 580.500671, test_acc 0.743226
Epoch 20, train_loss 0.001602, train_ic 0.025827, train_icir 0.391628, train_ric 0.000454, train_ricir 0.004027, train_mae 0.018841, train_rmse 0.033203, train_mape 2161.568115, train_acc 0.597491, valid_loss 0.0015076786, valid_ic 0.001803, valid_icir 0.057296, valid_ric -0.009884, valid_ricir -0.158362, valid_prec@10 0.549590, valid_prec@30 0.541393, valid_mae 0.015621, valid_rmse 0.040711, valid_mape 179.461319, valid_acc 0.542097, test_loss 0.003667, ic -0.001522, icir -0.037801, ric 0.004218, ricir 0.060775, prec@10 0.539918, prec@30 0.546776, test_mae 0.025998, test_rmse 0.072497, test_mape 236.114319, test_acc 0.585135
Epoch 21, train_loss 0.001553, train_ic 0.023621, train_icir 0.296236, train_ric 0.032232, train_ricir 0.250597, train_mae 0.029831, train_rmse 0.038494, train_mape 188.766983, train_acc 0.207943, valid_loss 0.0016526666, valid_ic -0.004435, valid_icir -0.090929, valid_ric 0.003726, valid_ricir 0.036401, valid_prec@10 0.628689, valid_prec@30 0.593989, valid_mae 0.017647, valid_rmse 0.041455, valid_mape 246.588104, valid_acc 0.571429, test_loss 0.003829, ic -0.010333, icir -0.187956, ric 0.007832, ricir 0.058461, prec@10 0.626749, prec@30 0.590535, test_mae 0.026580, test_rmse 0.071488, test_mape 273.334564, test_acc 0.660950
Epoch 22, train_loss 0.001495, train_ic 0.005810, train_icir 0.075438, train_ric 0.028096, train_ricir 0.252954, train_mae 0.021009, train_rmse 0.030940, train_mape 175.254883, train_acc 0.668600, valid_loss 0.0019305782, valid_ic 0.004073, valid_icir 0.109527, valid_ric 0.012745, valid_ricir 0.212584, valid_prec@10 0.475000, valid_prec@30 0.489754, valid_mae 0.024640, valid_rmse 0.044341, valid_mape 474.328247, valid_acc 0.548343, test_loss 0.004005, ic 0.002157, icir 0.049249, ric 0.011055, ricir 0.130382, prec@10 0.462963, prec@30 0.480658, test_mae 0.028067, test_rmse 0.070041, test_mape 386.059387, test_acc 0.713149
Epoch 23, train_loss 0.001474, train_ic 0.022395, train_icir 0.320603, train_ric 0.027955, train_ricir 0.238885, train_mae 0.015840, train_rmse 0.022103, train_mape 262.247620, train_acc 0.515366, valid_loss 0.0015962039, valid_ic -0.000076, valid_icir -0.001956, valid_ric 0.015637, valid_ricir 0.215983, valid_prec@10 0.627869, valid_prec@30 0.596175, valid_mae 0.023097, valid_rmse 0.042455, valid_mape 356.324829, valid_acc 0.363118, test_loss 0.003493, ic -0.007714, icir -0.168765, ric 0.011293, ricir 0.134090, prec@10 0.625926, prec@30 0.592867, test_mae 0.033743, test_rmse 0.071330, test_mape 339.348938, test_acc 0.216754
Epoch 24, train_loss 0.001498, train_ic 0.005151, train_icir 0.089309, train_ric 0.005579, train_ricir 0.054385, train_mae 0.018031, train_rmse 0.027385, train_mape 210.538406, train_acc 0.390141, valid_loss 0.0014210571, valid_ic 0.001017, valid_icir 0.040107, valid_ric 0.017360, valid_ricir 0.230031, valid_prec@10 0.513115, valid_prec@30 0.518033, valid_mae 0.020076, valid_rmse 0.039734, valid_mape 266.827454, valid_acc 0.354427, test_loss 0.003201, ic -0.005205, icir -0.144629, ric 0.005213, ricir 0.051950, prec@10 0.493416, prec@30 0.504938, test_mae 0.030459, test_rmse 0.068581, test_mape 294.870667, test_acc 0.272931
Epoch 25, train_loss 0.001445, train_ic 0.030177, train_icir 0.383816, train_ric -0.006892, train_ricir -0.055597, train_mae 0.026841, train_rmse 0.034546, train_mape 162.345306, train_acc 0.289757, valid_loss 0.0013933649, valid_ic 0.010558, valid_icir 0.291841, valid_ric -0.013336, valid_ricir -0.184671, valid_prec@10 0.573361, valid_prec@30 0.548224, valid_mae 0.017834, valid_rmse 0.038530, valid_mape 198.454071, valid_acc 0.352797, test_loss 0.003157, ic 0.005999, icir 0.157311, ric 0.004179, ricir 0.053832, prec@10 0.573663, prec@30 0.557202, test_mae 0.028006, test_rmse 0.066789, test_mape 254.320770, test_acc 0.373105
Epoch 26, train_loss 0.001419, train_ic 0.019167, train_icir 0.237165, train_ric 0.017285, train_ricir 0.133920, train_mae 0.023649, train_rmse 0.037318, train_mape 146.862015, train_acc 0.445004, valid_loss 0.0012942492, valid_ic 0.002675, valid_icir 0.092669, valid_ric 0.000009, valid_ricir 0.000105, valid_prec@10 0.521311, valid_prec@30 0.515574, valid_mae 0.016337, valid_rmse 0.036396, valid_mape 187.620346, valid_acc 0.406573, test_loss 0.002956, ic 0.000678, icir 0.019875, ric 0.010223, ricir 0.089448, prec@10 0.516049, prec@30 0.524143, test_mae 0.027094, test_rmse 0.064941, test_mape 259.943115, test_acc 0.367388
