Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.133229, train_ic 0.004152, train_icir 0.040864, train_ric 0.018905, train_ricir 0.152978, train_mae 0.116596, train_rmse 0.221077, train_mape 2259.841797, train_acc 0.301153, valid_loss 0.0390436152, valid_ic -0.009084, valid_icir -0.108908, valid_ric 0.009242, valid_ricir 0.096698, valid_prec@10 0.434016, valid_prec@30 0.471995, valid_mae 0.112521, valid_rmse 0.225013, valid_mape 2620.552979, valid_acc 0.352297, test_loss 0.074540, ic -0.018244, icir -0.154022, ric -0.005337, ricir -0.041070, prec@10 0.437037, prec@30 0.450754, test_mae 0.158610, test_rmse 0.293701, test_mape 2672.343994, test_acc 0.204340
Epoch 14, train_loss 0.001929, train_ic 0.003036, train_icir 0.048594, train_ric -0.009544, train_ricir -0.099520, train_mae 0.030035, train_rmse 0.057807, train_mape 250.557892, train_acc 0.565702, valid_loss 0.0021159094, valid_ic -0.001758, valid_icir -0.052939, valid_ric -0.006038, valid_ricir -0.082599, valid_prec@10 0.554508, valid_prec@30 0.513115, valid_mae 0.019207, valid_rmse 0.049445, valid_mape 310.462036, valid_acc 0.537393, test_loss 0.005402, ic -0.004592, icir -0.092475, ric -0.003664, ricir -0.040533, prec@10 0.543621, prec@30 0.524829, test_mae 0.029229, test_rmse 0.087142, test_mape 324.479523, test_acc 0.669593
Epoch 15, train_loss 0.001859, train_ic 0.014283, train_icir 0.223395, train_ric -0.028008, train_ricir -0.233782, train_mae 0.018281, train_rmse 0.030952, train_mape 315.292969, train_acc 0.608867, valid_loss 0.0021243552, valid_ic -0.003068, valid_icir -0.093339, valid_ric -0.027248, valid_ricir -0.366300, valid_prec@10 0.616393, valid_prec@30 0.584563, valid_mae 0.024719, valid_rmse 0.050584, valid_mape 394.080841, valid_acc 0.354167, test_loss 0.005113, ic -0.006099, icir -0.134269, ric -0.011589, ricir -0.159338, prec@10 0.553498, prec@30 0.581481, test_mae 0.039494, test_rmse 0.087294, test_mape 408.450653, test_acc 0.209949
Epoch 16, train_loss 0.001756, train_ic 0.022684, train_icir 0.380909, train_ric 0.002171, train_ricir 0.020294, train_mae 0.024470, train_rmse 0.039737, train_mape 245.180481, train_acc 0.491182, valid_loss 0.0019378703, valid_ic 0.000890, valid_icir 0.029136, valid_ric -0.012473, valid_ricir -0.212793, valid_prec@10 0.520902, valid_prec@30 0.523224, valid_mae 0.019279, valid_rmse 0.046496, valid_mape 323.511292, valid_acc 0.595085, test_loss 0.004796, ic -0.001923, icir -0.048554, ric 0.000976, ricir 0.015712, prec@10 0.512346, prec@30 0.524966, test_mae 0.027444, test_rmse 0.080782, test_mape 344.372131, test_acc 0.740795
Epoch 17, train_loss 0.001676, train_ic 0.018500, train_icir 0.277722, train_ric 0.015127, train_ricir 0.124194, train_mae 0.022145, train_rmse 0.026830, train_mape 593.900513, train_acc 0.598395, valid_loss 0.0023352240, valid_ic -0.000804, valid_icir -0.024346, valid_ric 0.003002, valid_ricir 0.042650, valid_prec@10 0.595902, valid_prec@30 0.556557, valid_mae 0.027114, valid_rmse 0.048692, valid_mape 577.140320, valid_acc 0.595620, test_loss 0.005019, ic -0.005857, icir -0.129866, ric 0.010323, ricir 0.114708, prec@10 0.593416, prec@30 0.572702, test_mae 0.031978, test_rmse 0.079284, test_mape 510.910645, test_acc 0.744940
Epoch 18, train_loss 0.001637, train_ic 0.010307, train_icir 0.176164, train_ric 0.000728, train_ricir 0.008076, train_mae 0.033142, train_rmse 0.053300, train_mape 263.523804, train_acc 0.432940, valid_loss 0.0020054147, valid_ic -0.004757, valid_icir -0.161386, valid_ric -0.003951, valid_ricir -0.066132, valid_prec@10 0.509016, valid_prec@30 0.515027, valid_mae 0.027701, valid_rmse 0.048728, valid_mape 474.685822, valid_acc 0.351229, test_loss 0.004429, ic -0.007558, icir -0.189345, ric -0.004000, ricir -0.060553, prec@10 0.490535, prec@30 0.509191, test_mae 0.041635, test_rmse 0.082051, test_mape 453.984558, test_acc 0.206779
Epoch 19, train_loss 0.001622, train_ic 0.003822, train_icir 0.058036, train_ric -0.013097, train_ricir -0.111020, train_mae 0.020401, train_rmse 0.029936, train_mape 259.308350, train_acc 0.309357, valid_loss 0.0017628531, valid_ic -0.001585, valid_icir -0.058390, valid_ric -0.005689, valid_ricir -0.060002, valid_prec@10 0.551230, valid_prec@30 0.537022, valid_mae 0.022736, valid_rmse 0.045274, valid_mape 322.700684, valid_acc 0.375534, test_loss 0.004075, ic -0.003437, icir -0.095717, ric -0.004791, ricir -0.037444, prec@10 0.525103, prec@30 0.529218, test_mae 0.034606, test_rmse 0.077470, test_mape 338.739838, test_acc 0.306267
Epoch 20, train_loss 0.001582, train_ic 0.011582, train_icir 0.109078, train_ric 0.025632, train_ricir 0.184899, train_mae 0.023899, train_rmse 0.035012, train_mape 447.871399, train_acc 0.440405, valid_loss 0.0027340069, valid_ic -0.010184, valid_icir -0.140126, valid_ric 0.002922, valid_ricir 0.026715, valid_prec@10 0.630328, valid_prec@30 0.597951, valid_mae 0.029173, valid_rmse 0.053828, valid_mape 459.757416, valid_acc 0.515224, test_loss 0.005429, ic -0.018558, icir -0.227825, ric -0.000822, ricir -0.005537, prec@10 0.638683, prec@30 0.592455, test_mae 0.040604, test_rmse 0.081465, test_mape 464.073883, test_acc 0.408193
Epoch 21, train_loss 0.001523, train_ic 0.000280, train_icir 0.004109, train_ric 0.018361, train_ricir 0.165862, train_mae 0.041742, train_rmse 0.047899, train_mape 543.536194, train_acc 0.105152, valid_loss 0.0023869955, valid_ic -0.005604, valid_icir -0.191428, valid_ric 0.018480, valid_ricir 0.252985, valid_prec@10 0.580328, valid_prec@30 0.559563, valid_mae 0.036129, valid_rmse 0.052143, valid_mape 634.921570, valid_acc 0.346154, test_loss 0.004430, ic -0.009378, icir -0.241138, ric 0.010201, ricir 0.099092, prec@10 0.523457, prec@30 0.545816, test_mae 0.048188, test_rmse 0.081043, test_mape 566.733459, test_acc 0.190929
Epoch 22, train_loss 0.001453, train_ic 0.007389, train_icir 0.168672, train_ric -0.002590, train_ricir -0.033503, train_mae 0.011824, train_rmse 0.020953, train_mape 155.278656, train_acc 0.374960, valid_loss 0.0014375305, valid_ic -0.004050, valid_icir -0.144540, valid_ric -0.000648, valid_ricir -0.017219, valid_prec@10 0.623361, valid_prec@30 0.590710, valid_mae 0.016313, valid_rmse 0.039548, valid_mape 171.218140, valid_acc 0.427618, test_loss 0.003469, ic -0.008384, icir -0.204381, ric -0.005389, ricir -0.138415, prec@10 0.571605, prec@30 0.585322, test_mae 0.027693, test_rmse 0.070856, test_mape 238.206604, test_acc 0.356742
Epoch 23, train_loss 0.001490, train_ic 0.022778, train_icir 0.313391, train_ric 0.004051, train_ricir 0.033512, train_mae 0.028541, train_rmse 0.036344, train_mape 315.023987, train_acc 0.137931, valid_loss 0.0016731661, valid_ic -0.000034, valid_icir -0.001219, valid_ric -0.010913, valid_ricir -0.139840, valid_prec@10 0.518033, valid_prec@30 0.504508, valid_mae 0.023967, valid_rmse 0.042868, valid_mape 353.805603, valid_acc 0.349092, test_loss 0.003588, ic -0.001904, icir -0.051834, ric 0.000407, ricir 0.004305, prec@10 0.521399, prec@30 0.519067, test_mae 0.037421, test_rmse 0.073479, test_mape 388.971619, test_acc 0.205316
Epoch 24, train_loss 0.001459, train_ic 0.005619, train_icir 0.086131, train_ric 0.006414, train_ricir 0.061474, train_mae 0.032136, train_rmse 0.045837, train_mape 78.557152, train_acc 0.861538, valid_loss 0.0016930093, valid_ic -0.003606, valid_icir -0.130723, valid_ric 0.001647, valid_ricir 0.023211, valid_prec@10 0.505328, valid_prec@30 0.506421, valid_mae 0.022015, valid_rmse 0.040269, valid_mape 442.395935, valid_acc 0.596955, test_loss 0.003602, ic -0.004498, icir -0.123194, ric 0.001069, ricir 0.013723, prec@10 0.520576, prec@30 0.518519, test_mae 0.024425, test_rmse 0.067092, test_mape 344.695923, test_acc 0.750061
Epoch 25, train_loss 0.001455, train_ic 0.013641, train_icir 0.151234, train_ric 0.004787, train_ricir 0.038298, train_mae 0.024425, train_rmse 0.034709, train_mape 283.000854, train_acc 0.496782, valid_loss 0.0018456332, valid_ic 0.004380, valid_icir 0.122634, valid_ric 0.002269, valid_ricir 0.024200, valid_prec@10 0.510656, valid_prec@30 0.516530, valid_mae 0.028667, valid_rmse 0.045061, valid_mape 454.091980, valid_acc 0.370459, test_loss 0.003574, ic 0.001985, icir 0.058077, ric 0.008766, ricir 0.066063, prec@10 0.519342, prec@30 0.519479, test_mae 0.038075, test_rmse 0.071942, test_mape 407.545990, test_acc 0.279444
Epoch 26, train_loss 0.001441, train_ic 0.009513, train_icir 0.140351, train_ric 0.006685, train_ricir 0.075904, train_mae 0.048773, train_rmse 0.054558, train_mape 94.110893, train_acc 0.531106, valid_loss 0.0014214191, valid_ic -0.005307, valid_icir -0.135219, valid_ric 0.000307, valid_ricir 0.005069, valid_prec@10 0.642213, valid_prec@30 0.601776, valid_mae 0.017254, valid_rmse 0.037450, valid_mape 228.569748, valid_acc 0.595887, test_loss 0.003224, ic -0.010056, icir -0.227745, ric -0.006413, ricir -0.084095, prec@10 0.627984, prec@30 0.594787, test_mae 0.025027, test_rmse 0.065784, test_mape 245.829041, test_acc 0.719824
Epoch 27, train_loss 0.001409, train_ic 0.012700, train_icir 0.197129, train_ric 0.005805, train_ricir 0.060934, train_mae 0.027264, train_rmse 0.037048, train_mape 254.166916, train_acc 0.494240, valid_loss 0.0013790845, valid_ic -0.002703, valid_icir -0.073610, valid_ric -0.005274, valid_ricir -0.088847, valid_prec@10 0.506967, valid_prec@30 0.493306, valid_mae 0.017059, valid_rmse 0.036205, valid_mape 271.695343, valid_acc 0.588942, test_loss 0.003093, ic -0.007585, icir -0.155086, ric -0.010356, ricir -0.122785, prec@10 0.532922, prec@30 0.504115, test_mae 0.023744, test_rmse 0.064582, test_mape 258.945740, test_acc 0.700073
Epoch 28, train_loss 0.001426, train_ic 0.030227, train_icir 0.425054, train_ric -0.005718, train_ricir -0.052232, train_mae 0.023404, train_rmse 0.031383, train_mape 354.782501, train_acc 0.363149, valid_loss 0.0015515299, valid_ic 0.006886, valid_icir 0.234741, valid_ric -0.014695, valid_ricir -0.233615, valid_prec@10 0.589754, valid_prec@30 0.553552, valid_mae 0.024636, valid_rmse 0.041185, valid_mape 373.385193, valid_acc 0.347489, test_loss 0.003205, ic 0.002181, icir 0.061581, ric -0.003656, ricir -0.050160, prec@10 0.585597, prec@30 0.564746, test_mae 0.036695, test_rmse 0.069175, test_mape 376.163208, test_acc 0.195074
Epoch 29, train_loss 0.001396, train_ic 0.038700, train_icir 0.447825, train_ric 0.016754, train_ricir 0.126662, train_mae 0.080680, train_rmse 0.085945, train_mape 96.778076, train_acc 0.727891, valid_loss 0.0012321913, valid_ic 0.004201, valid_icir 0.106562, valid_ric -0.009060, valid_ricir -0.105302, valid_prec@10 0.567213, valid_prec@30 0.533607, valid_mae 0.015141, valid_rmse 0.034995, valid_mape 154.807144, valid_acc 0.490652, test_loss 0.002838, ic -0.001921, icir -0.043958, ric 0.002468, ricir 0.022475, prec@10 0.548560, prec@30 0.537311, test_mae 0.025034, test_rmse 0.063539, test_mape 216.203552, test_acc 0.498659
Epoch 30, train_loss 0.001358, train_ic 0.026875, train_icir 0.366851, train_ric -0.010403, train_ricir -0.090757, train_mae 0.021116, train_rmse 0.031212, train_mape 209.558350, train_acc 0.531963, valid_loss 0.0013567786, valid_ic 0.007173, valid_icir 0.241917, valid_ric -0.010905, valid_ricir -0.138488, valid_prec@10 0.575820, valid_prec@30 0.545765, valid_mae 0.021029, valid_rmse 0.037939, valid_mape 285.256714, valid_acc 0.347489, test_loss 0.002909, ic 0.002006, icir 0.058093, ric -0.000547, ricir -0.005496, prec@10 0.562551, prec@30 0.550754, test_mae 0.032148, test_rmse 0.065653, test_mape 310.227142, test_acc 0.220678
Epoch 31, train_loss 0.001354, train_ic 0.031598, train_icir 0.379051, train_ric 0.021127, train_ricir 0.162008, train_mae 0.057179, train_rmse 0.065167, train_mape 125.724945, train_acc 0.129338, valid_loss 0.0012552287, valid_ic 0.007789, valid_icir 0.241336, valid_ric 0.002977, valid_ricir 0.035079, valid_prec@10 0.552869, valid_prec@30 0.547131, valid_mae 0.016213, valid_rmse 0.034248, valid_mape 257.815277, valid_acc 0.568643, test_loss 0.002788, ic 0.003053, icir 0.087070, ric 0.014297, ricir 0.121184, prec@10 0.543210, prec@30 0.536214, test_mae 0.021894, test_rmse 0.060697, test_mape 248.661163, test_acc 0.718605
Epoch 32, train_loss 0.001394, train_ic 0.017295, train_icir 0.235829, train_ric 0.025781, train_ricir 0.233237, train_mae 0.018886, train_rmse 0.026787, train_mape 213.846298, train_acc 0.575914, valid_loss 0.0013948254, valid_ic 0.001705, valid_icir 0.062212, valid_ric 0.012516, valid_ricir 0.169039, valid_prec@10 0.538525, valid_prec@30 0.516803, valid_mae 0.022506, valid_rmse 0.038430, valid_mape 326.715363, valid_acc 0.348825, test_loss 0.002879, ic -0.001561, icir -0.046534, ric 0.012147, ricir 0.119379, prec@10 0.540741, prec@30 0.529218, test_mae 0.033531, test_rmse 0.065191, test_mape 335.111328, test_acc 0.212387
Epoch 33, train_loss 0.001329, train_ic 0.023465, train_icir 0.330911, train_ric 0.009312, train_ricir 0.089678, train_mae 0.020232, train_rmse 0.025790, train_mape 172.873932, train_acc 0.274094, valid_loss 0.0012258452, valid_ic 0.000125, valid_icir 0.004200, valid_ric -0.006084, valid_ricir -0.081924, valid_prec@10 0.547951, valid_prec@30 0.522131, valid_mae 0.016079, valid_rmse 0.033510, valid_mape 255.901047, valid_acc 0.597489, test_loss 0.002699, ic -0.002491, icir -0.069535, ric -0.001738, ricir -0.020956, prec@10 0.548560, prec@30 0.522771, test_mae 0.021943, test_rmse 0.059568, test_mape 227.346924, test_acc 0.729334
Epoch 34, train_loss 0.001372, train_ic 0.034846, train_icir 0.547831, train_ric 0.017464, train_ricir 0.191190, train_mae 0.013055, train_rmse 0.022932, train_mape 121.847130, train_acc 0.775836, valid_loss 0.0011521818, valid_ic 0.004901, valid_icir 0.152060, valid_ric -0.006371, valid_ricir -0.116976, valid_prec@10 0.585656, valid_prec@30 0.555874, valid_mae 0.014626, valid_rmse 0.032599, valid_mape 179.426422, valid_acc 0.587874, test_loss 0.002585, ic -0.000828, icir -0.021545, ric 0.003386, ricir 0.052318, prec@10 0.579012, prec@30 0.549246, test_mae 0.022088, test_rmse 0.059276, test_mape 207.282089, test_acc 0.707145
Epoch 35, train_loss 0.001332, train_ic 0.039686, train_icir 0.445724, train_ric 0.015778, train_ricir 0.122744, train_mae 0.042057, train_rmse 0.049126, train_mape 209.108139, train_acc 0.135510, valid_loss 0.0013713565, valid_ic 0.004699, valid_icir 0.105967, valid_ric -0.009741, valid_ricir -0.110731, valid_prec@10 0.661885, valid_prec@30 0.600956, valid_mae 0.019041, valid_rmse 0.034541, valid_mape 337.483521, valid_acc 0.592415, test_loss 0.002817, ic -0.003988, icir -0.083601, ric 0.000431, ricir 0.003833, prec@10 0.639095, prec@30 0.606173, test_mae 0.023378, test_rmse 0.058868, test_mape 309.889435, test_acc 0.731285
Epoch 36, train_loss 0.001335, train_ic 0.017291, train_icir 0.288887, train_ric 0.026917, train_ricir 0.330560, train_mae 0.019494, train_rmse 0.026920, train_mape 300.912994, train_acc 0.327571, valid_loss 0.0012388055, valid_ic 0.001347, valid_icir 0.046323, valid_ric 0.012165, valid_ricir 0.239709, valid_prec@10 0.533197, valid_prec@30 0.509426, valid_mae 0.016833, valid_rmse 0.032753, valid_mape 282.202087, valid_acc 0.595620, test_loss 0.002621, ic -0.004274, icir -0.110303, ric 0.010874, ricir 0.173429, prec@10 0.521811, prec@30 0.518793, test_mae 0.021674, test_rmse 0.057680, test_mape 260.700165, test_acc 0.740551
Epoch 37, train_loss 0.001323, train_ic 0.011711, train_icir 0.156624, train_ric 0.039977, train_ricir 0.365832, train_mae 0.028161, train_rmse 0.036772, train_mape 130.792038, train_acc 0.629763, valid_loss 0.0012068605, valid_ic -0.005878, valid_icir -0.157509, valid_ric 0.021167, valid_ricir 0.260083, valid_prec@10 0.613525, valid_prec@30 0.581011, valid_mae 0.018131, valid_rmse 0.034628, valid_mape 232.911606, valid_acc 0.367521, test_loss 0.002587, ic -0.010663, icir -0.244721, ric 0.008797, ricir 0.093404, prec@10 0.608642, prec@30 0.574486, test_mae 0.029747, test_rmse 0.061180, test_mape 287.938538, test_acc 0.227749
Epoch 38, train_loss 0.001308, train_ic 0.023442, train_icir 0.305180, train_ric 0.011252, train_ricir 0.101130, train_mae 0.027446, train_rmse 0.034031, train_mape 241.009216, train_acc 0.292992, valid_loss 0.0013143265, valid_ic 0.003145, valid_icir 0.102936, valid_ric 0.004666, valid_ricir 0.082745, valid_prec@10 0.603279, valid_prec@30 0.560383, valid_mae 0.018775, valid_rmse 0.033219, valid_mape 350.292969, valid_acc 0.595887, test_loss 0.002661, ic -0.004194, icir -0.117099, ric 0.007188, ricir 0.118391, prec@10 0.562140, prec@30 0.574211, test_mae 0.021800, test_rmse 0.056463, test_mape 297.809540, test_acc 0.745184
Epoch 39, train_loss 0.001324, train_ic 0.034929, train_icir 0.404064, train_ric 0.032581, train_ricir 0.278282, train_mae 0.023015, train_rmse 0.030436, train_mape 170.341187, train_acc 0.280119, valid_loss 0.0012433330, valid_ic -0.000209, valid_icir -0.004840, valid_ric -0.000529, valid_ricir -0.006814, valid_prec@10 0.629918, valid_prec@30 0.597678, valid_mae 0.017328, valid_rmse 0.033217, valid_mape 252.488449, valid_acc 0.596688, test_loss 0.002616, ic -0.005211, icir -0.127965, ric 0.008034, ricir 0.088190, prec@10 0.631687, prec@30 0.592318, test_mae 0.023952, test_rmse 0.057244, test_mape 253.948975, test_acc 0.685443
