Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.133229, train_ic 0.004152, train_icir 0.040864, train_ric 0.018905, train_ricir 0.152978, train_mae 0.116596, train_rmse 0.221077, train_mape 2259.841797, train_acc 0.301153, valid_loss 0.0390436152, valid_ic -0.009084, valid_icir -0.108908, valid_ric 0.009242, valid_ricir 0.096698, valid_prec@10 0.434016, valid_prec@30 0.471995, valid_mae 0.112521, valid_rmse 0.225013, valid_mape 2620.552979, valid_acc 0.352297, test_loss 0.074540, ic -0.018244, icir -0.154022, ric -0.005337, ricir -0.041070, prec@10 0.437037, prec@30 0.450754, test_mae 0.158610, test_rmse 0.293701, test_mape 2672.343994, test_acc 0.204340
Epoch 2, train_loss 0.030642, train_ic 0.004935, train_icir 0.054689, train_ric 0.025210, train_ricir 0.203516, train_mae 0.069608, train_rmse 0.153967, train_mape 14570.128906, train_acc 0.337316, valid_loss 0.0203537375, valid_ic -0.008484, valid_icir -0.113296, valid_ric 0.006185, valid_ricir 0.066841, valid_prec@10 0.448361, valid_prec@30 0.476913, valid_mae 0.069666, valid_rmse 0.165641, valid_mape 1602.208374, valid_acc 0.568376, test_loss 0.045260, ic -0.017256, icir -0.155974, ric -0.001616, ricir -0.012845, prec@10 0.458848, prec@30 0.453086, test_mae 0.104985, test_rmse 0.233958, test_mape 1750.341431, test_acc 0.625701
Epoch 3, train_loss 0.017074, train_ic 0.007244, train_icir 0.087653, train_ric 0.009426, train_ricir 0.069420, train_mae 0.040742, train_rmse 0.108664, train_mape 681.190308, train_acc 0.537670, valid_loss 0.0133361625, valid_ic -0.007478, valid_icir -0.107853, valid_ric -0.011155, valid_ricir -0.103073, valid_prec@10 0.603279, valid_prec@30 0.539754, valid_mae 0.050079, valid_rmse 0.135734, valid_mape 1015.182983, valid_acc 0.467147, test_loss 0.032406, ic -0.015761, icir -0.150256, ric -0.009112, ricir -0.060396, prec@10 0.539506, prec@30 0.546228, test_mae 0.085724, test_rmse 0.202857, test_mape 1270.674438, test_acc 0.346745
Epoch 4, train_loss 0.011139, train_ic 0.004143, train_icir 0.058186, train_ric 0.015873, train_ricir 0.160852, train_mae 0.016118, train_rmse 0.029278, train_mape 228.357269, train_acc 0.722509, valid_loss 0.0097448678, valid_ic -0.007919, valid_icir -0.130927, valid_ric 0.002028, valid_ricir 0.026755, valid_prec@10 0.581148, valid_prec@30 0.537568, valid_mae 0.040114, valid_rmse 0.116350, valid_mape 789.238953, valid_acc 0.581731, test_loss 0.024942, ic -0.015400, icir -0.161554, ric -0.005000, ricir -0.047866, prec@10 0.520576, prec@30 0.531413, test_mae 0.068997, test_rmse 0.180309, test_mape 959.435852, test_acc 0.678859
Epoch 5, train_loss 0.008020, train_ic 0.010571, train_icir 0.155381, train_ric 0.007456, train_ricir 0.057860, train_mae 0.034297, train_rmse 0.089983, train_mape 543.426331, train_acc 0.440084, valid_loss 0.0074489972, valid_ic -0.004497, valid_icir -0.077545, valid_ric -0.019149, valid_ricir -0.225180, valid_prec@10 0.556148, valid_prec@30 0.520082, valid_mae 0.033072, valid_rmse 0.102197, valid_mape 592.697449, valid_acc 0.526442, test_loss 0.019889, ic -0.011445, icir -0.126983, ric -0.004074, ricir -0.035878, prec@10 0.556790, prec@30 0.535117, test_mae 0.060658, test_rmse 0.163513, test_mape 747.402222, test_acc 0.558400
Epoch 6, train_loss 0.006063, train_ic 0.005904, train_icir 0.099338, train_ric 0.005768, train_ricir 0.058925, train_mae 0.034733, train_rmse 0.068417, train_mape 535.633667, train_acc 0.241502, valid_loss 0.0060785972, valid_ic -0.005433, valid_icir -0.107562, valid_ric -0.006738, valid_ricir -0.114916, valid_prec@10 0.563934, valid_prec@30 0.534153, valid_mae 0.032389, valid_rmse 0.091396, valid_mape 655.059692, valid_acc 0.584669, test_loss 0.016442, ic -0.011708, icir -0.143642, ric -0.001404, ricir -0.020137, prec@10 0.542387, prec@30 0.531550, test_mae 0.052557, test_rmse 0.148977, test_mape 714.519958, test_acc 0.703243
Epoch 7, train_loss 0.004702, train_ic 0.016426, train_icir 0.233759, train_ric 0.006748, train_ricir 0.049742, train_mae 0.021086, train_rmse 0.031145, train_mape 293.538666, train_acc 0.311358, valid_loss 0.0050597671, valid_ic -0.003054, valid_icir -0.055154, valid_ric -0.019453, valid_ricir -0.194468, valid_prec@10 0.571311, valid_prec@30 0.530601, valid_mae 0.032540, valid_rmse 0.083514, valid_mape 581.701538, valid_acc 0.358173, test_loss 0.013731, ic -0.008664, icir -0.107644, ric -0.006355, ricir -0.049395, prec@10 0.572840, prec@30 0.544582, test_mae 0.059572, test_rmse 0.139552, test_mape 698.795288, test_acc 0.201902
Epoch 8, train_loss 0.003836, train_ic 0.010031, train_icir 0.140076, train_ric 0.029676, train_ricir 0.223681, train_mae 0.043760, train_rmse 0.068218, train_mape 395.738983, train_acc 0.176953, valid_loss 0.0044517734, valid_ic -0.005339, valid_icir -0.100024, valid_ric 0.006008, valid_ricir 0.056680, valid_prec@10 0.624180, valid_prec@30 0.589208, valid_mae 0.035382, valid_rmse 0.077938, valid_mape 653.414734, valid_acc 0.366453, test_loss 0.011820, ic -0.012281, icir -0.159969, ric 0.005178, ricir 0.040312, prec@10 0.617695, prec@30 0.590123, test_mae 0.058112, test_rmse 0.129713, test_mape 702.135742, test_acc 0.202634
Epoch 9, train_loss 0.003262, train_ic 0.008818, train_icir 0.144242, train_ric 0.011165, train_ricir 0.085941, train_mae 0.021487, train_rmse 0.043956, train_mape 187.664490, train_acc 0.516364, valid_loss 0.0034466960, valid_ic -0.001869, valid_icir -0.047881, valid_ric -0.000348, valid_ricir -0.004304, valid_prec@10 0.559836, valid_prec@30 0.538661, valid_mae 0.023943, valid_rmse 0.067697, valid_mape 340.518463, valid_acc 0.444444, test_loss 0.009659, ic -0.006840, icir -0.109724, ric 0.007322, ricir 0.071555, prec@10 0.536626, prec@30 0.537586, test_mae 0.042452, test_rmse 0.117230, test_mape 474.849457, test_acc 0.537918
Epoch 10, train_loss 0.002842, train_ic 0.009915, train_icir 0.142308, train_ric 0.027512, train_ricir 0.210815, train_mae 0.036246, train_rmse 0.050914, train_mape 746.542664, train_acc 0.325128, valid_loss 0.0038858430, valid_ic -0.005225, valid_icir -0.103977, valid_ric 0.004594, valid_ricir 0.044472, valid_prec@10 0.618033, valid_prec@30 0.584563, valid_mae 0.035385, valid_rmse 0.067032, valid_mape 732.571533, valid_acc 0.592682, test_loss 0.009237, ic -0.011431, icir -0.159917, ric 0.004495, ricir 0.033945, prec@10 0.624280, prec@30 0.589300, test_mae 0.044986, test_rmse 0.110311, test_mape 672.287720, test_acc 0.726164
Epoch 11, train_loss 0.002490, train_ic 0.011102, train_icir 0.202624, train_ric 0.019062, train_ricir 0.165839, train_mae 0.024021, train_rmse 0.036453, train_mape 266.587189, train_acc 0.224397, valid_loss 0.0027364259, valid_ic -0.005208, valid_icir -0.122595, valid_ric -0.002618, valid_ricir -0.031520, valid_prec@10 0.623770, valid_prec@30 0.573907, valid_mae 0.021043, valid_rmse 0.057832, valid_mape 362.640045, valid_acc 0.593216, test_loss 0.007381, ic -0.009986, icir -0.156279, ric 0.002835, ricir 0.026158, prec@10 0.606996, prec@30 0.586420, test_mae 0.033546, test_rmse 0.101574, test_mape 403.000793, test_acc 0.718361
Epoch 12, train_loss 0.002264, train_ic 0.006741, train_icir 0.120032, train_ric 0.016939, train_ricir 0.173259, train_mae 0.023891, train_rmse 0.042304, train_mape 136.616226, train_acc 0.578125, valid_loss 0.0023673744, valid_ic -0.006834, valid_icir -0.176228, valid_ric 0.000282, valid_ricir 0.004081, valid_prec@10 0.585656, valid_prec@30 0.537978, valid_mae 0.018751, valid_rmse 0.054450, valid_mape 238.725540, valid_acc 0.422276, test_loss 0.006445, ic -0.010397, icir -0.174981, ric -0.002674, ricir -0.028376, prec@10 0.543210, prec@30 0.548148, test_mae 0.035673, test_rmse 0.097089, test_mape 347.323639, test_acc 0.286515
Epoch 13, train_loss 0.002067, train_ic 0.017151, train_icir 0.202524, train_ric 0.010489, train_ricir 0.092076, train_mae 0.021112, train_rmse 0.027786, train_mape 339.998047, train_acc 0.490111, valid_loss 0.0027161402, valid_ic -0.003163, valid_icir -0.056432, valid_ric -0.002075, valid_ricir -0.024240, valid_prec@10 0.634016, valid_prec@30 0.597814, valid_mae 0.028143, valid_rmse 0.057118, valid_mape 471.469452, valid_acc 0.445780, test_loss 0.006442, ic -0.009602, icir -0.146308, ric -0.000854, ricir -0.008168, prec@10 0.643621, prec@30 0.593964, test_mae 0.042363, test_rmse 0.095403, test_mape 450.794739, test_acc 0.367959
