Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.142204, train_ic 0.004718, train_icir 0.045559, train_ric 0.019436, train_ricir 0.156504, train_mae 0.078078, train_rmse 0.175835, train_mape 1150.131836, train_acc 0.690791, valid_loss 0.0405928738, valid_ic -0.009756, valid_icir -0.115406, valid_ric 0.010507, valid_ricir 0.108146, valid_prec@10 0.511885, valid_prec@30 0.506831, valid_mae 0.108389, valid_rmse 0.228570, valid_mape 2547.985596, valid_acc 0.558302, test_loss 0.076690, ic -0.018243, icir -0.151868, ric -0.005329, ricir -0.039783, prec@10 0.499588, prec@30 0.505213, test_mae 0.154221, test_rmse 0.297375, test_mape 2533.550049, test_acc 0.528084
Epoch 12, train_loss 0.002268, train_ic 0.001678, train_icir 0.035690, train_ric -0.013117, train_ricir -0.167767, train_mae 0.016815, train_rmse 0.023853, train_mape 159.469254, train_acc 0.408877, valid_loss 0.0024062771, valid_ic -0.004768, valid_icir -0.134916, valid_ric -0.014047, valid_ricir -0.264241, valid_prec@10 0.518443, valid_prec@30 0.496038, valid_mae 0.018682, valid_rmse 0.054546, valid_mape 256.412079, valid_acc 0.476625, test_loss 0.006505, ic -0.007393, icir -0.131303, ric -0.011077, ricir -0.203592, prec@10 0.532510, prec@30 0.498491, test_mae 0.034119, test_rmse 0.097441, test_mape 333.392914, test_acc 0.494236
Epoch 13, train_loss 0.002080, train_ic 0.017986, train_icir 0.239896, train_ric 0.013291, train_ricir 0.100704, train_mae 0.021504, train_rmse 0.033604, train_mape 451.395935, train_acc 0.341667, valid_loss 0.0025684389, valid_ic -0.005262, valid_icir -0.112148, valid_ric -0.014270, valid_ricir -0.145004, valid_prec@10 0.634016, valid_prec@30 0.600273, valid_mae 0.024299, valid_rmse 0.054299, valid_mape 441.285095, valid_acc 0.594035, test_loss 0.006295, ic -0.009220, icir -0.149166, ric -0.003543, ricir -0.027956, prec@10 0.635391, prec@30 0.594513, test_mae 0.033830, test_rmse 0.092690, test_mape 411.617432, test_acc 0.713024
Epoch 14, train_loss 0.001983, train_ic 0.007865, train_icir 0.133491, train_ric 0.022564, train_ricir 0.219074, train_mae 0.031671, train_rmse 0.041732, train_mape 394.413483, train_acc 0.148691, valid_loss 0.0023151577, valid_ic -0.004550, valid_icir -0.146102, valid_ric 0.009249, valid_ricir 0.162717, valid_prec@10 0.534426, valid_prec@30 0.526503, valid_mae 0.025817, valid_rmse 0.053103, valid_mape 405.759491, valid_acc 0.359215, test_loss 0.005578, ic -0.007502, icir -0.162283, ric 0.005366, ricir 0.067842, prec@10 0.524280, prec@30 0.523594, test_mae 0.041447, test_rmse 0.091255, test_mape 434.526764, test_acc 0.237429
Epoch 15, train_loss 0.001860, train_ic 0.007618, train_icir 0.151746, train_ric 0.007919, train_ricir 0.109527, train_mae 0.022757, train_rmse 0.038504, train_mape 144.803879, train_acc 0.422727, valid_loss 0.0019026156, valid_ic -0.005700, valid_icir -0.161545, valid_ric -0.003214, valid_ricir -0.066305, valid_prec@10 0.588525, valid_prec@30 0.546995, valid_mae 0.017951, valid_rmse 0.047772, valid_mape 218.572189, valid_acc 0.390650, test_loss 0.004900, ic -0.008751, icir -0.172339, ric -0.004351, ricir -0.074409, prec@10 0.553909, prec@30 0.559945, test_mae 0.032469, test_rmse 0.085297, test_mape 294.001709, test_acc 0.319598
Epoch 16, train_loss 0.001805, train_ic 0.012535, train_icir 0.213272, train_ric 0.022450, train_ricir 0.219942, train_mae 0.017532, train_rmse 0.031853, train_mape 154.960724, train_acc 0.518701, valid_loss 0.0017801578, valid_ic -0.002948, valid_icir -0.091901, valid_ric 0.008714, valid_ricir 0.155937, valid_prec@10 0.516803, valid_prec@30 0.519809, valid_mae 0.016243, valid_rmse 0.045292, valid_mape 195.330429, valid_acc 0.542988, test_loss 0.004533, ic -0.006343, icir -0.135901, ric 0.009985, ricir 0.131677, prec@10 0.520576, prec@30 0.516598, test_mae 0.027591, test_rmse 0.080884, test_mape 258.120300, test_acc 0.641403
Epoch 17, train_loss 0.001712, train_ic 0.006644, train_icir 0.091724, train_ric -0.018893, train_ricir -0.167322, train_mae 0.022665, train_rmse 0.035118, train_mape 242.817505, train_acc 0.322553, valid_loss 0.0018161430, valid_ic -0.003965, valid_icir -0.095000, valid_ric -0.021007, valid_ricir -0.303213, valid_prec@10 0.512295, valid_prec@30 0.480738, valid_mae 0.018541, valid_rmse 0.044901, valid_mape 292.469208, valid_acc 0.560183, test_loss 0.004415, ic -0.005862, icir -0.101491, ric -0.014280, ricir -0.152476, prec@10 0.534156, prec@30 0.496022, test_mae 0.029985, test_rmse 0.079727, test_mape 304.616302, test_acc 0.568801
Epoch 18, train_loss 0.001651, train_ic 0.018396, train_icir 0.319655, train_ric -0.000337, train_ricir -0.003241, train_mae 0.017169, train_rmse 0.026163, train_mape 203.401779, train_acc 0.389058, valid_loss 0.0016382573, valid_ic -0.000434, valid_icir -0.014452, valid_ric -0.010758, valid_ricir -0.181510, valid_prec@10 0.575820, valid_prec@30 0.547678, valid_mae 0.016310, valid_rmse 0.042271, valid_mape 236.876175, valid_acc 0.583020, test_loss 0.004024, ic -0.003608, icir -0.086660, ric 0.001026, ricir 0.016410, prec@10 0.543621, prec@30 0.543210, test_mae 0.025117, test_rmse 0.075333, test_mape 254.869919, test_acc 0.724062
Epoch 19, train_loss 0.001569, train_ic 0.024277, train_icir 0.350555, train_ric 0.004230, train_ricir 0.036590, train_mae 0.013729, train_rmse 0.025489, train_mape 172.491425, train_acc 0.811881, valid_loss 0.0018960355, valid_ic -0.002216, valid_icir -0.061852, valid_ric -0.013566, valid_ricir -0.182172, valid_prec@10 0.620492, valid_prec@30 0.594945, valid_mae 0.026710, valid_rmse 0.046876, valid_mape 448.964600, valid_acc 0.351424, test_loss 0.004131, ic -0.006269, icir -0.138173, ric 0.000446, ricir 0.004656, prec@10 0.585597, prec@30 0.582853, test_mae 0.040373, test_rmse 0.079268, test_mape 437.627655, test_acc 0.196468
Epoch 20, train_loss 0.001555, train_ic 0.013774, train_icir 0.233108, train_ric 0.004849, train_ricir 0.055659, train_mae 0.016430, train_rmse 0.031094, train_mape 154.776062, train_acc 0.420614, valid_loss 0.0015119686, valid_ic -0.000770, valid_icir -0.022631, valid_ric -0.004664, valid_ricir -0.094466, valid_prec@10 0.529918, valid_prec@30 0.494672, valid_mae 0.017247, valid_rmse 0.041179, valid_mape 193.957596, valid_acc 0.380172, test_loss 0.003663, ic -0.004966, icir -0.105596, ric -0.002270, ricir -0.034819, prec@10 0.526749, prec@30 0.512483, test_mae 0.029535, test_rmse 0.073632, test_mape 263.459717, test_acc 0.367918
Epoch 21, train_loss 0.001530, train_ic 0.024111, train_icir 0.358498, train_ric 0.025427, train_ricir 0.224589, train_mae 0.020194, train_rmse 0.026657, train_mape 101.593468, train_acc 0.772872, valid_loss 0.0014642918, valid_ic 0.000836, valid_icir 0.026650, valid_ric 0.004291, valid_ricir 0.059079, valid_prec@10 0.502049, valid_prec@30 0.520902, valid_mae 0.015761, valid_rmse 0.038909, valid_mape 227.114746, valid_acc 0.594573, test_loss 0.003485, ic -0.003206, icir -0.078795, ric 0.009847, ricir 0.109559, prec@10 0.490123, prec@30 0.518381, test_mae 0.023594, test_rmse 0.069620, test_mape 249.497849, test_acc 0.728477
Epoch 22, train_loss 0.001504, train_ic 0.014477, train_icir 0.192646, train_ric -0.012293, train_ricir -0.110160, train_mae 0.014132, train_rmse 0.024847, train_mape 216.181702, train_acc 0.475743, valid_loss 0.0015563320, valid_ic 0.007216, valid_icir 0.190633, valid_ric -0.011306, valid_ricir -0.142236, valid_prec@10 0.576639, valid_prec@30 0.533743, valid_mae 0.018030, valid_rmse 0.040807, valid_mape 223.997467, valid_acc 0.462923, test_loss 0.003597, ic 0.004037, icir 0.095826, ric -0.003298, ricir -0.035377, prec@10 0.577778, prec@30 0.543896, test_mae 0.027453, test_rmse 0.070287, test_mape 274.846375, test_acc 0.530292
Epoch 23, train_loss 0.001494, train_ic 0.012554, train_icir 0.158134, train_ric 0.038387, train_ricir 0.337491, train_mae 0.036544, train_rmse 0.048458, train_mape 279.040344, train_acc 0.245701, valid_loss 0.0017234738, valid_ic -0.006118, valid_icir -0.134370, valid_ric 0.022868, valid_ricir 0.294930, valid_prec@10 0.634016, valid_prec@30 0.597131, valid_mae 0.021706, valid_rmse 0.044126, valid_mape 309.294678, valid_acc 0.402472, test_loss 0.003833, ic -0.013249, icir -0.280832, ric 0.013740, ricir 0.164097, prec@10 0.638683, prec@30 0.591358, test_mae 0.031946, test_rmse 0.071016, test_mape 301.723969, test_acc 0.284768
Epoch 24, train_loss 0.001485, train_ic 0.012851, train_icir 0.202578, train_ric -0.008440, train_ricir -0.086305, train_mae 0.061068, train_rmse 0.067487, train_mape 77.358917, train_acc 0.802012, valid_loss 0.0015533637, valid_ic 0.003497, valid_icir 0.112231, valid_ric -0.008602, valid_ricir -0.130948, valid_prec@10 0.550820, valid_prec@30 0.514344, valid_mae 0.022500, valid_rmse 0.041283, valid_mape 311.837433, valid_acc 0.348200, test_loss 0.003373, ic 0.000832, icir 0.022678, ric -0.000744, ricir -0.009678, prec@10 0.563786, prec@30 0.527298, test_mae 0.035026, test_rmse 0.070694, test_mape 344.184113, test_acc 0.205298
Epoch 25, train_loss 0.001423, train_ic 0.023128, train_icir 0.253917, train_ric 0.000098, train_ricir 0.000745, train_mae 0.015873, train_rmse 0.025393, train_mape 152.968628, train_acc 0.632972, valid_loss 0.0014628585, valid_ic 0.007102, valid_icir 0.221496, valid_ric -0.002524, valid_ricir -0.028547, valid_prec@10 0.498770, valid_prec@30 0.518443, valid_mae 0.021623, valid_rmse 0.039633, valid_mape 291.904297, valid_acc 0.381784, test_loss 0.003146, ic 0.003031, icir 0.093207, ric 0.009050, ricir 0.075766, prec@10 0.509053, prec@30 0.520027, test_mae 0.030485, test_rmse 0.067383, test_mape 298.715576, test_acc 0.380917
Epoch 26, train_loss 0.001431, train_ic 0.014762, train_icir 0.246150, train_ric 0.017523, train_ricir 0.201502, train_mae 0.024990, train_rmse 0.028040, train_mape 655.821228, train_acc 0.689926, valid_loss 0.0021432059, valid_ic 0.006219, valid_icir 0.182292, valid_ric 0.009292, valid_ricir 0.167398, valid_prec@10 0.540164, valid_prec@30 0.515301, valid_mae 0.030490, valid_rmse 0.044036, valid_mape 661.084595, valid_acc 0.582751, test_loss 0.003839, ic 0.002543, icir 0.064202, ric 0.008180, ricir 0.107215, prec@10 0.554733, prec@30 0.517970, test_mae 0.030714, test_rmse 0.066107, test_mape 504.254150, test_acc 0.737797
Epoch 27, train_loss 0.001444, train_ic 0.023862, train_icir 0.243341, train_ric 0.018729, train_ricir 0.143299, train_mae 0.055429, train_rmse 0.068408, train_mape 274.371063, train_acc 0.110026, valid_loss 0.0017025120, valid_ic -0.002355, valid_icir -0.042228, valid_ric -0.002065, valid_ricir -0.019747, valid_prec@10 0.611475, valid_prec@30 0.583060, valid_mae 0.028391, valid_rmse 0.043645, valid_mape 503.192078, valid_acc 0.371843, test_loss 0.003353, ic -0.008633, icir -0.154469, ric -0.002351, ricir -0.016929, prec@10 0.562963, prec@30 0.582853, test_mae 0.041426, test_rmse 0.071970, test_mape 465.621674, test_acc 0.209713
Epoch 28, train_loss 0.001397, train_ic 0.027658, train_icir 0.286733, train_ric -0.015142, train_ricir -0.112952, train_mae 0.018109, train_rmse 0.025957, train_mape 166.567657, train_acc 0.477876, valid_loss 0.0012824018, valid_ic 0.006479, valid_icir 0.162124, valid_ric -0.020379, valid_ricir -0.230506, valid_prec@10 0.549590, valid_prec@30 0.533333, valid_mae 0.017396, valid_rmse 0.035333, valid_mape 222.122574, valid_acc 0.460774, test_loss 0.002841, ic 0.004958, icir 0.126918, ric -0.003833, ricir -0.037064, prec@10 0.542387, prec@30 0.542798, test_mae 0.026798, test_rmse 0.063278, test_mape 261.486420, test_acc 0.470444
Epoch 29, train_loss 0.001396, train_ic 0.012391, train_icir 0.156262, train_ric 0.004481, train_ricir 0.036938, train_mae 0.017380, train_rmse 0.021348, train_mape 621.952454, train_acc 0.578055, valid_loss 0.0014671816, valid_ic 0.001880, valid_icir 0.061011, valid_ric 0.002485, valid_ricir 0.026730, valid_prec@10 0.550410, valid_prec@30 0.533880, valid_mae 0.020251, valid_rmse 0.036206, valid_mape 401.053528, valid_acc 0.597260, test_loss 0.003042, ic -0.000912, icir -0.027125, ric 0.003637, ricir 0.029190, prec@10 0.556790, prec@30 0.534019, test_mae 0.022468, test_rmse 0.060494, test_mape 328.435333, test_acc 0.751042
Epoch 30, train_loss 0.001403, train_ic 0.016981, train_icir 0.206420, train_ric 0.008384, train_ricir 0.069583, train_mae 0.038975, train_rmse 0.044584, train_mape 551.968445, train_acc 0.200704, valid_loss 0.0019011104, valid_ic 0.001716, valid_icir 0.063096, valid_ric 0.005831, valid_ricir 0.069716, valid_prec@10 0.561066, valid_prec@30 0.545492, valid_mae 0.032880, valid_rmse 0.045302, valid_mape 566.079834, valid_acc 0.350618, test_loss 0.003304, ic -0.002159, icir -0.075879, ric 0.007747, ricir 0.066909, prec@10 0.520576, prec@30 0.533882, test_mae 0.043788, test_rmse 0.070153, test_mape 492.520813, test_acc 0.200883
Epoch 31, train_loss 0.001361, train_ic 0.013584, train_icir 0.240912, train_ric 0.011757, train_ricir 0.144911, train_mae 0.038726, train_rmse 0.046562, train_mape 104.099380, train_acc 0.870342, valid_loss 0.0018867361, valid_ic -0.000326, valid_icir -0.011468, valid_ric 0.017526, valid_ricir 0.376178, valid_prec@10 0.602459, valid_prec@30 0.581694, valid_mae 0.034353, valid_rmse 0.045946, valid_mape 613.181641, valid_acc 0.346319, test_loss 0.003310, ic -0.007410, icir -0.213606, ric 0.005423, ricir 0.105385, prec@10 0.575309, prec@30 0.580247, test_mae 0.044995, test_rmse 0.070466, test_mape 521.084473, test_acc 0.190091
Epoch 32, train_loss 0.001339, train_ic 0.016868, train_icir 0.229659, train_ric 0.041117, train_ricir 0.392738, train_mae 0.017970, train_rmse 0.026330, train_mape 146.537735, train_acc 0.378361, valid_loss 0.0011993508, valid_ic -0.005448, valid_icir -0.128769, valid_ric 0.019957, valid_ricir 0.257072, valid_prec@10 0.610656, valid_prec@30 0.590574, valid_mae 0.015471, valid_rmse 0.033770, valid_mape 157.552261, valid_acc 0.535733, test_loss 0.002655, ic -0.010997, icir -0.257565, ric 0.010984, ricir 0.125950, prec@10 0.583539, prec@30 0.584225, test_mae 0.024636, test_rmse 0.059864, test_mape 210.563232, test_acc 0.548688
Epoch 33, train_loss 0.001377, train_ic 0.036574, train_icir 0.443046, train_ric 0.008835, train_ricir 0.074995, train_mae 0.023364, train_rmse 0.033279, train_mape 175.755234, train_acc 0.271506, valid_loss 0.0011433158, valid_ic 0.005584, valid_icir 0.176431, valid_ric -0.003602, valid_ricir -0.061175, valid_prec@10 0.566803, valid_prec@30 0.557514, valid_mae 0.016086, valid_rmse 0.033084, valid_mape 174.613785, valid_acc 0.393068, test_loss 0.002505, ic -0.000871, icir -0.024918, ric 0.003912, ricir 0.058816, prec@10 0.511523, prec@30 0.531001, test_mae 0.025855, test_rmse 0.059634, test_mape 221.691391, test_acc 0.374295
Epoch 34, train_loss 0.001343, train_ic 0.040461, train_icir 0.463439, train_ric -0.008466, train_ricir -0.071462, train_mae 0.017589, train_rmse 0.027199, train_mape 130.112595, train_acc 0.640607, valid_loss 0.0011698852, valid_ic 0.003726, valid_icir 0.084622, valid_ric -0.029453, valid_ricir -0.411150, valid_prec@10 0.578279, valid_prec@30 0.574317, valid_mae 0.017391, valid_rmse 0.033499, valid_mape 204.334778, valid_acc 0.346588, test_loss 0.002517, ic 0.000032, icir 0.000768, ric -0.009268, ricir -0.111372, prec@10 0.544033, prec@30 0.563923, test_mae 0.029508, test_rmse 0.060540, test_mape 273.105743, test_acc 0.221486
Epoch 35, train_loss 0.001353, train_ic 0.017893, train_icir 0.209314, train_ric 0.048395, train_ricir 0.411235, train_mae 0.026784, train_rmse 0.033463, train_mape 6099.980957, train_acc 0.205937, valid_loss 0.0011753474, valid_ic -0.001303, valid_icir -0.030805, valid_ric 0.023534, valid_ricir 0.272006, valid_prec@10 0.550820, valid_prec@30 0.567350, valid_mae 0.016055, valid_rmse 0.032007, valid_mape 227.719589, valid_acc 0.603439, test_loss 0.002497, ic -0.008222, icir -0.190689, ric 0.016510, ricir 0.169979, prec@10 0.498354, prec@30 0.538820, test_mae 0.022799, test_rmse 0.056895, test_mape 232.732437, test_acc 0.702477
Epoch 36, train_loss 0.001305, train_ic 0.015082, train_icir 0.188652, train_ric -0.015883, train_ricir -0.143531, train_mae 0.019203, train_rmse 0.028496, train_mape 9686.412109, train_acc 0.624893, valid_loss 0.0014646407, valid_ic 0.003061, valid_icir 0.089067, valid_ric -0.011232, valid_ricir -0.140281, valid_prec@10 0.570902, valid_prec@30 0.541257, valid_mae 0.025597, valid_rmse 0.038266, valid_mape 402.822296, valid_acc 0.352499, test_loss 0.002717, ic -0.001230, icir -0.039798, ric -0.007137, ricir -0.075437, prec@10 0.551852, prec@30 0.533882, test_mae 0.038847, test_rmse 0.064354, test_mape 413.515991, test_acc 0.209222
Epoch 37, train_loss 0.001355, train_ic 0.019178, train_icir 0.239641, train_ric 0.015544, train_ricir 0.129059, train_mae 0.018777, train_rmse 0.030259, train_mape 160.830688, train_acc 0.575267, valid_loss 0.0011180818, valid_ic 0.003482, valid_icir 0.104217, valid_ric 0.005829, valid_ricir 0.061379, valid_prec@10 0.532377, valid_prec@30 0.525000, valid_mae 0.015374, valid_rmse 0.030959, valid_mape 219.507782, valid_acc 0.580333, test_loss 0.002390, ic 0.000170, icir 0.005045, ric 0.007357, ricir 0.057871, prec@10 0.543621, prec@30 0.539095, test_mae 0.021468, test_rmse 0.055419, test_mape 217.252274, test_acc 0.723571
Epoch 38, train_loss 0.001320, train_ic 0.021744, train_icir 0.277313, train_ric 0.008494, train_ricir 0.082386, train_mae 0.012574, train_rmse 0.022697, train_mape 133.849915, train_acc 0.508135, valid_loss 0.0010979840, valid_ic -0.001286, valid_icir -0.034042, valid_ric 0.000037, valid_ricir 0.000596, valid_prec@10 0.578279, valid_prec@30 0.554781, valid_mae 0.016120, valid_rmse 0.032114, valid_mape 172.942657, valid_acc 0.390650, test_loss 0.002367, ic -0.008164, icir -0.193981, ric -0.005019, ricir -0.058753, prec@10 0.531276, prec@30 0.538683, test_mae 0.027123, test_rmse 0.057784, test_mape 234.307236, test_acc 0.273240
Epoch 39, train_loss 0.001305, train_ic 0.014900, train_icir 0.277862, train_ric 0.013114, train_ricir 0.182960, train_mae 0.046438, train_rmse 0.053995, train_mape 184.111816, train_acc 0.222643, valid_loss 0.0013291620, valid_ic -0.002263, valid_icir -0.080168, valid_ric 0.007770, valid_ricir 0.145526, valid_prec@10 0.518033, valid_prec@30 0.514617, valid_mae 0.019996, valid_rmse 0.032464, valid_mape 391.635925, valid_acc 0.595916, test_loss 0.002546, ic -0.006837, icir -0.191135, ric 0.000075, ricir 0.001233, prec@10 0.516872, prec@30 0.516049, test_mae 0.021790, test_rmse 0.053876, test_mape 308.933044, test_acc 0.745401
