Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.142204, train_ic 0.004718, train_icir 0.045559, train_ric 0.019436, train_ricir 0.156504, train_mae 0.078078, train_rmse 0.175835, train_mape 1150.131836, train_acc 0.690791, valid_loss 0.0405928738, valid_ic -0.009756, valid_icir -0.115406, valid_ric 0.010507, valid_ricir 0.108146, valid_prec@10 0.511885, valid_prec@30 0.506831, valid_mae 0.108389, valid_rmse 0.228570, valid_mape 2547.985596, valid_acc 0.558302, test_loss 0.076690, ic -0.018243, icir -0.151868, ric -0.005329, ricir -0.039783, prec@10 0.499588, prec@30 0.505213, test_mae 0.154221, test_rmse 0.297375, test_mape 2533.550049, test_acc 0.528084
Epoch 2, train_loss 0.032027, train_ic 0.005890, train_icir 0.073128, train_ric -0.010794, train_ricir -0.145738, train_mae 0.065966, train_rmse 0.155489, train_mape 1091.056152, train_acc 0.475809, valid_loss 0.0203387838, valid_ic -0.007657, valid_icir -0.110610, valid_ric -0.018266, valid_ricir -0.391151, valid_prec@10 0.537295, valid_prec@30 0.528825, valid_mae 0.067728, valid_rmse 0.166658, valid_mape 1510.431519, valid_acc 0.411875, test_loss 0.045334, ic -0.015069, icir -0.142257, ric -0.013405, ricir -0.207959, prec@10 0.541975, prec@30 0.528669, test_mae 0.107140, test_rmse 0.235783, test_mape 1613.956787, test_acc 0.392691
Epoch 3, train_loss 0.017371, train_ic 0.004514, train_icir 0.063501, train_ric -0.017260, train_ricir -0.231516, train_mae 0.046515, train_rmse 0.106905, train_mape 722.658386, train_acc 0.590753, valid_loss 0.0138226784, valid_ic -0.008319, valid_icir -0.131766, valid_ric -0.021361, valid_ricir -0.473432, valid_prec@10 0.636885, valid_prec@30 0.593169, valid_mae 0.055241, valid_rmse 0.137292, valid_mape 1215.519897, valid_acc 0.576840, test_loss 0.032968, ic -0.015770, icir -0.157331, ric -0.017293, ricir -0.272458, prec@10 0.620988, prec@30 0.593141, test_mae 0.084581, test_rmse 0.203620, test_mape 1285.567627, test_acc 0.651705
Epoch 4, train_loss 0.011305, train_ic 0.005273, train_icir 0.077955, train_ric -0.009979, train_ricir -0.127352, train_mae 0.056287, train_rmse 0.111026, train_mape 684.421997, train_acc 0.256606, valid_loss 0.0098942514, valid_ic -0.007223, valid_icir -0.122028, valid_ric -0.023207, valid_ricir -0.434306, valid_prec@10 0.529508, valid_prec@30 0.500683, valid_mae 0.043223, valid_rmse 0.116904, valid_mape 930.621033, valid_acc 0.581139, test_loss 0.025002, ic -0.013688, icir -0.144780, ric -0.013683, ricir -0.195556, prec@10 0.532922, prec@30 0.510562, test_mae 0.069175, test_rmse 0.180961, test_mape 983.860229, test_acc 0.681874
Epoch 5, train_loss 0.008131, train_ic 0.007009, train_icir 0.127963, train_ric -0.003605, train_ricir -0.050299, train_mae 0.050356, train_rmse 0.075550, train_mape 940.995117, train_acc 0.432668, valid_loss 0.0091598647, valid_ic -0.006352, valid_icir -0.127142, valid_ric -0.014079, valid_ricir -0.320160, valid_prec@10 0.595902, valid_prec@30 0.569809, valid_mae 0.061186, valid_rmse 0.111418, valid_mape 1209.933960, valid_acc 0.345244, test_loss 0.021375, ic -0.012735, icir -0.154027, ric -0.010401, ricir -0.207142, prec@10 0.568724, prec@30 0.564883, test_mae 0.090738, test_rmse 0.171071, test_mape 1154.967896, test_acc 0.195487
Epoch 6, train_loss 0.006089, train_ic 0.004632, train_icir 0.088100, train_ric -0.011310, train_ricir -0.120105, train_mae 0.023972, train_rmse 0.069413, train_mape 694.054199, train_acc 0.446870, valid_loss 0.0059216523, valid_ic -0.006257, valid_icir -0.130701, valid_ric -0.019237, valid_ricir -0.292977, valid_prec@10 0.550410, valid_prec@30 0.519536, valid_mae 0.030357, valid_rmse 0.091389, valid_mape 507.266144, valid_acc 0.388501, test_loss 0.016265, ic -0.011892, icir -0.149978, ric -0.011199, ricir -0.157991, prec@10 0.528395, prec@30 0.520439, test_mae 0.057171, test_rmse 0.150382, test_mape 671.697571, test_acc 0.347805
Epoch 7, train_loss 0.004856, train_ic 0.004012, train_icir 0.077022, train_ric -0.005475, train_ricir -0.061035, train_mae 0.046939, train_rmse 0.068897, train_mape 331.071014, train_acc 0.113087, valid_loss 0.0050978313, valid_ic -0.005328, valid_icir -0.117826, valid_ric -0.007045, valid_ricir -0.123471, valid_prec@10 0.562295, valid_prec@30 0.540164, valid_mae 0.034880, valid_rmse 0.084447, valid_mape 613.975647, valid_acc 0.349275, test_loss 0.013806, ic -0.011109, icir -0.152773, ric -0.005123, ricir -0.079859, prec@10 0.524280, prec@30 0.531824, test_mae 0.059642, test_rmse 0.140037, test_mape 697.396729, test_acc 0.216826
Epoch 8, train_loss 0.003955, train_ic 0.011505, train_icir 0.203148, train_ric -0.017751, train_ricir -0.143631, train_mae 0.038123, train_rmse 0.072333, train_mape 334.533722, train_acc 0.527452, valid_loss 0.0047958022, valid_ic -0.002953, valid_icir -0.063302, valid_ric -0.023432, valid_ricir -0.311098, valid_prec@10 0.603689, valid_prec@30 0.563115, valid_mae 0.041803, valid_rmse 0.080367, valid_mape 781.491028, valid_acc 0.346588, test_loss 0.012139, ic -0.008493, icir -0.119606, ric -0.006008, ricir -0.070826, prec@10 0.572016, prec@30 0.553498, test_mae 0.065303, test_rmse 0.132413, test_mape 801.558777, test_acc 0.192298
Epoch 9, train_loss 0.003360, train_ic 0.005043, train_icir 0.074310, train_ric 0.007584, train_ricir 0.059705, train_mae 0.023345, train_rmse 0.046097, train_mape 419.749512, train_acc 0.557850, valid_loss 0.0037087257, valid_ic -0.007801, valid_icir -0.151738, valid_ric -0.008606, valid_ricir -0.083851, valid_prec@10 0.614344, valid_prec@30 0.546858, valid_mae 0.026723, valid_rmse 0.068963, valid_mape 477.314941, valid_acc 0.587319, test_loss 0.010047, ic -0.013039, icir -0.175852, ric -0.008246, ricir -0.059678, prec@10 0.579012, prec@30 0.565844, test_mae 0.042197, test_rmse 0.118045, test_mape 517.030334, test_acc 0.695610
Epoch 10, train_loss 0.002868, train_ic 0.005895, train_icir 0.093678, train_ric 0.024058, train_ricir 0.233666, train_mae 0.056393, train_rmse 0.070971, train_mape 301.370178, train_acc 0.143964, valid_loss 0.0037016453, valid_ic -0.003331, valid_icir -0.075458, valid_ric 0.006543, valid_ricir 0.113213, valid_prec@10 0.490984, valid_prec@30 0.502732, valid_mae 0.032417, valid_rmse 0.065961, valid_mape 668.836182, valid_acc 0.577378, test_loss 0.009028, ic -0.007562, icir -0.113725, ric 0.005143, ricir 0.067509, prec@10 0.507407, prec@30 0.500960, test_mae 0.043513, test_rmse 0.110956, test_mape 619.971619, test_acc 0.710326
Epoch 11, train_loss 0.002516, train_ic 0.005425, train_icir 0.073811, train_ric 0.033730, train_ricir 0.256895, train_mae 0.037665, train_rmse 0.062328, train_mape 269.787262, train_acc 0.417326, valid_loss 0.0030048713, valid_ic -0.009116, valid_icir -0.183999, valid_ric 0.012574, valid_ricir 0.126445, valid_prec@10 0.631148, valid_prec@30 0.588115, valid_mae 0.023555, valid_rmse 0.060376, valid_mape 398.949463, valid_acc 0.593767, test_loss 0.007857, ic -0.014418, icir -0.210833, ric 0.004979, ricir 0.039564, prec@10 0.628807, prec@30 0.588752, test_mae 0.037343, test_rmse 0.103680, test_mape 445.970917, test_acc 0.667648
