Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.003014, train_ic 0.011234, train_icir 0.182058, train_ric 0.002122, train_ricir 0.021142, train_mae 0.052700, train_rmse 0.080545, train_mape 914.917480, train_acc 0.337029, valid_loss 0.0072373789, valid_ic 0.006040, valid_icir 0.111717, valid_ric 0.002767, valid_ricir 0.033933, valid_mae 0.053890, valid_rmse 0.081672, valid_mape 1007.903198, valid_acc 0.304643, test_loss 0.005614, ic 0.007344, icir 0.194145, ric -0.019750, ricir -0.241839, prec@10 0.459504, prec@30 0.460606, test_mae 0.059365, test_rmse 0.076360, test_mape 937.555298, test_acc 0.160922
Epoch 13, train_loss 0.002861, train_ic 0.005975, train_icir 0.096140, train_ric -0.009159, train_ricir -0.093638, train_mae 0.015894, train_rmse 0.025481, train_mape 202.671432, train_acc 0.612189, valid_loss 0.0056466974, valid_ic 0.005287, valid_icir 0.107817, valid_ric -0.010950, valid_ricir -0.140472, valid_mae 0.031661, valid_rmse 0.068771, valid_mape 523.260193, valid_acc 0.301150, test_loss 0.003966, ic 0.006224, icir 0.177429, ric -0.028444, ricir -0.376969, prec@10 0.463636, prec@30 0.465978, test_mae 0.034752, test_rmse 0.059222, test_mape 536.225647, test_acc 0.213512
Epoch 14, train_loss 0.002715, train_ic 0.010255, train_icir 0.118047, train_ric 0.025029, train_ricir 0.183996, train_mae 0.044526, train_rmse 0.065452, train_mape 178.010773, train_acc 0.325340, valid_loss 0.0054360824, valid_ic 0.008749, valid_icir 0.120286, valid_ric 0.038272, valid_ricir 0.242404, valid_mae 0.028399, valid_rmse 0.066067, valid_mape 490.431732, valid_acc 0.414749, test_loss 0.003853, ic 0.008278, icir 0.157501, ric 0.032165, ricir 0.243162, prec@10 0.564876, prec@30 0.560055, test_mae 0.033815, test_rmse 0.057888, test_mape 529.300903, test_acc 0.228678
Epoch 15, train_loss 0.002642, train_ic 0.000261, train_icir 0.003111, train_ric 0.024312, train_ricir 0.172675, train_mae 0.032314, train_rmse 0.053241, train_mape 220.951630, train_acc 0.336585, valid_loss 0.0050195301, valid_ic 0.004306, valid_icir 0.094894, valid_ric 0.003455, valid_ricir 0.023310, valid_mae 0.023542, valid_rmse 0.062394, valid_mape 384.431458, valid_acc 0.489934, test_loss 0.003405, ic 0.007723, icir 0.218011, ric -0.001829, ricir -0.013809, prec@10 0.455785, prec@30 0.459642, test_mae 0.022472, test_rmse 0.049838, test_mape 388.707031, test_acc 0.537522
Epoch 16, train_loss 0.002497, train_ic 0.022319, train_icir 0.307504, train_ric 0.004207, train_ricir 0.036174, train_mae 0.027037, train_rmse 0.037691, train_mape 125.102722, train_acc 0.318027, valid_loss 0.0046906276, valid_ic 0.008314, valid_icir 0.154174, valid_ric 0.002510, valid_ricir 0.028901, valid_mae 0.020452, valid_rmse 0.059573, valid_mape 272.237671, valid_acc 0.568817, test_loss 0.003116, ic 0.010954, icir 0.291823, ric -0.005286, ricir -0.066630, prec@10 0.489669, prec@30 0.496281, test_mae 0.020978, test_rmse 0.047781, test_mape 333.798920, test_acc 0.662990
Epoch 17, train_loss 0.002410, train_ic 0.020385, train_icir 0.260742, train_ric 0.006103, train_ricir 0.049789, train_mae 0.013010, train_rmse 0.021500, train_mape 150.892334, train_acc 0.498666, valid_loss 0.0045241211, valid_ic 0.008810, valid_icir 0.152427, valid_ric 0.012159, valid_ricir 0.114024, valid_mae 0.020928, valid_rmse 0.058307, valid_mape 282.680450, valid_acc 0.465694, test_loss 0.002979, ic 0.011725, icir 0.287659, ric 0.010976, ricir 0.110223, prec@10 0.489669, prec@30 0.497383, test_mae 0.022159, test_rmse 0.047202, test_mape 340.164856, test_acc 0.552492
Epoch 18, train_loss 0.002397, train_ic 0.014726, train_icir 0.184971, train_ric 0.009255, train_ricir 0.067708, train_mae 0.025229, train_rmse 0.039165, train_mape 313.279053, train_acc 0.338346, valid_loss 0.0045270357, valid_ic 0.008096, valid_icir 0.141202, valid_ric 0.028164, valid_ricir 0.202482, valid_mae 0.029359, valid_rmse 0.060228, valid_mape 482.003082, valid_acc 0.306491, test_loss 0.003025, ic 0.010586, icir 0.274044, ric 0.019031, ricir 0.162692, prec@10 0.498347, prec@30 0.489394, test_mae 0.032963, test_rmse 0.052426, test_mape 486.536407, test_acc 0.162104
Epoch 19, train_loss 0.002292, train_ic 0.013578, train_icir 0.179002, train_ric 0.013589, train_ricir 0.121812, train_mae 0.030261, train_rmse 0.039656, train_mape 3308.209717, train_acc 0.157595, valid_loss 0.0042535377, valid_ic 0.006814, valid_icir 0.124637, valid_ric 0.011423, valid_ricir 0.115354, valid_mae 0.027569, valid_rmse 0.058352, valid_mape 452.824890, valid_acc 0.339565, test_loss 0.002832, ic 0.007739, icir 0.188131, ric 0.005344, ricir 0.049078, prec@10 0.511570, prec@30 0.530303, test_mae 0.030306, test_rmse 0.049901, test_mape 439.343872, test_acc 0.194209
Epoch 20, train_loss 0.002221, train_ic 0.017000, train_icir 0.267588, train_ric 0.001636, train_ricir 0.014786, train_mae 0.016433, train_rmse 0.037419, train_mape 213.729813, train_acc 0.783682, valid_loss 0.0041329478, valid_ic 0.005887, valid_icir 0.128219, valid_ric -0.015742, valid_ricir -0.145086, valid_mae 0.019699, valid_rmse 0.054041, valid_mape 333.064117, valid_acc 0.657354, test_loss 0.002663, ic 0.009334, icir 0.286789, ric -0.019594, ricir -0.208180, prec@10 0.487603, prec@30 0.471625, test_mae 0.016781, test_rmse 0.041199, test_mape 353.812653, test_acc 0.801851
Epoch 21, train_loss 0.002187, train_ic 0.008173, train_icir 0.117597, train_ric 0.044699, train_ricir 0.358867, train_mae 0.016721, train_rmse 0.022881, train_mape 3428.443115, train_acc 0.350278, valid_loss 0.0039125000, valid_ic 0.005877, valid_icir 0.133462, valid_ric 0.026567, valid_ricir 0.203889, valid_mae 0.019585, valid_rmse 0.053117, valid_mape 296.289856, valid_acc 0.635990, test_loss 0.002481, ic 0.009975, icir 0.320591, ric 0.029244, ricir 0.246647, prec@10 0.461983, prec@30 0.455096, test_mae 0.017944, test_rmse 0.041356, test_mape 291.362823, test_acc 0.758913
Epoch 22, train_loss 0.002169, train_ic 0.014511, train_icir 0.187701, train_ric -0.013317, train_ricir -0.109208, train_mae 0.030406, train_rmse 0.071066, train_mape 816.417114, train_acc 0.767677, valid_loss 0.0038731881, valid_ic 0.006588, valid_icir 0.133472, valid_ric -0.002926, valid_ricir -0.030903, valid_mae 0.023813, valid_rmse 0.053699, valid_mape 345.106140, valid_acc 0.306697, test_loss 0.002453, ic 0.009235, icir 0.269818, ric -0.013241, ricir -0.140096, prec@10 0.463223, prec@30 0.473829, test_mae 0.028108, test_rmse 0.046571, test_mape 375.342407, test_acc 0.171952
Epoch 23, train_loss 0.002133, train_ic 0.017524, train_icir 0.225776, train_ric 0.028018, train_ricir 0.239627, train_mae 0.015412, train_rmse 0.021207, train_mape 156.772919, train_acc 0.431800, valid_loss 0.0036657281, valid_ic 0.009409, valid_icir 0.156671, valid_ric 0.041664, valid_ricir 0.308107, valid_mae 0.018321, valid_rmse 0.050853, valid_mape 246.667175, valid_acc 0.631676, test_loss 0.002301, ic 0.010410, icir 0.249603, ric 0.027829, ricir 0.234542, prec@10 0.498347, prec@30 0.492149, test_mae 0.022375, test_rmse 0.042707, test_mape 320.709930, test_acc 0.465235
Epoch 24, train_loss 0.002103, train_ic 0.017721, train_icir 0.214439, train_ric 0.025509, train_ricir 0.214651, train_mae 0.020030, train_rmse 0.026581, train_mape 13977.875000, train_acc 0.464867, valid_loss 0.0040587080, valid_ic 0.007937, valid_icir 0.144737, valid_ric 0.026913, valid_ricir 0.234248, valid_mae 0.033658, valid_rmse 0.057542, valid_mape 592.952209, valid_acc 0.334224, test_loss 0.002777, ic 0.007667, icir 0.200340, ric 0.015894, ricir 0.153768, prec@10 0.521901, prec@30 0.552755, test_mae 0.038067, test_rmse 0.052728, test_mape 536.300537, test_acc 0.172149
Epoch 25, train_loss 0.002067, train_ic 0.016610, train_icir 0.208401, train_ric 0.012232, train_ricir 0.100968, train_mae 0.015350, train_rmse 0.028040, train_mape 234.439758, train_acc 0.637090, valid_loss 0.0035633017, valid_ic 0.008015, valid_icir 0.138077, valid_ric 0.021207, valid_ricir 0.156515, valid_mae 0.017785, valid_rmse 0.048938, valid_mape 267.396393, valid_acc 0.668858, test_loss 0.002226, ic 0.011362, icir 0.282492, ric 0.022876, ricir 0.197550, prec@10 0.476446, prec@30 0.488017, test_mae 0.018251, test_rmse 0.038699, test_mape 315.690826, test_acc 0.765807
Epoch 26, train_loss 0.002018, train_ic 0.023598, train_icir 0.246483, train_ric 0.028530, train_ricir 0.218897, train_mae 0.031470, train_rmse 0.058238, train_mape 479.341949, train_acc 0.533951, valid_loss 0.0039766361, valid_ic 0.009881, valid_icir 0.182742, valid_ric 0.029458, valid_ricir 0.237767, valid_mae 0.034325, valid_rmse 0.056694, valid_mape 601.413635, valid_acc 0.307313, test_loss 0.002755, ic 0.010500, icir 0.260371, ric 0.026015, ricir 0.218291, prec@10 0.538430, prec@30 0.510468, test_mae 0.038742, test_rmse 0.052705, test_mape 540.874268, test_acc 0.164467
Epoch 27, train_loss 0.001987, train_ic 0.026245, train_icir 0.345770, train_ric 0.018432, train_ricir 0.177781, train_mae 0.035243, train_rmse 0.048722, train_mape 225.465179, train_acc 0.265230, valid_loss 0.0034033727, valid_ic 0.008998, valid_icir 0.196118, valid_ric 0.014334, valid_ricir 0.161864, valid_mae 0.018977, valid_rmse 0.047980, valid_mape 319.437378, valid_acc 0.655916, test_loss 0.002105, ic 0.012503, icir 0.412700, ric 0.009360, ricir 0.118343, prec@10 0.491322, prec@30 0.469284, test_mae 0.017706, test_rmse 0.037604, test_mape 316.447357, test_acc 0.774867
Epoch 28, train_loss 0.001936, train_ic 0.016283, train_icir 0.233419, train_ric 0.036942, train_ricir 0.376281, train_mae 0.014364, train_rmse 0.021360, train_mape 147.787857, train_acc 0.450213, valid_loss 0.0032593847, valid_ic 0.008202, valid_icir 0.184219, valid_ric 0.037190, valid_ricir 0.444506, valid_mae 0.020284, valid_rmse 0.048184, valid_mape 259.564026, valid_acc 0.390715, test_loss 0.002028, ic 0.010032, icir 0.335937, ric 0.026799, ricir 0.333283, prec@10 0.448347, prec@30 0.457300, test_mae 0.026090, test_rmse 0.042945, test_mape 335.432373, test_acc 0.238133
Epoch 29, train_loss 0.001929, train_ic 0.015483, train_icir 0.185274, train_ric 0.037797, train_ricir 0.318814, train_mae 0.014993, train_rmse 0.024320, train_mape 168.054382, train_acc 0.492148, valid_loss 0.0031576684, valid_ic 0.008499, valid_icir 0.165667, valid_ric 0.041518, valid_ricir 0.370827, valid_mae 0.017514, valid_rmse 0.046251, valid_mape 213.610931, valid_acc 0.593878, test_loss 0.001925, ic 0.009409, icir 0.265082, ric 0.030646, ricir 0.292519, prec@10 0.482645, prec@30 0.503857, test_mae 0.020287, test_rmse 0.038365, test_mape 265.282654, test_acc 0.500689
