Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 40, train_loss 0.001693, train_ic 0.012568, train_icir 0.127507, train_ric 0.030762, train_ricir 0.229658, train_mae 0.024497, train_rmse 0.032892, train_mape 180.600937, train_acc 0.355890, valid_loss 0.0026277263, valid_ic 0.009564, valid_icir 0.156431, valid_ric 0.040052, valid_ricir 0.265004, valid_mae 0.017160, valid_rmse 0.040597, valid_mape 233.014938, valid_acc 0.653451, test_loss 0.001583, ic 0.011153, icir 0.234612, ric 0.039816, ricir 0.297350, prec@10 0.464050, prec@30 0.510606, test_mae 0.019299, test_rmse 0.034675, test_mape 265.583893, test_acc 0.661611
Epoch 41, train_loss 0.001695, train_ic 0.016007, train_icir 0.149930, train_ric 0.008194, train_ricir 0.061628, train_mae 0.030491, train_rmse 0.036829, train_mape 885.950562, train_acc 0.451989, valid_loss 0.0036098494, valid_ic 0.013567, valid_icir 0.156678, valid_ric 0.020699, valid_ricir 0.131589, valid_mae 0.038753, valid_rmse 0.055507, valid_mape 730.462830, valid_acc 0.423993, test_loss 0.002601, ic 0.009264, icir 0.129564, ric 0.011274, ricir 0.084859, prec@10 0.457025, prec@30 0.487603, test_mae 0.041564, test_rmse 0.054014, test_mape 567.351562, test_acc 0.259011
Epoch 42, train_loss 0.001695, train_ic 0.022228, train_icir 0.261638, train_ric 0.022568, train_ricir 0.217048, train_mae 0.025508, train_rmse 0.035547, train_mape 307.712952, train_acc 0.550887, valid_loss 0.0028730613, valid_ic 0.008245, valid_icir 0.186181, valid_ric 0.021511, valid_ricir 0.251784, valid_mae 0.029757, valid_rmse 0.047288, valid_mape 477.238983, valid_acc 0.314708, test_loss 0.001895, ic 0.007610, icir 0.255789, ric 0.010760, ricir 0.157067, prec@10 0.521901, prec@30 0.530441, test_mae 0.035727, test_rmse 0.046788, test_mape 457.436768, test_acc 0.166634
Epoch 43, train_loss 0.001662, train_ic 0.015611, train_icir 0.167099, train_ric 0.038846, train_ricir 0.318434, train_mae 0.017668, train_rmse 0.025517, train_mape 298.508392, train_acc 0.367549, valid_loss 0.0025519782, valid_ic 0.009530, valid_icir 0.197922, valid_ric 0.042643, valid_ricir 0.366597, valid_mae 0.021479, valid_rmse 0.042103, valid_mape 301.430695, valid_acc 0.418858, test_loss 0.001588, ic 0.008923, icir 0.234381, ric 0.032860, ricir 0.302465, prec@10 0.464463, prec@30 0.479614, test_mae 0.027899, test_rmse 0.040890, test_mape 331.109894, test_acc 0.233603
Epoch 44, train_loss 0.001635, train_ic 0.005861, train_icir 0.060132, train_ric 0.032956, train_ricir 0.267812, train_mae 0.027870, train_rmse 0.032924, train_mape 715.281677, train_acc 0.525465, valid_loss 0.0029953866, valid_ic 0.008201, valid_icir 0.154087, valid_ric 0.039479, valid_ricir 0.324505, valid_mae 0.032788, valid_rmse 0.048901, valid_mape 550.301758, valid_acc 0.304643, test_loss 0.002069, ic 0.008398, icir 0.188068, ric 0.036122, ricir 0.324167, prec@10 0.498347, prec@30 0.501102, test_mae 0.038721, test_rmse 0.049172, test_mape 512.662659, test_acc 0.162695
Epoch 45, train_loss 0.001629, train_ic 0.023225, train_icir 0.268895, train_ric 0.034700, train_ricir 0.303671, train_mae 0.012567, train_rmse 0.019357, train_mape 138.517731, train_acc 0.586150, valid_loss 0.0023883635, valid_ic 0.009114, valid_icir 0.196653, valid_ric 0.034450, valid_ricir 0.326618, valid_mae 0.016442, valid_rmse 0.038702, valid_mape 172.341125, valid_acc 0.580320, test_loss 0.001413, ic 0.009889, icir 0.298653, ric 0.024359, ricir 0.251533, prec@10 0.469421, prec@30 0.470110, test_mae 0.020458, test_rmse 0.034573, test_mape 220.495193, test_acc 0.437660
Epoch 46, train_loss 0.001632, train_ic 0.001645, train_icir 0.017871, train_ric 0.032821, train_ricir 0.287037, train_mae 0.036380, train_rmse 0.053536, train_mape 174.252762, train_acc 0.570686, valid_loss 0.0024374738, valid_ic 0.008079, valid_icir 0.170928, valid_ric 0.041226, valid_ricir 0.381585, valid_mae 0.017323, valid_rmse 0.038772, valid_mape 208.825134, valid_acc 0.552999, test_loss 0.001455, ic 0.006803, icir 0.169056, ric 0.030762, ricir 0.302505, prec@10 0.438843, prec@30 0.443251, test_mae 0.022973, test_rmse 0.036636, test_mape 279.124878, test_acc 0.401812
Epoch 47, train_loss 0.001589, train_ic 0.017055, train_icir 0.174313, train_ric 0.009597, train_ricir 0.072147, train_mae 0.021384, train_rmse 0.029528, train_mape 179.594055, train_acc 0.271209, valid_loss 0.0023770663, valid_ic 0.009705, valid_icir 0.164097, valid_ric 0.027652, valid_ricir 0.175973, valid_mae 0.018069, valid_rmse 0.038763, valid_mape 228.341293, valid_acc 0.489729, test_loss 0.001416, ic 0.011608, icir 0.266494, ric 0.027097, ricir 0.207386, prec@10 0.501653, prec@30 0.484711, test_mae 0.022276, test_rmse 0.035796, test_mape 251.373886, test_acc 0.364191
Epoch 48, train_loss 0.001573, train_ic 0.025993, train_icir 0.259533, train_ric 0.008444, train_ricir 0.063007, train_mae 0.018833, train_rmse 0.029517, train_mape 176.363480, train_acc 0.424406, valid_loss 0.0024117889, valid_ic 0.009839, valid_icir 0.195286, valid_ric 0.018635, valid_ricir 0.142985, valid_mae 0.020733, valid_rmse 0.040005, valid_mape 279.945801, valid_acc 0.415160, test_loss 0.001453, ic 0.010523, icir 0.292314, ric 0.004457, ricir 0.039234, prec@10 0.491322, prec@30 0.480992, test_mae 0.025703, test_rmse 0.038525, test_mape 265.110718, test_acc 0.237542
Epoch 49, train_loss 0.001588, train_ic 0.027995, train_icir 0.367285, train_ric 0.023335, train_ricir 0.236085, train_mae 0.016939, train_rmse 0.024010, train_mape 190.133987, train_acc 0.383212, valid_loss 0.0023521337, valid_ic 0.009774, valid_icir 0.229480, valid_ric 0.027776, valid_ricir 0.306609, valid_mae 0.015884, valid_rmse 0.036989, valid_mape 172.911911, valid_acc 0.646672, test_loss 0.001383, ic 0.013093, icir 0.453268, ric 0.021172, ricir 0.269687, prec@10 0.491736, prec@30 0.482369, test_mae 0.018566, test_rmse 0.033151, test_mape 206.979446, test_acc 0.683081
Epoch 50, train_loss 0.001609, train_ic 0.028673, train_icir 0.352640, train_ric 0.023530, train_ricir 0.225714, train_mae 0.028065, train_rmse 0.036106, train_mape 127.334885, train_acc 0.459857, valid_loss 0.0022555619, valid_ic 0.008309, valid_icir 0.240363, valid_ric 0.016749, valid_ricir 0.197869, valid_mae 0.018088, valid_rmse 0.037983, valid_mape 202.440826, valid_acc 0.451931, test_loss 0.001333, ic 0.008984, icir 0.350637, ric 0.007932, ricir 0.091599, prec@10 0.457438, prec@30 0.459504, test_mae 0.019917, test_rmse 0.033130, test_mape 207.948929, test_acc 0.453811
Epoch 51, train_loss 0.001575, train_ic 0.012915, train_icir 0.155270, train_ric 0.033803, train_ricir 0.317913, train_mae 0.040538, train_rmse 0.049592, train_mape 509.303436, train_acc 0.539180, valid_loss 0.0037163791, valid_ic 0.007066, valid_icir 0.188961, valid_ric 0.030255, valid_ricir 0.333242, valid_mae 0.045987, valid_rmse 0.057548, valid_mape 821.427734, valid_acc 0.301972, test_loss 0.002972, ic 0.002729, icir 0.076395, ric 0.019598, ricir 0.211034, prec@10 0.446694, prec@30 0.456061, test_mae 0.054468, test_rmse 0.062073, test_mape 729.462402, test_acc 0.159740
Epoch 52, train_loss 0.001554, train_ic 0.005233, train_icir 0.057962, train_ric 0.024359, train_ricir 0.202492, train_mae 0.027975, train_rmse 0.057110, train_mape 340.271545, train_acc 0.494614, valid_loss 0.0024363668, valid_ic 0.006345, valid_icir 0.116349, valid_ric 0.037937, valid_ricir 0.286156, valid_mae 0.025983, valid_rmse 0.042553, valid_mape 409.423309, valid_acc 0.362572, test_loss 0.001559, ic 0.004169, icir 0.100161, ric 0.027313, ricir 0.250275, prec@10 0.500413, prec@30 0.522176, test_mae 0.032731, test_rmse 0.043338, test_mape 382.093811, test_acc 0.200315
Epoch 53, train_loss 0.001530, train_ic 0.012044, train_icir 0.139189, train_ric 0.022332, train_ricir 0.206728, train_mae 0.033170, train_rmse 0.041942, train_mape 312.619965, train_acc 0.174230, valid_loss 0.0025285062, valid_ic 0.008078, valid_icir 0.159825, valid_ric 0.031216, valid_ricir 0.283238, valid_mae 0.028017, valid_rmse 0.043699, valid_mape 447.820953, valid_acc 0.324774, test_loss 0.001695, ic 0.004676, icir 0.115800, ric 0.013871, ricir 0.147450, prec@10 0.515289, prec@30 0.546694, test_mae 0.038083, test_rmse 0.047814, test_mape 467.123138, test_acc 0.168013
Epoch 54, train_loss 0.001558, train_ic 0.031460, train_icir 0.345982, train_ric 0.015739, train_ricir 0.136504, train_mae 0.021211, train_rmse 0.026946, train_mape 431.511200, train_acc 0.487098, valid_loss 0.0025908144, valid_ic 0.008288, valid_icir 0.240250, valid_ric 0.006319, valid_ricir 0.069976, valid_mae 0.031909, valid_rmse 0.046058, valid_mape 506.213379, valid_acc 0.302383, test_loss 0.001731, ic 0.008769, icir 0.336078, ric -0.001625, ricir -0.018853, prec@10 0.444215, prec@30 0.439945, test_mae 0.034058, test_rmse 0.043686, test_mape 396.901672, test_acc 0.163285
Epoch 55, train_loss 0.001520, train_ic 0.014839, train_icir 0.148914, train_ric 0.006979, train_ricir 0.053890, train_mae 0.014902, train_rmse 0.020387, train_mape 209.447388, train_acc 0.460996, valid_loss 0.0023322875, valid_ic 0.008144, valid_icir 0.157335, valid_ric 0.019732, valid_ricir 0.149864, valid_mae 0.018924, valid_rmse 0.037591, valid_mape 242.981461, valid_acc 0.477198, test_loss 0.001423, ic 0.004147, icir 0.085872, ric 0.005557, ricir 0.046637, prec@10 0.445868, prec@30 0.457989, test_mae 0.026683, test_rmse 0.038039, test_mape 283.746735, test_acc 0.264132
Epoch 56, train_loss 0.001517, train_ic 0.025218, train_icir 0.229057, train_ric 0.006495, train_ricir 0.047390, train_mae 0.023244, train_rmse 0.032092, train_mape 220.446274, train_acc 0.442284, valid_loss 0.0023644588, valid_ic 0.011559, valid_icir 0.180169, valid_ric 0.015022, valid_ricir 0.106328, valid_mae 0.018227, valid_rmse 0.036682, valid_mape 240.914490, valid_acc 0.579499, test_loss 0.001437, ic 0.011263, icir 0.198509, ric 0.010583, ricir 0.083377, prec@10 0.529752, prec@30 0.499174, test_mae 0.020151, test_rmse 0.032160, test_mape 287.733154, test_acc 0.694702
Epoch 57, train_loss 0.001527, train_ic 0.016088, train_icir 0.203779, train_ric 0.019427, train_ricir 0.201441, train_mae 0.034627, train_rmse 0.039887, train_mape 12641.471680, train_acc 0.505063, valid_loss 0.0032381119, valid_ic 0.006521, valid_icir 0.175235, valid_ric 0.017319, valid_ricir 0.210582, valid_mae 0.041714, valid_rmse 0.053508, valid_mape 726.768982, valid_acc 0.304643, test_loss 0.002451, ic 0.002335, icir 0.075220, ric 0.002215, ricir 0.030262, prec@10 0.509504, prec@30 0.522865, test_mae 0.048942, test_rmse 0.056770, test_mape 626.829590, test_acc 0.159740
Epoch 58, train_loss 0.001499, train_ic 0.020380, train_icir 0.264370, train_ric 0.012286, train_ricir 0.118571, train_mae 0.017685, train_rmse 0.025251, train_mape 166.399872, train_acc 0.779581, valid_loss 0.0028047073, valid_ic 0.008432, valid_icir 0.189387, valid_ric 0.024637, valid_ricir 0.232019, valid_mae 0.035650, valid_rmse 0.048176, valid_mape 601.908081, valid_acc 0.304232, test_loss 0.001998, ic 0.008369, icir 0.265741, ric 0.011973, ricir 0.123758, prec@10 0.501653, prec@30 0.490358, test_mae 0.044635, test_rmse 0.052431, test_mape 564.612732, test_acc 0.160725
Epoch 59, train_loss 0.001501, train_ic 0.022782, train_icir 0.289688, train_ric 0.020824, train_ricir 0.212407, train_mae 0.016660, train_rmse 0.027014, train_mape 231.147217, train_acc 0.488315, valid_loss 0.0021576978, valid_ic 0.007571, valid_icir 0.245859, valid_ric 0.017036, valid_ricir 0.216294, valid_mae 0.017946, valid_rmse 0.036569, valid_mape 205.727905, valid_acc 0.478841, test_loss 0.001297, ic 0.002890, icir 0.103816, ric -0.005078, ricir -0.066179, prec@10 0.497521, prec@30 0.471625, test_mae 0.022838, test_rmse 0.034521, test_mape 257.638031, test_acc 0.345677
Epoch 60, train_loss 0.001471, train_ic 0.017728, train_icir 0.219967, train_ric 0.024275, train_ricir 0.242374, train_mae 0.015795, train_rmse 0.040430, train_mape 246.944839, train_acc 0.452740, valid_loss 0.0021702229, valid_ic 0.007610, valid_icir 0.206833, valid_ric 0.023272, valid_ricir 0.252803, valid_mae 0.019189, valid_rmse 0.037522, valid_mape 246.846481, valid_acc 0.456656, test_loss 0.001333, ic 0.005378, icir 0.167485, ric 0.012219, ricir 0.139105, prec@10 0.445041, prec@30 0.449449, test_mae 0.024328, test_rmse 0.035612, test_mape 262.261658, test_acc 0.278117
Epoch 61, train_loss 0.001531, train_ic 0.011640, train_icir 0.191869, train_ric 0.019136, train_ricir 0.236322, train_mae 0.019132, train_rmse 0.028020, train_mape 219.069641, train_acc 0.666188, valid_loss 0.0022249407, valid_ic 0.005662, valid_icir 0.189473, valid_ric 0.012956, valid_ricir 0.184537, valid_mae 0.017241, valid_rmse 0.035699, valid_mape 260.710419, valid_acc 0.661668, test_loss 0.001340, ic 0.006878, icir 0.256996, ric 0.016444, ricir 0.290269, prec@10 0.438843, prec@30 0.447658, test_mae 0.016066, test_rmse 0.029229, test_mape 240.148575, test_acc 0.779988
Epoch 62, train_loss 0.001477, train_ic 0.008618, train_icir 0.126885, train_ric 0.020120, train_ricir 0.215727, train_mae 0.071847, train_rmse 0.075589, train_mape 152.715897, train_acc 0.007343, valid_loss 0.0026437587, valid_ic 0.008223, valid_icir 0.230307, valid_ric 0.027187, valid_ricir 0.346404, valid_mae 0.029969, valid_rmse 0.045808, valid_mape 468.835968, valid_acc 0.300740, test_loss 0.001794, ic 0.005104, icir 0.181135, ric 0.014441, ricir 0.209134, prec@10 0.448347, prec@30 0.450826, test_mae 0.035777, test_rmse 0.046173, test_mape 434.549438, test_acc 0.171558
Epoch 63, train_loss 0.001535, train_ic 0.017519, train_icir 0.182942, train_ric 0.030504, train_ricir 0.248391, train_mae 0.029466, train_rmse 0.040091, train_mape 250.643417, train_acc 0.284242, valid_loss 0.0023451043, valid_ic 0.013827, valid_icir 0.230463, valid_ric 0.044149, valid_ricir 0.315585, valid_mae 0.025719, valid_rmse 0.041177, valid_mape 405.967529, valid_acc 0.385990, test_loss 0.001551, ic 0.014756, icir 0.282526, ric 0.040780, ricir 0.329090, prec@10 0.447521, prec@30 0.463912, test_mae 0.032039, test_rmse 0.043092, test_mape 383.653168, test_acc 0.243845
Epoch 64, train_loss 0.001485, train_ic 0.022010, train_icir 0.235348, train_ric 0.025622, train_ricir 0.196723, train_mae 0.017120, train_rmse 0.025076, train_mape 152.095734, train_acc 0.567577, valid_loss 0.0020591248, valid_ic 0.009186, valid_icir 0.184882, valid_ric 0.036517, valid_ricir 0.256493, valid_mae 0.018965, valid_rmse 0.036595, valid_mape 242.183716, valid_acc 0.452342, test_loss 0.001242, ic 0.007865, icir 0.199228, ric 0.025663, ricir 0.205298, prec@10 0.450413, prec@30 0.459366, test_mae 0.024378, test_rmse 0.035657, test_mape 255.975052, test_acc 0.262163
Epoch 65, train_loss 0.001463, train_ic 0.026505, train_icir 0.340693, train_ric 0.024477, train_ricir 0.238490, train_mae 0.034550, train_rmse 0.044777, train_mape 161.547119, train_acc 0.222861, valid_loss 0.0020632314, valid_ic 0.010970, valid_icir 0.268640, valid_ric 0.028566, valid_ricir 0.315764, valid_mae 0.016966, valid_rmse 0.035342, valid_mape 179.042831, valid_acc 0.465283, test_loss 0.001232, ic 0.013084, icir 0.477192, ric 0.015024, ricir 0.181623, prec@10 0.469008, prec@30 0.465014, test_mae 0.020573, test_rmse 0.033276, test_mape 207.583664, test_acc 0.427418
Epoch 66, train_loss 0.001462, train_ic -0.000342, train_icir -0.003641, train_ric 0.033824, train_ricir 0.297939, train_mae 0.032436, train_rmse 0.037626, train_mape 714.564209, train_acc 0.350512, valid_loss 0.0026524139, valid_ic 0.007305, valid_icir 0.159657, valid_ric 0.040884, valid_ricir 0.410877, valid_mae 0.031728, valid_rmse 0.045045, valid_mape 517.865601, valid_acc 0.304643, test_loss 0.001874, ic 0.004119, icir 0.098457, ric 0.022320, ricir 0.238992, prec@10 0.444628, prec@30 0.455785, test_mae 0.044985, test_rmse 0.052809, test_mape 580.283142, test_acc 0.161316
Epoch 67, train_loss 0.001457, train_ic 0.014833, train_icir 0.147396, train_ric 0.015551, train_ricir 0.125905, train_mae 0.021048, train_rmse 0.026689, train_mape 276.703400, train_acc 0.481717, valid_loss 0.0021543774, valid_ic 0.011726, valid_icir 0.168059, valid_ric 0.029975, valid_ricir 0.230636, valid_mae 0.018170, valid_rmse 0.035802, valid_mape 229.741241, valid_acc 0.589565, test_loss 0.001310, ic 0.009072, icir 0.158286, ric 0.022685, ricir 0.210925, prec@10 0.563223, prec@30 0.559366, test_mae 0.021465, test_rmse 0.033214, test_mape 277.129791, test_acc 0.661217
Epoch 68, train_loss 0.001567, train_ic 0.000707, train_icir 0.009989, train_ric 0.021680, train_ricir 0.259681, train_mae 0.039818, train_rmse 0.047475, train_mape 373.190063, train_acc 0.091541, valid_loss 0.0023452574, valid_ic 0.004540, valid_icir 0.134014, valid_ric 0.017274, valid_ricir 0.256605, valid_mae 0.027425, valid_rmse 0.041611, valid_mape 414.280609, valid_acc 0.299096, test_loss 0.001564, ic 0.000013, icir 0.000393, ric 0.005643, ricir 0.090507, prec@10 0.442562, prec@30 0.450826, test_mae 0.036660, test_rmse 0.045447, test_mape 457.133240, test_acc 0.170770
Epoch 69, train_loss 0.001548, train_ic 0.010052, train_icir 0.113980, train_ric 0.026512, train_ricir 0.226412, train_mae 0.017819, train_rmse 0.025421, train_mape 299.329224, train_acc 0.503536, valid_loss 0.0022481914, valid_ic 0.007573, valid_icir 0.163586, valid_ric 0.036514, valid_ricir 0.311840, valid_mae 0.025578, valid_rmse 0.040319, valid_mape 401.772369, valid_acc 0.382909, test_loss 0.001497, ic 0.001441, icir 0.032140, ric 0.022788, ricir 0.205993, prec@10 0.504545, prec@30 0.492975, test_mae 0.033681, test_rmse 0.043258, test_mape 400.451050, test_acc 0.205633
Epoch 70, train_loss 0.001472, train_ic 0.010412, train_icir 0.102935, train_ric 0.033310, train_ricir 0.259370, train_mae 0.033670, train_rmse 0.042874, train_mape 512.076477, train_acc 0.575747, valid_loss 0.0029502429, valid_ic 0.011284, valid_icir 0.175663, valid_ric 0.046070, valid_ricir 0.328458, valid_mae 0.038709, valid_rmse 0.050260, valid_mape 696.331604, valid_acc 0.306902, test_loss 0.002260, ic 0.007030, icir 0.113599, ric 0.039198, ricir 0.304800, prec@10 0.516116, prec@30 0.524656, test_mae 0.046871, test_rmse 0.055105, test_mape 620.867920, test_acc 0.163482
Epoch 71, train_loss 0.001464, train_ic 0.015984, train_icir 0.193467, train_ric 0.035761, train_ricir 0.327892, train_mae 0.028512, train_rmse 0.040749, train_mape 10461.707031, train_acc 0.388802, valid_loss 0.0024286219, valid_ic 0.009007, valid_icir 0.272703, valid_ric 0.033988, valid_ricir 0.356556, valid_mae 0.029258, valid_rmse 0.043090, valid_mape 477.090515, valid_acc 0.320460, test_loss 0.001696, ic 0.003859, icir 0.106304, ric 0.024856, ricir 0.256251, prec@10 0.451653, prec@30 0.448209, test_mae 0.036030, test_rmse 0.045203, test_mape 447.520203, test_acc 0.196179
Epoch 72, train_loss 0.001432, train_ic 0.016880, train_icir 0.160420, train_ric 0.027324, train_ricir 0.204570, train_mae 0.027426, train_rmse 0.034790, train_mape 463.106628, train_acc 0.350212, valid_loss 0.0026329446, valid_ic 0.010969, valid_icir 0.164711, valid_ric 0.036289, valid_ricir 0.253628, valid_mae 0.034027, valid_rmse 0.046431, valid_mape 595.522095, valid_acc 0.314503, test_loss 0.001899, ic 0.008897, icir 0.148028, ric 0.032560, ricir 0.254686, prec@10 0.469421, prec@30 0.504270, test_mae 0.038912, test_rmse 0.047914, test_mape 473.917725, test_acc 0.172937
Epoch 73, train_loss 0.001432, train_ic 0.015852, train_icir 0.168767, train_ric 0.029798, train_ricir 0.246816, train_mae 0.030488, train_rmse 0.037180, train_mape 443.712341, train_acc 0.224692, valid_loss 0.0027069978, valid_ic 0.010476, valid_icir 0.190608, valid_ric 0.040402, valid_ricir 0.314027, valid_mae 0.036065, valid_rmse 0.047580, valid_mape 636.399109, valid_acc 0.301767, test_loss 0.002000, ic 0.006768, icir 0.130381, ric 0.028111, ricir 0.235492, prec@10 0.442149, prec@30 0.451653, test_mae 0.045111, test_rmse 0.053159, test_mape 566.200073, test_acc 0.161513
Epoch 74, train_loss 0.001796, train_ic -0.010107, train_icir -0.095334, train_ric 0.040902, train_ricir 0.334833, train_mae 0.035984, train_rmse 0.048255, train_mape 438.709442, train_acc 0.468651, valid_loss 0.0048677093, valid_ic 0.005223, valid_icir 0.068621, valid_ric 0.034010, valid_ricir 0.292463, valid_mae 0.049479, valid_rmse 0.061389, valid_mape 837.912476, valid_acc 0.299712, test_loss 0.003901, ic 0.000496, icir 0.006349, ric 0.026017, ricir 0.249802, prec@10 0.457438, prec@30 0.451791, test_mae 0.065079, test_rmse 0.075627, test_mape 912.775818, test_acc 0.175497
Epoch 75, train_loss 0.002303, train_ic -0.001425, train_icir -0.018104, train_ric 0.022700, train_ricir 0.250980, train_mae 0.028782, train_rmse 0.052344, train_mape 544.249512, train_acc 0.684261, valid_loss 0.0029697321, valid_ic 0.010783, valid_icir 0.200677, valid_ric 0.032508, valid_ricir 0.351015, valid_mae 0.033928, valid_rmse 0.048200, valid_mape 583.721130, valid_acc 0.298891, test_loss 0.002156, ic 0.006721, icir 0.130764, ric 0.027156, ricir 0.316032, prec@10 0.438843, prec@30 0.445868, test_mae 0.042315, test_rmse 0.052829, test_mape 566.446838, test_acc 0.172149
Epoch 76, train_loss 0.002827, train_ic -0.013964, train_icir -0.144447, train_ric 0.026976, train_ricir 0.237171, train_mae 0.032497, train_rmse 0.041865, train_mape 616.448303, train_acc 0.525050, valid_loss 0.0046280909, valid_ic 0.003171, valid_icir 0.058235, valid_ric 0.028482, valid_ricir 0.318773, valid_mae 0.046009, valid_rmse 0.060706, valid_mape 814.342773, valid_acc 0.337716, test_loss 0.003748, ic -0.005853, icir -0.106905, ric 0.016011, ricir 0.191857, prec@10 0.447934, prec@30 0.446970, test_mae 0.061836, test_rmse 0.073171, test_mape 887.954895, test_acc 0.182588
Epoch 77, train_loss 0.002514, train_ic -0.009076, train_icir -0.137390, train_ric 0.010971, train_ricir 0.149469, train_mae 0.054532, train_rmse 0.059683, train_mape 974.137329, train_acc 0.225179, valid_loss 0.0041251352, valid_ic -0.000345, valid_icir -0.008253, valid_ric 0.009889, valid_ricir 0.146975, valid_mae 0.054019, valid_rmse 0.062997, valid_mape 962.593933, valid_acc 0.302383, test_loss 0.003370, ic -0.005904, icir -0.145143, ric -0.000488, ricir -0.008692, prec@10 0.455785, prec@30 0.463361, test_mae 0.063256, test_rmse 0.069631, test_mape 868.387817, test_acc 0.168800
Epoch 78, train_loss 0.002065, train_ic -0.002654, train_icir -0.039662, train_ric 0.007209, train_ricir 0.083384, train_mae 0.039664, train_rmse 0.046862, train_mape 749.497437, train_acc 0.331905, valid_loss 0.0032278960, valid_ic 0.003831, valid_icir 0.111062, valid_ric 0.013399, valid_ricir 0.160479, valid_mae 0.043884, valid_rmse 0.054437, valid_mape 781.131470, valid_acc 0.298069, test_loss 0.002487, ic -0.005650, icir -0.154909, ric 0.000259, ricir 0.003499, prec@10 0.449174, prec@30 0.453306, test_mae 0.052403, test_rmse 0.060693, test_mape 690.282898, test_acc 0.167619
Epoch 79, train_loss 0.001788, train_ic 0.001544, train_icir 0.020663, train_ric 0.016623, train_ricir 0.181698, train_mae 0.021232, train_rmse 0.027805, train_mape 450.017059, train_acc 0.462485, valid_loss 0.0026006055, valid_ic 0.006396, valid_icir 0.134749, valid_ric 0.022144, valid_ricir 0.242530, valid_mae 0.031363, valid_rmse 0.044687, valid_mape 524.418213, valid_acc 0.399959, test_loss 0.001871, ic -0.003397, icir -0.072377, ric 0.007138, ricir 0.085581, prec@10 0.517355, prec@30 0.506061, test_mae 0.039531, test_rmse 0.049056, test_mape 494.382233, test_acc 0.227497
Epoch 80, train_loss 0.002716, train_ic -0.001626, train_icir -0.018197, train_ric 0.016643, train_ricir 0.162570, train_mae 0.048500, train_rmse 0.060925, train_mape 883.569153, train_acc 0.562876, valid_loss 0.0046735516, valid_ic 0.011492, valid_icir 0.165313, valid_ric 0.030145, valid_ricir 0.270994, valid_mae 0.056636, valid_rmse 0.066652, valid_mape 1076.363892, valid_acc 0.302588, test_loss 0.004001, ic 0.001184, icir 0.017718, ric 0.019110, ricir 0.195128, prec@10 0.455372, prec@30 0.474518, test_mae 0.066671, test_rmse 0.075205, test_mape 934.799011, test_acc 0.160922
Epoch 81, train_loss 0.001843, train_ic 0.012793, train_icir 0.136862, train_ric 0.009968, train_ricir 0.081381, train_mae 0.027267, train_rmse 0.032545, train_mape 445.080841, train_acc 0.209672, valid_loss 0.0023118000, valid_ic 0.009586, valid_icir 0.174333, valid_ric 0.018418, valid_ricir 0.148573, valid_mae 0.025808, valid_rmse 0.040078, valid_mape 415.336121, valid_acc 0.437346, test_loss 0.001518, ic 0.001322, icir 0.023477, ric 0.007948, ricir 0.069379, prec@10 0.495455, prec@30 0.493388, test_mae 0.030330, test_rmse 0.040459, test_mape 357.339935, test_acc 0.285996
Epoch 82, train_loss 0.001651, train_ic 0.000803, train_icir 0.007845, train_ric 0.019064, train_ricir 0.148585, train_mae 0.020324, train_rmse 0.027960, train_mape 279.351959, train_acc 0.586690, valid_loss 0.0024899052, valid_ic 0.010410, valid_icir 0.132068, valid_ric 0.037981, valid_ricir 0.265754, valid_mae 0.028202, valid_rmse 0.041824, valid_mape 479.385559, valid_acc 0.437757, test_loss 0.001744, ic 0.001819, icir 0.024055, ric 0.030539, ricir 0.239021, prec@10 0.568595, prec@30 0.553444, test_mae 0.036723, test_rmse 0.046746, test_mape 461.034790, test_acc 0.243845
Epoch 83, train_loss 0.001599, train_ic 0.017012, train_icir 0.241702, train_ric 0.017921, train_ricir 0.187363, train_mae 0.028052, train_rmse 0.051314, train_mape 367.786163, train_acc 0.654179, valid_loss 0.0022212148, valid_ic 0.009044, valid_icir 0.292518, valid_ric 0.016738, valid_ricir 0.204476, valid_mae 0.027745, valid_rmse 0.040771, valid_mape 437.770569, valid_acc 0.302383, test_loss 0.001478, ic 0.005522, icir 0.184323, ric 0.006516, ricir 0.082657, prec@10 0.454132, prec@30 0.452204, test_mae 0.031908, test_rmse 0.041643, test_mape 359.785492, test_acc 0.217648
