Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 69, train_loss 0.001428, train_ic 0.037285, train_icir 0.409266, train_ric 0.032221, train_ricir 0.263400, valid_loss 0.0013620788 , valid_ic 0.000947, valid_icir 0.020889, valid_ric -0.002880, valid_ricir -0.035569, test_loss 0.003099, ic -0.002083, icir -0.038869, ric 0.006861, ricir 0.064591, prec@10 0.541152, prec@30 0.530453 
Epoch 70, train_loss 0.001404, train_ic 0.032497, train_icir 0.369514, train_ric 0.057733, train_ricir 0.426414, valid_loss 0.0015316958 , valid_ic 0.004296, valid_icir 0.120181, valid_ric 0.028430, valid_ricir 0.321430, test_loss 0.003226, ic -0.002825, icir -0.064022, ric 0.026455, ricir 0.250717, prec@10 0.489300, prec@30 0.506036 
Epoch 71, train_loss 0.001370, train_ic 0.030779, train_icir 0.310571, train_ric 0.033373, train_ricir 0.256845, valid_loss 0.0013786823 , valid_ic -0.000867, valid_icir -0.016153, valid_ric 0.003162, valid_ricir 0.032231, test_loss 0.003109, ic -0.007720, icir -0.126287, ric 0.002636, ricir 0.019787, prec@10 0.618930, prec@30 0.593553 
Epoch 72, train_loss 0.001390, train_ic 0.021669, train_icir 0.241992, train_ric 0.035279, train_ricir 0.290300, valid_loss 0.0013199356 , valid_ic -0.001274, valid_icir -0.026959, valid_ric 0.008475, valid_ricir 0.090538, test_loss 0.003012, ic -0.007174, icir -0.142223, ric 0.008434, ricir 0.075421, prec@10 0.584774, prec@30 0.581619 
Epoch 73, train_loss 0.001379, train_ic 0.023778, train_icir 0.271709, train_ric 0.041529, train_ricir 0.342712, valid_loss 0.0013056978 , valid_ic -0.000408, valid_icir -0.009814, valid_ric 0.015790, valid_ricir 0.168561, test_loss 0.003014, ic -0.007947, icir -0.152177, ric 0.005676, ricir 0.048075, prec@10 0.481893, prec@30 0.506859 
Epoch 74, train_loss 0.001389, train_ic 0.023242, train_icir 0.239753, train_ric 0.046094, train_ricir 0.355143, valid_loss 0.0014948593 , valid_ic -0.003893, valid_icir -0.074570, valid_ric 0.018960, valid_ricir 0.183051, test_loss 0.003156, ic -0.011040, icir -0.208866, ric 0.009426, ricir 0.078800, prec@10 0.553086, prec@30 0.566529 
Epoch 75, train_loss 0.001398, train_ic 0.032355, train_icir 0.495385, train_ric 0.024749, train_ricir 0.261271, valid_loss 0.0012812742 , valid_ic -0.000784, valid_icir -0.023352, valid_ric 0.000377, valid_ricir 0.007182, test_loss 0.002927, ic -0.005745, icir -0.131721, ric -0.001491, ricir -0.022446, prec@10 0.557202, prec@30 0.586145 
Epoch 76, train_loss 0.001375, train_ic 0.024382, train_icir 0.290681, train_ric 0.039137, train_ricir 0.312770, valid_loss 0.0014292555 , valid_ic 0.001287, valid_icir 0.033857, valid_ric 0.024334, valid_ricir 0.281401, test_loss 0.003070, ic -0.006307, icir -0.144874, ric 0.018103, ricir 0.196826, prec@10 0.600000, prec@30 0.579698 
Epoch 77, train_loss 0.001390, train_ic 0.024083, train_icir 0.283809, train_ric 0.040936, train_ricir 0.346725, valid_loss 0.0015890177 , valid_ic 0.001834, valid_icir 0.070454, valid_ric 0.023537, valid_ricir 0.318862, test_loss 0.003161, ic -0.003707, icir -0.109696, ric 0.017551, ricir 0.159979, prec@10 0.522634, prec@30 0.527298 
Epoch 78, train_loss 0.001411, train_ic 0.014960, train_icir 0.177623, train_ric 0.042649, train_ricir 0.347477, valid_loss 0.0013664621 , valid_ic 0.002402, valid_icir 0.079268, valid_ric 0.033825, valid_ricir 0.410807, test_loss 0.003015, ic -0.002977, icir -0.076363, ric 0.021234, ricir 0.198458, prec@10 0.530041, prec@30 0.512483 
Epoch 79, train_loss 0.001366, train_ic 0.031631, train_icir 0.491351, train_ric 0.031166, train_ricir 0.333210, valid_loss 0.0015832083 , valid_ic 0.003107, valid_icir 0.114456, valid_ric 0.003927, valid_ricir 0.070774, test_loss 0.003159, ic -0.002119, icir -0.066394, ric 0.005450, ricir 0.102329, prec@10 0.530041, prec@30 0.538134 
Epoch 80, train_loss 0.001350, train_ic 0.029832, train_icir 0.272515, train_ric 0.015480, train_ricir 0.105738, valid_loss 0.0013724538 , valid_ic 0.000731, valid_icir 0.013755, valid_ric -0.007023, valid_ricir -0.065305, test_loss 0.002993, ic -0.005489, icir -0.097569, ric -0.003933, ricir -0.026302, prec@10 0.654733, prec@30 0.604801 
Epoch 81, train_loss 0.001345, train_ic 0.017499, train_icir 0.265666, train_ric 0.029942, train_ricir 0.301617, valid_loss 0.0014492433 , valid_ic 0.003227, valid_icir 0.132612, valid_ric 0.027245, valid_ricir 0.414492, test_loss 0.003047, ic -0.002297, icir -0.066058, ric 0.014500, ricir 0.166835, prec@10 0.536214, prec@30 0.530590 
Epoch 82, train_loss 0.001357, train_ic 0.024949, train_icir 0.269787, train_ric -0.008452, train_ricir -0.065969, valid_loss 0.0012835519 , valid_ic 0.004248, valid_icir 0.109457, valid_ric -0.017347, valid_ricir -0.230203, test_loss 0.002919, ic 0.002372, icir 0.054963, ric -0.008159, ricir -0.093942, prec@10 0.546502, prec@30 0.512071 
Epoch 83, train_loss 0.001332, train_ic 0.017636, train_icir 0.270033, train_ric 0.005439, train_ricir 0.057043, valid_loss 0.0012493380 , valid_ic -0.002318, valid_icir -0.081471, valid_ric 0.002512, valid_ricir 0.050826, test_loss 0.002818, ic -0.007084, icir -0.200492, ric -0.000934, ricir -0.015816, prec@10 0.598765, prec@30 0.592044 
Epoch 84, train_loss 0.001347, train_ic 0.030717, train_icir 0.350825, train_ric -0.007803, train_ricir -0.067580, valid_loss 0.0012758554 , valid_ic 0.005879, valid_icir 0.167555, valid_ric -0.017071, valid_ricir -0.249721, test_loss 0.002832, ic 0.002128, icir 0.054463, ric -0.005663, ricir -0.075458, prec@10 0.560905, prec@30 0.533882 
Epoch 85, train_loss 0.001367, train_ic 0.019835, train_icir 0.218726, train_ric 0.032571, train_ricir 0.280389, valid_loss 0.0015704066 , valid_ic -0.004745, valid_icir -0.091594, valid_ric 0.009326, valid_ricir 0.102534, test_loss 0.003150, ic -0.011924, icir -0.224092, ric 0.001047, ricir 0.009570, prec@10 0.625926, prec@30 0.589986 
Epoch 86, train_loss 0.001315, train_ic 0.024123, train_icir 0.353926, train_ric 0.032326, train_ricir 0.303436, valid_loss 0.0013860109 , valid_ic 0.000506, valid_icir 0.017290, valid_ric 0.012831, valid_ricir 0.199266, test_loss 0.002926, ic -0.003680, icir -0.097842, ric 0.002474, ricir 0.035559, prec@10 0.541152, prec@30 0.525652 
Epoch 87, train_loss 0.001344, train_ic 0.032191, train_icir 0.308242, train_ric 0.019398, train_ricir 0.140499, valid_loss 0.0012563278 , valid_ic 0.000319, valid_icir 0.006137, valid_ric -0.003240, valid_ricir -0.031590, test_loss 0.002803, ic -0.007234, icir -0.131098, ric -0.004494, ricir -0.032310, prec@10 0.660082, prec@30 0.605761 
Epoch 88, train_loss 0.001336, train_ic 0.028742, train_icir 0.255837, train_ric 0.022274, train_ricir 0.158690, valid_loss 0.0014746073 , valid_ic -0.001331, valid_icir -0.019959, valid_ric 0.002022, valid_ricir 0.019175, test_loss 0.003048, ic -0.009360, icir -0.141014, ric 0.001213, ricir 0.008798, prec@10 0.630864, prec@30 0.591495 
Epoch 89, train_loss 0.001317, train_ic 0.039778, train_icir 0.565347, train_ric 0.028884, train_ricir 0.314589, valid_loss 0.0014637692 , valid_ic 0.004242, valid_icir 0.155263, valid_ric 0.000851, valid_ricir 0.016972, test_loss 0.002920, ic -0.000452, icir -0.014479, ric 0.006488, ricir 0.118544, prec@10 0.526749, prec@30 0.525652 
Epoch 90, train_loss 0.001334, train_ic 0.031631, train_icir 0.387143, train_ric 0.014181, train_ricir 0.137089, valid_loss 0.0012507370 , valid_ic 0.005079, valid_icir 0.141866, valid_ric 0.002813, valid_ricir 0.040122, test_loss 0.002728, ic -0.001857, icir -0.051485, ric 0.002948, ricir 0.037530, prec@10 0.569136, prec@30 0.542524 
Epoch 91, train_loss 0.001351, train_ic 0.018770, train_icir 0.217638, train_ric 0.044103, train_ricir 0.358331, valid_loss 0.0012261356 , valid_ic -0.003360, valid_icir -0.084835, valid_ric 0.022579, valid_ricir 0.264185, test_loss 0.002706, ic -0.009812, icir -0.228096, ric 0.007515, ricir 0.080075, prec@10 0.557202, prec@30 0.577366 
Epoch 92, train_loss 0.001328, train_ic 0.018884, train_icir 0.206116, train_ric 0.043677, train_ricir 0.350210, valid_loss 0.0012367764 , valid_ic -0.001337, valid_icir -0.030380, valid_ric 0.018196, valid_ricir 0.210255, test_loss 0.002720, ic -0.008139, icir -0.174746, ric 0.011244, ricir 0.114444, prec@10 0.629630, prec@30 0.592867 
Epoch 93, train_loss 0.001378, train_ic 0.025682, train_icir 0.376174, train_ric 0.023071, train_ricir 0.245166, valid_loss 0.0013916587 , valid_ic 0.003645, valid_icir 0.133569, valid_ric 0.007327, valid_ricir 0.128153, test_loss 0.002903, ic -0.000835, icir -0.023723, ric 0.004154, ricir 0.063537, prec@10 0.541152, prec@30 0.525103 
Epoch 94, train_loss 0.001337, train_ic 0.017896, train_icir 0.190268, train_ric 0.050144, train_ricir 0.412719, valid_loss 0.0014457753 , valid_ic -0.005306, valid_icir -0.130827, valid_ric 0.024504, valid_ricir 0.298518, test_loss 0.002880, ic -0.010670, icir -0.234664, ric 0.009952, ricir 0.105103, prec@10 0.587243, prec@30 0.573937 
Epoch 95, train_loss 0.001308, train_ic 0.023172, train_icir 0.250834, train_ric 0.003172, train_ricir 0.026577, valid_loss 0.0015912902 , valid_ic 0.012213, valid_icir 0.242253, valid_ric 0.000827, valid_ricir 0.009370, test_loss 0.003330, ic 0.011101, icir 0.240404, ric 0.005787, ricir 0.055463, prec@10 0.549383, prec@30 0.530453 
Epoch 96, train_loss 0.001319, train_ic 0.024547, train_icir 0.262301, train_ric -0.011848, train_ricir -0.098528, valid_loss 0.0011928954 , valid_ic 0.001965, valid_icir 0.048652, valid_ric -0.019925, valid_ricir -0.234336, test_loss 0.002642, ic 0.000244, icir 0.006131, ric -0.013103, ricir -0.147602, prec@10 0.564609, prec@30 0.525789 
Epoch 97, train_loss 0.001319, train_ic 0.031039, train_icir 0.281132, train_ric 0.019113, train_ricir 0.135348, valid_loss 0.0014429594 , valid_ic -0.002487, valid_icir -0.041538, valid_ric -0.007737, valid_ricir -0.075086, test_loss 0.002908, ic -0.008380, icir -0.140633, ric -0.005022, ricir -0.035794, prec@10 0.639095, prec@30 0.597119 
Epoch 98, train_loss 0.001326, train_ic 0.040042, train_icir 0.485029, train_ric 0.033875, train_ricir 0.333519, valid_loss 0.0017520694 , valid_ic 0.004031, valid_icir 0.103007, valid_ric 0.005016, valid_ricir 0.080443, test_loss 0.003176, ic -0.003600, icir -0.077143, ric 0.006420, ricir 0.079165, prec@10 0.587654, prec@30 0.593141 
Epoch 99, train_loss 0.001345, train_ic 0.022590, train_icir 0.324897, train_ric 0.011673, train_ricir 0.123526, valid_loss 0.0011661122 , valid_ic -0.002217, valid_icir -0.072467, valid_ric 0.000627, valid_ricir 0.011965, test_loss 0.002578, ic -0.006533, icir -0.180935, ric -0.001037, ricir -0.016279, prec@10 0.581893, prec@30 0.577366 
Epoch 100, train_loss 0.001325, train_ic 0.034676, train_icir 0.329210, train_ric 0.044030, train_ricir 0.335600, valid_loss 0.0013687924 , valid_ic 0.002684, valid_icir 0.046613, valid_ric 0.013175, valid_ricir 0.126428, test_loss 0.002765, ic -0.006376, icir -0.114753, ric 0.008477, ricir 0.069139, prec@10 0.582716, prec@30 0.577778 
Epoch 101, train_loss 0.001282, train_ic 0.032288, train_icir 0.357800, train_ric 0.022526, train_ricir 0.197273, valid_loss 0.0012354911 , valid_ic -0.002022, valid_icir -0.043931, valid_ric -0.006057, valid_ricir -0.072753, test_loss 0.002637, ic -0.006371, icir -0.129388, ric -0.005266, ricir -0.047022, prec@10 0.590535, prec@30 0.584362 
Epoch 102, train_loss 0.001303, train_ic 0.019133, train_icir 0.175913, train_ric 0.027350, train_ricir 0.201617, valid_loss 0.0015122450 , valid_ic -0.001134, valid_icir -0.019562, valid_ric 0.006947, valid_ricir 0.069197, test_loss 0.002976, ic -0.010019, icir -0.169304, ric 0.000944, ricir 0.007212, prec@10 0.571193, prec@30 0.585871 
Epoch 103, train_loss 0.001291, train_ic 0.010090, train_icir 0.125763, train_ric 0.010944, train_ricir 0.103668, valid_loss 0.0011934676 , valid_ic -0.002128, valid_icir -0.071601, valid_ric 0.006816, valid_ricir 0.118362, test_loss 0.002594, ic -0.007379, icir -0.198299, ric -0.004350, ricir -0.059700, prec@10 0.526337, prec@30 0.510974 
Epoch 104, train_loss 0.001265, train_ic 0.026033, train_icir 0.303611, train_ric 0.048642, train_ricir 0.427026, valid_loss 0.0011676863 , valid_ic 0.002048, valid_icir 0.050232, valid_ric 0.019109, valid_ricir 0.244834, test_loss 0.002564, ic -0.005071, icir -0.105040, ric 0.010086, ricir 0.117371, prec@10 0.514403, prec@30 0.497531 
Epoch 105, train_loss 0.001301, train_ic 0.047156, train_icir 0.517451, train_ric 0.033317, train_ricir 0.279653, valid_loss 0.0011312947 , valid_ic 0.003930, valid_icir 0.089918, valid_ric -0.004871, valid_ricir -0.054073, test_loss 0.002477, ic -0.000560, icir -0.013077, ric 0.004950, ricir 0.047024, prec@10 0.545679, prec@30 0.537449 
Epoch 106, train_loss 0.001292, train_ic 0.046831, train_icir 0.601739, train_ric 0.031486, train_ricir 0.309433, valid_loss 0.0011145895 , valid_ic 0.007052, valid_icir 0.223050, valid_ric 0.002811, valid_ricir 0.053545, test_loss 0.002454, ic -0.000626, icir -0.015903, ric 0.006365, ricir 0.097615, prec@10 0.572016, prec@30 0.549108 
Epoch 107, train_loss 0.001338, train_ic 0.034664, train_icir 0.375119, train_ric 0.046854, train_ricir 0.368850, valid_loss 0.0011132401 , valid_ic -0.000188, valid_icir -0.004525, valid_ric 0.013257, valid_ricir 0.136561, test_loss 0.002468, ic -0.007123, icir -0.144298, ric 0.007097, ricir 0.055819, prec@10 0.565432, prec@30 0.582167 
Epoch 108, train_loss 0.001280, train_ic 0.038523, train_icir 0.468401, train_ric 0.038168, train_ricir 0.353198, valid_loss 0.0012573985 , valid_ic 0.001534, valid_icir 0.036208, valid_ric 0.004409, valid_ricir 0.055781, test_loss 0.002629, ic -0.006441, icir -0.149401, ric 0.003045, ricir 0.033543, prec@10 0.644856, prec@30 0.593278 
Epoch 109, train_loss 0.001310, train_ic 0.035869, train_icir 0.344064, train_ric 0.052736, train_ricir 0.408268, valid_loss 0.0013390117 , valid_ic 0.000896, valid_icir 0.015770, valid_ric 0.020557, valid_ricir 0.197545, test_loss 0.002682, ic -0.008130, icir -0.143862, ric 0.010105, ricir 0.081228, prec@10 0.490535, prec@30 0.524829 
Epoch 110, train_loss 0.001288, train_ic 0.032502, train_icir 0.295711, train_ric 0.032455, train_ricir 0.241379, valid_loss 0.0012501124 , valid_ic 0.003257, valid_icir 0.051418, valid_ric 0.009115, valid_ricir 0.087189, test_loss 0.002581, ic -0.006721, icir -0.108139, ric 0.005755, ricir 0.043092, prec@10 0.589300, prec@30 0.586420 
Epoch 111, train_loss 0.001271, train_ic 0.044806, train_icir 0.642178, train_ric 0.026157, train_ricir 0.282184, valid_loss 0.0010713520 , valid_ic 0.006064, valid_icir 0.203016, valid_ric 0.007128, valid_ricir 0.128721, test_loss 0.002373, ic -0.001811, icir -0.048340, ric 0.008929, ricir 0.138861, prec@10 0.565432, prec@30 0.540466 
Epoch 112, train_loss 0.001321, train_ic 0.026074, train_icir 0.317526, train_ric -0.002755, train_ricir -0.026129, valid_loss 0.0012518913 , valid_ic 0.009465, valid_icir 0.219106, valid_ric -0.011661, valid_ricir -0.156697, test_loss 0.002599, ic 0.006143, icir 0.150269, ric -0.003237, ricir -0.038821, prec@10 0.573663, prec@30 0.538272 
Epoch 113, train_loss 0.001262, train_ic 0.035875, train_icir 0.508321, train_ric 0.025237, train_ricir 0.270867, valid_loss 0.0014279838 , valid_ic 0.007247, valid_icir 0.287746, valid_ric 0.013631, valid_ricir 0.257274, test_loss 0.002750, ic 0.001088, icir 0.032465, ric 0.014374, ricir 0.212179, prec@10 0.532099, prec@30 0.531687 
Epoch 114, train_loss 0.001277, train_ic 0.047052, train_icir 0.582104, train_ric 0.038214, train_ricir 0.330271, valid_loss 0.0010718555 , valid_ic 0.007588, valid_icir 0.266184, valid_ric 0.015732, valid_ricir 0.242119, test_loss 0.002349, ic 0.000157, icir 0.004627, ric 0.018755, ricir 0.223616, prec@10 0.562551, prec@30 0.547599 
Epoch 115, train_loss 0.001283, train_ic 0.020841, train_icir 0.182777, train_ric 0.027899, train_ricir 0.204646, valid_loss 0.0012995347 , valid_ic -0.000930, valid_icir -0.014865, valid_ric 0.007759, valid_ricir 0.078020, test_loss 0.002637, ic -0.010156, icir -0.148502, ric 0.000124, ricir 0.000903, prec@10 0.634979, prec@30 0.605213 
Epoch 116, train_loss 0.001270, train_ic 0.028558, train_icir 0.291640, train_ric 0.048411, train_ricir 0.393595, valid_loss 0.0013126517 , valid_ic 0.008955, valid_icir 0.218493, valid_ric 0.021515, valid_ricir 0.304876, test_loss 0.002717, ic 0.004967, icir 0.120133, ric 0.017012, ricir 0.201160, prec@10 0.498765, prec@30 0.497805 
Epoch 117, train_loss 0.001273, train_ic 0.041761, train_icir 0.488895, train_ric 0.009927, train_ricir 0.086166, valid_loss 0.0010839249 , valid_ic 0.014288, valid_icir 0.458827, valid_ric 0.006736, valid_ricir 0.092413, test_loss 0.002359, ic 0.006823, icir 0.227106, ric 0.013255, ricir 0.149851, prec@10 0.555144, prec@30 0.545542 
Epoch 118, train_loss 0.001292, train_ic 0.033572, train_icir 0.414831, train_ric 0.046661, train_ricir 0.433023, valid_loss 0.0013501259 , valid_ic 0.001161, valid_icir 0.030710, valid_ric 0.016227, valid_ricir 0.228936, test_loss 0.002606, ic -0.004808, icir -0.107833, ric 0.013756, ricir 0.177383, prec@10 0.508642, prec@30 0.512894 
Epoch 119, train_loss 0.001291, train_ic 0.019267, train_icir 0.231674, train_ric 0.034766, train_ricir 0.315573, valid_loss 0.0013363581 , valid_ic 0.000221, valid_icir 0.005904, valid_ric 0.020254, valid_ricir 0.256455, test_loss 0.002610, ic -0.007953, icir -0.191524, ric 0.008805, ricir 0.094470, prec@10 0.555967, prec@30 0.568313 
Epoch 120, train_loss 0.001253, train_ic 0.030282, train_icir 0.327059, train_ric 0.024760, train_ricir 0.195063, valid_loss 0.0011776287 , valid_ic -0.004324, valid_icir -0.103148, valid_ric 0.000947, valid_ricir 0.011395, test_loss 0.002467, ic -0.009736, icir -0.214557, ric -0.002266, ricir -0.020181, prec@10 0.612346, prec@30 0.593964 
Epoch 121, train_loss 0.001262, train_ic 0.037020, train_icir 0.408590, train_ric 0.024491, train_ricir 0.208981, valid_loss 0.0012931411 , valid_ic 0.009607, valid_icir 0.271412, valid_ric 0.004828, valid_ricir 0.078100, test_loss 0.002543, ic 0.001886, icir 0.043292, ric 0.008658, ricir 0.107173, prec@10 0.578189, prec@30 0.552401 
Epoch 122, train_loss 0.001276, train_ic 0.032754, train_icir 0.333917, train_ric 0.045565, train_ricir 0.367340, valid_loss 0.0014131141 , valid_ic -0.004641, valid_icir -0.080298, valid_ric 0.007871, valid_ricir 0.081189, test_loss 0.002789, ic -0.012206, icir -0.221561, ric 0.003377, ricir 0.029445, prec@10 0.642387, prec@30 0.592730 
Epoch 123, train_loss 0.001269, train_ic 0.022214, train_icir 0.214073, train_ric 0.053013, train_ricir 0.405120, valid_loss 0.0014183454 , valid_ic -0.004901, valid_icir -0.086404, valid_ric 0.025917, valid_ricir 0.256498, test_loss 0.002686, ic -0.012958, icir -0.216141, ric 0.011752, ricir 0.095473, prec@10 0.610700, prec@30 0.590809 
Epoch 124, train_loss 0.001257, train_ic 0.049581, train_icir 0.613501, train_ric 0.032933, train_ricir 0.312613, valid_loss 0.0010530157 , valid_ic 0.005149, valid_icir 0.160759, valid_ric -0.002280, valid_ricir -0.042112, test_loss 0.002271, ic -0.000689, icir -0.019612, ric 0.003186, ricir 0.051293, prec@10 0.556790, prec@30 0.533333 
Epoch 125, train_loss 0.001245, train_ic 0.040923, train_icir 0.438815, train_ric 0.035433, train_ricir 0.291727, valid_loss 0.0012089545 , valid_ic 0.002180, valid_icir 0.044058, valid_ric 0.001183, valid_ricir 0.014446, test_loss 0.002504, ic -0.005220, icir -0.122721, ric 0.006976, ricir 0.072253, prec@10 0.587654, prec@30 0.588752 
Epoch 126, train_loss 0.001261, train_ic 0.042856, train_icir 0.403265, train_ric 0.033699, train_ricir 0.252658, valid_loss 0.0011120236 , valid_ic 0.006359, valid_icir 0.116344, valid_ric 0.009998, valid_ricir 0.099803, test_loss 0.002365, ic -0.005560, icir -0.099302, ric 0.008068, ricir 0.060260, prec@10 0.613169, prec@30 0.587380 
Epoch 127, train_loss 0.001276, train_ic 0.042849, train_icir 0.432744, train_ric 0.028465, train_ricir 0.225708, valid_loss 0.0012642605 , valid_ic 0.010540, valid_icir 0.250168, valid_ric 0.002552, valid_ricir 0.030904, test_loss 0.002505, ic 0.002270, icir 0.055408, ric 0.006716, ricir 0.066135, prec@10 0.559671, prec@30 0.543621 
Epoch 128, train_loss 0.001265, train_ic 0.047989, train_icir 0.537492, train_ric 0.011508, train_ricir 0.102664, valid_loss 0.0010469533 , valid_ic 0.010234, valid_icir 0.239610, valid_ric -0.014920, valid_ricir -0.194093, test_loss 0.002231, ic 0.002373, icir 0.060871, ric -0.003208, ricir -0.037703, prec@10 0.585597, prec@30 0.566667 
Epoch 129, train_loss 0.001247, train_ic 0.049031, train_icir 0.664768, train_ric 0.041591, train_ricir 0.450288, valid_loss 0.0011549990 , valid_ic 0.011110, valid_icir 0.400063, valid_ric 0.020348, valid_ricir 0.410578, test_loss 0.002348, ic 0.001316, icir 0.040115, ric 0.015515, ricir 0.255532, prec@10 0.565432, prec@30 0.542524 
Epoch 130, train_loss 0.001249, train_ic 0.050822, train_icir 0.544858, train_ric 0.040301, train_ricir 0.340178, valid_loss 0.0013755096 , valid_ic 0.006495, valid_icir 0.155085, valid_ric -0.001960, valid_ricir -0.025472, test_loss 0.002544, ic 0.000162, icir 0.003792, ric 0.002660, ricir 0.028809, prec@10 0.569136, prec@30 0.530590 
Epoch 131, train_loss 0.001208, train_ic 0.055925, train_icir 0.636452, train_ric 0.047093, train_ricir 0.406631, valid_loss 0.0013723746 , valid_ic 0.008790, valid_icir 0.267584, valid_ric 0.012103, valid_ricir 0.176374, test_loss 0.002493, ic 0.000127, icir 0.003922, ric 0.013891, ricir 0.181239, prec@10 0.578601, prec@30 0.584911 
Epoch 132, train_loss 0.001261, train_ic 0.033166, train_icir 0.306822, train_ric 0.034284, train_ricir 0.269222, valid_loss 0.0013316939 , valid_ic -0.000382, valid_icir -0.006198, valid_ric 0.003427, valid_ricir 0.035558, test_loss 0.002571, ic -0.008535, icir -0.132722, ric 0.003254, ricir 0.024916, prec@10 0.632099, prec@30 0.590123 
Epoch 133, train_loss 0.001255, train_ic 0.045121, train_icir 0.437796, train_ric 0.036825, train_ricir 0.287587, valid_loss 0.0012204542 , valid_ic 0.001422, valid_icir 0.026674, valid_ric -0.000504, valid_ricir -0.005226, test_loss 0.002385, ic -0.003771, icir -0.071989, ric 0.003766, ricir 0.030357, prec@10 0.663786, prec@30 0.603429 
Epoch 134, train_loss 0.001296, train_ic 0.047346, train_icir 0.561843, train_ric -0.004180, train_ricir -0.035887, valid_loss 0.0010952663 , valid_ic 0.009671, valid_icir 0.293032, valid_ric -0.016216, valid_ricir -0.243637, test_loss 0.002278, ic 0.001472, icir 0.050506, ric -0.001649, ricir -0.024490, prec@10 0.565021, prec@30 0.577641 
Epoch 135, train_loss 0.001244, train_ic 0.048117, train_icir 0.497949, train_ric 0.044966, train_ricir 0.349200, valid_loss 0.0011267125 , valid_ic 0.014317, valid_icir 0.373589, valid_ric 0.025621, valid_ricir 0.325233, test_loss 0.002266, ic 0.004341, icir 0.113758, ric 0.025567, ricir 0.270565, prec@10 0.518519, prec@30 0.531139 
Epoch 136, train_loss 0.001225, train_ic 0.029317, train_icir 0.281397, train_ric 0.033856, train_ricir 0.260278, valid_loss 0.0016566235 , valid_ic -0.002168, valid_icir -0.037129, valid_ric 0.006621, valid_ricir 0.069712, test_loss 0.002879, ic -0.011696, icir -0.207845, ric -0.000673, ricir -0.005566, prec@10 0.648971, prec@30 0.595062 
Epoch 137, train_loss 0.001244, train_ic 0.035446, train_icir 0.307765, train_ric 0.033864, train_ricir 0.250805, valid_loss 0.0012630148 , valid_ic 0.007147, valid_icir 0.105768, valid_ric 0.013999, valid_ricir 0.136453, test_loss 0.002419, ic -0.004971, icir -0.076461, ric 0.011726, ricir 0.088448, prec@10 0.597119, prec@30 0.580521 
Epoch 138, train_loss 0.001255, train_ic 0.047848, train_icir 0.500320, train_ric 0.010712, train_ricir 0.088557, valid_loss 0.0011001856 , valid_ic 0.016715, valid_icir 0.412781, valid_ric -0.002520, valid_ricir -0.034983, test_loss 0.002281, ic 0.009993, icir 0.260091, ric 0.006734, ricir 0.073941, prec@10 0.577366, prec@30 0.553361 
Epoch 139, train_loss 0.001257, train_ic 0.026173, train_icir 0.281728, train_ric 0.053384, train_ricir 0.444883, valid_loss 0.0010663538 , valid_ic 0.000553, valid_icir 0.013912, valid_ric 0.020666, valid_ricir 0.255136, test_loss 0.002232, ic -0.008106, icir -0.194765, ric 0.007076, ricir 0.078441, prec@10 0.567490, prec@30 0.572702 
Epoch 140, train_loss 0.001234, train_ic 0.028155, train_icir 0.234859, train_ric 0.022287, train_ricir 0.158442, valid_loss 0.0012861538 , valid_ic -0.004486, valid_icir -0.065057, valid_ric -0.004946, valid_ricir -0.047974, test_loss 0.002497, ic -0.011260, icir -0.157246, ric -0.006954, ricir -0.048164, prec@10 0.645267, prec@30 0.593553 
Epoch 141, train_loss 0.001246, train_ic 0.039561, train_icir 0.488123, train_ric 0.036165, train_ricir 0.334931, valid_loss 0.0010859370 , valid_ic 0.007354, valid_icir 0.232594, valid_ric 0.004281, valid_ricir 0.064991, test_loss 0.002223, ic 0.001681, icir 0.050946, ric 0.009804, ricir 0.139969, prec@10 0.550206, prec@30 0.530590 
Epoch 142, train_loss 0.001226, train_ic 0.057915, train_icir 0.568001, train_ric 0.013390, train_ricir 0.106366, valid_loss 0.0010941889 , valid_ic 0.009831, valid_icir 0.186315, valid_ric -0.022044, valid_ricir -0.251954, test_loss 0.002217, ic 0.002095, icir 0.041787, ric -0.009958, ricir -0.085844, prec@10 0.605350, prec@30 0.580658 
Epoch 143, train_loss 0.001237, train_ic 0.038561, train_icir 0.375078, train_ric -0.008798, train_ricir -0.068735, valid_loss 0.0011014289 , valid_ic 0.013105, valid_icir 0.287444, valid_ric -0.015779, valid_ricir -0.190336, test_loss 0.002221, ic 0.008356, icir 0.212734, ric -0.003802, ricir -0.043909, prec@10 0.588889, prec@30 0.553498 
