Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 42, train_loss 0.001591, train_ic 0.016921, train_icir 0.220616, train_ric 0.034597, train_ricir 0.291511, train_mae 0.028784, train_rmse 0.038990, train_mape 186.807953, train_acc 0.271065, valid_loss 0.0016233264, valid_ic 0.001395, valid_icir 0.043319, valid_ric 0.025149, valid_ricir 0.325574, valid_mae 0.016168, valid_rmse 0.042201, valid_mape 193.830414, valid_acc 0.540064, test_loss 0.003952, ic -0.004551, icir -0.107929, ric 0.017218, ricir 0.181240, prec@10 0.498765, prec@30 0.500137, test_mae 0.025076, test_rmse 0.073986, test_mape 269.748260, test_acc 0.690319
Epoch 43, train_loss 0.001551, train_ic 0.022024, train_icir 0.253701, train_ric 0.058095, train_ricir 0.417664, train_mae 0.024119, train_rmse 0.037672, train_mape 113.266876, train_acc 0.693707, valid_loss 0.0017187117, valid_ic -0.001595, valid_icir -0.040069, valid_ric 0.029074, valid_ricir 0.290967, valid_mae 0.018821, valid_rmse 0.042010, valid_mape 322.073242, valid_acc 0.592415, test_loss 0.003994, ic -0.006997, icir -0.134499, ric 0.018691, ricir 0.167479, prec@10 0.439918, prec@30 0.480658, test_mae 0.026055, test_rmse 0.073395, test_mape 352.215363, test_acc 0.721531
Epoch 44, train_loss 0.001560, train_ic 0.031860, train_icir 0.319509, train_ric 0.023621, train_ricir 0.163479, train_mae 0.040495, train_rmse 0.051118, train_mape 299.560669, train_acc 0.372260, valid_loss 0.0023854271, valid_ic 0.001232, valid_icir 0.025839, valid_ric -0.001530, valid_ricir -0.014788, valid_mae 0.030291, valid_rmse 0.047705, valid_mape 620.951477, valid_acc 0.592949, test_loss 0.004575, ic -0.004927, icir -0.085106, ric 0.003208, ricir 0.023325, prec@10 0.541975, prec@30 0.521399, test_mae 0.033076, test_rmse 0.075082, test_mape 496.343567, test_acc 0.738113
Epoch 45, train_loss 0.001594, train_ic 0.034935, train_icir 0.487937, train_ric 0.036657, train_ricir 0.308470, train_mae 0.015157, train_rmse 0.022310, train_mape 133.629715, train_acc 0.635151, valid_loss 0.0015388787, valid_ic 0.001496, valid_icir 0.043226, valid_ric 0.004309, valid_ricir 0.059004, valid_mae 0.015763, valid_rmse 0.040736, valid_mape 201.153473, valid_acc 0.588675, test_loss 0.003747, ic -0.002973, icir -0.062775, ric 0.011923, ricir 0.136951, prec@10 0.497119, prec@30 0.515364, test_mae 0.025275, test_rmse 0.072711, test_mape 255.268982, test_acc 0.668861
Epoch 46, train_loss 0.001523, train_ic 0.029176, train_icir 0.316096, train_ric -0.008222, train_ricir -0.058619, train_mae 0.016636, train_rmse 0.025419, train_mape 239.033096, train_acc 0.329780, valid_loss 0.0015603098, valid_ic -0.002224, valid_icir -0.058330, valid_ric -0.027738, valid_ricir -0.329743, valid_mae 0.016464, valid_rmse 0.040662, valid_mape 229.075485, valid_acc 0.579861, test_loss 0.003768, ic -0.004311, icir -0.081992, ric -0.011694, ricir -0.104164, prec@10 0.543210, prec@30 0.545542, test_mae 0.028638, test_rmse 0.073636, test_mape 281.450928, test_acc 0.474275
Epoch 47, train_loss 0.001538, train_ic 0.035269, train_icir 0.438745, train_ric 0.021750, train_ricir 0.159929, train_mae 0.016961, train_rmse 0.027630, train_mape 211.005783, train_acc 0.643440, valid_loss 0.0017136902, valid_ic 0.003191, valid_icir 0.088275, valid_ric -0.006693, valid_ricir -0.082010, valid_mae 0.019222, valid_rmse 0.041096, valid_mape 346.931641, valid_acc 0.596688, test_loss 0.003863, ic -0.002058, icir -0.046226, ric 0.009370, ricir 0.100399, prec@10 0.521399, prec@30 0.520988, test_mae 0.025420, test_rmse 0.071364, test_mape 357.219513, test_acc 0.744940
Epoch 48, train_loss 0.001542, train_ic 0.012841, train_icir 0.150280, train_ric 0.022581, train_ricir 0.174988, train_mae 0.021879, train_rmse 0.031949, train_mape 319.410004, train_acc 0.764140, valid_loss 0.0023224538, valid_ic 0.000696, valid_icir 0.021700, valid_ric 0.021845, valid_ricir 0.224870, valid_mae 0.035368, valid_rmse 0.051805, valid_mape 604.363098, valid_acc 0.348291, test_loss 0.004395, ic -0.003986, icir -0.102343, ric 0.014573, ricir 0.115169, prec@10 0.515226, prec@30 0.505898, test_mae 0.045167, test_rmse 0.079771, test_mape 513.781982, test_acc 0.197513
Epoch 49, train_loss 0.001533, train_ic 0.020454, train_icir 0.355238, train_ric 0.028898, train_ricir 0.294525, train_mae 0.010786, train_rmse 0.020401, train_mape 165.877914, train_acc 0.562925, valid_loss 0.0014759269, valid_ic -0.001889, valid_icir -0.061835, valid_ric 0.006430, valid_ricir 0.109381, valid_mae 0.015481, valid_rmse 0.039685, valid_mape 192.661362, valid_acc 0.581197, test_loss 0.003591, ic -0.005460, icir -0.127031, ric 0.005445, ricir 0.076103, prec@10 0.526749, prec@30 0.516187, test_mae 0.025033, test_rmse 0.071101, test_mape 231.426483, test_acc 0.672275
Epoch 50, train_loss 0.001509, train_ic 0.031064, train_icir 0.388863, train_ric 0.020124, train_ricir 0.158581, train_mae 0.019423, train_rmse 0.025965, train_mape 192.242630, train_acc 0.164748, valid_loss 0.0015561309, valid_ic -0.001505, valid_icir -0.040933, valid_ric -0.002723, valid_ricir -0.030368, valid_mae 0.019012, valid_rmse 0.041435, valid_mape 264.418152, valid_acc 0.378205, test_loss 0.003629, ic -0.005503, icir -0.123843, ric 0.004462, ricir 0.039553, prec@10 0.480247, prec@30 0.503567, test_mae 0.032692, test_rmse 0.073565, test_mape 325.028564, test_acc 0.247744
Epoch 51, train_loss 0.001479, train_ic 0.032614, train_icir 0.334052, train_ric 0.025254, train_ricir 0.185874, train_mae 0.018932, train_rmse 0.028033, train_mape 149.964310, train_acc 0.702865, valid_loss 0.0017525511, valid_ic 0.001862, valid_icir 0.035183, valid_ric -0.000478, valid_ricir -0.004484, valid_mae 0.025722, valid_rmse 0.045246, valid_mape 439.471619, valid_acc 0.358440, test_loss 0.003810, ic -0.004881, icir -0.084738, ric 0.001981, ricir 0.014590, prec@10 0.507819, prec@30 0.511111, test_mae 0.037019, test_rmse 0.075608, test_mape 405.263428, test_acc 0.251890
Epoch 52, train_loss 0.001461, train_ic 0.025159, train_icir 0.299740, train_ric 0.054365, train_ricir 0.383636, train_mae 0.031092, train_rmse 0.038575, train_mape 202.704163, train_acc 0.245028, valid_loss 0.0014887342, valid_ic 0.001402, valid_icir 0.042398, valid_ric 0.036497, valid_ricir 0.388559, valid_mae 0.015844, valid_rmse 0.038833, valid_mape 229.714539, valid_acc 0.598825, test_loss 0.003506, ic -0.004212, icir -0.097572, ric 0.028259, ricir 0.249192, prec@10 0.486008, prec@30 0.504115, test_mae 0.023196, test_rmse 0.069167, test_mape 270.860474, test_acc 0.733723
Epoch 53, train_loss 0.001539, train_ic 0.025264, train_icir 0.296206, train_ric -0.003792, train_ricir -0.031102, train_mae 0.020497, train_rmse 0.030674, train_mape 189.246536, train_acc 0.338157, valid_loss 0.0015291930, valid_ic -0.001263, valid_icir -0.031564, valid_ric -0.021431, valid_ricir -0.295941, valid_mae 0.017490, valid_rmse 0.039963, valid_mape 252.941223, valid_acc 0.555823, test_loss 0.003598, ic -0.002751, icir -0.053044, ric -0.009334, ricir -0.097175, prec@10 0.568724, prec@30 0.524966, test_mae 0.027480, test_rmse 0.070955, test_mape 288.122559, test_acc 0.585955
Epoch 54, train_loss 0.001442, train_ic 0.020771, train_icir 0.300102, train_ric 0.002295, train_ricir 0.022186, train_mae 0.089807, train_rmse 0.102616, train_mape 322.524994, train_acc 0.079678, valid_loss 0.0015273612, valid_ic -0.000043, valid_icir -0.001579, valid_ric -0.004623, valid_ricir -0.083048, valid_mae 0.020810, valid_rmse 0.041513, valid_mape 298.979156, valid_acc 0.348291, test_loss 0.003500, ic -0.004869, icir -0.130747, ric -0.003725, ricir -0.062669, prec@10 0.511523, prec@30 0.518930, test_mae 0.031946, test_rmse 0.071867, test_mape 316.782562, test_acc 0.225067
Epoch 55, train_loss 0.001490, train_ic 0.033823, train_icir 0.426844, train_ric -0.001693, train_ricir -0.013847, train_mae 0.012770, train_rmse 0.021885, train_mape 201.821564, train_acc 0.419377, valid_loss 0.0014601766, valid_ic 0.004502, valid_icir 0.133367, valid_ric -0.015794, valid_ricir -0.232522, valid_mae 0.017766, valid_rmse 0.039799, valid_mape 205.212585, valid_acc 0.387553, test_loss 0.003450, ic 0.001164, icir 0.025821, ric -0.002009, ricir -0.025384, prec@10 0.576132, prec@30 0.544582, test_mae 0.028215, test_rmse 0.070327, test_mape 268.375732, test_acc 0.457937
Epoch 56, train_loss 0.001455, train_ic 0.030507, train_icir 0.410363, train_ric 0.021500, train_ricir 0.192133, train_mae 0.021598, train_rmse 0.033227, train_mape 173.035065, train_acc 0.445562, valid_loss 0.0014847690, valid_ic -0.003127, valid_icir -0.080574, valid_ric -0.006327, valid_ricir -0.082190, valid_mae 0.016942, valid_rmse 0.039556, valid_mape 188.941452, valid_acc 0.454861, test_loss 0.003486, ic -0.007699, icir -0.180252, ric 0.000348, ricir 0.004083, prec@10 0.637449, prec@30 0.593553, test_mae 0.027452, test_rmse 0.069764, test_mape 250.429291, test_acc 0.457449
Epoch 57, train_loss 0.001445, train_ic 0.006315, train_icir 0.081785, train_ric 0.033241, train_ricir 0.252525, train_mae 0.017412, train_rmse 0.025213, train_mape 204.315704, train_acc 0.322795, valid_loss 0.0014608245, valid_ic -0.006416, valid_icir -0.187729, valid_ric 0.023234, valid_ricir 0.288426, valid_mae 0.017551, valid_rmse 0.039702, valid_mape 212.724884, valid_acc 0.389957, test_loss 0.003423, ic -0.012337, icir -0.278053, ric 0.005580, ricir 0.057649, prec@10 0.614403, prec@30 0.593690, test_mae 0.030997, test_rmse 0.070720, test_mape 303.257599, test_acc 0.245794
Epoch 58, train_loss 0.001455, train_ic 0.011317, train_icir 0.168902, train_ric 0.030326, train_ricir 0.311194, train_mae 0.036072, train_rmse 0.056820, train_mape 172.392456, train_acc 0.421991, valid_loss 0.0014581208, valid_ic -0.006167, valid_icir -0.194733, valid_ric 0.020653, valid_ricir 0.322594, valid_mae 0.018697, valid_rmse 0.039893, valid_mape 242.502884, valid_acc 0.386218, test_loss 0.003357, ic -0.010590, icir -0.258443, ric 0.009028, ricir 0.134372, prec@10 0.509877, prec@30 0.530864, test_mae 0.029016, test_rmse 0.069631, test_mape 277.940338, test_acc 0.312363
Epoch 59, train_loss 0.001416, train_ic 0.022695, train_icir 0.294139, train_ric 0.030111, train_ricir 0.272372, train_mae 0.045445, train_rmse 0.051142, train_mape 138.769882, train_acc 0.114754, valid_loss 0.0014714088, valid_ic -0.002476, valid_icir -0.062158, valid_ric 0.005440, valid_ricir 0.065113, valid_mae 0.017431, valid_rmse 0.038044, valid_mape 257.856262, valid_acc 0.580662, test_loss 0.003352, ic -0.007983, icir -0.152659, ric 0.000126, ricir 0.001082, prec@10 0.501235, prec@30 0.493827, test_mae 0.025425, test_rmse 0.067644, test_mape 274.551178, test_acc 0.673007
Epoch 60, train_loss 0.001464, train_ic 0.010807, train_icir 0.143590, train_ric -0.005784, train_ricir -0.051815, train_mae 0.022162, train_rmse 0.030577, train_mape 172.262894, train_acc 0.225520, valid_loss 0.0013899725, valid_ic -0.003459, valid_icir -0.104547, valid_ric -0.011339, valid_ricir -0.182113, valid_mae 0.015802, valid_rmse 0.037674, valid_mape 182.215729, valid_acc 0.542201, test_loss 0.003277, ic -0.006036, icir -0.137518, ric -0.010417, ricir -0.132130, prec@10 0.551029, prec@30 0.513855, test_mae 0.026424, test_rmse 0.068100, test_mape 247.935196, test_acc 0.501341
Epoch 61, train_loss 0.001441, train_ic 0.041127, train_icir 0.483665, train_ric 0.007259, train_ricir 0.056336, train_mae 0.026077, train_rmse 0.032223, train_mape 443.264679, train_acc 0.365642, valid_loss 0.0018870734, valid_ic 0.008810, valid_icir 0.256454, valid_ric -0.013698, valid_ricir -0.178705, valid_mae 0.028812, valid_rmse 0.045378, valid_mape 465.716064, valid_acc 0.348024, test_loss 0.003716, ic 0.004992, icir 0.130031, ric 0.002553, ricir 0.026986, prec@10 0.574897, prec@30 0.556516, test_mae 0.041945, test_rmse 0.074232, test_mape 463.927795, test_acc 0.197025
Epoch 62, train_loss 0.001426, train_ic 0.031949, train_icir 0.335111, train_ric 0.011114, train_ricir 0.087998, train_mae 0.018595, train_rmse 0.025433, train_mape 358.424835, train_acc 0.526002, valid_loss 0.0018605801, valid_ic 0.001443, valid_icir 0.029735, valid_ric -0.009860, valid_ricir -0.105198, valid_mae 0.030217, valid_rmse 0.046248, valid_mape 544.566467, valid_acc 0.353098, test_loss 0.003676, ic -0.004206, icir -0.082549, ric -0.003709, ricir -0.031211, prec@10 0.553498, prec@30 0.569822, test_mae 0.042152, test_rmse 0.074931, test_mape 493.512726, test_acc 0.201170
Epoch 63, train_loss 0.001444, train_ic 0.013306, train_icir 0.215161, train_ric 0.016588, train_ricir 0.175804, train_mae 0.033341, train_rmse 0.040912, train_mape 89.105003, train_acc 0.841078, valid_loss 0.0013566472, valid_ic -0.000762, valid_icir -0.031811, valid_ric 0.012513, valid_ricir 0.219463, valid_mae 0.015718, valid_rmse 0.037048, valid_mape 205.682373, valid_acc 0.575321, test_loss 0.003186, ic -0.004088, icir -0.114251, ric 0.005733, ricir 0.085657, prec@10 0.534979, prec@30 0.520302, test_mae 0.023495, test_rmse 0.066035, test_mape 223.705429, test_acc 0.709095
Epoch 64, train_loss 0.001413, train_ic 0.028271, train_icir 0.251281, train_ric 0.008320, train_ricir 0.061760, train_mae 0.029103, train_rmse 0.034959, train_mape 454.507294, train_acc 0.285431, valid_loss 0.0017847004, valid_ic 0.000265, valid_icir 0.004021, valid_ric -0.007460, valid_ricir -0.075614, valid_mae 0.023242, valid_rmse 0.041727, valid_mape 346.847168, valid_acc 0.492788, test_loss 0.003637, ic -0.007224, icir -0.099212, ric -0.007507, ricir -0.053673, prec@10 0.676955, prec@30 0.600274, test_mae 0.032958, test_rmse 0.070047, test_mape 369.641449, test_acc 0.497927
Epoch 65, train_loss 0.001409, train_ic 0.038762, train_icir 0.429770, train_ric 0.000444, train_ricir 0.003262, train_mae 0.018279, train_rmse 0.025869, train_mape 339.531036, train_acc 0.510000, valid_loss 0.0016894562, valid_ic 0.008858, valid_icir 0.289118, valid_ric -0.009760, valid_ricir -0.113938, valid_mae 0.026292, valid_rmse 0.043235, valid_mape 407.475952, valid_acc 0.352564, test_loss 0.003452, ic 0.005415, icir 0.164311, ric 0.007373, ricir 0.069829, prec@10 0.539918, prec@30 0.540604, test_mae 0.036616, test_rmse 0.070602, test_mape 385.903259, test_acc 0.219215
Epoch 66, train_loss 0.001425, train_ic 0.035685, train_icir 0.450649, train_ric 0.042507, train_ricir 0.360609, train_mae 0.012233, train_rmse 0.023390, train_mape 162.628586, train_acc 0.799039, valid_loss 0.0014065190, valid_ic 0.004481, valid_icir 0.138315, valid_ric 0.013775, valid_ricir 0.200678, valid_mae 0.016508, valid_rmse 0.036840, valid_mape 242.148163, valid_acc 0.586806, test_loss 0.003180, ic -0.000477, icir -0.011418, ric 0.016454, ricir 0.200248, prec@10 0.530864, prec@30 0.521262, test_mae 0.022907, test_rmse 0.064852, test_mape 282.871185, test_acc 0.729822
Epoch 67, train_loss 0.001439, train_ic 0.040091, train_icir 0.622786, train_ric 0.034232, train_ricir 0.334304, train_mae 0.054918, train_rmse 0.063852, train_mape 137.653259, train_acc 0.072678, valid_loss 0.0013649003, valid_ic 0.002176, valid_icir 0.074523, valid_ric -0.001782, valid_ricir -0.029512, valid_mae 0.016142, valid_rmse 0.036173, valid_mape 243.439194, valid_acc 0.594284, test_loss 0.003118, ic -0.002617, icir -0.067907, ric 0.004627, ricir 0.064737, prec@10 0.555556, prec@30 0.531824, test_mae 0.022151, test_rmse 0.064315, test_mape 264.186554, test_acc 0.737625
Epoch 68, train_loss 0.001379, train_ic 0.024708, train_icir 0.277906, train_ric 0.042085, train_ricir 0.315065, train_mae 0.019340, train_rmse 0.030211, train_mape 220.283585, train_acc 0.507366, valid_loss 0.0015501160, valid_ic 0.008310, valid_icir 0.215588, valid_ric 0.021867, valid_ricir 0.248559, valid_mae 0.017610, valid_rmse 0.039828, valid_mape 230.312897, valid_acc 0.557425, test_loss 0.003473, ic 0.004430, icir 0.107965, ric 0.019530, ricir 0.169787, prec@10 0.517284, prec@30 0.513443, test_mae 0.024762, test_rmse 0.066080, test_mape 279.691101, test_acc 0.693977
Epoch 69, train_loss 0.001428, train_ic 0.037285, train_icir 0.409266, train_ric 0.032221, train_ricir 0.263400, train_mae 0.017886, train_rmse 0.025769, train_mape 147.631805, train_acc 0.474324, valid_loss 0.0013620788, valid_ic 0.000947, valid_icir 0.020889, valid_ric -0.002880, valid_ricir -0.035569, valid_mae 0.016925, valid_rmse 0.036971, valid_mape 221.777466, valid_acc 0.513889, test_loss 0.003099, ic -0.002083, icir -0.038869, ric 0.006861, ricir 0.064591, prec@10 0.541152, prec@30 0.530453, test_mae 0.028206, test_rmse 0.066722, test_mape 289.747589, test_acc 0.460619
Epoch 70, train_loss 0.001404, train_ic 0.032497, train_icir 0.369514, train_ric 0.057733, train_ricir 0.426414, train_mae 0.024623, train_rmse 0.031442, train_mape 474.699066, train_acc 0.355741, valid_loss 0.0015316958, valid_ic 0.004296, valid_icir 0.120181, valid_ric 0.028430, valid_ricir 0.321430, valid_mae 0.019859, valid_rmse 0.037228, valid_mape 378.252808, valid_acc 0.595353, test_loss 0.003226, ic -0.002825, icir -0.064022, ric 0.026455, ricir 0.250717, prec@10 0.489300, prec@30 0.506036, test_mae 0.024357, test_rmse 0.063949, test_mape 355.846832, test_acc 0.741526
Epoch 71, train_loss 0.001370, train_ic 0.030779, train_icir 0.310571, train_ric 0.033373, train_ricir 0.256845, train_mae 0.015954, train_rmse 0.022969, train_mape 173.938507, train_acc 0.474516, valid_loss 0.0013786823, valid_ic -0.000867, valid_icir -0.016153, valid_ric 0.003162, valid_ricir 0.032231, valid_mae 0.017815, valid_rmse 0.037129, valid_mape 225.960846, valid_acc 0.483173, test_loss 0.003109, ic -0.007720, icir -0.126287, ric 0.002636, ricir 0.019787, prec@10 0.618930, prec@30 0.593553, test_mae 0.028728, test_rmse 0.066402, test_mape 289.690308, test_acc 0.438430
Epoch 72, train_loss 0.001390, train_ic 0.021669, train_icir 0.241992, train_ric 0.035279, train_ricir 0.290300, train_mae 0.022178, train_rmse 0.028181, train_mape 107.552788, train_acc 0.596580, valid_loss 0.0013199356, valid_ic -0.001274, valid_icir -0.026959, valid_ric 0.008475, valid_ricir 0.090538, valid_mae 0.016928, valid_rmse 0.036802, valid_mape 208.933670, valid_acc 0.481036, test_loss 0.003012, ic -0.007174, icir -0.142223, ric 0.008434, ricir 0.075421, prec@10 0.584774, prec@30 0.581619, test_mae 0.027602, test_rmse 0.065715, test_mape 254.928589, test_acc 0.395513
Epoch 73, train_loss 0.001379, train_ic 0.023778, train_icir 0.271709, train_ric 0.041529, train_ricir 0.342712, train_mae 0.027062, train_rmse 0.035328, train_mape 224.831558, train_acc 0.150489, valid_loss 0.0013056978, valid_ic -0.000408, valid_icir -0.009814, valid_ric 0.015790, valid_ricir 0.168561, valid_mae 0.017168, valid_rmse 0.037101, valid_mape 213.221878, valid_acc 0.416400, test_loss 0.003014, ic -0.007947, icir -0.152177, ric 0.005676, ricir 0.048075, prec@10 0.481893, prec@30 0.506859, test_mae 0.028931, test_rmse 0.066485, test_mape 274.360535, test_acc 0.301634
Epoch 74, train_loss 0.001389, train_ic 0.023242, train_icir 0.239753, train_ric 0.046094, train_ricir 0.355143, train_mae 0.018665, train_rmse 0.028334, train_mape 365.458008, train_acc 0.463155, valid_loss 0.0014948593, valid_ic -0.003893, valid_icir -0.074570, valid_ric 0.018960, valid_ricir 0.183051, valid_mae 0.023038, valid_rmse 0.040527, valid_mape 371.201813, valid_acc 0.381677, test_loss 0.003156, ic -0.011040, icir -0.208866, ric 0.009426, ricir 0.078800, prec@10 0.553086, prec@30 0.566529, test_mae 0.033737, test_rmse 0.068424, test_mape 359.265747, test_acc 0.259205
Epoch 75, train_loss 0.001398, train_ic 0.032355, train_icir 0.495385, train_ric 0.024749, train_ricir 0.261271, train_mae 0.015345, train_rmse 0.026443, train_mape 327.234344, train_acc 0.326657, valid_loss 0.0012812742, valid_ic -0.000784, valid_icir -0.023352, valid_ric 0.000377, valid_ricir 0.007182, valid_mae 0.017467, valid_rmse 0.036621, valid_mape 211.187103, valid_acc 0.354968, test_loss 0.002927, ic -0.005745, icir -0.131721, ric -0.001491, ricir -0.022446, prec@10 0.557202, prec@30 0.586145, test_mae 0.028834, test_rmse 0.065660, test_mape 265.575470, test_acc 0.223360
Epoch 76, train_loss 0.001375, train_ic 0.024382, train_icir 0.290681, train_ric 0.039137, train_ricir 0.312770, train_mae 0.021923, train_rmse 0.026914, train_mape 258.047119, train_acc 0.237603, valid_loss 0.0014292555, valid_ic 0.001287, valid_icir 0.033857, valid_ric 0.024334, valid_ricir 0.281401, valid_mae 0.017534, valid_rmse 0.035784, valid_mape 284.757385, valid_acc 0.597222, test_loss 0.003070, ic -0.006307, icir -0.144874, ric 0.018103, ricir 0.196826, prec@10 0.600000, prec@30 0.579698, test_mae 0.023572, test_rmse 0.062842, test_mape 304.013123, test_acc 0.736406
Epoch 77, train_loss 0.001390, train_ic 0.024083, train_icir 0.283809, train_ric 0.040936, train_ricir 0.346725, train_mae 0.023270, train_rmse 0.031339, train_mape 6057.425293, train_acc 0.417860, valid_loss 0.0015890177, valid_ic 0.001834, valid_icir 0.070454, valid_ric 0.023537, valid_ricir 0.318862, valid_mae 0.026141, valid_rmse 0.041743, valid_mape 413.615417, valid_acc 0.352564, test_loss 0.003161, ic -0.003707, icir -0.109696, ric 0.017551, ricir 0.159979, prec@10 0.522634, prec@30 0.527298, test_mae 0.035733, test_rmse 0.068037, test_mape 370.846710, test_acc 0.218483
Epoch 78, train_loss 0.001411, train_ic 0.014960, train_icir 0.177623, train_ric 0.042649, train_ricir 0.347477, train_mae 0.015840, train_rmse 0.026652, train_mape 86.709717, train_acc 0.881720, valid_loss 0.0013664621, valid_ic 0.002402, valid_icir 0.079268, valid_ric 0.033825, valid_ricir 0.410807, valid_mae 0.017097, valid_rmse 0.035491, valid_mape 290.139923, valid_acc 0.592949, test_loss 0.003015, ic -0.002977, icir -0.076363, ric 0.021234, ricir 0.198458, prec@10 0.530041, prec@30 0.512483, test_mae 0.022189, test_rmse 0.062081, test_mape 285.389526, test_acc 0.742258
Epoch 79, train_loss 0.001366, train_ic 0.031631, train_icir 0.491351, train_ric 0.031166, train_ricir 0.333210, train_mae 0.023341, train_rmse 0.031336, train_mape 486.431702, train_acc 0.432343, valid_loss 0.0015832083, valid_ic 0.003107, valid_icir 0.114456, valid_ric 0.003927, valid_ricir 0.070774, valid_mae 0.026504, valid_rmse 0.041589, valid_mape 438.945160, valid_acc 0.354167, test_loss 0.003159, ic -0.002119, icir -0.066394, ric 0.005450, ricir 0.102329, prec@10 0.530041, prec@30 0.538134, test_mae 0.038278, test_rmse 0.068948, test_mape 427.144104, test_acc 0.207267
Epoch 80, train_loss 0.001350, train_ic 0.029832, train_icir 0.272515, train_ric 0.015480, train_ricir 0.105738, train_mae 0.045323, train_rmse 0.051655, train_mape 256.055603, train_acc 0.088905, valid_loss 0.0013724538, valid_ic 0.000731, valid_icir 0.013755, valid_ric -0.007023, valid_ricir -0.065305, valid_mae 0.020491, valid_rmse 0.038093, valid_mape 308.185516, valid_acc 0.400374, test_loss 0.002993, ic -0.005489, icir -0.097569, ric -0.003933, ricir -0.026302, prec@10 0.654733, prec@30 0.604801, test_mae 0.034112, test_rmse 0.067396, test_mape 355.586060, test_acc 0.249939
Epoch 81, train_loss 0.001345, train_ic 0.017499, train_icir 0.265666, train_ric 0.029942, train_ricir 0.301617, train_mae 0.017775, train_rmse 0.024813, train_mape 280.143219, train_acc 0.673277, valid_loss 0.0014492433, valid_ic 0.003227, valid_icir 0.132612, valid_ric 0.027245, valid_ricir 0.414492, valid_mae 0.018899, valid_rmse 0.035690, valid_mape 360.897919, valid_acc 0.596154, test_loss 0.003047, ic -0.002297, icir -0.066058, ric 0.014500, ricir 0.166835, prec@10 0.536214, prec@30 0.530590, test_mae 0.022394, test_rmse 0.061217, test_mape 303.470459, test_acc 0.747866
Epoch 82, train_loss 0.001357, train_ic 0.024949, train_icir 0.269787, train_ric -0.008452, train_ricir -0.065969, train_mae 0.013406, train_rmse 0.020981, train_mape 189.082367, train_acc 0.533040, valid_loss 0.0012835519, valid_ic 0.004248, valid_icir 0.109457, valid_ric -0.017347, valid_ricir -0.230203, valid_mae 0.016020, valid_rmse 0.035368, valid_mape 185.885773, valid_acc 0.531517, test_loss 0.002919, ic 0.002372, icir 0.054963, ric -0.008159, ricir -0.093942, prec@10 0.546502, prec@30 0.512071, test_mae 0.026317, test_rmse 0.063334, test_mape 244.243271, test_acc 0.489881
Epoch 83, train_loss 0.001332, train_ic 0.017636, train_icir 0.270033, train_ric 0.005439, train_ricir 0.057043, train_mae 0.023407, train_rmse 0.033002, train_mape 131.568954, train_acc 0.623038, valid_loss 0.0012493380, valid_ic -0.002318, valid_icir -0.081471, valid_ric 0.002512, valid_ricir 0.050826, valid_mae 0.016817, valid_rmse 0.035521, valid_mape 191.119995, valid_acc 0.393429, test_loss 0.002818, ic -0.007084, icir -0.200492, ric -0.000934, ricir -0.015816, prec@10 0.598765, prec@30 0.592044, test_mae 0.028094, test_rmse 0.063780, test_mape 251.112778, test_acc 0.290417
Epoch 84, train_loss 0.001347, train_ic 0.030717, train_icir 0.350825, train_ric -0.007803, train_ricir -0.067580, train_mae 0.020930, train_rmse 0.028431, train_mape 144.102753, train_acc 0.410451, valid_loss 0.0012758554, valid_ic 0.005879, valid_icir 0.167555, valid_ric -0.017071, valid_ricir -0.249721, valid_mae 0.016380, valid_rmse 0.034440, valid_mape 251.363495, valid_acc 0.564370, test_loss 0.002832, ic 0.002128, icir 0.054463, ric -0.005663, ricir -0.075458, prec@10 0.560905, prec@30 0.533882, test_mae 0.022401, test_rmse 0.061115, test_mape 232.785278, test_acc 0.690563
Epoch 85, train_loss 0.001367, train_ic 0.019835, train_icir 0.218726, train_ric 0.032571, train_ricir 0.280389, train_mae 0.018091, train_rmse 0.026307, train_mape 198.990982, train_acc 0.676668, valid_loss 0.0015704066, valid_ic -0.004745, valid_icir -0.091594, valid_ric 0.009326, valid_ricir 0.102534, valid_mae 0.021121, valid_rmse 0.037443, valid_mape 346.371948, valid_acc 0.595887, test_loss 0.003150, ic -0.011924, icir -0.224092, ric 0.001047, ricir 0.009570, prec@10 0.625926, prec@30 0.589986, test_mae 0.026422, test_rmse 0.062583, test_mape 320.757721, test_acc 0.736406
