Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002998, train_ic 0.016973, train_icir 0.227257, train_ric 0.029447, train_ricir 0.206729, train_mae 0.020605, train_rmse 0.029899, train_mape 311.097168, train_acc 0.684577, valid_loss 0.0035402815, valid_ic -0.000317, valid_icir -0.006034, valid_ric 0.002762, valid_ricir 0.025354, valid_mae 0.026964, valid_rmse 0.066242, valid_mape 513.777039, valid_acc 0.588942, test_loss 0.009399, ic -0.007576, icir -0.100570, ric 0.010018, ricir 0.073009, prec@10 0.512346, prec@30 0.519890, test_mae 0.041210, test_rmse 0.114031, test_mape 548.981140, test_acc 0.690076
Epoch 13, train_loss 0.002866, train_ic -0.002388, train_icir -0.041588, train_ric -0.021452, train_ricir -0.170702, train_mae 0.033269, train_rmse 0.050036, train_mape 564.130066, train_acc 0.116667, valid_loss 0.0037606957, valid_ic -0.004253, valid_icir -0.123476, valid_ric -0.005319, valid_ricir -0.059683, valid_mae 0.037458, valid_rmse 0.069439, valid_mape 654.715393, valid_acc 0.347489, test_loss 0.009236, ic -0.006851, icir -0.121878, ric -0.008344, ricir -0.088550, prec@10 0.516461, prec@30 0.505213, test_mae 0.059770, test_rmse 0.116418, test_mape 720.239380, test_acc 0.197269
Epoch 14, train_loss 0.002678, train_ic -0.001311, train_icir -0.018182, train_ric 0.007626, train_ricir 0.056142, train_mae 0.039548, train_rmse 0.052327, train_mape 155.033127, train_acc 0.125716, valid_loss 0.0032614422, valid_ic -0.000529, valid_icir -0.014469, valid_ric 0.013995, valid_ricir 0.148812, valid_mae 0.027854, valid_rmse 0.064930, valid_mape 417.765900, valid_acc 0.382212, test_loss 0.008516, ic -0.003508, icir -0.067344, ric 0.008741, ricir 0.070767, prec@10 0.502881, prec@30 0.514266, test_mae 0.044567, test_rmse 0.109294, test_mape 501.232391, test_acc 0.361863
Epoch 15, train_loss 0.002499, train_ic 0.007591, train_icir 0.112550, train_ric 0.018485, train_ricir 0.138646, train_mae 0.022355, train_rmse 0.045824, train_mape 289.723145, train_acc 0.447654, valid_loss 0.0029451954, valid_ic -0.001701, valid_icir -0.046844, valid_ric 0.007350, valid_ricir 0.090220, valid_mae 0.025540, valid_rmse 0.061398, valid_mape 377.104797, valid_acc 0.346421, test_loss 0.007784, ic -0.004589, icir -0.083405, ric 0.011971, ricir 0.118222, prec@10 0.501646, prec@30 0.495473, test_mae 0.045109, test_rmse 0.106276, test_mape 488.971710, test_acc 0.248964
Epoch 16, train_loss 0.002446, train_ic 0.001240, train_icir 0.017628, train_ric 0.043746, train_ricir 0.315419, train_mae 0.026668, train_rmse 0.041873, train_mape 610.670349, train_acc 0.568408, valid_loss 0.0032603878, valid_ic -0.005149, valid_icir -0.128373, valid_ric 0.037190, valid_ricir 0.381075, valid_mae 0.030855, valid_rmse 0.060602, valid_mape 662.197876, valid_acc 0.594551, test_loss 0.007796, ic -0.009242, icir -0.149823, ric 0.021179, ricir 0.184860, prec@10 0.422222, prec@30 0.468999, test_mae 0.039674, test_rmse 0.101742, test_mape 603.145813, test_acc 0.729822
Epoch 17, train_loss 0.002344, train_ic 0.008459, train_icir 0.164415, train_ric 0.025770, train_ricir 0.248868, train_mae 0.025447, train_rmse 0.032043, train_mape 348.519745, train_acc 0.571706, valid_loss 0.0029815374, valid_ic -0.001668, valid_icir -0.048860, valid_ric 0.011608, valid_ricir 0.201568, valid_mae 0.027687, valid_rmse 0.058617, valid_mape 581.840942, valid_acc 0.591346, test_loss 0.007346, ic -0.004733, icir -0.088477, ric 0.014692, ricir 0.231855, prec@10 0.520576, prec@30 0.523594, test_mae 0.036216, test_rmse 0.098941, test_mape 523.971680, test_acc 0.732748
Epoch 18, train_loss 0.002245, train_ic 0.007996, train_icir 0.121332, train_ric -0.017735, train_ricir -0.129213, train_mae 0.022432, train_rmse 0.030356, train_mape 209.514435, train_acc 0.356592, valid_loss 0.0024313145, valid_ic -0.003302, valid_icir -0.083872, valid_ric -0.022190, valid_ricir -0.242753, valid_mae 0.019270, valid_rmse 0.054209, valid_mape 312.707977, valid_acc 0.581998, test_loss 0.006539, ic -0.007146, icir -0.119121, ric -0.011712, ricir -0.097581, prec@10 0.555144, prec@30 0.523182, test_mae 0.032794, test_rmse 0.096463, test_mape 342.423401, test_acc 0.647159
Epoch 19, train_loss 0.002161, train_ic 0.015703, train_icir 0.174952, train_ric 0.021374, train_ricir 0.140897, train_mae 0.022454, train_rmse 0.040692, train_mape 438.193665, train_acc 0.447766, valid_loss 0.0025528617, valid_ic -0.004343, valid_icir -0.083582, valid_ric 0.001010, valid_ricir 0.008804, valid_mae 0.025135, valid_rmse 0.056313, valid_mape 426.069366, valid_acc 0.399038, test_loss 0.006515, ic -0.009480, icir -0.135780, ric 0.001077, ricir 0.006734, prec@10 0.606584, prec@30 0.580933, test_mae 0.044497, test_rmse 0.098658, test_mape 498.497070, test_acc 0.247744
Epoch 20, train_loss 0.002133, train_ic 0.019946, train_icir 0.253992, train_ric -0.017015, train_ricir -0.112566, train_mae 0.017647, train_rmse 0.032821, train_mape 156.310928, train_acc 0.591050, valid_loss 0.0022574482, valid_ic -0.002091, valid_icir -0.051922, valid_ric -0.030209, valid_ricir -0.316037, valid_mae 0.018252, valid_rmse 0.052224, valid_mape 235.891647, valid_acc 0.493056, test_loss 0.006026, ic -0.005097, icir -0.085386, ric -0.010972, ricir -0.084183, prec@10 0.568724, prec@30 0.534431, test_mae 0.034761, test_rmse 0.093716, test_mape 339.606201, test_acc 0.382102
Epoch 21, train_loss 0.002073, train_ic 0.007799, train_icir 0.123175, train_ric 0.030647, train_ricir 0.234739, train_mae 0.015841, train_rmse 0.022127, train_mape 235.276001, train_acc 0.752327, valid_loss 0.0024844990, valid_ic -0.005001, valid_icir -0.149178, valid_ric 0.020420, valid_ricir 0.231064, valid_mae 0.024160, valid_rmse 0.052844, valid_mape 497.379395, valid_acc 0.595620, test_loss 0.006110, ic -0.007254, icir -0.137707, ric 0.014205, ricir 0.141938, prec@10 0.473251, prec@30 0.486283, test_mae 0.031158, test_rmse 0.090763, test_mape 433.496155, test_acc 0.738356
