Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.002887, train_ic 0.011991, train_icir 0.199540, train_ric 0.014750, train_ricir 0.129498, train_mae 0.017981, train_rmse 0.032054, train_mape 447.318176, train_acc 0.585656, valid_loss 0.0102792347, valid_ic 0.004059, valid_icir 0.045033, valid_ric 0.002084, valid_ricir 0.025835, valid_mae 0.037552, valid_rmse 0.103849, valid_mape 817.753418, valid_acc 0.570151, test_loss 0.008230, ic 0.008392, icir 0.126729, ric 0.000003, ricir 0.000025, prec@10 0.465702, prec@30 0.495730, test_mae 0.027920, test_rmse 0.081763, test_mape 538.566895, test_acc 0.637702
Epoch 13, train_loss 0.002751, train_ic 0.011822, train_icir 0.202711, train_ric 0.004518, train_ricir 0.042522, train_mae 0.031692, train_rmse 0.043461, train_mape 715.923401, train_acc 0.553142, valid_loss 0.0103618734, valid_ic 0.002877, valid_icir 0.032501, valid_ric 0.007245, valid_ricir 0.076047, valid_mae 0.052371, valid_rmse 0.105379, valid_mape 1110.142578, valid_acc 0.367445, test_loss 0.008380, ic 0.006565, icir 0.100110, ric 0.018388, ricir 0.158898, prec@10 0.518182, prec@30 0.506336, test_mae 0.045663, test_rmse 0.085630, test_mape 841.786316, test_acc 0.303619
Epoch 14, train_loss 0.002626, train_ic 0.009217, train_icir 0.134311, train_ric 0.034435, train_ricir 0.281258, train_mae 0.012931, train_rmse 0.028688, train_mape 184.057861, train_acc 0.578472, valid_loss 0.0089183059, valid_ic 0.003746, valid_icir 0.041357, valid_ric 0.031217, valid_ricir 0.304178, valid_mae 0.032767, valid_rmse 0.096586, valid_mape 597.442627, valid_acc 0.473271, test_loss 0.007105, ic 0.008090, icir 0.121987, ric 0.036050, ricir 0.356275, prec@10 0.499174, prec@30 0.524105, test_mae 0.024506, test_rmse 0.076058, test_mape 362.597778, test_acc 0.531384
Epoch 15, train_loss 0.002467, train_ic 0.008939, train_icir 0.131736, train_ric 0.005415, train_ricir 0.043396, train_mae 0.017364, train_rmse 0.046841, train_mape 334.333649, train_acc 0.617267, valid_loss 0.0084384618, valid_ic 0.003129, valid_icir 0.033300, valid_ric 0.018278, valid_ricir 0.129650, valid_mae 0.031905, valid_rmse 0.093479, valid_mape 597.017029, valid_acc 0.541567, test_loss 0.006742, ic 0.007257, icir 0.100029, ric 0.032116, ricir 0.190113, prec@10 0.505785, prec@30 0.486915, test_mae 0.022804, test_rmse 0.073303, test_mape 382.138733, test_acc 0.663259
Epoch 16, train_loss 0.002380, train_ic -0.000264, train_icir -0.003309, train_ric 0.020516, train_ricir 0.174910, train_mae 0.020097, train_rmse 0.030452, train_mape 383.072632, train_acc 0.491440, valid_loss 0.0083220662, valid_ic 0.002935, valid_icir 0.032859, valid_ric 0.028352, valid_ricir 0.267486, valid_mae 0.040270, valid_rmse 0.093798, valid_mape 808.669067, valid_acc 0.417630, test_loss 0.006700, ic 0.006844, icir 0.099692, ric 0.033908, ricir 0.275727, prec@10 0.501653, prec@30 0.543939, test_mae 0.033290, test_rmse 0.074954, test_mape 594.614624, test_acc 0.386424
Epoch 17, train_loss 0.002279, train_ic 0.016154, train_icir 0.274933, train_ric -0.011142, train_ricir -0.106475, train_mae 0.018756, train_rmse 0.025197, train_mape 186.346619, train_acc 0.446209, valid_loss 0.0076241840, valid_ic 0.003336, valid_icir 0.039937, valid_ric -0.007421, valid_ricir -0.101414, valid_mae 0.029462, valid_rmse 0.087804, valid_mape 550.614380, valid_acc 0.587388, test_loss 0.006123, ic 0.006335, icir 0.104232, ric 0.002454, ricir 0.030282, prec@10 0.512397, prec@30 0.490083, test_mae 0.022093, test_rmse 0.069098, test_mape 383.778229, test_acc 0.669188
Epoch 18, train_loss 0.002244, train_ic 0.026915, train_icir 0.345064, train_ric 0.002487, train_ricir 0.023973, train_mae 0.033263, train_rmse 0.040874, train_mape 770.929871, train_acc 0.369691, valid_loss 0.0082259745, valid_ic 0.004684, valid_icir 0.056542, valid_ric -0.006709, valid_ricir -0.092635, valid_mae 0.046049, valid_rmse 0.091705, valid_mape 923.465149, valid_acc 0.386646, test_loss 0.006774, ic 0.007596, icir 0.126112, ric -0.004226, ricir -0.057238, prec@10 0.571488, prec@30 0.572865, test_mae 0.043775, test_rmse 0.076854, test_mape 803.223328, test_acc 0.333265
Epoch 19, train_loss 0.002167, train_ic 0.017333, train_icir 0.313952, train_ric 0.005301, train_ricir 0.061722, train_mae 0.013351, train_rmse 0.026124, train_mape 146.383545, train_acc 0.794720, valid_loss 0.0069860011, valid_ic 0.003273, valid_icir 0.043009, valid_ric 0.002289, valid_ricir 0.046389, valid_mae 0.029458, valid_rmse 0.083850, valid_mape 563.256592, valid_acc 0.588916, test_loss 0.005631, ic 0.005176, icir 0.097042, ric -0.001647, ricir -0.026198, prec@10 0.526446, prec@30 0.503168, test_mae 0.022562, test_rmse 0.066202, test_mape 367.327271, test_acc 0.660192
Epoch 20, train_loss 0.002139, train_ic 0.012470, train_icir 0.207385, train_ric 0.006774, train_ricir 0.077780, train_mae 0.039013, train_rmse 0.055362, train_mape 586.187805, train_acc 0.160504, valid_loss 0.0075844974, valid_ic 0.004213, valid_icir 0.055974, valid_ric 0.000679, valid_ricir 0.013240, valid_mae 0.044693, valid_rmse 0.088285, valid_mape 905.049683, valid_acc 0.368099, test_loss 0.006130, ic 0.008396, icir 0.146938, ric 0.006070, ricir 0.099116, prec@10 0.459504, prec@30 0.463223, test_mae 0.040917, test_rmse 0.072805, test_mape 719.055298, test_acc 0.302188
Epoch 21, train_loss 0.002051, train_ic 0.015170, train_icir 0.164328, train_ric 0.004849, train_ricir 0.033776, train_mae 0.039376, train_rmse 0.049509, train_mape 561.942932, train_acc 0.274615, valid_loss 0.0070871386, valid_ic 0.003708, valid_icir 0.041418, valid_ric 0.014437, valid_ricir 0.095920, valid_mae 0.043236, valid_rmse 0.086068, valid_mape 884.901428, valid_acc 0.373336, test_loss 0.005795, ic 0.007555, icir 0.105555, ric 0.023573, ricir 0.139837, prec@10 0.568595, prec@30 0.574518, test_mae 0.039083, test_rmse 0.070259, test_mape 727.788574, test_acc 0.318953
