Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 42, train_loss 0.001566, train_ic 0.045131, train_icir 0.568160, train_ric 0.010257, train_ricir 0.103444, train_mae 0.028786, train_rmse 0.036374, train_mape 259.654480, train_acc 0.178903, valid_loss 0.0042197752, valid_ic 0.003878, valid_icir 0.061305, valid_ric 0.000589, valid_ricir 0.007856, valid_mae 0.027747, valid_rmse 0.064056, valid_mape 455.273499, valid_acc 0.376173, test_loss 0.003355, ic 0.007706, icir 0.159426, ric 0.007375, ricir 0.090617, prec@10 0.492975, prec@30 0.481267, test_mae 0.024543, test_rmse 0.050021, test_mape 359.565918, test_acc 0.311797
Epoch 43, train_loss 0.001570, train_ic 0.046479, train_icir 0.457005, train_ric -0.009459, train_ricir -0.069439, train_mae 0.014611, train_rmse 0.024405, train_mape 152.998993, train_acc 0.583192, valid_loss 0.0040597314, valid_ic 0.004912, valid_icir 0.069409, valid_ric -0.011830, valid_ricir -0.101443, valid_mae 0.023804, valid_rmse 0.061742, valid_mape 383.284241, valid_acc 0.572114, test_loss 0.003249, ic 0.007896, icir 0.142194, ric -0.006608, ricir -0.052783, prec@10 0.576033, prec@30 0.531129, test_mae 0.018231, test_rmse 0.046785, test_mape 239.571350, test_acc 0.588632
Epoch 44, train_loss 0.001572, train_ic 0.040132, train_icir 0.491564, train_ric 0.021570, train_ricir 0.198090, train_mae 0.017047, train_rmse 0.023028, train_mape 233.904099, train_acc 0.495832, valid_loss 0.0039771145, valid_ic 0.003526, valid_icir 0.050824, valid_ric 0.018053, valid_ricir 0.167742, valid_mae 0.022849, valid_rmse 0.060857, valid_mape 352.473053, valid_acc 0.576478, test_loss 0.003179, ic 0.007410, icir 0.140099, ric 0.027829, ricir 0.260038, prec@10 0.503306, prec@30 0.543388, test_mae 0.017458, test_rmse 0.045969, test_mape 243.668793, test_acc 0.666121
Epoch 45, train_loss 0.001554, train_ic 0.037882, train_icir 0.429115, train_ric 0.015168, train_ricir 0.137791, train_mae 0.017941, train_rmse 0.023005, train_mape 411.158691, train_acc 0.287812, valid_loss 0.0040967860, valid_ic 0.004492, valid_icir 0.065506, valid_ric 0.016343, valid_ricir 0.156581, valid_mae 0.028104, valid_rmse 0.063032, valid_mape 485.610443, valid_acc 0.405630, test_loss 0.003258, ic 0.008570, icir 0.160118, ric 0.027195, ricir 0.234553, prec@10 0.492562, prec@30 0.480854, test_mae 0.022551, test_rmse 0.048061, test_mape 337.325409, test_acc 0.379064
Epoch 46, train_loss 0.001546, train_ic 0.037278, train_icir 0.454065, train_ric 0.034551, train_ricir 0.299190, train_mae 0.015087, train_rmse 0.023735, train_mape 129.990082, train_acc 0.475470, valid_loss 0.0038699691, valid_ic 0.004661, valid_icir 0.064936, valid_ric 0.022240, valid_ricir 0.199577, valid_mae 0.023264, valid_rmse 0.060687, valid_mape 344.664856, valid_acc 0.526729, test_loss 0.003069, ic 0.009741, icir 0.175024, ric 0.029074, ricir 0.259948, prec@10 0.506198, prec@30 0.507713, test_mae 0.018086, test_rmse 0.045849, test_mape 231.844452, test_acc 0.606011
Epoch 47, train_loss 0.001533, train_ic 0.033373, train_icir 0.398250, train_ric 0.015552, train_ricir 0.130927, train_mae 0.020075, train_rmse 0.035993, train_mape 173.340683, train_acc 0.780937, valid_loss 0.0038731271, valid_ic 0.003766, valid_icir 0.055098, valid_ric 0.012551, valid_ricir 0.111734, valid_mae 0.023117, valid_rmse 0.059906, valid_mape 355.387878, valid_acc 0.579533, test_loss 0.003097, ic 0.007004, icir 0.131917, ric 0.017170, ricir 0.145638, prec@10 0.537603, prec@30 0.538843, test_mae 0.017569, test_rmse 0.045207, test_mape 232.784576, test_acc 0.657125
Epoch 48, train_loss 0.001508, train_ic 0.040634, train_icir 0.515523, train_ric 0.029860, train_ricir 0.271560, train_mae 0.021607, train_rmse 0.028779, train_mape 126.164436, train_acc 0.680851, valid_loss 0.0038567480, valid_ic 0.004442, valid_icir 0.067397, valid_ric 0.020330, valid_ricir 0.230909, valid_mae 0.023967, valid_rmse 0.059632, valid_mape 433.362579, valid_acc 0.594152, test_loss 0.003113, ic 0.008681, icir 0.176144, ric 0.027166, ricir 0.299397, prec@10 0.491322, prec@30 0.493526, test_mae 0.018715, test_rmse 0.045046, test_mape 324.053894, test_acc 0.665508
Epoch 49, train_loss 0.001536, train_ic 0.014892, train_icir 0.209090, train_ric 0.016011, train_ricir 0.160380, train_mae 0.033337, train_rmse 0.039724, train_mape 234.661224, train_acc 0.126687, valid_loss 0.0039134943, valid_ic 0.001814, valid_icir 0.028411, valid_ric 0.015781, valid_ricir 0.203468, valid_mae 0.024607, valid_rmse 0.059555, valid_mape 456.727753, valid_acc 0.588261, test_loss 0.003212, ic 0.003936, icir 0.082445, ric 0.004867, ricir 0.052683, prec@10 0.530579, prec@30 0.518320, test_mae 0.019458, test_rmse 0.045301, test_mape 339.295441, test_acc 0.667348
Epoch 50, train_loss 0.001539, train_ic 0.030143, train_icir 0.374072, train_ric 0.033540, train_ricir 0.319875, train_mae 0.020775, train_rmse 0.027110, train_mape 181.795044, train_acc 0.073576, valid_loss 0.0037576947, valid_ic 0.002229, valid_icir 0.033760, valid_ric 0.026014, valid_ricir 0.313630, valid_mae 0.024860, valid_rmse 0.060314, valid_mape 362.516327, valid_acc 0.363736, test_loss 0.002981, ic 0.005707, icir 0.116519, ric 0.024293, ricir 0.276238, prec@10 0.476446, prec@30 0.484986, test_mae 0.020358, test_rmse 0.045777, test_mape 249.896286, test_acc 0.310775
Epoch 51, train_loss 0.001502, train_ic 0.051732, train_icir 0.454038, train_ric 0.001588, train_ricir 0.010483, train_mae 0.017912, train_rmse 0.024602, train_mape 910.868713, train_acc 0.528215, valid_loss 0.0038252089, valid_ic 0.005618, valid_icir 0.073528, valid_ric 0.000284, valid_ricir 0.001994, valid_mae 0.024890, valid_rmse 0.059266, valid_mape 432.842407, valid_acc 0.582370, test_loss 0.003085, ic 0.009505, icir 0.152025, ric 0.008849, ricir 0.056770, prec@10 0.565702, prec@30 0.519421, test_mae 0.018011, test_rmse 0.044147, test_mape 273.187469, test_acc 0.662646
Epoch 52, train_loss 0.001513, train_ic -0.000132, train_icir -0.001449, train_ric 0.036118, train_ricir 0.290397, train_mae 0.015641, train_rmse 0.023381, train_mape 176.699753, train_acc 0.556669, valid_loss 0.0037582271, valid_ic 0.000552, valid_icir 0.008824, valid_ric 0.032672, valid_ricir 0.357427, valid_mae 0.025921, valid_rmse 0.060111, valid_mape 402.503387, valid_acc 0.391447, test_loss 0.003019, ic 0.004134, icir 0.086106, ric 0.030746, ricir 0.301739, prec@10 0.504545, prec@30 0.515978, test_mae 0.020597, test_rmse 0.045536, test_mape 266.803345, test_acc 0.388264
Epoch 53, train_loss 0.001478, train_ic 0.046965, train_icir 0.521631, train_ric -0.007176, train_ricir -0.068057, train_mae 0.018207, train_rmse 0.026439, train_mape 139.966797, train_acc 0.499405, valid_loss 0.0036379992, valid_ic 0.004136, valid_icir 0.068330, valid_ric -0.011482, valid_ricir -0.171476, valid_mae 0.023812, valid_rmse 0.058647, valid_mape 336.205902, valid_acc 0.438141, test_loss 0.002901, ic 0.006385, icir 0.149133, ric -0.012311, ricir -0.181720, prec@10 0.512810, prec@30 0.501102, test_mae 0.020643, test_rmse 0.045011, test_mape 259.925110, test_acc 0.386833
Epoch 54, train_loss 0.001510, train_ic 0.039790, train_icir 0.428467, train_ric -0.016849, train_ricir -0.154133, train_mae 0.038616, train_rmse 0.046746, train_mape 180.500458, train_acc 0.153955, valid_loss 0.0036858326, valid_ic 0.004633, valid_icir 0.081593, valid_ric -0.019806, valid_ricir -0.275223, valid_mae 0.024129, valid_rmse 0.058454, valid_mape 352.392792, valid_acc 0.463234, test_loss 0.002957, ic 0.005504, icir 0.131969, ric -0.022872, ricir -0.272528, prec@10 0.544628, prec@30 0.494490, test_mae 0.021423, test_rmse 0.045293, test_mape 268.446838, test_acc 0.400736
Epoch 55, train_loss 0.001493, train_ic 0.035094, train_icir 0.355329, train_ric 0.015069, train_ricir 0.113085, train_mae 0.027210, train_rmse 0.043817, train_mape 231.545547, train_acc 0.558769, valid_loss 0.0036624939, valid_ic 0.005152, valid_icir 0.066908, valid_ric 0.013225, valid_ricir 0.093146, valid_mae 0.025846, valid_rmse 0.059436, valid_mape 408.472015, valid_acc 0.415448, test_loss 0.002913, ic 0.009922, icir 0.157484, ric 0.023721, ricir 0.152536, prec@10 0.541736, prec@30 0.520110, test_mae 0.022333, test_rmse 0.045628, test_mape 326.498230, test_acc 0.372112
Epoch 56, train_loss 0.001477, train_ic 0.042115, train_icir 0.479585, train_ric 0.039673, train_ricir 0.329966, train_mae 0.014988, train_rmse 0.023297, train_mape 149.103271, train_acc 0.572163, valid_loss 0.0035669634, valid_ic 0.003748, valid_icir 0.061775, valid_ric 0.015697, valid_ricir 0.177341, valid_mae 0.024277, valid_rmse 0.058212, valid_mape 350.079498, valid_acc 0.380319, test_loss 0.002825, ic 0.008243, icir 0.182396, ric 0.016287, ricir 0.159375, prec@10 0.466942, prec@30 0.479477, test_mae 0.020382, test_rmse 0.044426, test_mape 245.455750, test_acc 0.325700
Epoch 57, train_loss 0.001459, train_ic 0.040683, train_icir 0.450767, train_ric 0.000103, train_ricir 0.000895, train_mae 0.015854, train_rmse 0.023874, train_mape 145.716125, train_acc 0.462574, valid_loss 0.0034878316, valid_ic 0.003967, valid_icir 0.060104, valid_ric 0.004072, valid_ricir 0.044345, valid_mae 0.021975, valid_rmse 0.056756, valid_mape 315.750610, valid_acc 0.569932, test_loss 0.002788, ic 0.007155, icir 0.141184, ric 0.010733, ricir 0.103894, prec@10 0.536777, prec@30 0.497107, test_mae 0.016900, test_rmse 0.042322, test_mape 205.876404, test_acc 0.638929
Epoch 58, train_loss 0.001478, train_ic 0.030828, train_icir 0.326781, train_ric 0.002142, train_ricir 0.017734, train_mae 0.021157, train_rmse 0.029559, train_mape 167.120377, train_acc 0.417535, valid_loss 0.0036492482, valid_ic 0.002414, valid_icir 0.053598, valid_ric -0.010946, valid_ricir -0.101400, valid_mae 0.024241, valid_rmse 0.057673, valid_mape 355.294128, valid_acc 0.499236, test_loss 0.002908, ic 0.004199, icir 0.100965, ric -0.013811, ricir -0.101375, prec@10 0.507438, prec@30 0.485950, test_mae 0.020608, test_rmse 0.044449, test_mape 271.587402, test_acc 0.497444
Epoch 59, train_loss 0.001469, train_ic 0.040102, train_icir 0.414035, train_ric 0.002948, train_ricir 0.025713, train_mae 0.018595, train_rmse 0.026677, train_mape 108.591042, train_acc 0.714286, valid_loss 0.0034852242, valid_ic 0.003496, valid_icir 0.055060, valid_ric 0.007040, valid_ricir 0.082410, valid_mae 0.024300, valid_rmse 0.057426, valid_mape 358.537994, valid_acc 0.409775, test_loss 0.002785, ic 0.006334, icir 0.132447, ric 0.013143, ricir 0.141302, prec@10 0.553719, prec@30 0.535537, test_mae 0.020017, test_rmse 0.043479, test_mape 248.759552, test_acc 0.371294
Epoch 60, train_loss 0.001477, train_ic 0.049849, train_icir 0.598199, train_ric 0.020677, train_ricir 0.223525, train_mae 0.016247, train_rmse 0.022358, train_mape 137.697083, train_acc 0.469810, valid_loss 0.0033984022, valid_ic 0.004687, valid_icir 0.076578, valid_ric 0.010800, valid_ricir 0.178260, valid_mae 0.022140, valid_rmse 0.056206, valid_mape 302.682892, valid_acc 0.495527, test_loss 0.002710, ic 0.007634, icir 0.175917, ric 0.012371, ricir 0.205331, prec@10 0.511983, prec@30 0.492700, test_mae 0.017954, test_rmse 0.042276, test_mape 206.185196, test_acc 0.499284
Epoch 61, train_loss 0.001447, train_ic 0.047111, train_icir 0.446711, train_ric 0.008976, train_ricir 0.066035, train_mae 0.014664, train_rmse 0.020776, train_mape 148.766785, train_acc 0.492772, valid_loss 0.0034015652, valid_ic 0.005883, valid_icir 0.081133, valid_ric 0.007563, valid_ricir 0.056363, valid_mae 0.023084, valid_rmse 0.056384, valid_mape 322.916565, valid_acc 0.466943, test_loss 0.002716, ic 0.009930, icir 0.170717, ric 0.015932, ricir 0.109307, prec@10 0.563223, prec@30 0.530165, test_mae 0.018358, test_rmse 0.042334, test_mape 225.116470, test_acc 0.462891
Epoch 62, train_loss 0.001450, train_ic 0.022978, train_icir 0.251031, train_ric 0.016622, train_ricir 0.141170, train_mae 0.050706, train_rmse 0.062708, train_mape 120.501923, train_acc 0.306504, valid_loss 0.0033820054, valid_ic 0.002316, valid_icir 0.046028, valid_ric 0.007180, valid_ricir 0.067223, valid_mae 0.022392, valid_rmse 0.055695, valid_mape 329.940918, valid_acc 0.485272, test_loss 0.002734, ic 0.004433, icir 0.108788, ric 0.002016, ricir 0.014999, prec@10 0.471901, prec@30 0.475895, test_mae 0.018788, test_rmse 0.042188, test_mape 253.933578, test_acc 0.484563
Epoch 63, train_loss 0.001413, train_ic 0.045399, train_icir 0.549587, train_ric -0.000941, train_ricir -0.011108, train_mae 0.032204, train_rmse 0.038593, train_mape 113.026604, train_acc 0.361439, valid_loss 0.0032956708, valid_ic 0.003889, valid_icir 0.064478, valid_ric 0.000811, valid_ricir 0.014788, valid_mae 0.022091, valid_rmse 0.055500, valid_mape 289.197357, valid_acc 0.459961, test_loss 0.002622, ic 0.006618, icir 0.148370, ric 0.001099, ricir 0.019672, prec@10 0.537190, prec@30 0.505510, test_mae 0.018436, test_rmse 0.041921, test_mape 200.447937, test_acc 0.416275
Epoch 64, train_loss 0.001421, train_ic 0.028131, train_icir 0.290321, train_ric 0.012994, train_ricir 0.104679, train_mae 0.019283, train_rmse 0.029469, train_mape 248.419235, train_acc 0.436534, valid_loss 0.0033579981, valid_ic 0.002559, valid_icir 0.034445, valid_ric 0.022438, valid_ricir 0.188279, valid_mae 0.022238, valid_rmse 0.055411, valid_mape 334.808960, valid_acc 0.571460, test_loss 0.002700, ic 0.006754, icir 0.112964, ric 0.034807, ricir 0.247288, prec@10 0.514876, prec@30 0.478926, test_mae 0.016450, test_rmse 0.040713, test_mape 229.197556, test_acc 0.670415
Epoch 65, train_loss 0.001458, train_ic 0.043114, train_icir 0.488864, train_ric -0.002912, train_ricir -0.025667, train_mae 0.024333, train_rmse 0.045840, train_mape 226.858932, train_acc 0.543537, valid_loss 0.0033420568, valid_ic 0.002901, valid_icir 0.059352, valid_ric -0.008798, valid_ricir -0.119509, valid_mae 0.023081, valid_rmse 0.055420, valid_mape 350.186859, valid_acc 0.456688, test_loss 0.002693, ic 0.004064, icir 0.110091, ric -0.003603, ricir -0.038153, prec@10 0.487190, prec@30 0.488567, test_mae 0.019307, test_rmse 0.042154, test_mape 254.252960, test_acc 0.428542
Epoch 66, train_loss 0.001411, train_ic 0.037617, train_icir 0.491830, train_ric 0.002122, train_ricir 0.020483, train_mae 0.025100, train_rmse 0.034047, train_mape 118.142464, train_acc 0.815475, valid_loss 0.0034453534, valid_ic 0.003651, valid_icir 0.074470, valid_ric -0.009931, valid_ricir -0.127406, valid_mae 0.026877, valid_rmse 0.056884, valid_mape 423.901550, valid_acc 0.370500, test_loss 0.002756, ic 0.005930, icir 0.171874, ric -0.010718, ricir -0.107252, prec@10 0.502066, prec@30 0.477135, test_mae 0.025106, test_rmse 0.045113, test_mape 344.874542, test_acc 0.301983
Epoch 67, train_loss 0.001428, train_ic 0.035337, train_icir 0.444881, train_ric 0.024390, train_ricir 0.265478, train_mae 0.025454, train_rmse 0.032100, train_mape 242.020493, train_acc 0.172089, valid_loss 0.0032925408, valid_ic 0.004686, valid_icir 0.077808, valid_ric 0.015405, valid_ricir 0.214767, valid_mae 0.025373, valid_rmse 0.055976, valid_mape 381.426971, valid_acc 0.391883, test_loss 0.002634, ic 0.007622, icir 0.175932, ric 0.015443, ricir 0.236749, prec@10 0.523140, prec@30 0.543664, test_mae 0.022583, test_rmse 0.043574, test_mape 298.591461, test_acc 0.343692
Epoch 68, train_loss 0.001440, train_ic 0.027176, train_icir 0.367726, train_ric 0.004885, train_ricir 0.053589, train_mae 0.026102, train_rmse 0.036750, train_mape 132.399582, train_acc 0.452250, valid_loss 0.0032400445, valid_ic 0.001618, valid_icir 0.035222, valid_ric -0.001384, valid_ricir -0.015254, valid_mae 0.023418, valid_rmse 0.054797, valid_mape 323.088470, valid_acc 0.428322, test_loss 0.002597, ic 0.002286, icir 0.069657, ric -0.010550, ricir -0.093490, prec@10 0.524793, prec@30 0.505372, test_mae 0.020647, test_rmse 0.042313, test_mape 231.815170, test_acc 0.388673
Epoch 69, train_loss 0.001429, train_ic 0.036939, train_icir 0.479019, train_ric 0.018537, train_ricir 0.219138, train_mae 0.013577, train_rmse 0.021987, train_mape 136.665283, train_acc 0.761131, valid_loss 0.0032700370, valid_ic 0.003125, valid_icir 0.079965, valid_ric 0.001887, valid_ricir 0.024823, valid_mae 0.025281, valid_rmse 0.055467, valid_mape 377.273651, valid_acc 0.383155, test_loss 0.002628, ic 0.003779, icir 0.133316, ric -0.004390, ricir -0.047528, prec@10 0.491322, prec@30 0.472039, test_mae 0.022588, test_rmse 0.043197, test_mape 290.227203, test_acc 0.307708
Epoch 70, train_loss 0.001427, train_ic 0.049033, train_icir 0.569286, train_ric 0.000921, train_ricir 0.010100, train_mae 0.024094, train_rmse 0.034464, train_mape 170.907181, train_acc 0.553360, valid_loss 0.0032417341, valid_ic 0.003737, valid_icir 0.077013, valid_ric -0.006075, valid_ricir -0.112070, valid_mae 0.025204, valid_rmse 0.055174, valid_mape 371.254852, valid_acc 0.371591, test_loss 0.002605, ic 0.005379, icir 0.160926, ric -0.009034, ricir -0.129920, prec@10 0.517769, prec@30 0.490909, test_mae 0.023137, test_rmse 0.043282, test_mape 297.955719, test_acc 0.300143
Epoch 71, train_loss 0.001417, train_ic 0.030947, train_icir 0.381168, train_ric 0.001011, train_ricir 0.010403, train_mae 0.032256, train_rmse 0.038161, train_mape 601.272888, train_acc 0.329127, valid_loss 0.0040995044, valid_ic 0.003557, valid_icir 0.066207, valid_ric -0.008485, valid_ricir -0.122496, valid_mae 0.039114, valid_rmse 0.063215, valid_mape 712.478333, valid_acc 0.365918, test_loss 0.003360, ic 0.005989, icir 0.151076, ric -0.008688, ricir -0.096542, prec@10 0.479752, prec@30 0.486639, test_mae 0.036879, test_rmse 0.053293, test_mape 580.372620, test_acc 0.303210
Epoch 72, train_loss 0.001418, train_ic 0.039111, train_icir 0.513782, train_ric 0.015214, train_ricir 0.184244, train_mae 0.016420, train_rmse 0.023580, train_mape 117.114517, train_acc 0.500594, valid_loss 0.0031050488, valid_ic 0.003151, valid_icir 0.072392, valid_ric 0.004330, valid_ricir 0.063461, valid_mae 0.021555, valid_rmse 0.053196, valid_mape 294.321777, valid_acc 0.498800, test_loss 0.002507, ic 0.003712, icir 0.124836, ric -0.006837, ricir -0.073033, prec@10 0.483884, prec@30 0.481129, test_mae 0.018415, test_rmse 0.040537, test_mape 202.145248, test_acc 0.460642
Epoch 73, train_loss 0.001397, train_ic 0.051910, train_icir 0.552882, train_ric 0.012061, train_ricir 0.111446, train_mae 0.021783, train_rmse 0.039277, train_mape 146.441940, train_acc 0.526466, valid_loss 0.0030857217, valid_ic 0.004286, valid_icir 0.074629, valid_ric 0.008670, valid_ricir 0.099106, valid_mae 0.022487, valid_rmse 0.053513, valid_mape 308.865845, valid_acc 0.421122, test_loss 0.002477, ic 0.007085, icir 0.167621, ric 0.014713, ricir 0.164594, prec@10 0.541322, prec@30 0.521350, test_mae 0.019055, test_rmse 0.040684, test_mape 217.588074, test_acc 0.383357
Epoch 74, train_loss 0.001405, train_ic 0.046480, train_icir 0.479904, train_ric 0.017616, train_ricir 0.152446, train_mae 0.029136, train_rmse 0.036960, train_mape 139.642395, train_acc 0.458139, valid_loss 0.0031941748, valid_ic 0.006098, valid_icir 0.094787, valid_ric 0.008878, valid_ricir 0.096375, valid_mae 0.023535, valid_rmse 0.053911, valid_mape 342.270844, valid_acc 0.435304, test_loss 0.002571, ic 0.008961, icir 0.173595, ric 0.014293, ricir 0.146792, prec@10 0.571901, prec@30 0.573829, test_mae 0.019269, test_rmse 0.040983, test_mape 220.856720, test_acc 0.416070
Epoch 75, train_loss 0.001370, train_ic 0.030051, train_icir 0.376066, train_ric 0.009596, train_ricir 0.091269, train_mae 0.022898, train_rmse 0.033927, train_mape 327.101410, train_acc 0.456988, valid_loss 0.0032992082, valid_ic 0.004261, valid_icir 0.067472, valid_ric 0.009761, valid_ricir 0.122516, valid_mae 0.027905, valid_rmse 0.056180, valid_mape 477.622375, valid_acc 0.392974, test_loss 0.002670, ic 0.007710, icir 0.170536, ric 0.012621, ricir 0.157359, prec@10 0.502479, prec@30 0.493939, test_mae 0.025206, test_rmse 0.044022, test_mape 367.472809, test_acc 0.331630
Epoch 76, train_loss 0.001363, train_ic 0.049639, train_icir 0.619761, train_ric 0.022133, train_ricir 0.320159, train_mae 0.033747, train_rmse 0.043217, train_mape 117.737106, train_acc 0.385993, valid_loss 0.0030061235, valid_ic 0.003137, valid_icir 0.054359, valid_ric 0.012593, valid_ricir 0.235153, valid_mae 0.021178, valid_rmse 0.052321, valid_mape 278.572388, valid_acc 0.494000, test_loss 0.002422, ic 0.005934, icir 0.139761, ric 0.016266, ricir 0.282499, prec@10 0.519421, prec@30 0.498760, test_mae 0.016515, test_rmse 0.039002, test_mape 174.652008, test_acc 0.571662
Epoch 77, train_loss 0.001386, train_ic 0.031911, train_icir 0.445323, train_ric 0.020897, train_ricir 0.250816, train_mae 0.026556, train_rmse 0.046961, train_mape 252.806610, train_acc 0.700176, valid_loss 0.0036042113, valid_ic 0.003165, valid_icir 0.064494, valid_ric 0.012686, valid_ricir 0.256057, valid_mae 0.035801, valid_rmse 0.059516, valid_mape 666.447021, valid_acc 0.371154, test_loss 0.002982, ic 0.004532, icir 0.133413, ric 0.012122, ricir 0.197676, prec@10 0.535124, prec@30 0.522865, test_mae 0.034256, test_rmse 0.049576, test_mape 566.684326, test_acc 0.307504
Epoch 78, train_loss 0.001389, train_ic 0.045177, train_icir 0.564074, train_ric 0.024836, train_ricir 0.292169, train_mae 0.014497, train_rmse 0.022470, train_mape 129.460678, train_acc 0.663139, valid_loss 0.0030117785, valid_ic 0.004012, valid_icir 0.070606, valid_ric 0.017947, valid_ricir 0.270138, valid_mae 0.020847, valid_rmse 0.051651, valid_mape 284.000244, valid_acc 0.574515, test_loss 0.002452, ic 0.006806, icir 0.161131, ric 0.021439, ricir 0.321218, prec@10 0.509917, prec@30 0.492562, test_mae 0.016081, test_rmse 0.038450, test_mape 184.394867, test_acc 0.651401
Epoch 79, train_loss 0.001382, train_ic 0.042163, train_icir 0.602958, train_ric 0.023045, train_ricir 0.343024, train_mae 0.014146, train_rmse 0.020990, train_mape 171.434586, train_acc 0.663973, valid_loss 0.0030867007, valid_ic 0.003530, valid_icir 0.062891, valid_ric 0.014194, valid_ricir 0.285317, valid_mae 0.025660, valid_rmse 0.053918, valid_mape 394.230408, valid_acc 0.362863, test_loss 0.002483, ic 0.006266, icir 0.157573, ric 0.013652, ricir 0.274567, prec@10 0.515702, prec@30 0.500689, test_mae 0.022708, test_rmse 0.041992, test_mape 294.372559, test_acc 0.304846
Epoch 80, train_loss 0.001378, train_ic 0.053171, train_icir 0.626481, train_ric 0.003244, train_ricir 0.035938, train_mae 0.029006, train_rmse 0.038723, train_mape 125.174881, train_acc 0.525417, valid_loss 0.0030714300, valid_ic 0.004965, valid_icir 0.096374, valid_ric -0.007852, valid_ricir -0.140425, valid_mae 0.022770, valid_rmse 0.052393, valid_mape 293.780731, valid_acc 0.415667, test_loss 0.002473, ic 0.007761, icir 0.200088, ric -0.005792, ricir -0.087079, prec@10 0.540909, prec@30 0.502755, test_mae 0.019734, test_rmse 0.040211, test_mape 211.921097, test_acc 0.359231
Epoch 81, train_loss 0.001356, train_ic 0.047011, train_icir 0.540625, train_ric 0.006056, train_ricir 0.060299, train_mae 0.016031, train_rmse 0.021794, train_mape 126.882896, train_acc 0.525430, valid_loss 0.0029350651, valid_ic 0.004769, valid_icir 0.092805, valid_ric -0.003715, valid_ricir -0.059641, valid_mae 0.021996, valid_rmse 0.051674, valid_mape 285.893372, valid_acc 0.438359, test_loss 0.002376, ic 0.006527, icir 0.182205, ric -0.003766, ricir -0.056379, prec@10 0.487603, prec@30 0.491873, test_mae 0.019190, test_rmse 0.039725, test_mape 207.491180, test_acc 0.388469
Epoch 82, train_loss 0.001355, train_ic 0.040922, train_icir 0.551541, train_ric 0.014992, train_ricir 0.192241, train_mae 0.020438, train_rmse 0.027568, train_mape 275.162720, train_acc 0.709256, valid_loss 0.0036282134, valid_ic 0.004711, valid_icir 0.104890, valid_ric 0.003500, valid_ricir 0.071822, valid_mae 0.036450, valid_rmse 0.059224, valid_mape 668.082886, valid_acc 0.369845, test_loss 0.003027, ic 0.005502, icir 0.184644, ric -0.000463, ricir -0.007122, prec@10 0.501240, prec@30 0.520661, test_mae 0.035334, test_rmse 0.050332, test_mape 570.441284, test_acc 0.306481
Epoch 83, train_loss 0.001365, train_ic 0.053629, train_icir 0.670620, train_ric 0.010429, train_ricir 0.139411, train_mae 0.031361, train_rmse 0.038213, train_mape 3465.614746, train_acc 0.189624, valid_loss 0.0030855666, valid_ic 0.005767, valid_icir 0.105638, valid_ric -0.002342, valid_ricir -0.049683, valid_mae 0.026914, valid_rmse 0.053857, valid_mape 425.908264, valid_acc 0.370936, test_loss 0.002505, ic 0.007777, icir 0.199055, ric -0.000364, ricir -0.007241, prec@10 0.530165, prec@30 0.516804, test_mae 0.024893, test_rmse 0.042862, test_mape 349.814880, test_acc 0.304641
Epoch 84, train_loss 0.001354, train_ic 0.049423, train_icir 0.575205, train_ric 0.029033, train_ricir 0.281542, train_mae 0.019317, train_rmse 0.025994, train_mape 377.167084, train_acc 0.462012, valid_loss 0.0032373752, valid_ic 0.003538, valid_icir 0.068115, valid_ric 0.010198, valid_ricir 0.143442, valid_mae 0.030015, valid_rmse 0.055175, valid_mape 511.400421, valid_acc 0.364172, test_loss 0.002645, ic 0.006279, icir 0.163538, ric 0.011708, ricir 0.145610, prec@10 0.525207, prec@30 0.510193, test_mae 0.027840, test_rmse 0.044602, test_mape 416.809357, test_acc 0.305663
Epoch 85, train_loss 0.001365, train_ic 0.059426, train_icir 0.695587, train_ric 0.028574, train_ricir 0.299318, train_mae 0.011527, train_rmse 0.017267, train_mape 121.946907, train_acc 0.499008, valid_loss 0.0028367908, valid_ic 0.004622, valid_icir 0.098023, valid_ric 0.005956, valid_ricir 0.093574, valid_mae 0.020996, valid_rmse 0.050539, valid_mape 264.367981, valid_acc 0.465634, test_loss 0.002299, ic 0.007081, icir 0.217188, ric 0.006534, ricir 0.080366, prec@10 0.483058, prec@30 0.467080, test_mae 0.017964, test_rmse 0.038633, test_mape 177.614426, test_acc 0.438561
