Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2023,
        "test_year": 2024,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.101708, train_ic 0.002225, train_icir 0.021999, train_ric 0.030043, train_ricir 0.259670, train_mae 0.064899, train_rmse 0.164564, train_mape 1449.919189, train_acc 0.464655, valid_loss 0.0529380366, valid_ic 0.018532, valid_icir 0.208471, valid_ric 0.040436, valid_ricir 0.414456, valid_mae 0.103697, valid_rmse 0.218417, valid_mape 2092.152588, valid_acc 0.283045, test_loss 0.038740, ic 0.012538, icir 0.105061, ric 0.027888, ricir 0.158986, prec@10 0.584711, prec@30 0.567355, test_mae 0.105301, test_rmse 0.211042, test_mape 970.223267, test_acc 0.579277
Epoch 2, train_loss 0.024405, train_ic 0.003102, train_icir 0.034825, train_ric 0.005180, train_ricir 0.039180, train_mae 0.047619, train_rmse 0.122944, train_mape 1007.157410, train_acc 0.444096, valid_loss 0.0280478985, valid_ic 0.016661, valid_icir 0.219348, valid_ric 0.021379, valid_ricir 0.160297, valid_mae 0.065224, valid_rmse 0.154301, valid_mape 1368.467285, valid_acc 0.222659, test_loss 0.020446, ic 0.010075, icir 0.105594, ric 0.021718, ricir 0.138831, prec@10 0.520661, prec@30 0.514325, test_mae 0.066636, test_rmse 0.153833, test_mape 560.057983, test_acc 0.656696
Epoch 3, train_loss 0.014263, train_ic 0.005030, train_icir 0.063757, train_ric 0.017894, train_ricir 0.161104, train_mae 0.076958, train_rmse 0.173851, train_mape 2066.573975, train_acc 0.494943, valid_loss 0.0189900171, valid_ic 0.016213, valid_icir 0.246305, valid_ric 0.023016, valid_ricir 0.233468, valid_mae 0.049162, valid_rmse 0.122738, valid_mape 1263.129761, valid_acc 0.766522, test_loss 0.014291, ic 0.009582, icir 0.111203, ric 0.026463, ricir 0.190328, prec@10 0.474793, prec@30 0.471763, test_mae 0.081101, test_rmse 0.134869, test_mape 595.441406, test_acc 0.175562
Epoch 4, train_loss 0.009960, train_ic 0.000219, train_icir 0.003181, train_ric 0.016506, train_ricir 0.148125, train_mae 0.035229, train_rmse 0.071355, train_mape 238.072632, train_acc 0.721576, valid_loss 0.0139722091, valid_ic 0.013572, valid_icir 0.243984, valid_ric 0.021647, valid_ricir 0.210508, valid_mae 0.059057, valid_rmse 0.110097, valid_mape 1144.254761, valid_acc 0.162667, test_loss 0.010778, ic 0.005757, icir 0.076269, ric 0.008314, ricir 0.061057, prec@10 0.473554, prec@30 0.474931, test_mae 0.039935, test_rmse 0.106480, test_mape 379.388824, test_acc 0.869599
Epoch 5, train_loss 0.007668, train_ic 0.002155, train_icir 0.032788, train_ric 0.010483, train_ricir 0.127129, train_mae 0.030050, train_rmse 0.050014, train_mape 262.368744, train_acc 0.269966, valid_loss 0.0105165247, valid_ic 0.011436, valid_icir 0.218680, valid_ric 0.005079, valid_ricir 0.077843, valid_mae 0.037839, valid_rmse 0.092477, valid_mape 777.823547, valid_acc 0.265539, test_loss 0.008108, ic 0.004494, icir 0.064929, ric 0.007019, ricir 0.063189, prec@10 0.469421, prec@30 0.457989, test_mae 0.040888, test_rmse 0.095522, test_mape 287.650024, test_acc 0.730401
Epoch 6, train_loss 0.006297, train_ic -0.000382, train_icir -0.006253, train_ric 0.009194, train_ricir 0.089839, train_mae 0.047705, train_rmse 0.122670, train_mape 331.858551, train_acc 0.724714, valid_loss 0.0090848627, valid_ic 0.010244, valid_icir 0.216827, valid_ric -0.003898, valid_ricir -0.045546, valid_mae 0.051783, valid_rmse 0.090312, valid_mape 953.279663, valid_acc 0.165618, test_loss 0.007336, ic 0.001435, icir 0.024045, ric -0.011072, ricir -0.088322, prec@10 0.452066, prec@30 0.450275, test_mae 0.032814, test_rmse 0.085736, test_mape 294.785156, test_acc 0.859824
Epoch 7, train_loss 0.005367, train_ic 0.008017, train_icir 0.107883, train_ric 0.015526, train_ricir 0.116552, train_mae 0.018745, train_rmse 0.043334, train_mape 238.115112, train_acc 0.424034, valid_loss 0.0072491257, valid_ic 0.011475, valid_icir 0.218596, valid_ric 0.019763, valid_ricir 0.148282, valid_mae 0.030332, valid_rmse 0.075635, valid_mape 609.990234, valid_acc 0.344611, test_loss 0.005780, ic 0.006865, icir 0.102802, ric 0.023860, ricir 0.144908, prec@10 0.531818, prec@30 0.524931, test_mae 0.040356, test_rmse 0.081632, test_mape 245.981903, test_acc 0.557967
Epoch 8, train_loss 0.004712, train_ic 0.008860, train_icir 0.140899, train_ric -0.017396, train_ricir -0.142504, train_mae 0.028598, train_rmse 0.043636, train_mape 130.472488, train_acc 0.624147, valid_loss 0.0064425772, valid_ic 0.011309, valid_icir 0.265025, valid_ric -0.025825, valid_ricir -0.222362, valid_mae 0.034657, valid_rmse 0.072084, valid_mape 639.791870, valid_acc 0.212628, test_loss 0.005318, ic 0.005404, icir 0.119716, ric -0.018378, ricir -0.112024, prec@10 0.496281, prec@30 0.476997, test_mae 0.029812, test_rmse 0.073660, test_mape 222.357437, test_acc 0.855327
Epoch 9, train_loss 0.004250, train_ic 0.003462, train_icir 0.050391, train_ric 0.018215, train_ricir 0.163760, train_mae 0.035265, train_rmse 0.083665, train_mape 644.850586, train_acc 0.339864, valid_loss 0.0055552033, valid_ic 0.011972, valid_icir 0.232073, valid_ric 0.037760, valid_ricir 0.360079, valid_mae 0.023606, valid_rmse 0.063758, valid_mape 528.158875, valid_acc 0.677223, test_loss 0.004667, ic 0.003812, icir 0.057028, ric 0.022472, ricir 0.149077, prec@10 0.483884, prec@30 0.476860, test_mae 0.042370, test_rmse 0.074385, test_mape 242.661530, test_acc 0.284457
Epoch 10, train_loss 0.003850, train_ic 0.014065, train_icir 0.205204, train_ric -0.014446, train_ricir -0.115992, train_mae 0.023868, train_rmse 0.032495, train_mape 157.419006, train_acc 0.513565, valid_loss 0.0048875049, valid_ic 0.009366, valid_icir 0.247591, valid_ric -0.028575, valid_ricir -0.264250, valid_mae 0.024535, valid_rmse 0.060439, valid_mape 471.110901, valid_acc 0.504131, test_loss 0.004175, ic 0.006800, icir 0.145596, ric -0.010087, ricir -0.057287, prec@10 0.494215, prec@30 0.501653, test_mae 0.037156, test_rmse 0.069575, test_mape 207.814438, test_acc 0.560313
Epoch 11, train_loss 0.003531, train_ic 0.007410, train_icir 0.102862, train_ric 0.035380, train_ricir 0.290113, train_mae 0.018310, train_rmse 0.041061, train_mape 165.314301, train_acc 0.668930, valid_loss 0.0044276335, valid_ic 0.009981, valid_icir 0.229568, valid_ric 0.027317, valid_ricir 0.248342, valid_mae 0.032266, valid_rmse 0.060743, valid_mape 526.143066, valid_acc 0.175649, test_loss 0.003933, ic 0.004721, icir 0.078468, ric 0.028855, ricir 0.168280, prec@10 0.451240, prec@30 0.451102, test_mae 0.028609, test_rmse 0.062145, test_mape 196.284515, test_acc 0.850440
Epoch 12, train_loss 0.003304, train_ic 0.002552, train_icir 0.040718, train_ric 0.013241, train_ricir 0.118664, train_mae 0.023155, train_rmse 0.030286, train_mape 588.775513, train_acc 0.272504, valid_loss 0.0041033703, valid_ic 0.008433, valid_icir 0.204529, valid_ric 0.022618, valid_ricir 0.210679, valid_mae 0.036657, valid_rmse 0.060505, valid_mape 583.448242, valid_acc 0.162667, test_loss 0.003738, ic 0.003192, icir 0.061638, ric 0.024072, ricir 0.162816, prec@10 0.451240, prec@30 0.462121, test_mae 0.025328, test_rmse 0.057934, test_mape 196.750305, test_acc 0.868817
Epoch 13, train_loss 0.003036, train_ic 0.005975, train_icir 0.103206, train_ric 0.024282, train_ricir 0.232169, train_mae 0.023037, train_rmse 0.062861, train_mape 295.165009, train_acc 0.572305, valid_loss 0.0034768533, valid_ic 0.010754, valid_icir 0.278761, valid_ric 0.016886, valid_ricir 0.178114, valid_mae 0.020752, valid_rmse 0.050314, valid_mape 346.067383, valid_acc 0.721479, test_loss 0.003290, ic 0.003913, icir 0.084632, ric 0.010955, ricir 0.084850, prec@10 0.476033, prec@30 0.468871, test_mae 0.035505, test_rmse 0.060465, test_mape 178.010361, test_acc 0.434604
Epoch 14, train_loss 0.002870, train_ic 0.002042, train_icir 0.029160, train_ric -0.015686, train_ricir -0.145079, train_mae 0.039892, train_rmse 0.074075, train_mape 5700.305664, train_acc 0.277754, valid_loss 0.0033667014, valid_ic 0.008653, valid_icir 0.187472, valid_ric 0.002414, valid_ricir 0.024091, valid_mae 0.021700, valid_rmse 0.048531, valid_mape 414.681396, valid_acc 0.711644, test_loss 0.003307, ic 0.001998, icir 0.034730, ric -0.004897, ricir -0.033897, prec@10 0.459504, prec@30 0.458815, test_mae 0.045609, test_rmse 0.065199, test_mape 263.457642, test_acc 0.188856
Epoch 15, train_loss 0.002734, train_ic 0.007044, train_icir 0.088816, train_ric 0.021293, train_ricir 0.156430, train_mae 0.016933, train_rmse 0.021412, train_mape 273.227203, train_acc 0.464102, valid_loss 0.0029860617, valid_ic 0.009567, valid_icir 0.206653, valid_ric 0.032941, valid_ricir 0.238578, valid_mae 0.020874, valid_rmse 0.045957, valid_mape 365.965118, valid_acc 0.747443, test_loss 0.002982, ic 0.006251, icir 0.099151, ric 0.031847, ricir 0.181568, prec@10 0.477273, prec@30 0.487052, test_mae 0.040975, test_rmse 0.059999, test_mape 214.171936, test_acc 0.182405
Epoch 16, train_loss 0.002637, train_ic 0.013178, train_icir 0.165158, train_ric 0.021783, train_ricir 0.158988, train_mae 0.017311, train_rmse 0.027293, train_mape 239.362244, train_acc 0.538397, valid_loss 0.0028760650, valid_ic 0.008101, valid_icir 0.184118, valid_ric 0.024616, valid_ricir 0.184228, valid_mae 0.028674, valid_rmse 0.049612, valid_mape 412.338074, valid_acc 0.209087, test_loss 0.002925, ic 0.007303, icir 0.123870, ric 0.037482, ricir 0.215037, prec@10 0.612397, prec@30 0.578926, test_mae 0.027913, test_rmse 0.051248, test_mape 176.513947, test_acc 0.795308
Epoch 17, train_loss 0.002517, train_ic 0.006434, train_icir 0.088103, train_ric 0.016503, train_ricir 0.129477, train_mae 0.042690, train_rmse 0.065690, train_mape 492.452515, train_acc 0.199872, valid_loss 0.0028471641, valid_ic 0.011507, valid_icir 0.319427, valid_ric 0.015689, valid_ricir 0.129013, valid_mae 0.032740, valid_rmse 0.050500, valid_mape 478.513092, valid_acc 0.167388, test_loss 0.003043, ic 0.005598, icir 0.100300, ric 0.006933, ricir 0.045865, prec@10 0.473140, prec@30 0.479752, test_mae 0.024966, test_rmse 0.048830, test_mape 175.200897, test_acc 0.870186
Epoch 18, train_loss 0.002461, train_ic 0.019997, train_icir 0.288434, train_ric 0.004601, train_ricir 0.039972, train_mae 0.040958, train_rmse 0.047687, train_mape 196.879333, train_acc 0.024832, valid_loss 0.0026110970, valid_ic 0.009577, valid_icir 0.278853, valid_ric 0.001896, valid_ricir 0.021124, valid_mae 0.032017, valid_rmse 0.049122, valid_mape 453.730774, valid_acc 0.163061, test_loss 0.002749, ic 0.006765, icir 0.163909, ric 0.014687, ricir 0.101686, prec@10 0.502066, prec@30 0.499862, test_mae 0.023295, test_rmse 0.046738, test_mape 168.858841, test_acc 0.875464
Epoch 19, train_loss 0.002357, train_ic 0.015575, train_icir 0.242660, train_ric -0.004289, train_ricir -0.039660, train_mae 0.023892, train_rmse 0.058902, train_mape 222.322174, train_acc 0.449884, valid_loss 0.0022708059, valid_ic 0.010235, valid_icir 0.317992, valid_ric -0.013055, valid_ricir -0.136921, valid_mae 0.020003, valid_rmse 0.041011, valid_mape 279.456451, valid_acc 0.637687, test_loss 0.002466, ic 0.005655, icir 0.151006, ric -0.006170, ricir -0.046470, prec@10 0.488843, prec@30 0.480992, test_mae 0.031514, test_rmse 0.050400, test_mape 150.325745, test_acc 0.672141
Epoch 20, train_loss 0.002259, train_ic 0.017210, train_icir 0.246892, train_ric -0.009592, train_ricir -0.090093, train_mae 0.013932, train_rmse 0.024752, train_mape 146.148926, train_acc 0.426479, valid_loss 0.0021909745, valid_ic 0.010981, valid_icir 0.340228, valid_ric -0.010423, valid_ricir -0.130314, valid_mae 0.021421, valid_rmse 0.041434, valid_mape 287.653259, valid_acc 0.435484, test_loss 0.002457, ic 0.005496, icir 0.142188, ric -0.002844, ricir -0.022781, prec@10 0.490083, prec@30 0.472314, test_mae 0.028367, test_rmse 0.047751, test_mape 147.111893, test_acc 0.798240
