Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.001932, train_ic 0.005021, train_icir 0.079175, train_ric 0.018835, train_ricir 0.210645, train_mae 0.011548, train_rmse 0.017580, train_mape 190.005630, train_acc 0.521373, valid_loss 0.0020686568, valid_ic 0.007103, valid_icir 0.160068, valid_ric 0.022248, valid_ricir 0.209278, valid_mae 0.028817, valid_rmse 0.043463, valid_mape 145.376251, valid_acc 0.711685, test_loss 0.002227, ic -0.002786, icir -0.064704, ric 0.013508, ricir 0.183640, prec@10 0.498354, prec@30 0.509328, test_mae 0.021002, test_rmse 0.053431, test_mape 2043.408813, test_acc 0.472502
Epoch 13, train_loss 0.001875, train_ic 0.015220, train_icir 0.147114, train_ric 0.024904, train_ricir 0.177012, train_mae 0.023732, train_rmse 0.033283, train_mape 233.406708, train_acc 0.437657, valid_loss 0.0023097327, valid_ic 0.016595, valid_icir 0.171132, valid_ric 0.034619, valid_ricir 0.193152, valid_mae 0.023451, valid_rmse 0.038835, valid_mape 188.526810, valid_acc 0.766686, test_loss 0.002542, ic 0.000371, icir 0.004690, ric 0.019097, ricir 0.125815, prec@10 0.553909, prec@30 0.536900, test_mae 0.029000, test_rmse 0.056370, test_mape 3507.003906, test_acc 0.485864
Epoch 14, train_loss 0.001745, train_ic 0.004208, train_icir 0.060445, train_ric 0.018249, train_ricir 0.159199, train_mae 0.043860, train_rmse 0.192496, train_mape 245.841568, train_acc 0.225352, valid_loss 0.0022625671, valid_ic 0.004848, valid_icir 0.088505, valid_ric 0.021110, valid_ricir 0.138224, valid_mae 0.046620, valid_rmse 0.055479, valid_mape 245.500351, valid_acc 0.119789, test_loss 0.002216, ic -0.004678, icir -0.091847, ric 0.013017, ricir 0.102837, prec@10 0.560082, prec@30 0.554870, test_mae 0.027007, test_rmse 0.051532, test_mape 4863.109863, test_acc 0.468242
Epoch 15, train_loss 0.001686, train_ic 0.004677, train_icir 0.078304, train_ric 0.011027, train_ricir 0.144072, train_mae 0.023233, train_rmse 0.032521, train_mape 174.271912, train_acc 0.402461, valid_loss 0.0019698508, valid_ic 0.001806, valid_icir 0.048202, valid_ric 0.000654, valid_ricir 0.006997, valid_mae 0.038100, valid_rmse 0.048576, valid_mape 185.181946, valid_acc 0.201214, test_loss 0.001944, ic -0.003161, icir -0.077786, ric 0.006379, ricir 0.110521, prec@10 0.530864, prec@30 0.503978, test_mae 0.023359, test_rmse 0.048670, test_mape 1998.776978, test_acc 0.467661
Epoch 16, train_loss 0.001614, train_ic 0.025551, train_icir 0.355208, train_ric 0.017142, train_ricir 0.167041, train_mae 0.014168, train_rmse 0.022158, train_mape 136.441040, train_acc 0.454380, valid_loss 0.0017506110, valid_ic 0.015102, valid_icir 0.263033, valid_ric 0.015151, valid_ricir 0.112489, valid_mae 0.031266, valid_rmse 0.042194, valid_mape 137.977936, valid_acc 0.519084, test_loss 0.001738, ic 0.005593, icir 0.134674, ric 0.012557, ricir 0.156406, prec@10 0.526749, prec@30 0.525514, test_mae 0.019137, test_rmse 0.046287, test_mape 329.623932, test_acc 0.474438
Epoch 17, train_loss 0.001561, train_ic 0.004733, train_icir 0.087008, train_ric 0.018512, train_ricir 0.234626, train_mae 0.021030, train_rmse 0.036355, train_mape 242.274139, train_acc 0.323924, valid_loss 0.0017261275, valid_ic 0.009083, valid_icir 0.212336, valid_ric 0.024172, valid_ricir 0.225869, valid_mae 0.036742, valid_rmse 0.045867, valid_mape 168.477676, valid_acc 0.138579, test_loss 0.001681, ic -0.000923, icir -0.024912, ric 0.024677, ricir 0.425377, prec@10 0.514403, prec@30 0.507956, test_mae 0.020005, test_rmse 0.044916, test_mape 2191.185791, test_acc 0.473857
Epoch 18, train_loss 0.001542, train_ic 0.017390, train_icir 0.226567, train_ric 0.025628, train_ricir 0.229748, train_mae 0.017113, train_rmse 0.023810, train_mape 320.229065, train_acc 0.682968, valid_loss 0.0021721121, valid_ic 0.015238, valid_icir 0.292460, valid_ric 0.028484, valid_ricir 0.210418, valid_mae 0.019465, valid_rmse 0.033026, valid_mape 178.702988, valid_acc 0.874339, test_loss 0.002194, ic 0.001211, icir 0.030029, ric 0.013709, ricir 0.143470, prec@10 0.531276, prec@30 0.523045, test_mae 0.030040, test_rmse 0.050402, test_mape 5526.669922, test_acc 0.500581
Epoch 19, train_loss 0.001493, train_ic 0.005008, train_icir 0.063817, train_ric 0.008527, train_ricir 0.069348, train_mae 0.034848, train_rmse 0.049144, train_mape 462.312164, train_acc 0.308337, valid_loss 0.0020920000, valid_ic 0.009904, valid_icir 0.148855, valid_ric 0.023019, valid_ricir 0.150080, valid_mae 0.019842, valid_rmse 0.032417, valid_mape 166.465439, valid_acc 0.878058, test_loss 0.002140, ic -0.003762, icir -0.066799, ric 0.006840, ricir 0.052793, prec@10 0.546914, prec@30 0.546228, test_mae 0.029412, test_rmse 0.049293, test_mape 5030.743164, test_acc 0.504260
Epoch 20, train_loss 0.001479, train_ic 0.024436, train_icir 0.373364, train_ric 0.002029, train_ricir 0.024187, train_mae 0.016425, train_rmse 0.024423, train_mape 313.383972, train_acc 0.506089, valid_loss 0.0017334278, valid_ic 0.018065, valid_icir 0.268537, valid_ric 0.012288, valid_ricir 0.103172, valid_mae 0.038801, valid_rmse 0.047313, valid_mape 192.839813, valid_acc 0.198278, test_loss 0.001623, ic 0.005034, icir 0.140392, ric -0.001438, ricir -0.023543, prec@10 0.555556, prec@30 0.539506, test_mae 0.022194, test_rmse 0.043065, test_mape 2563.747314, test_acc 0.462626
Epoch 21, train_loss 0.001431, train_ic 0.014545, train_icir 0.211103, train_ric 0.014719, train_ricir 0.144169, train_mae 0.016287, train_rmse 0.025821, train_mape 1578.712402, train_acc 0.447769, valid_loss 0.0015727503, valid_ic 0.010151, valid_icir 0.213822, valid_ric 0.020907, valid_ricir 0.165558, valid_mae 0.027259, valid_rmse 0.037185, valid_mape 124.863007, valid_acc 0.827755, test_loss 0.001488, ic -0.001490, icir -0.035478, ric 0.004895, ricir 0.053190, prec@10 0.536214, prec@30 0.522497, test_mae 0.018406, test_rmse 0.041240, test_mape 720.972717, test_acc 0.486251
