Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 33, train_loss 0.001237, train_ic 0.020364, train_icir 0.279567, train_ric 0.007125, train_ricir 0.074946, train_mae 0.018482, train_rmse 0.026171, train_mape 218.914276, train_acc 0.644860, valid_loss 0.0016063583, valid_ic 0.017675, valid_icir 0.274026, valid_ric 0.018938, valid_ricir 0.147521, valid_mae 0.041449, valid_rmse 0.047560, valid_mape 206.380844, valid_acc 0.127031, test_loss 0.001326, ic 0.002280, icir 0.051666, ric -0.001100, ricir -0.012882, prec@10 0.532922, prec@30 0.519616, test_mae 0.021447, test_rmse 0.036830, test_mape 2917.983887, test_acc 0.468629
Epoch 34, train_loss 0.001223, train_ic 0.028613, train_icir 0.346054, train_ric 0.013688, train_ricir 0.127172, train_mae 0.017798, train_rmse 0.025437, train_mape 122.191620, train_acc 0.464064, valid_loss 0.0014526834, valid_ic 0.025306, valid_icir 0.360543, valid_ric 0.025918, valid_ricir 0.195541, valid_mae 0.031770, valid_rmse 0.039183, valid_mape 136.802017, valid_acc 0.411039, test_loss 0.001210, ic 0.006131, icir 0.113738, ric 0.002609, ricir 0.025839, prec@10 0.560082, prec@30 0.549108, test_mae 0.017891, test_rmse 0.035375, test_mape 885.522461, test_acc 0.471534
Epoch 35, train_loss 0.001220, train_ic 0.025347, train_icir 0.411871, train_ric 0.019444, train_ricir 0.250744, train_mae 0.015558, train_rmse 0.023593, train_mape 126.134399, train_acc 0.534957, valid_loss 0.0014384111, valid_ic 0.016979, valid_icir 0.322015, valid_ric 0.015341, valid_ricir 0.151033, valid_mae 0.032745, valid_rmse 0.040111, valid_mape 139.801422, valid_acc 0.281464, test_loss 0.001178, ic 0.003785, icir 0.096013, ric 0.017749, ricir 0.329620, prec@10 0.534156, prec@30 0.522908, test_mae 0.017509, test_rmse 0.035004, test_mape 1011.759583, test_acc 0.482572
Epoch 36, train_loss 0.001208, train_ic 0.009871, train_icir 0.138724, train_ric 0.017265, train_ricir 0.189176, train_mae 0.033395, train_rmse 0.042686, train_mape 158.852234, train_acc 0.062545, valid_loss 0.0015555066, valid_ic 0.006242, valid_icir 0.074777, valid_ric 0.008786, valid_ricir 0.069866, valid_mae 0.029642, valid_rmse 0.037747, valid_mape 128.719528, valid_acc 0.564103, test_loss 0.001231, ic 0.004610, icir 0.118107, ric 0.018272, ricir 0.303270, prec@10 0.518930, prec@30 0.507133, test_mae 0.018213, test_rmse 0.035975, test_mape 1216.066406, test_acc 0.497676
Epoch 37, train_loss 0.001197, train_ic 0.016055, train_icir 0.249092, train_ric 0.030062, train_ricir 0.341490, train_mae 0.033774, train_rmse 0.038720, train_mape 9821.632812, train_acc 0.141563, valid_loss 0.0016778045, valid_ic 0.017651, valid_icir 0.377034, valid_ric 0.034540, valid_ricir 0.314012, valid_mae 0.044593, valid_rmse 0.050292, valid_mape 228.948730, valid_acc 0.117636, test_loss 0.001349, ic 0.001889, icir 0.048297, ric 0.028474, ricir 0.343257, prec@10 0.504115, prec@30 0.514129, test_mae 0.023054, test_rmse 0.037227, test_mape 3940.779541, test_acc 0.462626
Epoch 38, train_loss 0.001198, train_ic 0.005368, train_icir 0.085168, train_ric 0.006758, train_ricir 0.082202, train_mae 0.022625, train_rmse 0.033300, train_mape 256.844604, train_acc 0.560990, valid_loss 0.0017055810, valid_ic 0.007336, valid_icir 0.141515, valid_ric 0.008287, valid_ricir 0.085105, valid_mae 0.021301, valid_rmse 0.030881, valid_mape 141.541473, valid_acc 0.871012, test_loss 0.001480, ic -0.004814, icir -0.135404, ric -0.000281, ricir -0.004947, prec@10 0.515638, prec@30 0.499588, test_mae 0.023503, test_rmse 0.038888, test_mape 4119.458008, test_acc 0.499419
Epoch 39, train_loss 0.001175, train_ic 0.027025, train_icir 0.350632, train_ric 0.010518, train_ricir 0.114957, train_mae 0.020058, train_rmse 0.034233, train_mape 175.595947, train_acc 0.526352, valid_loss 0.0014270391, valid_ic 0.026224, valid_icir 0.337372, valid_ric 0.027237, valid_ricir 0.215965, valid_mae 0.033258, valid_rmse 0.040075, valid_mape 144.285095, valid_acc 0.296340, test_loss 0.001161, ic 0.005569, icir 0.130800, ric 0.008982, ricir 0.118629, prec@10 0.607407, prec@30 0.570645, test_mae 0.017509, test_rmse 0.034319, test_mape 513.852661, test_acc 0.496127
Epoch 40, train_loss 0.001178, train_ic 0.030953, train_icir 0.507080, train_ric 0.012061, train_ricir 0.167066, train_mae 0.018527, train_rmse 0.026093, train_mape 145.571686, train_acc 0.260081, valid_loss 0.0014065816, valid_ic 0.020623, valid_icir 0.402434, valid_ric 0.010593, valid_ricir 0.110187, valid_mae 0.028594, valid_rmse 0.036633, valid_mape 118.586113, valid_acc 0.726952, test_loss 0.001145, ic 0.007646, icir 0.273584, ric 0.008076, ricir 0.129794, prec@10 0.522222, prec@30 0.511797, test_mae 0.017410, test_rmse 0.034332, test_mape 212.372940, test_acc 0.475988
Epoch 41, train_loss 0.001166, train_ic 0.030113, train_icir 0.408438, train_ric 0.010182, train_ricir 0.118500, train_mae 0.024902, train_rmse 0.030856, train_mape 243.697357, train_acc 0.082904, valid_loss 0.0016152686, valid_ic 0.021737, valid_icir 0.313641, valid_ric 0.007795, valid_ricir 0.073237, valid_mae 0.022227, valid_rmse 0.031704, valid_mape 136.653442, valid_acc 0.870033, test_loss 0.001326, ic 0.007694, icir 0.191727, ric -0.002445, ricir -0.040111, prec@10 0.531276, prec@30 0.520027, test_mae 0.021241, test_rmse 0.036605, test_mape 4578.611816, test_acc 0.495740
Epoch 42, train_loss 0.001149, train_ic 0.024118, train_icir 0.357826, train_ric 0.015224, train_ricir 0.197838, train_mae 0.044004, train_rmse 0.050140, train_mape 104.601227, train_acc 0.450945, valid_loss 0.0014025813, valid_ic 0.021091, valid_icir 0.330496, valid_ric 0.024549, valid_ricir 0.234776, valid_mae 0.029115, valid_rmse 0.036620, valid_mape 124.284912, valid_acc 0.639460, test_loss 0.001152, ic 0.004404, icir 0.087318, ric 0.010420, ricir 0.142690, prec@10 0.528395, prec@30 0.510562, test_mae 0.017099, test_rmse 0.033968, test_mape 160.591110, test_acc 0.510263
Epoch 43, train_loss 0.001158, train_ic 0.021801, train_icir 0.315633, train_ric 0.019804, train_ricir 0.223217, train_mae 0.011650, train_rmse 0.018432, train_mape 138.692673, train_acc 0.625099, valid_loss 0.0014312346, valid_ic 0.020338, valid_icir 0.385556, valid_ric 0.028194, valid_ricir 0.259994, valid_mae 0.032622, valid_rmse 0.039622, valid_mape 140.263626, valid_acc 0.321002, test_loss 0.001133, ic 0.001482, icir 0.040862, ric 0.006730, ricir 0.089747, prec@10 0.503292, prec@30 0.498628, test_mae 0.018206, test_rmse 0.033955, test_mape 1471.072998, test_acc 0.463207
Epoch 44, train_loss 0.001161, train_ic 0.020107, train_icir 0.299066, train_ric 0.019359, train_ricir 0.232098, train_mae 0.016730, train_rmse 0.023724, train_mape 107.024742, train_acc 0.835254, valid_loss 0.0015444714, valid_ic 0.009792, valid_icir 0.173978, valid_ric 0.011269, valid_ricir 0.110793, valid_mae 0.025391, valid_rmse 0.034074, valid_mape 121.643654, valid_acc 0.825210, test_loss 0.001252, ic 0.000892, icir 0.028079, ric 0.010037, ricir 0.126926, prec@10 0.555556, prec@30 0.531276, test_mae 0.018781, test_rmse 0.034608, test_mape 2096.730713, test_acc 0.492448
Epoch 45, train_loss 0.001152, train_ic 0.029943, train_icir 0.445808, train_ric 0.022652, train_ricir 0.267769, train_mae 0.024198, train_rmse 0.035099, train_mape 124.674431, train_acc 0.688466, valid_loss 0.0014862182, valid_ic 0.023303, valid_icir 0.361096, valid_ric 0.031457, valid_ricir 0.271353, valid_mae 0.037354, valid_rmse 0.043622, valid_mape 171.310867, valid_acc 0.133490, test_loss 0.001151, ic 0.005406, icir 0.149631, ric 0.014462, ricir 0.205036, prec@10 0.546914, prec@30 0.533471, test_mae 0.019213, test_rmse 0.033754, test_mape 2099.563965, test_acc 0.462432
Epoch 46, train_loss 0.001145, train_ic 0.032997, train_icir 0.489688, train_ric 0.019795, train_ricir 0.243149, train_mae 0.016278, train_rmse 0.022346, train_mape 282.857300, train_acc 0.441348, valid_loss 0.0015234508, valid_ic 0.019382, valid_icir 0.308476, valid_ric 0.010762, valid_ricir 0.101718, valid_mae 0.023354, valid_rmse 0.032563, valid_mape 125.530014, valid_acc 0.843609, test_loss 0.001250, ic 0.007479, icir 0.240255, ric 0.003331, ricir 0.041391, prec@10 0.520576, prec@30 0.514129, test_mae 0.020536, test_rmse 0.035569, test_mape 2803.162598, test_acc 0.488962
Epoch 47, train_loss 0.001152, train_ic 0.029901, train_icir 0.427672, train_ric 0.012463, train_ricir 0.137518, train_mae 0.030945, train_rmse 0.038630, train_mape 296.822968, train_acc 0.198535, valid_loss 0.0015948809, valid_ic 0.020729, valid_icir 0.320557, valid_ric 0.009948, valid_ricir 0.085574, valid_mae 0.022023, valid_rmse 0.031239, valid_mape 129.713470, valid_acc 0.862595, test_loss 0.001308, ic 0.008748, icir 0.260445, ric 0.002221, ricir 0.024759, prec@10 0.500000, prec@30 0.500274, test_mae 0.021461, test_rmse 0.036023, test_mape 3085.417480, test_acc 0.497870
Epoch 48, train_loss 0.001136, train_ic 0.028247, train_icir 0.397297, train_ric -0.002655, train_ricir -0.032097, train_mae 0.020165, train_rmse 0.025390, train_mape 145.302551, train_acc 0.223159, valid_loss 0.0014435870, valid_ic 0.017308, valid_icir 0.253572, valid_ric 0.008370, valid_ricir 0.069172, valid_mae 0.033776, valid_rmse 0.040754, valid_mape 146.382156, valid_acc 0.219221, test_loss 0.001137, ic 0.003287, icir 0.101241, ric -0.009607, ricir -0.158986, prec@10 0.563374, prec@30 0.531001, test_mae 0.017887, test_rmse 0.033154, test_mape 1225.969238, test_acc 0.468242
Epoch 49, train_loss 0.001132, train_ic 0.020782, train_icir 0.389904, train_ric 0.022930, train_ricir 0.377331, train_mae 0.015759, train_rmse 0.022595, train_mape 195.833923, train_acc 0.540745, valid_loss 0.0014929908, valid_ic 0.016397, valid_icir 0.353458, valid_ric 0.020776, valid_ricir 0.251355, valid_mae 0.038540, valid_rmse 0.044640, valid_mape 179.266541, valid_acc 0.128205, test_loss 0.001147, ic 0.005250, icir 0.145972, ric 0.020031, ricir 0.476289, prec@10 0.513580, prec@30 0.511523, test_mae 0.019423, test_rmse 0.033928, test_mape 2468.644043, test_acc 0.465918
Epoch 50, train_loss 0.001141, train_ic 0.029055, train_icir 0.359839, train_ric 0.002117, train_ricir 0.019296, train_mae 0.020601, train_rmse 0.026819, train_mape 136.463196, train_acc 0.200953, valid_loss 0.0014092977, valid_ic 0.018104, valid_icir 0.238709, valid_ric -0.000979, valid_ricir -0.006884, valid_mae 0.030487, valid_rmse 0.038128, valid_mape 127.106873, valid_acc 0.432374, test_loss 0.001095, ic 0.010350, icir 0.270181, ric 0.001323, ricir 0.013763, prec@10 0.530453, prec@30 0.524005, test_mae 0.017171, test_rmse 0.032615, test_mape 146.201721, test_acc 0.487800
Epoch 51, train_loss 0.001132, train_ic 0.035194, train_icir 0.550878, train_ric 0.029730, train_ricir 0.387592, train_mae 0.022586, train_rmse 0.027590, train_mape 351.445618, train_acc 0.363584, valid_loss 0.0017284325, valid_ic 0.023342, valid_icir 0.406569, valid_ric 0.023074, valid_ricir 0.231097, valid_mae 0.045350, valid_rmse 0.051019, valid_mape 234.783051, valid_acc 0.115091, test_loss 0.001338, ic 0.009757, icir 0.300247, ric 0.020234, ricir 0.378379, prec@10 0.510288, prec@30 0.514129, test_mae 0.024300, test_rmse 0.036444, test_mape 4467.631348, test_acc 0.460302
Epoch 52, train_loss 0.001116, train_ic 0.025790, train_icir 0.326243, train_ric 0.009671, train_ricir 0.083368, train_mae 0.028456, train_rmse 0.035595, train_mape 10950.085938, train_acc 0.307180, valid_loss 0.0017477143, valid_ic 0.014573, valid_icir 0.221344, valid_ric -0.008124, valid_ricir -0.057519, valid_mae 0.021420, valid_rmse 0.030791, valid_mape 141.894394, valid_acc 0.874731, test_loss 0.001403, ic 0.008868, icir 0.222007, ric 0.005216, ricir 0.044424, prec@10 0.523457, prec@30 0.516872, test_mae 0.023153, test_rmse 0.037050, test_mape 3556.290039, test_acc 0.500775
Epoch 53, train_loss 0.001125, train_ic 0.042782, train_icir 0.515207, train_ric 0.022384, train_ricir 0.218554, train_mae 0.029777, train_rmse 0.038377, train_mape 90.966171, train_acc 0.879740, valid_loss 0.0014495713, valid_ic 0.031711, valid_icir 0.413393, valid_ric 0.026161, valid_ricir 0.197982, valid_mae 0.035148, valid_rmse 0.041623, valid_mape 159.365875, valid_acc 0.208064, test_loss 0.001112, ic 0.015064, icir 0.306095, ric 0.014161, ricir 0.173228, prec@10 0.523868, prec@30 0.515089, test_mae 0.018813, test_rmse 0.032993, test_mape 1916.921997, test_acc 0.472115
Epoch 54, train_loss 0.001123, train_ic 0.007149, train_icir 0.101792, train_ric 0.003280, train_ricir 0.032583, train_mae 0.015240, train_rmse 0.022040, train_mape 162.177307, train_acc 0.701350, valid_loss 0.0016628006, valid_ic 0.003063, valid_icir 0.054601, valid_ric -0.007329, valid_ricir -0.064964, valid_mae 0.022944, valid_rmse 0.032395, valid_mape 132.170151, valid_acc 0.842239, test_loss 0.001280, ic -0.001341, icir -0.032997, ric -0.001937, ricir -0.017163, prec@10 0.573251, prec@30 0.538820, test_mae 0.020907, test_rmse 0.035359, test_mape 2669.497803, test_acc 0.493029
Epoch 55, train_loss 0.001130, train_ic 0.039711, train_icir 0.459295, train_ric 0.022881, train_ricir 0.209074, train_mae 0.014640, train_rmse 0.021703, train_mape 186.719208, train_acc 0.538722, valid_loss 0.0014496956, valid_ic 0.033407, valid_icir 0.417403, valid_ric 0.024136, valid_ricir 0.181337, valid_mae 0.029693, valid_rmse 0.037135, valid_mape 128.263550, valid_acc 0.574085, test_loss 0.001101, ic 0.014358, icir 0.254496, ric 0.006891, ricir 0.070317, prec@10 0.538272, prec@30 0.520713, test_mae 0.017931, test_rmse 0.033228, test_mape 1541.961182, test_acc 0.463400
Epoch 56, train_loss 0.001119, train_ic 0.038615, train_icir 0.528389, train_ric 0.020839, train_ricir 0.237138, train_mae 0.016061, train_rmse 0.025974, train_mape 148.799530, train_acc 0.495187, valid_loss 0.0014144383, valid_ic 0.029378, valid_icir 0.407402, valid_ric 0.017988, valid_ricir 0.157436, valid_mae 0.030213, valid_rmse 0.037606, valid_mape 127.637573, valid_acc 0.491486, test_loss 0.001081, ic 0.015641, icir 0.336467, ric 0.016348, ricir 0.244018, prec@10 0.544856, prec@30 0.529904, test_mae 0.017234, test_rmse 0.032635, test_mape 283.764923, test_acc 0.483540
Epoch 57, train_loss 0.001108, train_ic 0.017030, train_icir 0.172973, train_ric -0.002558, train_ricir -0.019247, train_mae 0.016506, train_rmse 0.025736, train_mape 179.598541, train_acc 0.489353, valid_loss 0.0014382634, valid_ic 0.007293, valid_icir 0.077182, valid_ric -0.013948, valid_ricir -0.085812, valid_mae 0.029339, valid_rmse 0.037303, valid_mape 125.434097, valid_acc 0.560384, test_loss 0.001117, ic 0.008893, icir 0.151102, ric -0.004515, ricir -0.032629, prec@10 0.519342, prec@30 0.518381, test_mae 0.018177, test_rmse 0.032983, test_mape 621.316772, test_acc 0.471340
Epoch 58, train_loss 0.001114, train_ic 0.036561, train_icir 0.515354, train_ric 0.012517, train_ricir 0.137237, train_mae 0.021430, train_rmse 0.029279, train_mape 106.084892, train_acc 0.623069, valid_loss 0.0014021220, valid_ic 0.024255, valid_icir 0.386362, valid_ric 0.006835, valid_ricir 0.058147, valid_mae 0.027889, valid_rmse 0.035453, valid_mape 117.563011, valid_acc 0.745156, test_loss 0.001092, ic 0.013419, icir 0.381232, ric 0.010266, ricir 0.143152, prec@10 0.551029, prec@30 0.539095, test_mae 0.017435, test_rmse 0.032812, test_mape 878.225342, test_acc 0.493416
Epoch 59, train_loss 0.001111, train_ic 0.036490, train_icir 0.526062, train_ric 0.006005, train_ricir 0.080569, train_mae 0.016118, train_rmse 0.023232, train_mape 109.676292, train_acc 0.664004, valid_loss 0.0014296371, valid_ic 0.024014, valid_icir 0.409977, valid_ric 0.009428, valid_ricir 0.097967, valid_mae 0.026390, valid_rmse 0.034180, valid_mape 115.735016, valid_acc 0.835976, test_loss 0.001092, ic 0.008972, icir 0.227553, ric -0.003387, ricir -0.073102, prec@10 0.573251, prec@30 0.552401, test_mae 0.017569, test_rmse 0.033007, test_mape 1464.304443, test_acc 0.494191
Epoch 60, train_loss 0.001109, train_ic 0.036830, train_icir 0.460933, train_ric 0.000918, train_ricir 0.009847, train_mae 0.021738, train_rmse 0.027488, train_mape 207.903198, train_acc 0.305466, valid_loss 0.0014344238, valid_ic 0.027267, valid_icir 0.332102, valid_ric 0.010571, valid_ricir 0.080462, valid_mae 0.034744, valid_rmse 0.041470, valid_mape 156.749588, valid_acc 0.230182, test_loss 0.001102, ic 0.011787, icir 0.258629, ric -0.002763, ricir -0.037783, prec@10 0.531687, prec@30 0.527709, test_mae 0.018956, test_rmse 0.032929, test_mape 2167.562012, test_acc 0.468048
Epoch 61, train_loss 0.001107, train_ic 0.014681, train_icir 0.218517, train_ric 0.029534, train_ricir 0.367604, train_mae 0.031013, train_rmse 0.040706, train_mape 120.350525, train_acc 0.388904, valid_loss 0.0014301366, valid_ic 0.015647, valid_icir 0.288284, valid_ric 0.029971, valid_ricir 0.298990, valid_mae 0.027158, valid_rmse 0.034477, valid_mape 123.112907, valid_acc 0.792132, test_loss 0.001122, ic 0.000660, icir 0.015233, ric 0.029044, ricir 0.405370, prec@10 0.573663, prec@30 0.536763, test_mae 0.017778, test_rmse 0.033536, test_mape 768.094727, test_acc 0.492835
Epoch 62, train_loss 0.001098, train_ic 0.024967, train_icir 0.347402, train_ric -0.006375, train_ricir -0.074371, train_mae 0.017820, train_rmse 0.027499, train_mape 249.186279, train_acc 0.467523, valid_loss 0.0014618994, valid_ic 0.019969, valid_icir 0.258612, valid_ric 0.001097, valid_ricir 0.008502, valid_mae 0.025809, valid_rmse 0.033791, valid_mape 117.415154, valid_acc 0.833235, test_loss 0.001157, ic 0.007902, icir 0.206498, ric -0.005594, ricir -0.080786, prec@10 0.535391, prec@30 0.530590, test_mae 0.018728, test_rmse 0.033463, test_mape 1493.394531, test_acc 0.500194
Epoch 63, train_loss 0.001096, train_ic 0.020139, train_icir 0.253082, train_ric 0.030632, train_ricir 0.303883, train_mae 0.020022, train_rmse 0.030506, train_mape 207.256531, train_acc 0.407138, valid_loss 0.0014958662, valid_ic 0.018625, valid_icir 0.233588, valid_ric 0.023995, valid_ricir 0.176551, valid_mae 0.024045, valid_rmse 0.031973, valid_mape 128.629471, valid_acc 0.830887, test_loss 0.001179, ic 0.005582, icir 0.098585, ric 0.021762, ricir 0.214580, prec@10 0.542387, prec@30 0.524691, test_mae 0.019489, test_rmse 0.034640, test_mape 1752.405762, test_acc 0.498064
Epoch 64, train_loss 0.001116, train_ic 0.024505, train_icir 0.399841, train_ric 0.013831, train_ricir 0.185393, train_mae 0.021528, train_rmse 0.029405, train_mape 290.026154, train_acc 0.467502, valid_loss 0.0016092411, valid_ic 0.015716, valid_icir 0.284597, valid_ric 0.006112, valid_ricir 0.066046, valid_mae 0.042756, valid_rmse 0.048731, valid_mape 210.993652, valid_acc 0.133098, test_loss 0.001209, ic 0.008979, icir 0.262680, ric 0.009555, ricir 0.175565, prec@10 0.541975, prec@30 0.532510, test_mae 0.022104, test_rmse 0.034775, test_mape 4448.776855, test_acc 0.462432
Epoch 65, train_loss 0.001107, train_ic 0.029146, train_icir 0.419555, train_ric -0.001642, train_ricir -0.020398, train_mae 0.021826, train_rmse 0.030460, train_mape 243.778854, train_acc 0.530459, valid_loss 0.0014968693, valid_ic 0.021485, valid_icir 0.277661, valid_ric 0.001310, valid_ricir 0.011454, valid_mae 0.023286, valid_rmse 0.032092, valid_mape 124.102341, valid_acc 0.849090, test_loss 0.001178, ic 0.008850, icir 0.270492, ric -0.009875, ricir -0.150903, prec@10 0.545267, prec@30 0.528395, test_mae 0.020048, test_rmse 0.034173, test_mape 2261.707764, test_acc 0.489156
Epoch 66, train_loss 0.001097, train_ic 0.031054, train_icir 0.442490, train_ric 0.006773, train_ricir 0.073157, train_mae 0.019893, train_rmse 0.030331, train_mape 180.136963, train_acc 0.705832, valid_loss 0.0016229057, valid_ic 0.018067, valid_icir 0.283705, valid_ric -0.003245, valid_ricir -0.027979, valid_mae 0.023568, valid_rmse 0.032226, valid_mape 126.584518, valid_acc 0.873556, test_loss 0.001236, ic 0.013997, icir 0.377614, ric 0.003740, ricir 0.049957, prec@10 0.525926, prec@30 0.528944, test_mae 0.020179, test_rmse 0.034619, test_mape 2355.469238, test_acc 0.499613
Epoch 67, train_loss 0.001098, train_ic 0.037512, train_icir 0.547514, train_ric 0.018262, train_ricir 0.227745, train_mae 0.018201, train_rmse 0.026715, train_mape 99.025177, train_acc 0.828783, valid_loss 0.0013870624, valid_ic 0.021364, valid_icir 0.349167, valid_ric 0.008883, valid_ricir 0.088698, valid_mae 0.034965, valid_rmse 0.041580, valid_mape 150.773376, valid_acc 0.180074, test_loss 0.001049, ic 0.010795, icir 0.347033, ric 0.004903, ricir 0.066027, prec@10 0.521811, prec@30 0.520576, test_mae 0.017938, test_rmse 0.032373, test_mape 1295.662720, test_acc 0.469404
Epoch 68, train_loss 0.001097, train_ic 0.025794, train_icir 0.446690, train_ric 0.015313, train_ricir 0.242397, train_mae 0.034798, train_rmse 0.041204, train_mape 88.484856, train_acc 0.753670, valid_loss 0.0014455017, valid_ic 0.020055, valid_icir 0.343228, valid_ric 0.014536, valid_ricir 0.167067, valid_mae 0.035972, valid_rmse 0.042423, valid_mape 157.067200, valid_acc 0.176160, test_loss 0.001075, ic 0.005079, icir 0.157087, ric -0.000946, ricir -0.023488, prec@10 0.582305, prec@30 0.561591, test_mae 0.018720, test_rmse 0.032563, test_mape 1929.213745, test_acc 0.465724
Epoch 69, train_loss 0.001090, train_ic 0.025784, train_icir 0.250152, train_ric 0.000950, train_ricir 0.007021, train_mae 0.020088, train_rmse 0.028960, train_mape 196.865463, train_acc 0.653572, valid_loss 0.0016405874, valid_ic 0.014659, valid_icir 0.135066, valid_ric -0.012533, valid_ricir -0.073578, valid_mae 0.025073, valid_rmse 0.034057, valid_mape 134.121902, valid_acc 0.797025, test_loss 0.001240, ic 0.013637, icir 0.189393, ric -0.006305, ricir -0.043580, prec@10 0.530041, prec@30 0.515775, test_mae 0.020970, test_rmse 0.034471, test_mape 2953.557861, test_acc 0.480442
Epoch 70, train_loss 0.001111, train_ic 0.009387, train_icir 0.116368, train_ric 0.025419, train_ricir 0.259764, train_mae 0.034361, train_rmse 0.041082, train_mape 160.364670, train_acc 0.202734, valid_loss 0.0014641018, valid_ic 0.011778, valid_icir 0.142060, valid_ric 0.026789, valid_ricir 0.203054, valid_mae 0.035529, valid_rmse 0.041581, valid_mape 158.550003, valid_acc 0.233314, test_loss 0.001089, ic 0.000330, icir 0.004635, ric 0.025775, ricir 0.230317, prec@10 0.528807, prec@30 0.530178, test_mae 0.018268, test_rmse 0.033024, test_mape 2290.641113, test_acc 0.505422
Epoch 71, train_loss 0.001081, train_ic 0.024288, train_icir 0.351376, train_ric -0.002845, train_ricir -0.030205, train_mae 0.010296, train_rmse 0.015630, train_mape 156.835144, train_acc 0.769767, valid_loss 0.0014711260, valid_ic 0.017477, valid_icir 0.276681, valid_ric -0.008396, valid_ricir -0.068214, valid_mae 0.037719, valid_rmse 0.044380, valid_mape 174.958984, valid_acc 0.184968, test_loss 0.001099, ic 0.008987, icir 0.244428, ric -0.004234, ricir -0.045944, prec@10 0.568724, prec@30 0.536488, test_mae 0.019559, test_rmse 0.032702, test_mape 2453.902588, test_acc 0.474051
Epoch 72, train_loss 0.001086, train_ic 0.032110, train_icir 0.412393, train_ric -0.004407, train_ricir -0.049510, train_mae 0.019345, train_rmse 0.026392, train_mape 263.387573, train_acc 0.420051, valid_loss 0.0014949546, valid_ic 0.028168, valid_icir 0.355032, valid_ric 0.010957, valid_ricir 0.090945, valid_mae 0.037952, valid_rmse 0.043960, valid_mape 177.403381, valid_acc 0.151106, test_loss 0.001115, ic 0.010680, icir 0.202081, ric -0.004112, ricir -0.051204, prec@10 0.562140, prec@30 0.537860, test_mae 0.019276, test_rmse 0.032814, test_mape 2789.522949, test_acc 0.472115
Epoch 73, train_loss 0.001085, train_ic 0.031349, train_icir 0.395467, train_ric -0.008231, train_ricir -0.088896, train_mae 0.029890, train_rmse 0.038572, train_mape 156.146881, train_acc 0.646725, valid_loss 0.0019700308, valid_ic 0.021946, valid_icir 0.256417, valid_ric -0.000973, valid_ricir -0.007329, valid_mae 0.019369, valid_rmse 0.028749, valid_mape 167.213455, valid_acc 0.872382, test_loss 0.001685, ic 0.008002, icir 0.212970, ric -0.015647, ricir -0.183261, prec@10 0.541152, prec@30 0.529081, test_mae 0.029732, test_rmse 0.040979, test_mape 6161.170410, test_acc 0.497483
Epoch 74, train_loss 0.001085, train_ic 0.033557, train_icir 0.467626, train_ric -0.004059, train_ricir -0.047419, train_mae 0.026498, train_rmse 0.038627, train_mape 120.891953, train_acc 0.627388, valid_loss 0.0013826639, valid_ic 0.022727, valid_icir 0.296304, valid_ric -0.001692, valid_ricir -0.013340, valid_mae 0.032351, valid_rmse 0.039248, valid_mape 134.213318, valid_acc 0.303582, test_loss 0.001026, ic 0.010633, icir 0.295664, ric -0.008372, ricir -0.129804, prec@10 0.564198, prec@30 0.542524, test_mae 0.016992, test_rmse 0.031461, test_mape 303.805115, test_acc 0.475794
Epoch 75, train_loss 0.001079, train_ic 0.030432, train_icir 0.488025, train_ric 0.022400, train_ricir 0.301967, train_mae 0.022206, train_rmse 0.032765, train_mape 217.079849, train_acc 0.633446, valid_loss 0.0014903528, valid_ic 0.020787, valid_icir 0.350626, valid_ric 0.013278, valid_ricir 0.139543, valid_mae 0.039435, valid_rmse 0.045539, valid_mape 185.447617, valid_acc 0.160501, test_loss 0.001102, ic 0.010674, icir 0.309299, ric 0.014113, ricir 0.305149, prec@10 0.530453, prec@30 0.521674, test_mae 0.019820, test_rmse 0.033116, test_mape 2457.099121, test_acc 0.473277
Epoch 76, train_loss 0.001085, train_ic 0.007032, train_icir 0.116937, train_ric 0.010494, train_ricir 0.146014, train_mae 0.022307, train_rmse 0.032078, train_mape 166.624100, train_acc 0.683036, valid_loss 0.0016121769, valid_ic 0.004795, valid_icir 0.084954, valid_ric -0.000308, valid_ricir -0.003475, valid_mae 0.022674, valid_rmse 0.031014, valid_mape 132.165726, valid_acc 0.877471, test_loss 0.001282, ic -0.001823, icir -0.046808, ric 0.009703, ricir 0.176388, prec@10 0.552675, prec@30 0.537723, test_mae 0.021421, test_rmse 0.035450, test_mape 2732.151611, test_acc 0.501356
