Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 16, train_loss 0.001756, train_ic 0.022684, train_icir 0.380909, train_ric 0.002171, train_ricir 0.020294, valid_loss 0.0019378703 , valid_ic 0.000890, valid_icir 0.029136, valid_ric -0.012473, valid_ricir -0.212793, test_loss 0.004796, ic -0.001923, icir -0.048554, ric 0.000976, ricir 0.015712, prec@10 0.512346, prec@30 0.524966 
Epoch 17, train_loss 0.001676, train_ic 0.018500, train_icir 0.277722, train_ric 0.015127, train_ricir 0.124194, valid_loss 0.0023352240 , valid_ic -0.000804, valid_icir -0.024346, valid_ric 0.003002, valid_ricir 0.042650, test_loss 0.005019, ic -0.005857, icir -0.129866, ric 0.010323, ricir 0.114708, prec@10 0.593416, prec@30 0.572702 
Epoch 18, train_loss 0.001637, train_ic 0.010307, train_icir 0.176164, train_ric 0.000728, train_ricir 0.008076, valid_loss 0.0020054147 , valid_ic -0.004757, valid_icir -0.161386, valid_ric -0.003951, valid_ricir -0.066132, test_loss 0.004429, ic -0.007558, icir -0.189345, ric -0.004000, ricir -0.060553, prec@10 0.490535, prec@30 0.509191 
Epoch 19, train_loss 0.001622, train_ic 0.003822, train_icir 0.058036, train_ric -0.013097, train_ricir -0.111020, valid_loss 0.0017628531 , valid_ic -0.001585, valid_icir -0.058390, valid_ric -0.005689, valid_ricir -0.060002, test_loss 0.004075, ic -0.003437, icir -0.095717, ric -0.004791, ricir -0.037444, prec@10 0.525103, prec@30 0.529218 
Epoch 20, train_loss 0.001582, train_ic 0.011582, train_icir 0.109078, train_ric 0.025632, train_ricir 0.184899, valid_loss 0.0027340069 , valid_ic -0.010184, valid_icir -0.140126, valid_ric 0.002922, valid_ricir 0.026715, test_loss 0.005429, ic -0.018558, icir -0.227825, ric -0.000822, ricir -0.005537, prec@10 0.638683, prec@30 0.592455 
Epoch 21, train_loss 0.001523, train_ic 0.000280, train_icir 0.004109, train_ric 0.018361, train_ricir 0.165862, valid_loss 0.0023869955 , valid_ic -0.005604, valid_icir -0.191428, valid_ric 0.018480, valid_ricir 0.252985, test_loss 0.004430, ic -0.009378, icir -0.241138, ric 0.010201, ricir 0.099092, prec@10 0.523457, prec@30 0.545816 
Epoch 22, train_loss 0.001453, train_ic 0.007389, train_icir 0.168672, train_ric -0.002590, train_ricir -0.033503, valid_loss 0.0014375305 , valid_ic -0.004050, valid_icir -0.144540, valid_ric -0.000648, valid_ricir -0.017219, test_loss 0.003469, ic -0.008384, icir -0.204381, ric -0.005389, ricir -0.138415, prec@10 0.571605, prec@30 0.585322 
Epoch 23, train_loss 0.001490, train_ic 0.022778, train_icir 0.313391, train_ric 0.004051, train_ricir 0.033512, valid_loss 0.0016731661 , valid_ic -0.000034, valid_icir -0.001219, valid_ric -0.010913, valid_ricir -0.139840, test_loss 0.003588, ic -0.001904, icir -0.051834, ric 0.000407, ricir 0.004305, prec@10 0.521399, prec@30 0.519067 
Epoch 24, train_loss 0.001459, train_ic 0.005619, train_icir 0.086131, train_ric 0.006414, train_ricir 0.061474, valid_loss 0.0016930093 , valid_ic -0.003606, valid_icir -0.130723, valid_ric 0.001647, valid_ricir 0.023211, test_loss 0.003602, ic -0.004498, icir -0.123194, ric 0.001069, ricir 0.013723, prec@10 0.520576, prec@30 0.518519 
Epoch 25, train_loss 0.001455, train_ic 0.013641, train_icir 0.151234, train_ric 0.004787, train_ricir 0.038298, valid_loss 0.0018456332 , valid_ic 0.004380, valid_icir 0.122634, valid_ric 0.002269, valid_ricir 0.024200, test_loss 0.003574, ic 0.001985, icir 0.058077, ric 0.008766, ricir 0.066063, prec@10 0.519342, prec@30 0.519479 
