Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 71, train_loss 0.001222, train_ic 0.054402, train_icir 0.668077, train_ric 0.041941, train_ricir 0.422983, valid_loss 0.0011843478 , valid_ic 0.004846, valid_icir 0.134439, valid_ric 0.005194, valid_ricir 0.078025, test_loss 0.002062, ic -0.001521, icir -0.041702, ric 0.005456, ricir 0.079422, prec@10 0.543621, prec@30 0.552401 
Epoch 72, train_loss 0.001194, train_ic 0.037715, train_icir 0.463583, train_ric 0.015183, train_ricir 0.143887, valid_loss 0.0011936464 , valid_ic 0.008235, valid_icir 0.294103, valid_ric 0.007462, valid_ricir 0.093368, test_loss 0.002070, ic 0.001315, icir 0.043704, ric 0.002812, ricir 0.028329, prec@10 0.548148, prec@30 0.547599 
Epoch 73, train_loss 0.001212, train_ic 0.051534, train_icir 0.580225, train_ric 0.003475, train_ricir 0.034825, valid_loss 0.0009689720 , valid_ic 0.016717, valid_icir 0.422430, valid_ric -0.009202, valid_ricir -0.182420, test_loss 0.001826, ic 0.008250, icir 0.223694, ric -0.003418, ricir -0.051617, prec@10 0.585185, prec@30 0.556516 
Epoch 74, train_loss 0.001199, train_ic 0.056003, train_icir 0.599650, train_ric 0.014040, train_ricir 0.127937, valid_loss 0.0009737054 , valid_ic 0.007570, valid_icir 0.160637, valid_ric -0.019083, valid_ricir -0.325618, test_loss 0.001831, ic 0.003104, icir 0.065110, ric -0.009282, ricir -0.109505, prec@10 0.575309, prec@30 0.548422 
Epoch 75, train_loss 0.001189, train_ic 0.044935, train_icir 0.565661, train_ric 0.007580, train_ricir 0.088761, valid_loss 0.0009370690 , valid_ic 0.009904, valid_icir 0.297237, valid_ric -0.005487, valid_ricir -0.134010, test_loss 0.001769, ic 0.003405, icir 0.102830, ric -0.002922, ricir -0.061138, prec@10 0.588066, prec@30 0.551303 
Epoch 76, train_loss 0.001186, train_ic 0.025908, train_icir 0.363756, train_ric 0.009690, train_ricir 0.109533, valid_loss 0.0009762255 , valid_ic 0.003455, valid_icir 0.108661, valid_ric 0.004614, valid_ricir 0.098466, test_loss 0.001826, ic -0.004654, icir -0.127551, ric -0.006633, ricir -0.123859, prec@10 0.560082, prec@30 0.566804 
Epoch 77, train_loss 0.001187, train_ic 0.038204, train_icir 0.471172, train_ric 0.012130, train_ricir 0.131792, valid_loss 0.0009674120 , valid_ic 0.004548, valid_icir 0.156382, valid_ric 0.003077, valid_ricir 0.065788, test_loss 0.001795, ic -0.001018, icir -0.034222, ric 0.000396, ricir 0.007152, prec@10 0.563374, prec@30 0.564060 
Epoch 78, train_loss 0.001189, train_ic 0.059360, train_icir 0.627423, train_ric 0.025539, train_ricir 0.223011, valid_loss 0.0011321795 , valid_ic 0.015552, valid_icir 0.403900, valid_ric -0.005033, valid_ricir -0.082907, test_loss 0.001935, ic 0.007096, icir 0.188247, ric 0.005714, ricir 0.076051, prec@10 0.568724, prec@30 0.563237 
Epoch 79, train_loss 0.001211, train_ic 0.044952, train_icir 0.514467, train_ric 0.016628, train_ricir 0.161455, valid_loss 0.0009705004 , valid_ic 0.007787, valid_icir 0.249652, valid_ric 0.000429, valid_ricir 0.006805, test_loss 0.001753, ic 0.003256, icir 0.114645, ric 0.005522, ricir 0.068775, prec@10 0.548148, prec@30 0.539781 
Epoch 80, train_loss 0.001182, train_ic 0.039412, train_icir 0.465804, train_ric 0.012875, train_ricir 0.142048, valid_loss 0.0010471484 , valid_ic 0.007043, valid_icir 0.209323, valid_ric 0.001948, valid_ricir 0.047855, test_loss 0.001834, ic -0.001374, icir -0.044742, ric 0.000356, ricir 0.008056, prec@10 0.619753, prec@30 0.596982 
Epoch 81, train_loss 0.001187, train_ic 0.027049, train_icir 0.264629, train_ric -0.006153, train_ricir -0.051817, valid_loss 0.0013814328 , valid_ic 0.013235, valid_icir 0.258860, valid_ric -0.005272, valid_ricir -0.059559, test_loss 0.002160, ic 0.010674, icir 0.240588, ric -0.001545, ricir -0.014124, prec@10 0.558025, prec@30 0.550343 
Epoch 82, train_loss 0.001186, train_ic 0.056498, train_icir 0.650863, train_ric 0.035317, train_ricir 0.350045, valid_loss 0.0009349666 , valid_ic 0.014863, valid_icir 0.428717, valid_ric 0.007425, valid_ricir 0.120012, test_loss 0.001718, ic 0.009430, icir 0.294991, ric 0.012061, ricir 0.136388, prec@10 0.579424, prec@30 0.560631 
Epoch 83, train_loss 0.001202, train_ic 0.044122, train_icir 0.479210, train_ric 0.039399, train_ricir 0.373634, valid_loss 0.0009944350 , valid_ic 0.012832, valid_icir 0.322380, valid_ric 0.010959, valid_ricir 0.178993, test_loss 0.001774, ic 0.004125, icir 0.096215, ric 0.011105, ricir 0.146727, prec@10 0.576543, prec@30 0.549794 
Epoch 84, train_loss 0.001189, train_ic 0.054413, train_icir 0.542218, train_ric 0.037450, train_ricir 0.313859, valid_loss 0.0010243276 , valid_ic 0.015333, valid_icir 0.354355, valid_ric 0.004983, valid_ricir 0.066936, test_loss 0.001780, ic 0.007029, icir 0.157444, ric 0.011664, ricir 0.127225, prec@10 0.581893, prec@30 0.561317 
Epoch 85, train_loss 0.001198, train_ic 0.054382, train_icir 0.591840, train_ric 0.011965, train_ricir 0.108927, valid_loss 0.0009651392 , valid_ic 0.011756, valid_icir 0.287107, valid_ric -0.008767, valid_ricir -0.132747, test_loss 0.001748, ic 0.001609, icir 0.042279, ric -0.000882, ricir -0.011267, prec@10 0.580658, prec@30 0.600960 
Epoch 86, train_loss 0.001186, train_ic 0.048301, train_icir 0.548182, train_ric 0.019241, train_ricir 0.179185, valid_loss 0.0009570531 , valid_ic 0.012878, valid_icir 0.404017, valid_ric 0.005167, valid_ricir 0.071017, test_loss 0.001692, ic 0.006794, icir 0.231715, ric 0.008008, ricir 0.075771, prec@10 0.569959, prec@30 0.554870 
Epoch 87, train_loss 0.001186, train_ic 0.044482, train_icir 0.407763, train_ric -0.002177, train_ricir -0.017025, valid_loss 0.0010466856 , valid_ic 0.018243, valid_icir 0.357233, valid_ric -0.009179, valid_ricir -0.104017, test_loss 0.001766, ic 0.013886, icir 0.306672, ric 0.000041, ricir 0.000356, prec@10 0.562963, prec@30 0.562963 
Epoch 88, train_loss 0.001174, train_ic 0.037088, train_icir 0.474515, train_ric 0.022452, train_ricir 0.247210, valid_loss 0.0009151687 , valid_ic 0.009827, valid_icir 0.343633, valid_ric 0.011741, valid_ricir 0.178347, test_loss 0.001646, ic 0.004247, icir 0.144544, ric 0.006511, ricir 0.074694, prec@10 0.552263, prec@30 0.529630 
Epoch 89, train_loss 0.001180, train_ic 0.038766, train_icir 0.464743, train_ric 0.010018, train_ricir 0.111931, valid_loss 0.0009970493 , valid_ic 0.006703, valid_icir 0.171677, valid_ric -0.002561, valid_ricir -0.047758, test_loss 0.001734, ic -0.000959, icir -0.024325, ric -0.007076, ricir -0.100520, prec@10 0.560082, prec@30 0.540192 
Epoch 90, train_loss 0.001175, train_ic 0.047675, train_icir 0.550307, train_ric 0.013741, train_ricir 0.134897, valid_loss 0.0009510678 , valid_ic 0.018772, valid_icir 0.530701, valid_ric 0.000735, valid_ricir 0.012525, test_loss 0.001676, ic 0.010954, icir 0.300926, ric 0.006983, ricir 0.097317, prec@10 0.586420, prec@30 0.568313 
Epoch 91, train_loss 0.001197, train_ic 0.042208, train_icir 0.607535, train_ric 0.040436, train_ricir 0.488791, valid_loss 0.0009381814 , valid_ic 0.006101, valid_icir 0.181001, valid_ric 0.016118, valid_ricir 0.264339, test_loss 0.001671, ic -0.002222, icir -0.061188, ric 0.007685, ricir 0.111052, prec@10 0.553086, prec@30 0.530453 
Epoch 92, train_loss 0.001176, train_ic 0.053526, train_icir 0.542178, train_ric 0.049870, train_ricir 0.427639, valid_loss 0.0009238572 , valid_ic 0.008836, valid_icir 0.201518, valid_ric 0.010508, valid_ricir 0.125007, test_loss 0.001633, ic 0.000161, icir 0.003704, ric 0.009265, ricir 0.087682, prec@10 0.545267, prec@30 0.527298 
Epoch 93, train_loss 0.001181, train_ic 0.051474, train_icir 0.618358, train_ric 0.035076, train_ricir 0.375680, valid_loss 0.0009786590 , valid_ic 0.005996, valid_icir 0.164320, valid_ric 0.007879, valid_ricir 0.136754, test_loss 0.001717, ic -0.001522, icir -0.042928, ric 0.006440, ricir 0.088560, prec@10 0.579012, prec@30 0.583128 
Epoch 94, train_loss 0.001178, train_ic 0.034219, train_icir 0.351449, train_ric 0.047674, train_ricir 0.431666, valid_loss 0.0009803265 , valid_ic 0.006424, valid_icir 0.115844, valid_ric 0.023383, valid_ricir 0.257037, test_loss 0.001708, ic -0.005894, icir -0.104486, ric 0.011894, ricir 0.105583, prec@10 0.526337, prec@30 0.516187 
Epoch 95, train_loss 0.001167, train_ic 0.048993, train_icir 0.612055, train_ric 0.045212, train_ricir 0.494587, valid_loss 0.0009055582 , valid_ic 0.007977, valid_icir 0.243353, valid_ric 0.021734, valid_ricir 0.333317, test_loss 0.001600, ic 0.000099, icir 0.002700, ric 0.013009, ricir 0.183363, prec@10 0.543621, prec@30 0.530453 
Epoch 96, train_loss 0.001179, train_ic 0.042626, train_icir 0.437725, train_ric 0.005124, train_ricir 0.044317, valid_loss 0.0009519044 , valid_ic 0.020080, valid_icir 0.482073, valid_ric 0.000446, valid_ricir 0.005979, test_loss 0.001656, ic 0.013455, icir 0.352808, ric 0.005484, ricir 0.056861, prec@10 0.563786, prec@30 0.543621 
Epoch 97, train_loss 0.001169, train_ic 0.048507, train_icir 0.522858, train_ric 0.048163, train_ricir 0.455999, valid_loss 0.0009513930 , valid_ic 0.005062, valid_icir 0.107616, valid_ric 0.012278, valid_ricir 0.163068, test_loss 0.001669, ic -0.003764, icir -0.076374, ric 0.008367, ricir 0.089858, prec@10 0.581481, prec@30 0.570233 
Epoch 98, train_loss 0.001157, train_ic 0.045011, train_icir 0.428529, train_ric 0.043628, train_ricir 0.370020, valid_loss 0.0009810171 , valid_ic 0.004090, valid_icir 0.066708, valid_ric 0.006189, valid_ricir 0.068600, test_loss 0.001703, ic -0.005559, icir -0.088402, ric 0.002888, ricir 0.023845, prec@10 0.607407, prec@30 0.605075 
Epoch 99, train_loss 0.001157, train_ic 0.051373, train_icir 0.484008, train_ric 0.024025, train_ricir 0.188050, valid_loss 0.0009367051 , valid_ic 0.008403, valid_icir 0.155551, valid_ric -0.010056, valid_ricir -0.110475, test_loss 0.001640, ic -0.000212, icir -0.003918, ric -0.003885, ricir -0.030464, prec@10 0.590947, prec@30 0.553909 
Epoch 100, train_loss 0.001165, train_ic 0.041095, train_icir 0.452334, train_ric 0.034770, train_ricir 0.343636, valid_loss 0.0009591696 , valid_ic 0.007642, valid_icir 0.181867, valid_ric 0.012095, valid_ricir 0.173424, test_loss 0.001641, ic -0.002482, icir -0.054668, ric 0.006882, ricir 0.075380, prec@10 0.547737, prec@30 0.583539 
Epoch 101, train_loss 0.001159, train_ic 0.052840, train_icir 0.575145, train_ric -0.006586, train_ricir -0.064097, valid_loss 0.0009675566 , valid_ic 0.017560, valid_icir 0.412133, valid_ric -0.016737, valid_ricir -0.281401, test_loss 0.001622, ic 0.011350, icir 0.296942, ric -0.004412, ricir -0.063140, prec@10 0.595885, prec@30 0.561866 
Epoch 102, train_loss 0.001153, train_ic 0.056708, train_icir 0.587509, train_ric 0.033868, train_ricir 0.305311, valid_loss 0.0009673134 , valid_ic 0.011331, valid_icir 0.244190, valid_ric 0.001184, valid_ricir 0.017038, test_loss 0.001626, ic 0.003447, icir 0.085037, ric 0.006878, ricir 0.090092, prec@10 0.584362, prec@30 0.591084 
Epoch 103, train_loss 0.001164, train_ic 0.049564, train_icir 0.501773, train_ric 0.016964, train_ricir 0.155156, valid_loss 0.0011524810 , valid_ic 0.015181, valid_icir 0.325215, valid_ric -0.004259, valid_ricir -0.064621, test_loss 0.001788, ic 0.004795, icir 0.104231, ric 0.001749, ricir 0.019611, prec@10 0.586008, prec@30 0.552949 
Epoch 104, train_loss 0.001151, train_ic 0.045915, train_icir 0.405319, train_ric 0.000148, train_ricir 0.001102, valid_loss 0.0009637878 , valid_ic 0.012670, valid_icir 0.231650, valid_ric -0.010199, valid_ricir -0.104766, test_loss 0.001638, ic 0.012140, icir 0.258356, ric -0.000077, ricir -0.000628, prec@10 0.571605, prec@30 0.548834 
Epoch 105, train_loss 0.001159, train_ic 0.051841, train_icir 0.713079, train_ric 0.038124, train_ricir 0.454985, valid_loss 0.0009930816 , valid_ic 0.016295, valid_icir 0.581484, valid_ric 0.020177, valid_ricir 0.355384, test_loss 0.001642, ic 0.007176, icir 0.255074, ric 0.014458, ricir 0.199376, prec@10 0.561317, prec@30 0.543073 
Epoch 106, train_loss 0.001153, train_ic 0.045541, train_icir 0.566785, train_ric 0.028806, train_ricir 0.306078, valid_loss 0.0010890835 , valid_ic 0.014253, valid_icir 0.450635, valid_ric 0.010937, valid_ricir 0.170951, test_loss 0.001730, ic 0.007077, icir 0.215006, ric 0.011121, ricir 0.135909, prec@10 0.573251, prec@30 0.558573 
Epoch 107, train_loss 0.001161, train_ic 0.062343, train_icir 0.725791, train_ric 0.028448, train_ricir 0.287118, valid_loss 0.0009084719 , valid_ic 0.019822, valid_icir 0.561972, valid_ric 0.001087, valid_ricir 0.019770, test_loss 0.001540, ic 0.014637, icir 0.469438, ric 0.012564, ricir 0.163753, prec@10 0.575720, prec@30 0.563100 
Epoch 108, train_loss 0.001171, train_ic 0.040227, train_icir 0.482522, train_ric 0.028438, train_ricir 0.278934, valid_loss 0.0009186666 , valid_ic 0.009052, valid_icir 0.253735, valid_ric 0.013127, valid_ricir 0.186060, test_loss 0.001557, ic 0.005040, icir 0.148879, ric 0.006084, ricir 0.070751, prec@10 0.553086, prec@30 0.522497 
Epoch 109, train_loss 0.001153, train_ic 0.062751, train_icir 0.712274, train_ric 0.027080, train_ricir 0.262886, valid_loss 0.0009994836 , valid_ic 0.016587, valid_icir 0.378896, valid_ric -0.009209, valid_ricir -0.160785, test_loss 0.001633, ic 0.011685, icir 0.291855, ric 0.004485, ricir 0.068357, prec@10 0.548148, prec@30 0.560082 
Epoch 110, train_loss 0.001144, train_ic 0.027820, train_icir 0.306597, train_ric 0.004965, train_ricir 0.043853, valid_loss 0.0009079188 , valid_ic 0.007102, valid_icir 0.196465, valid_ric 0.000758, valid_ricir 0.009292, test_loss 0.001539, ic 0.002506, icir 0.074154, ric -0.002436, ricir -0.024528, prec@10 0.542387, prec@30 0.531139 
Epoch 111, train_loss 0.001139, train_ic 0.049458, train_icir 0.549402, train_ric 0.025035, train_ricir 0.252104, valid_loss 0.0008991683 , valid_ic 0.010631, valid_icir 0.285699, valid_ric 0.005315, valid_ricir 0.093210, test_loss 0.001528, ic 0.001755, icir 0.042404, ric 0.003313, ricir 0.042898, prec@10 0.577366, prec@30 0.533059 
Epoch 112, train_loss 0.001152, train_ic 0.068252, train_icir 0.768775, train_ric 0.038102, train_ricir 0.386287, valid_loss 0.0008993799 , valid_ic 0.017442, valid_icir 0.503348, valid_ric 0.006826, valid_ricir 0.140422, test_loss 0.001530, ic 0.008340, icir 0.252560, ric 0.010985, ricir 0.188385, prec@10 0.567078, prec@30 0.551852 
Epoch 113, train_loss 0.001163, train_ic 0.055991, train_icir 0.632590, train_ric 0.037821, train_ricir 0.387793, valid_loss 0.0009933869 , valid_ic 0.009923, valid_icir 0.248474, valid_ric 0.011752, valid_ricir 0.189257, test_loss 0.001647, ic -0.001065, icir -0.027009, ric 0.009322, ricir 0.111724, prec@10 0.565021, prec@30 0.574897 
Epoch 114, train_loss 0.001162, train_ic 0.050578, train_icir 0.642594, train_ric 0.013170, train_ricir 0.154609, valid_loss 0.0010501681 , valid_ic 0.014998, valid_icir 0.404013, valid_ric -0.006378, valid_ricir -0.156984, test_loss 0.001661, ic 0.009904, icir 0.278281, ric -0.001431, ricir -0.028348, prec@10 0.589712, prec@30 0.567627 
Epoch 115, train_loss 0.001154, train_ic 0.053128, train_icir 0.576248, train_ric 0.023097, train_ricir 0.214356, valid_loss 0.0009249340 , valid_ic 0.020055, valid_icir 0.509643, valid_ric 0.005924, valid_ricir 0.079920, test_loss 0.001536, ic 0.015393, icir 0.400676, ric 0.011957, ricir 0.109091, prec@10 0.577366, prec@30 0.551303 
Epoch 116, train_loss 0.001146, train_ic 0.049390, train_icir 0.596878, train_ric 0.018331, train_ricir 0.195527, valid_loss 0.0009790074 , valid_ic 0.015447, valid_icir 0.467696, valid_ric 0.004139, valid_ricir 0.069332, test_loss 0.001578, ic 0.007547, icir 0.217183, ric 0.005488, ricir 0.080053, prec@10 0.583951, prec@30 0.562277 
Epoch 117, train_loss 0.001152, train_ic 0.050860, train_icir 0.535973, train_ric 0.057414, train_ricir 0.533093, valid_loss 0.0009205202 , valid_ic 0.008639, valid_icir 0.174836, valid_ric 0.023938, valid_ricir 0.293742, test_loss 0.001534, ic -0.002345, icir -0.047068, ric 0.015236, ricir 0.157140, prec@10 0.542798, prec@30 0.512209 
Epoch 118, train_loss 0.001140, train_ic 0.046629, train_icir 0.530641, train_ric 0.023371, train_ricir 0.230881, valid_loss 0.0008864708 , valid_ic 0.006734, valid_icir 0.208917, valid_ric 0.001074, valid_ricir 0.018274, test_loss 0.001485, ic 0.001019, icir 0.029422, ric 0.001861, ricir 0.023517, prec@10 0.572840, prec@30 0.544170 
Epoch 119, train_loss 0.001149, train_ic 0.060536, train_icir 0.725758, train_ric 0.033170, train_ricir 0.340974, valid_loss 0.0010819112 , valid_ic 0.021598, valid_icir 0.661077, valid_ric 0.010306, valid_ricir 0.194857, test_loss 0.001662, ic 0.011462, icir 0.352471, ric 0.016170, ricir 0.245271, prec@10 0.557202, prec@30 0.552263 
Epoch 120, train_loss 0.001160, train_ic 0.051869, train_icir 0.701324, train_ric 0.042414, train_ricir 0.518731, valid_loss 0.0009101077 , valid_ic 0.014261, valid_icir 0.450330, valid_ric 0.019064, valid_ricir 0.388627, test_loss 0.001508, ic 0.005051, icir 0.146252, ric 0.011414, ricir 0.206029, prec@10 0.570782, prec@30 0.550206 
Epoch 121, train_loss 0.001139, train_ic 0.046556, train_icir 0.537213, train_ric 0.012331, train_ricir 0.129744, valid_loss 0.0009241565 , valid_ic 0.013440, valid_icir 0.351390, valid_ric -0.001001, valid_ricir -0.021271, test_loss 0.001523, ic 0.004133, icir 0.103979, ric 0.000757, ricir 0.012736, prec@10 0.567901, prec@30 0.549246 
Epoch 122, train_loss 0.001142, train_ic 0.072409, train_icir 0.785160, train_ric 0.043129, train_ricir 0.397647, valid_loss 0.0010224762 , valid_ic 0.016343, valid_icir 0.365103, valid_ric 0.002917, valid_ricir 0.041785, test_loss 0.001618, ic 0.008044, icir 0.196423, ric 0.011311, ricir 0.141227, prec@10 0.557613, prec@30 0.564335 
Epoch 123, train_loss 0.001138, train_ic 0.053445, train_icir 0.701433, train_ric 0.030177, train_ricir 0.366482, valid_loss 0.0009587854 , valid_ic 0.016204, valid_icir 0.460758, valid_ric 0.006730, valid_ricir 0.151364, test_loss 0.001542, ic 0.006344, icir 0.179303, ric 0.008783, ricir 0.173741, prec@10 0.559671, prec@30 0.554047 
Epoch 124, train_loss 0.001163, train_ic 0.066398, train_icir 0.656043, train_ric 0.032604, train_ricir 0.284002, valid_loss 0.0009264718 , valid_ic 0.014520, valid_icir 0.287356, valid_ric -0.004610, valid_ricir -0.057989, test_loss 0.001514, ic 0.005179, icir 0.105794, ric 0.001940, ricir 0.017919, prec@10 0.576543, prec@30 0.547462 
Epoch 125, train_loss 0.001139, train_ic 0.061321, train_icir 0.681482, train_ric 0.032298, train_ricir 0.317621, valid_loss 0.0010800254 , valid_ic 0.013657, valid_icir 0.375229, valid_ric 0.001315, valid_ricir 0.024836, test_loss 0.001645, ic 0.006339, icir 0.184100, ric 0.006874, ricir 0.102261, prec@10 0.574897, prec@30 0.555693 
Epoch 126, train_loss 0.001119, train_ic 0.053296, train_icir 0.629152, train_ric 0.027613, train_ricir 0.282565, valid_loss 0.0008904281 , valid_ic 0.015928, valid_icir 0.420480, valid_ric 0.009384, valid_ricir 0.130071, test_loss 0.001457, ic 0.009669, icir 0.281101, ric 0.006377, ricir 0.070576, prec@10 0.575309, prec@30 0.548560 
Epoch 127, train_loss 0.001127, train_ic 0.059697, train_icir 0.708636, train_ric 0.017725, train_ricir 0.201960, valid_loss 0.0008992277 , valid_ic 0.015031, valid_icir 0.383268, valid_ric -0.002140, valid_ricir -0.047802, test_loss 0.001492, ic 0.005439, icir 0.146159, ric 0.002178, ricir 0.037582, prec@10 0.580658, prec@30 0.568450 
Epoch 128, train_loss 0.001136, train_ic 0.060157, train_icir 0.661277, train_ric 0.013753, train_ricir 0.133116, valid_loss 0.0009309000 , valid_ic 0.014065, valid_icir 0.289916, valid_ric -0.017871, valid_ricir -0.302188, test_loss 0.001531, ic 0.005651, icir 0.113813, ric -0.005200, ricir -0.064918, prec@10 0.583539, prec@30 0.562826 
Epoch 129, train_loss 0.001128, train_ic 0.049436, train_icir 0.455536, train_ric 0.008681, train_ricir 0.067931, valid_loss 0.0011619525 , valid_ic 0.015143, valid_icir 0.306439, valid_ric -0.005593, valid_ricir -0.061723, test_loss 0.001704, ic 0.012462, icir 0.272067, ric 0.001090, ricir 0.009040, prec@10 0.566255, prec@30 0.547874 
Epoch 130, train_loss 0.001129, train_ic 0.063473, train_icir 0.771650, train_ric 0.032540, train_ricir 0.342285, valid_loss 0.0009030399 , valid_ic 0.016397, valid_icir 0.464624, valid_ric 0.004601, valid_ricir 0.079321, test_loss 0.001494, ic 0.008564, icir 0.251337, ric 0.010757, ricir 0.140781, prec@10 0.568313, prec@30 0.559259 
Epoch 131, train_loss 0.001126, train_ic 0.058670, train_icir 0.659852, train_ric 0.023677, train_ricir 0.221421, valid_loss 0.0009020163 , valid_ic 0.017309, valid_icir 0.500390, valid_ric 0.003916, valid_ricir 0.056472, test_loss 0.001450, ic 0.012344, icir 0.391458, ric 0.007515, ricir 0.085661, prec@10 0.587654, prec@30 0.555281 
Epoch 132, train_loss 0.001140, train_ic 0.065017, train_icir 0.681224, train_ric 0.011643, train_ricir 0.105962, valid_loss 0.0009560020 , valid_ic 0.018624, valid_icir 0.414068, valid_ric -0.015002, valid_ricir -0.267869, test_loss 0.001534, ic 0.014179, icir 0.343417, ric 0.001309, ricir 0.018723, prec@10 0.583539, prec@30 0.554047 
Epoch 133, train_loss 0.001119, train_ic 0.046658, train_icir 0.627261, train_ric 0.036949, train_ricir 0.469905, valid_loss 0.0010129995 , valid_ic 0.006943, valid_icir 0.215512, valid_ric 0.010960, valid_ricir 0.248347, test_loss 0.001566, ic 0.000545, icir 0.017387, ric 0.006292, ricir 0.140499, prec@10 0.566255, prec@30 0.535940 
Epoch 134, train_loss 0.001147, train_ic 0.045472, train_icir 0.561633, train_ric 0.028578, train_ricir 0.333527, valid_loss 0.0010015309 , valid_ic 0.005783, valid_icir 0.144316, valid_ric 0.010583, valid_ricir 0.237699, test_loss 0.001619, ic -0.004091, icir -0.097664, ric -0.000101, ricir -0.001808, prec@10 0.564609, prec@30 0.577092 
Epoch 135, train_loss 0.001135, train_ic 0.063526, train_icir 0.758021, train_ric 0.026879, train_ricir 0.289944, valid_loss 0.0012660206 , valid_ic 0.021282, valid_icir 0.565823, valid_ric 0.004975, valid_ricir 0.092954, test_loss 0.001777, ic 0.014426, icir 0.421748, ric 0.009378, ricir 0.123442, prec@10 0.593004, prec@30 0.565295 
Epoch 136, train_loss 0.001117, train_ic 0.056565, train_icir 0.659226, train_ric 0.037845, train_ricir 0.400635, valid_loss 0.0009113193 , valid_ic 0.010303, valid_icir 0.242514, valid_ric 0.002412, valid_ricir 0.041997, test_loss 0.001459, ic 0.002530, icir 0.058659, ric 0.003185, ricir 0.041263, prec@10 0.567490, prec@30 0.546228 
Epoch 137, train_loss 0.001129, train_ic 0.066551, train_icir 0.750960, train_ric 0.038037, train_ricir 0.375037, valid_loss 0.0009708987 , valid_ic 0.013988, valid_icir 0.346520, valid_ric 0.003651, valid_ricir 0.064809, test_loss 0.001506, ic 0.009133, icir 0.265416, ric 0.007589, ricir 0.117301, prec@10 0.556379, prec@30 0.549520 
Epoch 138, train_loss 0.001117, train_ic 0.046988, train_icir 0.442402, train_ric 0.017872, train_ricir 0.137935, valid_loss 0.0014947138 , valid_ic 0.021359, valid_icir 0.372697, valid_ric 0.003867, valid_ricir 0.038972, test_loss 0.002018, ic 0.020252, icir 0.379315, ric 0.006622, ricir 0.052196, prec@10 0.589300, prec@30 0.555556 
Early stopping -----
Epoch 139, train_loss 0.001128, train_ic 0.052411, train_icir 0.711494, train_ric 0.047247, train_ricir 0.558498, valid_loss 0.0011897504 , valid_ic 0.014346, valid_icir 0.418061, valid_ric 0.020488, valid_ricir 0.338589, test_loss 0.001707, ic 0.005768, icir 0.180375, ric 0.016560, ricir 0.273840, prec@10 0.569547, prec@30 0.538409 
Epoch 140, train_loss 0.001120, train_ic 0.046378, train_icir 0.386727, train_ric 0.044827, train_ricir 0.332556, valid_loss 0.0009546383 , valid_ic 0.007060, valid_icir 0.102729, valid_ric 0.009096, valid_ricir 0.090053, test_loss 0.001527, ic -0.004107, icir -0.056620, ric 0.006348, ricir 0.046766, prec@10 0.615638, prec@30 0.602195 
Epoch 141, train_loss 0.001140, train_ic 0.064716, train_icir 0.768228, train_ric 0.025594, train_ricir 0.269011, valid_loss 0.0009164334 , valid_ic 0.018708, valid_icir 0.405014, valid_ric -0.006604, valid_ricir -0.127265, test_loss 0.001486, ic 0.009692, icir 0.206085, ric 0.001763, ricir 0.024670, prec@10 0.578601, prec@30 0.565432 
Epoch 142, train_loss 0.001117, train_ic 0.056460, train_icir 0.640316, train_ric 0.021932, train_ricir 0.236005, valid_loss 0.0011168389 , valid_ic 0.016738, valid_icir 0.451619, valid_ric 0.004053, valid_ricir 0.082392, test_loss 0.001621, ic 0.007267, icir 0.198749, ric -0.000031, ricir -0.000480, prec@10 0.596708, prec@30 0.564060 
Epoch 143, train_loss 0.001132, train_ic 0.054633, train_icir 0.720906, train_ric 0.033995, train_ricir 0.412864, valid_loss 0.0009420722 , valid_ic 0.011990, valid_icir 0.380790, valid_ric 0.010520, valid_ricir 0.285827, test_loss 0.001469, ic 0.004231, icir 0.137313, ric 0.006926, ricir 0.158859, prec@10 0.570370, prec@30 0.542112 
Epoch 144, train_loss 0.001115, train_ic 0.056196, train_icir 0.558295, train_ric 0.014468, train_ricir 0.121069, valid_loss 0.0010911254 , valid_ic 0.020939, valid_icir 0.432975, valid_ric -0.002737, valid_ricir -0.032268, test_loss 0.001602, ic 0.016165, icir 0.369272, ric 0.005352, ricir 0.050776, prec@10 0.592181, prec@30 0.567078 
Epoch 145, train_loss 0.001114, train_ic 0.049582, train_icir 0.639714, train_ric 0.040720, train_ricir 0.447444, valid_loss 0.0009587832 , valid_ic 0.004489, valid_icir 0.110326, valid_ric 0.011196, valid_ricir 0.228068, test_loss 0.001536, ic -0.005123, icir -0.120529, ric 0.003221, ricir 0.054449, prec@10 0.645267, prec@30 0.600137 
