Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 12, train_loss 0.004977, train_ic -0.044407, train_icir -0.357706, train_ric 0.010382, train_ricir 0.071081, train_mae 0.022922, train_rmse 0.027081, train_mape 282.529266, train_acc 0.109028, valid_loss 0.0011751126, valid_ic -0.038365, valid_icir -0.496253, valid_ric 0.020250, valid_ricir 0.223468, valid_mae 0.025372, valid_rmse 0.032276, valid_mape 416.867493, valid_acc 0.346955, test_loss 0.001552, ic -0.041592, icir -0.519105, ric -0.003962, ricir -0.037437, prec@10 0.432922, prec@30 0.425652, test_mae 0.033139, test_rmse 0.040214, test_mape 334.392700, test_acc 0.189222
Epoch 13, train_loss 0.004852, train_ic -0.040092, train_icir -0.326304, train_ric 0.011442, train_ricir 0.079301, train_mae 0.013345, train_rmse 0.020764, train_mape 131.296509, train_acc 0.585485, valid_loss 0.0009033597, valid_ic -0.033894, valid_icir -0.480531, valid_ric 0.018730, valid_ricir 0.210769, valid_mae 0.015079, valid_rmse 0.024598, valid_mape 158.392746, valid_acc 0.396368, test_loss 0.001317, ic -0.036942, icir -0.511795, ric -0.003593, ricir -0.033736, prec@10 0.482716, prec@30 0.455556, test_mae 0.022023, test_rmse 0.030578, test_mape 152.856384, test_acc 0.303584
Epoch 14, train_loss 0.004799, train_ic -0.042994, train_icir -0.338606, train_ric 0.008384, train_ricir 0.056879, train_mae 0.022385, train_rmse 0.030057, train_mape 83.589050, train_acc 0.832645, valid_loss 0.0014711575, valid_ic -0.037294, valid_icir -0.491743, valid_ric 0.015667, valid_ricir 0.177427, valid_mae 0.024768, valid_rmse 0.029079, valid_mape 514.709900, valid_acc 0.598024, test_loss 0.001764, ic -0.047022, icir -0.526750, ric -0.006097, ricir -0.055509, prec@10 0.436214, prec@30 0.443896, test_mae 0.021547, test_rmse 0.027799, test_mape 336.026672, test_acc 0.761765
Epoch 15, train_loss 0.004824, train_ic -0.036194, train_icir -0.298083, train_ric 0.011332, train_ricir 0.079795, train_mae 0.030992, train_rmse 0.039791, train_mape 157.891357, train_acc 0.218337, valid_loss 0.0010654665, valid_ic -0.029208, valid_icir -0.387759, valid_ric 0.017324, valid_ricir 0.193210, valid_mae 0.023576, valid_rmse 0.030029, valid_mape 381.590424, valid_acc 0.348024, test_loss 0.001352, ic -0.036456, icir -0.432246, ric -0.004733, ricir -0.042674, prec@10 0.457613, prec@30 0.455693, test_mae 0.031534, test_rmse 0.038853, test_mape 308.300171, test_acc 0.191417
Epoch 16, train_loss 0.004659, train_ic -0.035135, train_icir -0.278612, train_ric 0.029617, train_ricir 0.201325, train_mae 0.014214, train_rmse 0.021444, train_mape 192.918198, train_acc 0.557654, valid_loss 0.0009200350, valid_ic -0.025280, valid_icir -0.323383, valid_ric 0.031679, valid_ricir 0.327226, valid_mae 0.013884, valid_rmse 0.021902, valid_mape 164.438049, valid_acc 0.607906, test_loss 0.001297, ic -0.032987, icir -0.398251, ric 0.004548, ricir 0.040188, prec@10 0.511111, prec@30 0.496982, test_mae 0.017071, test_rmse 0.025532, test_mape 141.620773, test_acc 0.742990
Epoch 17, train_loss 0.004621, train_ic -0.037656, train_icir -0.311388, train_ric 0.006286, train_ricir 0.043574, train_mae 0.016544, train_rmse 0.025400, train_mape 122.204300, train_acc 0.438787, valid_loss 0.0008372690, valid_ic -0.030443, valid_icir -0.470801, valid_ric 0.013966, valid_ricir 0.160043, valid_mae 0.014079, valid_rmse 0.022561, valid_mape 128.269684, valid_acc 0.423077, test_loss 0.001175, ic -0.033863, icir -0.463854, ric -0.008068, ricir -0.074086, prec@10 0.538683, prec@30 0.544033, test_mae 0.020831, test_rmse 0.029247, test_mape 132.545517, test_acc 0.329920
Epoch 18, train_loss 0.004592, train_ic -0.028820, train_icir -0.260930, train_ric 0.022581, train_ricir 0.159617, train_mae 0.013131, train_rmse 0.021034, train_mape 110.869217, train_acc 0.698108, valid_loss 0.0010061609, valid_ic -0.023413, valid_icir -0.403715, valid_ric 0.023208, valid_ricir 0.250674, valid_mae 0.014027, valid_rmse 0.024516, valid_mape 136.627533, valid_acc 0.598558, test_loss 0.001477, ic -0.029274, icir -0.472702, ric -0.001205, ricir -0.010588, prec@10 0.631687, prec@30 0.589163, test_mae 0.018938, test_rmse 0.029836, test_mape 129.130905, test_acc 0.704706
Epoch 19, train_loss 0.004580, train_ic -0.023660, train_icir -0.193429, train_ric -0.001393, train_ricir -0.009787, train_mae 0.100461, train_rmse 0.109646, train_mape 155.873734, train_acc 0.007546, valid_loss 0.0011594410, valid_ic -0.023702, valid_icir -0.366201, valid_ric -0.000434, valid_ricir -0.005045, valid_mae 0.025618, valid_rmse 0.031752, valid_mape 429.241333, valid_acc 0.344551, test_loss 0.001460, ic -0.027149, icir -0.342482, ric -0.012726, ricir -0.107944, prec@10 0.576132, prec@30 0.521125, test_mae 0.035276, test_rmse 0.041965, test_mape 366.324432, test_acc 0.188734
Epoch 20, train_loss 0.004472, train_ic -0.027318, train_icir -0.216114, train_ric -0.008198, train_ricir -0.054830, train_mae 0.017284, train_rmse 0.025466, train_mape 126.604370, train_acc 0.382646, valid_loss 0.0008219448, valid_ic -0.027419, valid_icir -0.442885, valid_ric -0.004250, valid_ricir -0.048504, valid_mae 0.014081, valid_rmse 0.022230, valid_mape 127.506897, valid_acc 0.424679, test_loss 0.001124, ic -0.029370, icir -0.372415, ric -0.016603, ricir -0.142843, prec@10 0.592181, prec@30 0.548422, test_mae 0.021904, test_rmse 0.030075, test_mape 145.776535, test_acc 0.268227
Epoch 21, train_loss 0.004368, train_ic -0.042572, train_icir -0.332817, train_ric 0.019071, train_ricir 0.125580, train_mae 0.067464, train_rmse 0.072405, train_mape 448.707520, train_acc 0.117201, valid_loss 0.0022452964, valid_ic -0.023928, valid_icir -0.297685, valid_ric 0.029009, valid_ricir 0.299259, valid_mae 0.035473, valid_rmse 0.038613, valid_mape 789.631348, valid_acc 0.598291, test_loss 0.002523, ic -0.031239, icir -0.365867, ric 0.004495, ricir 0.038238, prec@10 0.486420, prec@30 0.472977, test_mae 0.030161, test_rmse 0.034647, test_mape 536.960938, test_acc 0.761765
