Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 8,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.023863, train_ic -0.050807, train_icir -0.395006, train_ric 0.035174, train_ricir 0.244028, train_mae 0.033281, train_rmse 0.041393, train_mape 566.130798, train_acc 0.174504, valid_loss 0.0025931430, valid_ic -0.028621, valid_icir -0.174373, valid_ric 0.010459, valid_ricir 0.051560, valid_mae 0.021577, valid_rmse 0.032089, valid_mape 159.773605, valid_acc 0.846590, test_loss 0.001854, ic -0.024412, icir -0.259813, ric 0.048470, ricir 0.408530, prec@10 0.435391, prec@30 0.461728, test_mae 0.024873, test_rmse 0.038122, test_mape 1873.779541, test_acc 0.498454
Epoch 2, train_loss 0.005584, train_ic -0.056686, train_icir -0.446597, train_ric 0.021220, train_ricir 0.144307, train_mae 0.020607, train_rmse 0.043526, train_mape 165.468628, train_acc 0.546782, valid_loss 0.0017701279, valid_ic -0.045409, valid_icir -0.273409, valid_ric -0.004284, valid_ricir -0.020874, valid_mae 0.032225, valid_rmse 0.039520, valid_mape 133.187683, valid_acc 0.445183, test_loss 0.001122, ic -0.032127, icir -0.361410, ric 0.032739, ricir 0.275246, prec@10 0.420988, prec@30 0.441427, test_mae 0.017843, test_rmse 0.029059, test_mape 1389.555420, test_acc 0.494009
Epoch 3, train_loss 0.005057, train_ic -0.057889, train_icir -0.488598, train_ric 0.006515, train_ricir 0.046850, train_mae 0.020715, train_rmse 0.026767, train_mape 266.333832, train_acc 0.367543, valid_loss 0.0015605383, valid_ic -0.048107, valid_icir -0.315971, valid_ric -0.006400, valid_ricir -0.033660, valid_mae 0.027035, valid_rmse 0.034370, valid_mape 112.148407, valid_acc 0.765292, test_loss 0.001068, ic -0.036505, icir -0.412255, ric 0.021029, ricir 0.179310, prec@10 0.408230, prec@30 0.422222, test_mae 0.017010, test_rmse 0.027689, test_mape 1071.246338, test_acc 0.492269
Epoch 4, train_loss 0.004794, train_ic -0.052933, train_icir -0.473546, train_ric -0.005476, train_ricir -0.039998, train_mae 0.037171, train_rmse 0.048168, train_mape 461.996124, train_acc 0.375159, valid_loss 0.0021667070, valid_ic -0.047875, valid_icir -0.348974, valid_ric -0.007348, valid_ricir -0.041257, valid_mae 0.018567, valid_rmse 0.027588, valid_mape 160.644501, valid_acc 0.877467, test_loss 0.001809, ic -0.034300, icir -0.373338, ric 0.011793, ricir 0.096685, prec@10 0.385597, prec@30 0.419479, test_mae 0.030490, test_rmse 0.037949, test_mape 6183.093262, test_acc 0.503672
Epoch 5, train_loss 0.004538, train_ic -0.040869, train_icir -0.365315, train_ric -0.001181, train_ricir -0.008840, train_mae 0.013747, train_rmse 0.021151, train_mape 111.971436, train_acc 0.634592, valid_loss 0.0013519934, valid_ic -0.028675, valid_icir -0.210058, valid_ric 0.003553, valid_ricir 0.020664, valid_mae 0.033307, valid_rmse 0.039138, valid_mape 123.186371, valid_acc 0.271253, test_loss 0.000929, ic -0.024082, icir -0.249064, ric 0.014480, ricir 0.114414, prec@10 0.402058, prec@30 0.434431, test_mae 0.015783, test_rmse 0.025281, test_mape 253.085632, test_acc 0.521840
Epoch 6, train_loss 0.004346, train_ic -0.033385, train_icir -0.303384, train_ric -0.001109, train_ricir -0.008289, train_mae 0.037898, train_rmse 0.043507, train_mape 744.366150, train_acc 0.504062, valid_loss 0.0025187564, valid_ic -0.020252, valid_icir -0.155740, valid_ric 0.010042, valid_ricir 0.057890, valid_mae 0.018947, valid_rmse 0.027835, valid_mape 193.828857, valid_acc 0.878249, test_loss 0.002234, ic -0.019570, icir -0.204182, ric 0.014119, ricir 0.107212, prec@10 0.547325, prec@30 0.518381, test_mae 0.037473, test_rmse 0.044125, test_mape 8077.862305, test_acc 0.502899
Epoch 7, train_loss 0.004254, train_ic -0.031182, train_icir -0.278184, train_ric -0.007671, train_ricir -0.056463, train_mae 0.046808, train_rmse 0.053320, train_mape 112.609268, train_acc 0.299721, valid_loss 0.0013854352, valid_ic -0.026649, valid_icir -0.218158, valid_ric 0.002931, valid_ricir 0.017182, valid_mae 0.026379, valid_rmse 0.032968, valid_mape 104.419769, valid_acc 0.826656, test_loss 0.001003, ic -0.020095, icir -0.205783, ric 0.005954, ricir 0.044649, prec@10 0.466255, prec@30 0.452126, test_mae 0.017222, test_rmse 0.026731, test_mape 2081.874512, test_acc 0.503865
Epoch 8, train_loss 0.004114, train_ic -0.021091, train_icir -0.184024, train_ric -0.000624, train_ricir -0.004458, train_mae 0.018726, train_rmse 0.027810, train_mape 201.225952, train_acc 0.808207, valid_loss 0.0018550729, valid_ic -0.011889, valid_icir -0.096138, valid_ric 0.015298, valid_ricir 0.089271, valid_mae 0.018737, valid_rmse 0.027028, valid_mape 141.290085, valid_acc 0.877272, test_loss 0.001535, ic -0.017330, icir -0.169516, ric 0.008703, ricir 0.061852, prec@10 0.536626, prec@30 0.541564, test_mae 0.027548, test_rmse 0.035388, test_mape 5552.499023, test_acc 0.503286
Epoch 9, train_loss 0.004012, train_ic -0.039034, train_icir -0.373805, train_ric 0.015101, train_ricir 0.116441, train_mae 0.051499, train_rmse 0.056881, train_mape 287.472260, train_acc 0.130510, valid_loss 0.0018546004, valid_ic -0.021317, valid_icir -0.189875, valid_ric 0.012960, valid_ricir 0.072415, valid_mae 0.053578, valid_rmse 0.057890, valid_mape 283.409424, valid_acc 0.110807, test_loss 0.001381, ic -0.012476, icir -0.158723, ric 0.032359, ricir 0.280100, prec@10 0.489712, prec@30 0.470645, test_mae 0.028453, test_rmse 0.033504, test_mape 5485.594727, test_acc 0.456707
Epoch 10, train_loss 0.003938, train_ic -0.007607, train_icir -0.069496, train_ric -0.005025, train_ricir -0.037783, train_mae 0.022132, train_rmse 0.029645, train_mape 199.350693, train_acc 0.680077, valid_loss 0.0017991463, valid_ic 0.003217, valid_icir 0.029492, valid_ric 0.014633, valid_ricir 0.091214, valid_mae 0.018903, valid_rmse 0.027164, valid_mape 135.630829, valid_acc 0.878640, test_loss 0.001455, ic -0.004679, icir -0.047886, ric 0.002673, ricir 0.020067, prec@10 0.509877, prec@30 0.471605, test_mae 0.026575, test_rmse 0.034389, test_mape 5245.629883, test_acc 0.503092
Epoch 11, train_loss 0.003847, train_ic -0.024428, train_icir -0.255267, train_ric 0.013292, train_ricir 0.101419, train_mae 0.020555, train_rmse 0.024475, train_mape 393.069153, train_acc 0.298938, valid_loss 0.0014666128, valid_ic -0.004740, valid_icir -0.055754, valid_ric 0.013582, valid_ricir 0.080213, valid_mae 0.043783, valid_rmse 0.048685, valid_mape 203.725433, valid_acc 0.115107, test_loss 0.001027, ic 0.000419, icir 0.006658, ric 0.030404, ricir 0.262016, prec@10 0.510700, prec@30 0.482990, test_mae 0.020904, test_rmse 0.027618, test_mape 3128.932861, test_acc 0.457866
