Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2023,
        "test_year": 2024,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.013010, train_ic -0.040686, train_icir -0.320009, train_ric 0.031382, train_ricir 0.214527, train_mae 0.020706, train_rmse 0.029217, train_mape 214.395233, train_acc 0.474903, valid_loss 0.0011898744, valid_ic -0.014293, valid_icir -0.131762, valid_ric 0.033785, valid_ricir 0.255598, valid_mae 0.029045, valid_rmse 0.037880, valid_mape 312.974762, valid_acc 0.279898, test_loss 0.002782, ic -0.037279, icir -0.222986, ric 0.002864, ricir 0.013926, prec@10 0.417769, prec@30 0.434573, test_mae 0.040739, test_rmse 0.049373, test_mape 193.539734, test_acc 0.274487
Epoch 2, train_loss 0.006390, train_ic -0.042588, train_icir -0.352409, train_ric 0.019957, train_ricir 0.142238, train_mae 0.019702, train_rmse 0.029304, train_mape 10215.137695, train_acc 0.543206, valid_loss 0.0009875630, valid_ic -0.014801, valid_icir -0.142331, valid_ric 0.029613, valid_ricir 0.233466, valid_mae 0.036660, valid_rmse 0.043648, valid_mape 403.403381, valid_acc 0.185090, test_loss 0.002209, ic -0.042606, icir -0.272942, ric -0.005089, ricir -0.026044, prec@10 0.400826, prec@30 0.427135, test_mae 0.029778, test_rmse 0.039314, test_mape 137.854736, test_acc 0.627566
Epoch 3, train_loss 0.005977, train_ic -0.049617, train_icir -0.397742, train_ric 0.019483, train_ricir 0.134980, train_mae 0.024087, train_rmse 0.034651, train_mape 220.082474, train_acc 0.428380, valid_loss 0.0010283613, valid_ic -0.021277, valid_icir -0.202121, valid_ric 0.027651, valid_ricir 0.215659, valid_mae 0.039363, valid_rmse 0.045397, valid_mape 451.940399, valid_acc 0.168765, test_loss 0.002079, ic -0.047489, icir -0.299434, ric -0.006480, ricir -0.032496, prec@10 0.390909, prec@30 0.407851, test_mae 0.027187, test_rmse 0.036032, test_mape 132.110703, test_acc 0.726491
Epoch 4, train_loss 0.005504, train_ic -0.046926, train_icir -0.401860, train_ric 0.021039, train_ricir 0.153056, train_mae 0.018574, train_rmse 0.028203, train_mape 167.619186, train_acc 0.494979, valid_loss 0.0008307548, valid_ic -0.023579, valid_icir -0.238919, valid_ric 0.032478, valid_ricir 0.264236, valid_mae 0.025395, valid_rmse 0.033339, valid_mape 224.918457, valid_acc 0.233478, test_loss 0.001823, ic -0.042993, icir -0.300372, ric 0.002612, ricir 0.013678, prec@10 0.509917, prec@30 0.492700, test_mae 0.037309, test_rmse 0.043995, test_mape 154.832916, test_acc 0.228543
Epoch 5, train_loss 0.005238, train_ic -0.040976, train_icir -0.351034, train_ric 0.013879, train_ricir 0.101272, train_mae 0.021023, train_rmse 0.031479, train_mape 191.872879, train_acc 0.531707, valid_loss 0.0007359495, valid_ic -0.021433, valid_icir -0.211757, valid_ric 0.023115, valid_ricir 0.187799, valid_mae 0.021614, valid_rmse 0.029218, valid_mape 167.889938, valid_acc 0.307042, test_loss 0.001581, ic -0.043438, icir -0.304464, ric -0.005376, ricir -0.028997, prec@10 0.391736, prec@30 0.403444, test_mae 0.038464, test_rmse 0.044586, test_mape 157.750198, test_acc 0.157771
Epoch 6, train_loss 0.005057, train_ic -0.049193, train_icir -0.415643, train_ric 0.014894, train_ricir 0.106785, train_mae 0.018852, train_rmse 0.027132, train_mape 3840.494141, train_acc 0.675251, valid_loss 0.0008567106, valid_ic -0.026827, valid_icir -0.272132, valid_ric 0.021375, valid_ricir 0.172832, valid_mae 0.016066, valid_rmse 0.024076, valid_mape 140.997192, valid_acc 0.759835, test_loss 0.001675, ic -0.046798, icir -0.325181, ric -0.003054, ricir -0.016214, prec@10 0.410331, prec@30 0.423691, test_mae 0.046189, test_rmse 0.051519, test_mape 215.386230, test_acc 0.113978
Epoch 7, train_loss 0.004869, train_ic -0.042796, train_icir -0.374535, train_ric 0.013774, train_ricir 0.102025, train_mae 0.030586, train_rmse 0.036454, train_mape 102.431808, train_acc 0.722049, valid_loss 0.0007598814, valid_ic -0.027283, valid_icir -0.294755, valid_ric 0.021492, valid_ricir 0.176936, valid_mae 0.028811, valid_rmse 0.035390, valid_mape 277.552460, valid_acc 0.163061, test_loss 0.001515, ic -0.036002, icir -0.274348, ric 0.004398, ricir 0.024306, prec@10 0.590083, prec@30 0.526309, test_mae 0.028950, test_rmse 0.035667, test_mape 113.929245, test_acc 0.665298
Epoch 8, train_loss 0.004799, train_ic -0.031961, train_icir -0.278188, train_ric 0.010867, train_ricir 0.080862, train_mae 0.021922, train_rmse 0.029303, train_mape 12911.428711, train_acc 0.628702, valid_loss 0.0012438001, valid_ic -0.017603, valid_icir -0.176791, valid_ric 0.023548, valid_ricir 0.180965, valid_mae 0.042709, valid_rmse 0.047826, valid_mape 508.431335, valid_acc 0.160307, test_loss 0.001958, ic -0.027137, icir -0.204816, ric 0.009761, ricir 0.056200, prec@10 0.416529, prec@30 0.449862, test_mae 0.020100, test_rmse 0.028323, test_mape 140.561035, test_acc 0.873705
Epoch 9, train_loss 0.004639, train_ic -0.032709, train_icir -0.310743, train_ric 0.015489, train_ricir 0.122092, train_mae 0.016781, train_rmse 0.024191, train_mape 196.797668, train_acc 0.278438, valid_loss 0.0007007439, valid_ic -0.024736, valid_icir -0.286054, valid_ric 0.016568, valid_ricir 0.140293, valid_mae 0.025191, valid_rmse 0.031958, valid_mape 220.452789, valid_acc 0.166404, test_loss 0.001410, ic -0.031577, icir -0.257732, ric 0.005092, ricir 0.030021, prec@10 0.574793, prec@30 0.524931, test_mae 0.030841, test_rmse 0.037188, test_mape 114.948097, test_acc 0.495406
Epoch 10, train_loss 0.004493, train_ic -0.026424, train_icir -0.229627, train_ric -0.001650, train_ricir -0.011960, train_mae 0.014611, train_rmse 0.022777, train_mape 113.058746, train_acc 0.613153, valid_loss 0.0006693011, valid_ic -0.022843, valid_icir -0.239240, valid_ric 0.004676, valid_ricir 0.036058, valid_mae 0.019862, valid_rmse 0.027456, valid_mape 136.113220, valid_acc 0.340873, test_loss 0.001383, ic -0.025695, icir -0.195397, ric -0.004762, ricir -0.027129, prec@10 0.576033, prec@30 0.541873, test_mae 0.034981, test_rmse 0.041017, test_mape 130.459717, test_acc 0.162854
Epoch 11, train_loss 0.004384, train_ic -0.027091, train_icir -0.269412, train_ric 0.013237, train_ricir 0.104368, train_mae 0.032125, train_rmse 0.040323, train_mape 177.914612, train_acc 0.169779, valid_loss 0.0007171395, valid_ic -0.014054, valid_icir -0.182045, valid_ric 0.018175, valid_ricir 0.154520, valid_mae 0.015765, valid_rmse 0.023372, valid_mape 121.235550, valid_acc 0.797404, test_loss 0.001422, ic -0.025589, icir -0.255315, ric 0.003546, ricir 0.021779, prec@10 0.507438, prec@30 0.471763, test_mae 0.041627, test_rmse 0.046916, test_mape 180.986801, test_acc 0.112805
