Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 8,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.035467, train_ic -0.067320, train_icir -0.480576, train_ric 0.040430, train_ricir 0.245263, train_mae 0.015816, train_rmse 0.025268, train_mape 307.113007, train_acc 0.445502, valid_loss 0.0021194912, valid_ic -0.051810, valid_icir -0.397528, valid_ric 0.015737, valid_ricir 0.111056, valid_mae 0.022548, valid_rmse 0.033420, valid_mape 302.362488, valid_acc 0.689261, test_loss 0.001955, ic -0.024082, icir -0.228485, ric 0.037766, ricir 0.298827, prec@10 0.416049, prec@30 0.465844, test_mae 0.022333, test_rmse 0.034970, test_mape 325.387726, test_acc 0.557277
Epoch 2, train_loss 0.006808, train_ic -0.074239, train_icir -0.575321, train_ric 0.016234, train_ricir 0.108933, train_mae 0.057918, train_rmse 0.063674, train_mape 86.194656, train_acc 0.934930, valid_loss 0.0017722236, valid_ic -0.058816, valid_icir -0.524487, valid_ric 0.003839, valid_ricir 0.032146, valid_mae 0.038143, valid_rmse 0.045792, valid_mape 455.249390, valid_acc 0.205782, test_loss 0.001712, ic -0.031170, icir -0.342784, ric 0.027198, ricir 0.261888, prec@10 0.420576, prec@30 0.459259, test_mae 0.033892, test_rmse 0.042670, test_mape 576.484802, test_acc 0.368099
Epoch 3, train_loss 0.005704, train_ic -0.070798, train_icir -0.554157, train_ric 0.015329, train_ricir 0.102845, train_mae 0.016836, train_rmse 0.021820, train_mape 247.789581, train_acc 0.811576, valid_loss 0.0015597497, valid_ic -0.057749, valid_icir -0.514343, valid_ric 0.003815, valid_ricir 0.031121, valid_mae 0.018975, valid_rmse 0.027019, valid_mape 232.221298, valid_acc 0.742468, test_loss 0.001473, ic -0.030960, icir -0.336764, ric 0.025133, ricir 0.239198, prec@10 0.420165, prec@30 0.452538, test_mae 0.019475, test_rmse 0.028014, test_mape 311.713501, test_acc 0.596989
Epoch 4, train_loss 0.005471, train_ic -0.066135, train_icir -0.532640, train_ric 0.007789, train_ricir 0.053400, train_mae 0.017574, train_rmse 0.024582, train_mape 8981.708984, train_acc 0.327641, valid_loss 0.0012642119, valid_ic -0.060571, valid_icir -0.579003, valid_ric -0.001893, valid_ricir -0.016337, valid_mae 0.028503, valid_rmse 0.036290, valid_mape 283.738770, valid_acc 0.218173, test_loss 0.001213, ic -0.030787, icir -0.354728, ric 0.021722, ricir 0.216989, prec@10 0.428395, prec@30 0.460357, test_mae 0.024060, test_rmse 0.033212, test_mape 341.479431, test_acc 0.373773
Epoch 5, train_loss 0.005258, train_ic -0.059048, train_icir -0.486821, train_ric -0.002472, train_ricir -0.017054, train_mae 0.020085, train_rmse 0.023895, train_mape 8847.133789, train_acc 0.566515, valid_loss 0.0013005786, valid_ic -0.053442, valid_icir -0.553351, valid_ric -0.005573, valid_ricir -0.049825, valid_mae 0.017535, valid_rmse 0.025357, valid_mape 184.897736, valid_acc 0.749271, test_loss 0.001240, ic -0.031453, icir -0.373525, ric 0.013137, ricir 0.137420, prec@10 0.429218, prec@30 0.451578, test_mae 0.018003, test_rmse 0.026168, test_mape 261.416351, test_acc 0.600262
Epoch 6, train_loss 0.005135, train_ic -0.060329, train_icir -0.517075, train_ric -0.006163, train_ricir -0.044038, train_mae 0.037945, train_rmse 0.043959, train_mape 124.892494, train_acc 0.185328, valid_loss 0.0011125214, valid_ic -0.056777, valid_icir -0.607526, valid_ric -0.007847, valid_ricir -0.069975, valid_mae 0.019204, valid_rmse 0.027588, valid_mape 127.277565, valid_acc 0.571672, test_loss 0.001052, ic -0.029626, icir -0.367434, ric 0.014600, ricir 0.154405, prec@10 0.482305, prec@30 0.500549, test_mae 0.016350, test_rmse 0.025935, test_mape 131.152130, test_acc 0.577133
Epoch 7, train_loss 0.004949, train_ic -0.052113, train_icir -0.459212, train_ric -0.010735, train_ricir -0.079024, train_mae 0.062676, train_rmse 0.071062, train_mape 123.150894, train_acc 0.058752, valid_loss 0.0011232337, valid_ic -0.047818, valid_icir -0.524514, valid_ric -0.010116, valid_ricir -0.090138, valid_mae 0.017680, valid_rmse 0.025933, valid_mape 133.519135, valid_acc 0.731050, test_loss 0.001069, ic -0.025683, icir -0.316034, ric 0.010568, ricir 0.109225, prec@10 0.457202, prec@30 0.467901, test_mae 0.016575, test_rmse 0.025507, test_mape 172.625977, test_acc 0.600916
Epoch 8, train_loss 0.004844, train_ic -0.034320, train_icir -0.310723, train_ric -0.012801, train_ricir -0.097020, train_mae 0.015104, train_rmse 0.021089, train_mape 249.081284, train_acc 0.658801, valid_loss 0.0013953453, valid_ic -0.041387, valid_icir -0.434065, valid_ric -0.012782, valid_ricir -0.098780, valid_mae 0.035225, valid_rmse 0.041879, valid_mape 387.778748, valid_acc 0.190476, test_loss 0.001373, ic -0.017147, icir -0.189502, ric 0.008724, ricir 0.075290, prec@10 0.529218, prec@30 0.541427, test_mae 0.028937, test_rmse 0.036649, test_mape 480.279785, test_acc 0.366572
Epoch 9, train_loss 0.004667, train_ic -0.047707, train_icir -0.446649, train_ric -0.008755, train_ricir -0.067112, train_mae 0.028939, train_rmse 0.037640, train_mape 104.269753, train_acc 0.538086, valid_loss 0.0010256921, valid_ic -0.042831, valid_icir -0.476615, valid_ric -0.008302, valid_ricir -0.068969, valid_mae 0.020443, valid_rmse 0.028813, valid_mape 125.120163, valid_acc 0.289845, test_loss 0.000986, ic -0.017630, icir -0.211145, ric 0.014933, ricir 0.140399, prec@10 0.540329, prec@30 0.556653, test_mae 0.016988, test_rmse 0.026705, test_mape 125.541283, test_acc 0.427886
Epoch 10, train_loss 0.004530, train_ic -0.042656, train_icir -0.380913, train_ric -0.006131, train_ricir -0.046218, train_mae 0.018309, train_rmse 0.024483, train_mape 250.137085, train_acc 0.773558, valid_loss 0.0015080272, valid_ic -0.029566, valid_icir -0.331402, valid_ric -0.007665, valid_ricir -0.062927, valid_mae 0.019368, valid_rmse 0.025590, valid_mape 302.758514, valid_acc 0.760447, test_loss 0.001444, ic -0.008998, icir -0.103911, ric 0.018192, ricir 0.160678, prec@10 0.538272, prec@30 0.532236, test_mae 0.023342, test_rmse 0.029550, test_mape 449.797058, test_acc 0.594152
Epoch 11, train_loss 0.004455, train_ic -0.010455, train_icir -0.094963, train_ric -0.031018, train_ricir -0.218352, train_mae 0.041174, train_rmse 0.047441, train_mape 246.349930, train_acc 0.033428, valid_loss 0.0013391247, valid_ic -0.019626, valid_icir -0.281601, valid_ric -0.021733, valid_ricir -0.157589, valid_mae 0.033751, valid_rmse 0.040246, valid_mape 356.412964, valid_acc 0.191691, test_loss 0.001301, ic -0.004782, icir -0.068676, ric -0.006298, ricir -0.051204, prec@10 0.615638, prec@30 0.589575, test_mae 0.026947, test_rmse 0.034781, test_mape 424.319366, test_acc 0.367663
